Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 17.059999, 17.200001, 16.91, 17.08, 57100.0, 17.08, 0.17999999999999972, 0.20999899999999982, 0.3909447264431538, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 16.879999, 17.129999, 16.52, 16.82, 44700.0, 16.82, 0.33000000000000185, 0.3200000000000003, 0.3851204999021088, 0.0, 0.0, -0.8, 0.010663507740729114
'2016-09-20', 16.549999, 17.030001, 16.469999, 16.719999, 50300.0, 16.719999, -0.21000100000000188, 0.31999899999999926, 0.3880033393332017, 0.0, 0.0, -0.5, 0.01540785591588258
'2016-09-19', 16.76, 16.76, 16.35, 16.440001, 32400.0, 16.440001, -0.08999999999999986, 0.630001, 0.390987960173145, 0.0, 0.0, -0.1, 0.005966567223548124
'2016-09-16', 16.85, 17.02, 16.620001, 16.620001, 48100.0, 16.620001, 0.2900010000000002, 1.070000000000002, 0.39447127474678906, 0.0, 0.0, 0.0, 0.003115712166172104
'2016-09-15', 16.559999, 17.01, 16.49, 16.99, 62400.0, 16.99, 0.3299990000000008, -0.19000099999999875, 0.484999447445643, 0.0, 0.1, 0.0, 0.006038647707647808
'2016-09-14', 16.23, 16.709999, 16.23, 16.629999, 87800.0, 16.629999, 0.1000009999999989, -0.5199999999999996, 0.5977490224726391, 0.0, 0.5, 0.0, 0.008523300472376268
'2016-09-13', 16.129999, 16.309999, 16.120001, 16.23, 36700.0, 16.23, 0.34999900000000217, -0.4000019999999971, 0.6674427975492199, 0.0, 0.8, 0.0, 0.008236649168864971
'2016-09-12', 15.78, 16.16, 15.66, 16.129999, 32600.0, 16.129999, -0.9700000000000006, -1.070000000000002, 0.7331141879985296, 1.0, 1.0, 0.0, 0.010139409062103944
'2016-09-09', 16.75, 16.85, 15.88, 15.9, 57200.0, 15.9, 0.0, 0.25, 0.7656427002491066, 0.0, 0.8, -0.1, 0.0020563781094527444
'2016-09-08', 16.75, 16.98, 16.68, 16.940001, 82800.0, 16.940001, 0.2199990000000014, 0.2699999999999996, 0.7955087589295496, 0.0, 0.5, -0.5, 0.00185074029850747
'2016-09-07', 16.530001, 16.99, 16.4, 16.82, 49700.0, 16.82, -0.3199990000000028, -0.18999800000000278, 0.8119071268728743, 0.0, 0.1, -0.8, 0.002914799361696143
'2016-09-06', 16.85, 17.35, 16.459999, 16.58, 68300.0, 16.58, 0.3500000000000014, 0.26000000000000156, 0.8362482027353123, -1.0, 0.0, -1.0, 0.0
'2016-09-02', 16.5, 16.709999, 16.200001, 16.700001, 70200.0, 16.700001, 0.019999999999999574, 0.5, 0.8724804632771225, 0.0, 0.0, -0.8, 0.021212121212121297
'2016-09-01', 16.48, 16.68, 16.040001, 16.4, 92100.0, 16.4, -0.23999900000000096, 0.33000000000000185, 0.9038042663469392, 0.0, 0.1, -0.5, 0.011225728155339836
