Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-03', 27.42, 27.42, 26.5, 26.82, 23100.0, 26.82, 1.2199990000000014, 1.25, 0.7967249764715523, -1.0, 0.0, -1.0, 0.0
'2016-09-30', 26.200001, 27.4, 26.18, 27.0, 41100.0, 27.0, -0.5699989999999993, 0.08999999999999986, 0.7971176451163562, 0.0, 0.0, -0.8, 0.046564845550960146
'2016-09-29', 26.77, 27.200001, 26.129999, 26.209999, 35000.0, 26.209999, 0.16999999999999815, 0.620000000000001, 0.8054478535574241, 0.0, 0.1, -0.5, 0.012140455734030671
'2016-09-28', 26.6, 26.780001, 26.6, 26.68, 13800.0, 26.68, 0.4299999999999997, 0.17999999999999972, 0.8187579507469671, 0.0, 0.5, -0.1, 0.010275689223057646
'2016-09-27', 26.17, 26.67, 26.1, 26.66, 36100.0, 26.66, 0.059999000000001246, -1.8499999999999979, 0.8471075808106834, 0.0, 0.8, 0.0, 0.011941153993121895
'2016-09-26', 26.110001, 26.26, 26.0, 26.049999, 37500.0, 26.049999, -0.03999899999999812, -2.239999000000001, 0.8829779272315229, 1.0, 1.0, 0.0, 0.010034461507680534
'2016-09-23', 26.15, 26.540001, 26.1, 26.17, 21100.0, 26.17, -0.2700000000000031, -1.7700000000000031, 0.9158105488219885, 0.0, 0.8, 0.0, 0.008094327597195687
'2016-09-22', 26.42, 26.67, 26.02, 26.33, 39000.0, 26.33, -1.5999999999999979, -1.5799999999999983, 0.9660849213881934, 0.0, 0.5, 0.0, 0.005407159078620093
'2016-09-21', 28.02, 28.200001, 26.18, 26.76, 67500.0, 26.76, -0.33000000000000185, 0.16999999999999815, 1.003010860648132, 0.0, 0.1, 0.0, -0.0026766595289079136
'2016-09-20', 28.35, 28.975, 27.799999, 28.450001, 24500.0, 28.450001, 0.4299999999999997, 0.610000000000003, 0.9828841450888276, 0.0, 0.0, 0.0, -0.003644914756025866
'2016-09-19', 27.92, 28.459999, 27.809999, 28.18, 32000.0, 28.18, -0.0799999999999983, 0.26000000000000156, 0.9335349938523972, 0.0, 0.0, 0.0, -0.001790830945558739
'2016-09-16', 28.0, 28.0, 27.75, 27.9, 271500.0, 27.9, 0.14999999999999858, 0.6499999999999986, 0.91562808919603, 0.0, 0.0, 0.0, -0.0018831168831168776
'2016-09-15', 27.85, 28.0, 27.684999, 28.0, 23500.0, 28.0, 0.11000000000000298, 0.3999990000000011, 0.9256546076554141, 0.0, 0.0, 0.0, -0.001286654697785756
'2016-09-14', 27.74, 27.924999, 27.700001, 27.809999, 30600.0, 27.809999, 0.0799999999999983, 0.25, 0.9099269846118643, 0.0, 0.0, 0.0, -0.0008873606566468769
'2016-09-13', 27.66, 27.879999, 27.35, 27.67, 44000.0, 27.67, 0.3099999999999987, 0.33000000000000185, 0.8725068829772323, 0.0, 0.0, 0.0, -0.0006197706848466027
'2016-09-12', 27.35, 28.0, 27.35, 27.9, 39300.0, 27.9, -0.1000009999999989, 1.1000000000000014, 0.8137910972400283, 0.0, 0.0, 0.0, 0.00017062766605728283
'2016-09-09', 27.450001, 27.969999, 27.25, 27.440001, 55100.0, 27.440001, -0.03999899999999812, 1.140001999999999, 0.7670219894417348, 0.0, 0.0, 0.0, -6.830828530752742e-05
'2016-09-08', 27.49, 27.790001, 27.219999, 27.75, 53500.0, 27.75, 0.16000000000000014, 1.129998999999998, 0.7042908098746087, 0.0, 0.0, 0.0, -0.00014978708835297697
'2016-09-07', 27.33, 27.879999, 27.200001, 27.49, 50700.0, 27.49, 1.0799999999999983, 1.3299999999999983, 0.6242477738726374, 0.0, 0.0, 0.0, 0.0001829491401390483
'2016-09-06', 26.25, 27.73, 25.84, 27.49, 107200.0, 27.49, -0.059999000000001246, 0.25, 0.5805240169655626, 0.0, 0.0, 0.0, 0.0023458646616541386
'2016-09-02', 26.309999, 26.459999, 26.1, 26.25, 12600.0, 26.25, -0.050001999999999214, 0.30999900000000125, 0.5662364276974861, 0.0, 0.0, 0.0, 0.002109466062693504
'2016-09-01', 26.360001, 26.360001, 25.82, 26.190001, 16300.0, 26.190001, 0.36000100000000046, 0.39000199999999907, 0.5564658900122533, 0.0, 0.0, 0.0, 0.001914876363515423
'2016-08-31', 26.0, 26.450001, 26.0, 26.25, 17800.0, 26.25, 0.0, 0.030000999999998612, 0.5444940619127452, 0.0, 0.0, 0.0, 0.0024825174825174857
'2016-08-30', 26.0, 26.33, 25.250999, 26.17, 22400.0, 26.17, 0.0, 0.0, 0.5323361990388837, 0.0, 0.0, 0.0, 0.002374581939799334
'2016-08-29', 26.0, 26.299999, 25.981001, 26.290001, 21700.0, 26.290001, 0.030000999999998612, -0.040001000000000175, 0.519037107736206, 0.0, 0.0, 0.0, 0.0022756410256410285
'2016-08-26', 25.969999, 26.459999, 25.92, 26.280001, 31300.0, 26.280001, 0.0, 0.04999899999999968, 0.5073814358125117, 0.0, 0.0, 0.0, 0.0022333477948920984
'2016-08-25', 25.969999, 26.200001, 25.969999, 26.18, 9600.0, 26.18, -0.030000999999998612, -0.14000199999999907, 0.4922702189656232, 0.0, 0.0, 0.0, 0.002147449802780864
'2016-08-24', 26.0, 26.17, 25.85, 26.07, 12100.0, 26.07, -0.040001000000000175, 0.08999999999999986, 0.47584275696258826, 0.0, 0.0, -0.1, 0.002022792022792025
'2016-08-23', 26.040001, 26.24, 26.040001, 26.059999, 9400.0, 26.059999, 0.12000099999999847, 0.12000099999999847, 0.4558757394027227, 0.0, 0.0, -0.5, 0.0018926911166949887
'2016-08-22', 25.92, 26.25, 25.76, 26.059999, 13600.0, 26.059999, -0.19000099999999875, 0.4200000000000017, 0.4327202547609666, 0.0, 0.0, -0.8, 0.0019955300127713917
'2016-08-19', 26.110001, 26.25, 25.73, 26.0, 20000.0, 26.0, 0.20000100000000032, 0.9000020000000006, 0.4122270953307657, -1.0, 0.0, -1.0, 0.0
'2016-08-18', 25.91, 26.25, 25.905001, 26.040001, 15900.0, 26.040001, -0.010000000000001563, 0.7099989999999998, 0.37791363935035777, 0.0, 0.0, -0.8, 0.007719065997684304
'2016-08-17', 25.92, 26.25, 25.92, 26.17, 18500.0, 26.17, 0.4200000000000017, 1.0700000000000003, 0.41147902733962727, 0.0, 0.1, -0.5, 0.003665142746913556
'2016-08-16', 25.5, 26.395, 25.5, 26.16, 34900.0, 26.16, 0.2900010000000002, 0.43499900000000125, 0.4929756752082828, 0.0, 0.5, -0.1, 0.007973869281045758
'2016-08-15', 25.209999, 25.879999, 25.129999, 25.690001, 52400.0, 25.690001, 0.009997999999999507, -0.19000099999999875, 0.570176099442952, 0.0, 0.8, 0.0, 0.00892504993752678
'2016-08-12', 25.200001, 25.370001, 25.1, 25.309999, 16500.0, 25.309999, 0.3500009999999989, -0.18199900000000113, 0.5764641755510188, 1.0, 1.0, -0.1, 0.007222221935626115
'2016-08-11', 24.85, 25.379999, 24.58, 25.34, 18400.0, 25.34, -0.21500099999999733, -0.14999999999999858, 0.5779982889943497, 0.0, 0.8, -0.5, 0.00845071093226022
'2016-08-10', 25.065001, 25.065001, 24.271, 24.790001, 17400.0, 24.790001, -0.3349989999999998, 0.8550019999999989, 0.6104297067843604, 0.0, 0.5, -0.8, 0.00595594288169845
'2016-08-09', 25.4, 25.4, 24.68, 24.92, 28200.0, 24.92, 0.01799999999999713, 0.869999, 0.7363786839032158, -1.0, 0.1, -1.0, 0.0
'2016-08-08', 25.382, 25.389999, 25.24, 25.389999, 8000.0, 25.389999, 0.38200000000000145, 0.511999000000003, 0.7315683171503352, 0.0, 0.5, -0.8, 0.0007091639744699838
'2016-08-05', 25.0, 25.889999, 24.719999, 25.370001, 59000.0, 25.370001, 0.7900010000000002, -0.38999899999999954, 0.7227139190581537, 0.0, 0.8, -0.5, 0.007999999999999972
'2016-08-04', 24.209999, 25.0, 23.690001, 24.700001, 32400.0, 24.700001, -0.3200019999999988, -1.1600019999999986, 0.72295433284418, 1.0, 1.0, -0.1, 0.01638442859910897
'2016-08-03', 24.530001, 24.745001, 23.1, 24.139999, 58100.0, 24.139999, -0.33999999999999986, -0.7699980000000011, 0.7190690365560984, 0.0, 0.8, -0.5, 0.008866683291207367
'2016-08-02', 24.870001, 24.91, 24.17, 24.5, 35200.0, 24.5, -0.5199980000000011, -0.37999900000000153, 0.7202540768370531, 0.0, 0.5, -0.8, 0.004262155035699437
'2016-08-01', 25.389999, 25.389999, 24.35, 24.719999, 33300.0, 24.719999, 0.01999800000000107, 1.0499989999999997, 0.7195049472151406, -1.0, 0.1, -1.0, 0.0
'2016-07-29', 25.370001, 25.610001, 24.93, 25.26, 39600.0, 25.26, 0.07000199999999879, 0.12000099999999847, 0.7079919725850287, 0.0, 0.1, -0.8, 0.0007882538120515277
'2016-07-28', 25.299999, 26.309999, 24.725, 25.809999, 48200.0, 25.809999, 0.04999899999999968, 0.4599989999999998, 0.7157390781565585, 0.0, 0.5, -0.5, 0.0017786561967848271
'2016-07-27', 25.25, 25.49, 24.974001, 25.43, 51300.0, 25.43, 0.9100000000000001, 0.5499989999999997, 0.7919693680526407, 0.0, 0.8, -0.1, 0.0018481716171617102
'2016-07-26', 24.34, 24.950001, 24.33, 24.950001, 66400.0, 24.950001, -0.9100000000000001, -1.0499989999999997, 0.7923318152981735, 1.0, 1.0, 0.0, 0.010784706244864417
'2016-07-25', 25.25, 25.48, 24.91, 25.23, 35500.0, 25.23, 0.41000000000000014, -0.07000000000000028, 0.7919746301494737, 0.0, 0.8, 0.0, 0.001108902970297026
'2016-07-22', 24.84, 25.34, 24.530001, 25.280001, 37900.0, 25.280001, 0.13999899999999954, -0.1700000000000017, 0.7791444346492353, 0.0, 0.5, 0.0, 0.003690277777777776
'2016-07-21', 24.700001, 25.094999, 24.530001, 24.799999, 23700.0, 24.799999, -0.6899979999999992, -0.619999, 0.7798571228119077, 0.0, 0.1, 0.0, 0.003990734367061067
'2016-07-20', 25.389999, 25.465, 24.93, 25.02, 19000.0, 25.02, 0.06999899999999926, 0.03999899999999812, 0.7843048393750539, 0.0, 0.0, 0.0, 0.0
'2016-07-19', 25.32, 25.450001, 25.110001, 25.190001, 20000.0, 25.190001, 0.3099999999999987, 0.05000000000000071, 0.7708640152743589, 0.0, 0.0, 0.0, 0.00030717482885729005
'2016-07-18', 25.01, 25.5, 24.940001, 25.440001, 43400.0, 25.440001, -0.3099999999999987, 0.010000000000001563, 0.753849892249715, 0.0, 0.0, 0.0, 0.001519388244702111
'2016-07-15', 25.32, 25.32, 24.545, 24.82, 58900.0, 24.82, -0.030000000000001137, 0.23000000000000043, 0.7482677721543985, 0.0, 0.0, 0.0, 0.0002513248599741464
'2016-07-14', 25.35, 25.450001, 24.99, 25.040001, 47300.0, 25.040001, 0.08000000000000185, 0.5, 0.7288552016693456, 0.0, 0.0, 0.0, 0.00013148915187376106
'2016-07-13', 25.27, 25.32, 24.52, 25.09, 64100.0, 25.09, 0.2699999999999996, 1.370000000000001, 0.7087170796590572, 0.0, 0.0, 0.0, 0.00036528263979787514
'2016-07-12', 25.0, 25.290001, 24.52, 25.08, 91000.0, 25.08, -0.08999999999999986, 1.7099989999999998, 0.6875128392905684, 0.0, 0.0, 0.0, 0.001114282857142856
'2016-07-11', 25.09, 25.200001, 24.809999, 25.0, 31700.0, 25.0, 0.23999999999999844, 1.8099990000000012, 0.680093566896386, 0.0, 0.0, 0.0, 0.0007971276737079837
'2016-07-08', 24.85, 25.35, 24.85, 25.129999, 47100.0, 25.129999, 0.9500000000000028, 0.5200000000000031, 0.6871587712623473, 0.0, 0.0, 0.0, 0.0013581463782696129
'2016-07-07', 23.9, 24.93, 23.549999, 24.559999, 28900.0, 24.559999, 0.6099989999999984, -0.5599990000000012, 0.6907622971765194, 0.0, 0.0, 0.0, 0.0036672384937238523
'2016-07-06', 23.290001, 24.15, 23.219999, 23.91, 15200.0, 23.91, 0.010000000000001563, -0.4699990000000014, 0.7096388322790567, 0.0, 0.0, -0.1, 0.005009298005421104
'2016-07-05', 23.280001, 23.68, 23.15, 23.49, 24700.0, 23.49, -1.0499989999999997, 0.7800009999999986, 0.7039732919890774, 0.0, 0.0, -0.5, 0.004770297317246229
'2016-07-01', 24.33, 24.690001, 23.360001, 24.02, 35600.0, 24.02, -0.12999900000000153, 0.12999899999999798, 0.7077431658687625, 0.0, 0.1, -0.8, 0.002178378545006168
'2016-06-30', 24.459999, 25.0, 24.059999, 24.879999, 68900.0, 24.879999, 0.6999989999999983, -0.5400010000000002, 0.8020531477613804, -1.0, 0.5, -1.0, 0.0
'2016-06-29', 23.76, 24.379999, 23.18, 24.309999, 32000.0, 24.309999, 1.2600000000000016, -0.5599999999999987, 0.9393978722567888, 0.0, 0.8, -0.8, 0.0294612373737373
'2016-06-28', 22.5, 23.83, 22.1, 23.48, 68300.0, 23.48, -1.7000010000000003, -2.3700009999999985, 1.0584142560928615, 1.0, 1.0, -0.5, 0.04355553333333333
'2016-06-27', 24.200001, 24.309, 22.035, 22.120001, 92000.0, 22.120001, -0.7999989999999997, -0.7599979999999995, 1.1358343026557682, 0.0, 0.8, -0.8, 0.0035812395214363767
'2016-06-24', 25.0, 25.25, 23.68, 24.450001, 866100.0, 24.450001, 0.6799999999999997, 0.2999989999999997, 1.1994697996756567, -1.0, 0.5, -1.0, 0.0
'2016-06-23', 24.32, 25.360001, 24.32, 25.25, 61400.0, 25.25, -0.5500009999999982, -0.4799989999999994, 1.2466601795065644, 0.0, 0.1, -0.8, 0.02796052631578946
'2016-06-22', 24.870001, 25.1, 24.0, 24.059999, 44200.0, 24.059999, -0.08999800000000135, 1.1600019999999986, 1.2614992942044994, 0.0, 0.0, -0.5, 0.0026135704618588784
'2016-06-21', 24.959999, 25.02, 23.950001, 24.549999, 42500.0, 24.549999, 0.2599979999999995, 2.3899989999999995, 1.2448760181241634, 0.0, 0.0, -0.1, 0.0005342014102911913
'2016-06-20', 24.700001, 25.49, 24.469999, 25.1, 62200.0, 25.1, -0.09999799999999937, 0.9700009999999999, 1.238347131807655, 0.0, 0.1, 0.0, 0.0030364270025738022
'2016-06-17', 24.799999, 25.1, 24.040001, 24.549999, 178700.0, 24.549999, 1.0899999999999999, 0.34999799999999937, 1.2293779913483827, 0.0, 0.5, 0.0, 0.0016129113553593314
'2016-06-16', 23.709999, 25.4, 23.57, 24.870001, 104500.0, 24.870001, 1.1399989999999995, -0.6000000000000014, 1.2200511323713645, 0.0, 0.8, 0.0, 0.009067911249876758
'2016-06-15', 22.57, 24.59, 22.57, 23.58, 49300.0, 23.58, -1.1600000000000001, -2.3099990000000012, 1.2519026885463231, 1.0, 1.0, 0.0, 0.015380720298753084
'2016-06-14', 23.73, 23.780001, 22.639999, 22.83, 75900.0, 22.83, -0.7200009999999999, -1.239999000000001, 1.2841718484431888, 0.0, 0.8, 0.0, 0.006689844079224608
'2016-06-13', 24.450001, 25.055, 23.51, 23.6, 59600.0, 23.6, 0.14000199999999907, -0.5099979999999995, 1.3163781517104767, 0.0, 0.5, 0.0, 0.002499427300636919
'2016-06-10', 24.309999, 25.07, 24.120001, 24.67, 46500.0, 24.67, -0.5700000000000003, -0.26000099999999904, 1.3299374171410323, 0.0, 0.1, 0.0, 0.002838342362745464
'2016-06-09', 24.879999, 25.23, 24.030001, 24.25, 46300.0, 24.25, -0.08999999999999986, 0.1399990000000031, 1.3360100432509214, 0.0, 0.0, 0.0, 0.0004384719556532811
'2016-06-08', 24.969999, 25.1, 24.85, 24.92, 32600.0, 24.92, 0.010000000000001563, 0.5149990000000031, 1.2991626138660737, 0.0, 0.0, 0.0, 0.0001001234855208932
'2016-06-07', 24.959999, 25.1, 24.1, 24.77, 51800.0, 24.77, 0.38999899999999954, 0.9599989999999998, 1.281843844377036, 0.0, 0.0, 0.0, 0.00012327724852873647
'2016-06-06', 24.57, 25.219999, 24.368, 25.08, 75900.0, 25.08, -0.16999999999999815, 0.43000100000000074, 1.2621560707115285, 0.0, 0.0, 0.0, 0.0012500726786441063
