Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-05', 49.860001, 50.18, 48.549999, 48.650002, 1083200.0, 48.650002, 1.0900009999999938, 2.4500010000000003, 1.4295424303216637, -1.0, 0.0, -1.0, 0.0
'2016-10-04', 48.77, 50.029999, 48.77, 49.509998, 771000.0, 49.509998, -0.48999799999999993, 0.6100000000000065, 1.4581420386844393, 0.0, 0.1, -0.8, 0.022349825712528065
'2016-10-03', 49.259998, 49.290001, 48.369999, 48.889999, 740800.0, 48.889999, 1.509998000000003, 1.2799980000000062, 1.4438167219795255, 0.0, 0.5, -0.5, 0.0060901646808836024
'2016-09-30', 47.75, 49.919998, 47.209999, 49.549999, 1616200.0, 49.549999, 0.3400000000000034, -1.8499979999999994, 1.4295130791989974, 0.0, 0.8, -0.1, 0.014729500872600327
'2016-09-29', 47.41, 47.73, 46.990002, 47.509998, 997400.0, 47.509998, -0.75, -2.9399980000000028, 1.3278518992220782, 1.0, 1.0, 0.0, 0.012919220628559379
'2016-09-28', 48.16, 48.48, 47.07, 47.740002, 694700.0, 47.740002, 0.17999999999999972, -1.0999980000000065, 1.2191346291534753, 0.0, 0.8, 0.0, 0.007059804817275749
'2016-09-27', 47.98, 48.259998, 47.509998, 48.16, 877600.0, 48.16, -1.6199980000000025, -2.389999000000003, 1.2072691031604283, 0.0, 0.5, 0.0, 0.006530502292621926
'2016-09-26', 49.599998, 49.73, 47.950001, 48.029999, 1286700.0, 48.029999, -0.75, -1.470002000000001, 1.1043393007994644, 0.0, 0.1, 0.0, 0.0007488565970161
'2016-09-23', 50.349998, 51.049999, 49.509998, 49.540001, 677000.0, 49.540001, 1.0899999999999963, -1.600003000000001, 1.0659229808434472, 0.0, 0.0, 0.0, -0.0012164772082016828
'2016-09-22', 49.259998, 51.060001, 48.900002, 50.32, 1322100.0, 50.32, -1.110000999999997, 0.09999800000000647, 1.0473140216981776, 0.0, 0.0, 0.0, 0.001353369929085245
'2016-09-21', 50.369999, 50.720001, 48.529999, 49.220001, 1171100.0, 49.220001, -0.7000010000000003, 0.6699979999999996, 0.9645817894823815, 0.0, 0.0, 0.0, -0.0010125034943915783
'2016-09-20', 51.07, 51.09, 49.82, 50.200001, 1162100.0, 50.200001, -0.880001, -0.2700000000000031, 0.9425813417071053, 0.0, 0.0, 0.0, -0.0021539046228883766
'2016-09-19', 51.950001, 52.299999, 50.830002, 51.029999, 835700.0, 51.029999, 2.7900010000000037, 0.7700010000000006, 0.9562462172480254, 0.0, 0.0, 0.0, -0.003352582546950614
'2016-09-16', 49.16, 51.91, 49.130001, 51.82, 3173200.0, 51.82, -0.5400010000000037, -2.0400010000000037, 0.9644853055738675, 0.0, 0.0, 0.0, 0.0010953260937597803
'2016-09-15', 49.700001, 50.0, 48.049999, 49.220001, 1718700.0, 49.220001, -1.639999000000003, -2.649996999999999, 0.8774650094328833, 0.0, 0.0, 0.0, 0.00022995113075694273
'2016-09-14', 51.34, 51.560001, 49.700001, 50.189999, 1130700.0, 50.189999, 0.1600000000000037, -1.869999, 0.7997188273117716, 0.0, 0.0, 0.0, -0.00192182703544995
'2016-09-13', 51.18, 51.900002, 50.91, 51.119999, 469100.0, 51.119999, -0.0200010000000006, -0.5700000000000003, 0.8006902812790946, 0.0, 0.0, -0.1, -0.001611956574833923
'2016-09-12', 51.200001, 52.029999, 50.849998, 51.830002, 770800.0, 51.830002, -1.149996999999999, -0.3199990000000028, 1.080153452370644, 0.0, 0.0, -0.5, -0.0015395220287547436
'2016-09-09', 52.349998, 52.990002, 51.560001, 51.580002, 781400.0, 51.580002, -0.860001000000004, 2.0399969999999996, 1.0712074674462952, 0.0, 0.0, -0.8, -0.002642467468034417
'2016-09-08', 53.209999, 53.389999, 52.700001, 52.970001, 718400.0, 52.970001, 1.4599990000000034, 1.7799990000000037, 1.082130259606962, -1.0, 0.1, -1.0, 0.0
'2016-09-07', 51.75, 53.119999, 51.669998, 53.07, 1162700.0, 53.07, 0.22999999999999687, 0.5299989999999966, 1.085995425466776, 0.0, 0.5, -0.8, 0.028212541062801997
'2016-09-06', 51.52, 52.0, 51.25, 51.689999, 685900.0, 51.689999, 1.2099990000000034, -0.029998999999996556, 1.1466295275871996, 0.0, 0.8, -0.5, 0.01640138781055901
'2016-09-02', 50.310001, 51.720001, 49.779999, 51.610001, 819000.0, 51.610001, -1.119999, -0.5299990000000037, 1.222874668367469, 1.0, 1.0, -0.1, 0.019214191627624916
'2016-09-01', 51.43, 51.439999, 50.200001, 50.330002, 725600.0, 50.330002, 0.20999899999999627, 0.49000099999999946, 1.261350644561156, 0.0, 0.8, -0.5, 0.00865253256853978
'2016-08-31', 51.220001, 51.509998, 50.299999, 51.189999, 666400.0, 51.189999, -0.32999799999999624, 0.12000300000000408, 1.314020966330875, 0.0, 0.5, -0.8, 0.007770394225490155
'2016-08-30', 51.549999, 51.900002, 50.630001, 51.189999, 961300.0, 51.189999, 0.7099989999999963, -0.42000200000000376, 1.3194574238431862, -1.0, 0.8, -1.0, 0.005366957750409797
'2016-08-29', 50.84, 51.740002, 50.700001, 51.509998, 952300.0, 51.509998, -0.09999899999999684, -1.2999989999999997, 1.3560372439827186, 1.0, 1.0, -0.8, 0.006659545352365966
'2016-08-26', 50.939999, 51.240002, 50.139999, 50.75, 745900.0, 50.75, -0.15999899999999911, -0.9900009999999995, 1.3170696497323473, 0.0, 0.8, -0.5, 0.005570278868674504
'2016-08-25', 51.099998, 51.830002, 50.830002, 51.0, 485400.0, 51.0, -0.8700030000000041, -0.35000300000000095, 1.2833415934112629, 0.0, 0.5, -0.1, 0.0045879562569759
'2016-08-24', 51.970001, 52.990002, 50.959999, 51.099998, 620800.0, 51.099998, -0.16999799999999965, 0.5300020000000032, 1.4835658342510463, 0.0, 0.1, 0.0, 0.0023859880241295355
'2016-08-23', 52.139999, 52.93, 52.040001, 52.200001, 521800.0, 52.200001, 0.20999900000000338, -0.6900029999999973, 1.6099901191212675, 0.0, 0.0, 0.0, 0.0018656066194540453
'2016-08-22', 51.93, 52.240002, 51.5, 52.02, 589700.0, 52.02, 0.4799989999999994, -1.9000020000000006, 1.6303593744874638, 0.0, 0.0, 0.0, 0.0020540455099813913
'2016-08-19', 51.450001, 52.18, 51.34, 51.939999, 507600.0, 51.939999, 0.010002000000000066, -1.6899980000000028, 1.6172256049039435, 0.0, 0.0, 0.0, 0.0026313791818674947
'2016-08-18', 51.439999, 52.560001, 51.439999, 51.970001, 451400.0, 51.970001, -1.390003, -0.7600020000000001, 1.5843989565206082, 0.0, 0.0, 0.0, 0.0024577872061889356
'2016-08-17', 52.830002, 52.990002, 51.450001, 51.810001, 688100.0, 51.810001, -1.0, 1.490001999999997, 1.545076861087484, 0.0, 0.0, 0.0, 0.0004795217182337706
'2016-08-16', 53.830002, 54.279999, 52.68, 52.720001, 901400.0, 52.720001, 0.6900029999999973, 2.260002, 1.5623111277424555, 0.0, 0.0, 0.0, -0.0007198622712293381
'2016-08-15', 53.139999, 54.73, 52.57, 54.290001, 1466900.0, 54.290001, 0.9399980000000028, 1.1799999999999997, 1.5727948382350934, 0.0, 0.0, 0.0, 7.748677335924575e-05
'2016-08-12', 52.200001, 52.860001, 51.110001, 52.560001, 1059000.0, 52.560001, 0.8600009999999969, -0.4500010000000003, 1.6263795066141329, 0.0, 0.0, 0.0, 0.0010749233510551114
'2016-08-11', 51.34, 52.5, 51.009998, 52.189999, 959100.0, 52.189999, -0.22999999999999687, -1.0600019999999972, 1.6296382568264307, 0.0, 0.0, 0.0, 0.0019170432411375145
'2016-08-10', 51.57, 52.209999, 50.889999, 51.310001, 849500.0, 51.310001, -0.3899990000000031, -1.4700009999999963, 1.5762415861370485, 0.0, 0.0, 0.0, 0.0015900707775838695
'2016-08-09', 51.959999, 52.349998, 51.23, 51.32, 415800.0, 51.32, -0.6900029999999973, 0.879997000000003, 1.5429635917721771, 0.0, 0.0, -0.1, 0.001145569874314461
'2016-08-08', 52.650002, 53.0, 51.580002, 51.73, 517200.0, 51.73, 0.25, 0.25, 1.5139777793764377, 0.0, 0.1, -0.5, 0.00048346454176600436
'2016-08-05', 52.400002, 52.790001, 51.810001, 52.43, 551200.0, 52.43, -0.639998999999996, -3.5899999999999963, 1.7383983331794766, 0.0, 0.5, -0.8, 0.0006720851054464719
'2016-08-04', 53.040001, 53.400002, 51.549999, 51.849998, 743800.0, 51.849998, 1.9599989999999963, 1.3500019999999964, 2.1816668152740104, -1.0, 0.8, -1.0, -0.0015606690672741261
'2016-08-03', 51.080002, 53.540001, 51.07, 52.869999, 1204000.0, 52.869999, -1.3200000000000003, -0.039996999999999616, 2.426069931253979, 1.0, 1.0, -0.8, 0.000484273360258018
'2016-08-02', 52.400002, 52.990002, 51.060001, 51.400002, 1635400.0, 51.400002, -3.5899999999999963, -0.9099989999999991, 2.4798942768058874, 0.0, 0.8, -0.5, -0.0008110715339285684
'2016-08-01', 55.990002, 56.200001, 52.279999, 52.59, 2503500.0, 52.59, 4.300002999999997, 1.9099999999999966, 2.481316235038945, 0.0, 0.5, -0.1, -0.0037761869393345294
'2016-07-29', 51.689999, 57.290001, 51.66, 56.5, 2204900.0, 56.5, 0.5700000000000003, -2.8500019999999964, 2.545911579755777, 0.0, 0.1, 0.0, -0.00012311155903942634
'2016-07-28', 51.119999, 54.580002, 51.0, 53.290001, 2437600.0, 53.290001, -2.190002, -3.7200010000000034, 2.527774760865349, 0.0, 0.0, 0.0, 0.0003657209025749987
'2016-07-27', 53.310001, 53.389999, 51.18, 51.290001, 2265900.0, 51.290001, -0.7700010000000006, -1.3099980000000002, 2.517844257627519, 0.0, 0.0, -0.1, -0.0013756033631788277
'2016-07-26', 54.080002, 54.580002, 53.540001, 54.130001, 652700.0, 54.130001, -0.45999899999999627, 0.17000200000000376, 2.5790875850883346, 0.0, 0.0, -0.5, -0.0018713039248778138
'2016-07-25', 54.540001, 54.540001, 53.77, 54.18, 449200.0, 54.18, -0.2999990000000068, -0.04000100000000373, 2.730956175693174, 0.0, 0.0, -0.8, -0.002108545559489022
'2016-07-22', 54.84, 56.200001, 54.080002, 54.5, 493300.0, 54.5, 0.22000100000000344, 1.7000010000000003, 2.9405786079275673, -1.0, 0.0, -1.0, 0.0
'2016-07-21', 54.619999, 55.599998, 53.540001, 54.939999, 477900.0, 54.939999, 0.7099990000000034, 2.639999000000003, 3.166979312089244, 0.0, 0.0, -0.8, 0.0040278470162550435
'2016-07-20', 53.91, 55.040001, 53.41, 54.68, 771200.0, 54.68, -0.6700020000000038, -3.369999, 3.2979892656083694, 0.0, 0.1, -0.5, 0.008625486922648922
'2016-07-19', 54.580002, 54.919998, 53.009998, 53.810001, 514600.0, 53.810001, 1.4400029999999973, -2.0299989999999966, 3.3510661018848014, 0.0, 0.5, -0.1, 0.0015878709568387525
'2016-07-18', 53.139999, 54.849998, 53.139999, 54.490002, 1018700.0, 54.490002, 1.1599990000000062, -1.740001999999997, 3.3742973622175123, 0.0, 0.8, -0.5, 0.00799774666913336
'2016-07-15', 51.98, 53.189999, 51.98, 53.150002, 1084000.0, 53.150002, -5.299999, -1.880001, 3.3546676228438854, 1.0, 1.0, -0.8, 0.011004232397075825
'2016-07-14', 57.279999, 57.279999, 50.91, 52.900002, 4159600.0, 52.900002, 0.6699979999999996, 3.469997999999997, 3.2164461799738224, -1.0, 0.8, -1.0, 0.0
'2016-07-13', 56.610001, 56.990002, 56.360001, 56.43, 867700.0, 56.43, 1.7299999999999969, 3.3899999999999935, 3.2227866197440886, 0.0, 0.5, -0.8, 0.011835329238026328
'2016-07-12', 54.880001, 56.529999, 54.599998, 56.459999, 1088400.0, 56.459999, 1.0200000000000031, 2.880001, 3.218068062390742, 0.0, 0.1, -0.5, 0.021865870592823026
'2016-07-11', 53.860001, 54.810001, 53.860001, 54.459999, 791400.0, 54.459999, 0.04999999999999716, -0.6100000000000065, 3.178499162617012, 0.0, 0.1, -0.1, 0.021165973118591908
'2016-07-08', 53.810001, 54.200001, 53.099998, 53.849998, 833400.0, 53.849998, 0.5899999999999963, -1.9100000000000037, 3.0916119340350816, 0.0, 0.5, 0.0, 0.016121529155890543
'2016-07-07', 53.220001, 54.639999, 53.220001, 53.799999, 529000.0, 53.799999, 1.2200010000000034, -1.739998, 2.993978731565782, 0.0, 0.8, 0.0, 0.015257414219139127
'2016-07-06', 52.0, 53.349998, 51.09, 52.889999, 958700.0, 52.889999, -2.4700010000000034, -1.610000999999997, 2.8720014121401327, 1.0, 1.0, 0.0, 0.016923073717948708
'2016-07-05', 54.470001, 54.470001, 52.0, 52.5, 801200.0, 52.5, -1.25, 1.9300000000000068, 2.64142344637664, 0.0, 0.8, 0.0, 0.00736971320625246
'2016-07-01', 55.720001, 56.5, 53.82, 54.639999, 604000.0, 54.639999, 0.7600020000000001, 1.3500020000000035, 2.559783041588005, 0.0, 0.5, 0.0, 0.0034996365129282593
'2016-06-30', 54.959999, 56.139999, 54.630001, 55.400002, 760400.0, 55.400002, 1.3499980000000065, -3.729999999999997, 2.5545752244032367, 0.0, 0.1, 0.0, 0.0046902798847899725
'2016-06-29', 53.610001, 56.0, 53.59, 54.970001, 1110200.0, 54.970001, 1.0700000000000003, -7.919998, 2.4886239912318673, 0.0, 0.0, 0.0, 0.006845733877154749
'2016-06-28', 52.540001, 53.970001, 52.209999, 53.32, 1659300.0, 53.32, -1.8299980000000033, -7.809997000000003, 2.348753170940192, 0.0, 0.0, 0.0, 0.008201539796143307
'2016-06-27', 54.369999, 56.689999, 50.299999, 51.029999, 2107300.0, 51.029999, -4.32, -4.810001, 2.1085548700739847, 0.0, 0.0, 0.0, 0.0044601803284932875
'2016-06-24', 58.689999, 59.119999, 54.330002, 55.419998, 4520900.0, 55.419998, -2.8399999999999963, 1.3299980000000033, 1.9796695614059385, 0.0, 0.0, 0.0, -0.0018480412388751065
'2016-06-23', 61.529999, 62.48, 60.82, 62.439999, 735700.0, 62.439999, 1.1800009999999972, 3.2700009999999935, 1.9810330663574494, 0.0, 0.0, 0.0, -0.004933714180158342
'2016-06-22', 60.349998, 61.540001, 59.970001, 60.790001, 458400.0, 60.790001, 1.1699979999999996, 2.2199969999999993, 1.9176995954532523, 0.0, 0.0, 0.0, -0.0033913273700522774
'2016-06-21', 59.18, 60.490002, 58.939999, 60.400002, 760900.0, 60.400002, 1.8199990000000028, -0.25999900000000054, 1.8957928681399656, 0.0, 0.0, 0.0, -0.002006591120310919
'2016-06-20', 57.360001, 59.98, 57.150002, 59.169998, 662100.0, 59.169998, -0.8999970000000062, -2.0799980000000033, 1.8945363466210579, 0.0, 0.0, 0.0, -8.204323427400256e-05
'2016-06-17', 58.259998, 59.290001, 56.720001, 56.830002, 1044100.0, 56.830002, 0.12999700000000303, -2.7900009999999966, 1.8833575546647292, 0.0, 0.0, 0.0, -0.0009345072220718106
'2016-06-16', 58.130001, 58.610001, 56.66, 58.580002, 868700.0, 58.580002, -1.3099980000000002, -4.110000999999997, 1.8836179007435312, 0.0, 0.0, 0.0, -0.0007696016961778692
'2016-06-15', 59.439999, 59.82, 58.259998, 58.439999, 739800.0, 58.439999, 0.0, -3.510002, 1.9322402655988293, 0.0, 0.0, 0.0, -0.0018169583078223165
'2016-06-14', 59.439999, 60.16, 58.799999, 59.34, 614200.0, 59.34, -1.6099999999999994, -2.569999000000003, 2.0073062315566044, 0.0, 0.0, -0.1, -0.0017304364836403015
'2016-06-13', 61.049999, 61.650002, 59.66, 59.709999, 598000.0, 59.709999, -1.1900029999999973, -0.17000200000000376, 2.179899721302527, 0.0, 0.0, -0.5, -0.002806939216553247
'2016-06-10', 62.240002, 62.98, 61.200001, 61.549999, 654200.0, 61.549999, -0.7099990000000034, 1.8900039999999976, 2.2977728823511185, 0.0, 0.0, -0.8, -0.003464850536923603
'2016-06-09', 62.950001, 63.669998, 62.610001, 62.98, 425700.0, 62.98, 0.9400029999999973, 2.0300030000000007, 2.3618784364524728, -1.0, 0.0, -1.0, 0.0
'2016-06-08', 62.009998, 63.099998, 61.75, 62.919998, 472000.0, 62.919998, 0.7899969999999996, 2.5599970000000027, 2.3881289623192763, 0.0, 0.0, -0.8, 0.01515889421573594
'2016-06-07', 61.220001, 62.549999, 61.189999, 62.130001, 657400.0, 62.130001, 0.8700030000000041, 2.3500020000000035, 2.473695816322259, 0.0, 0.0, -0.5, 0.014129369256299072
'2016-06-06', 60.349998, 61.34, 59.990002, 61.290001, 527400.0, 61.290001, -0.5700000000000003, 1.9899970000000025, 2.5378006459446167, 0.0, 0.0, -0.1, 0.014360690892925415
'2016-06-03', 60.919998, 60.919998, 59.689999, 59.849998, 447300.0, 59.849998, 1.4699969999999993, 4.099997999999999, 2.5491799401640063, 0.0, 0.0, 0.0, 0.00833061008964577
'2016-06-02', 59.450001, 61.07, 59.450001, 61.02, 596900.0, 61.02, 0.5800020000000004, 1.6700020000000038, 2.541661381380514, 0.0, 0.0, 0.0, 0.011774600306566858
'2016-06-01', 58.869999, 59.75, 58.740002, 59.68, 431300.0, 59.68, 0.5099980000000031, 1.0399969999999996, 2.545061517047598, 0.0, 0.0, 0.0, 0.011550880667304468
'2016-05-31', 58.360001, 58.98, 58.07, 58.869999, 574500.0, 58.869999, 1.5400009999999966, 1.9099999999999966, 2.5448953564387238, 0.0, 0.0, 0.0, 0.011235679823142674
'2016-05-27', 56.82, 58.200001, 56.75, 58.07, 508000.0, 58.07, -0.9599989999999963, -0.25, 2.5526768326386415, 0.0, 0.0, 0.0, 0.013485570661738824
'2016-05-26', 57.779999, 58.02, 56.669998, 56.91, 442300.0, 56.91, -0.050003000000003794, 1.0499989999999997, 2.519209797209576, 0.0, 0.0, 0.0, 0.009941929328636145
'2016-05-25', 57.830002, 58.279999, 57.330002, 57.830002, 400900.0, 57.830002, 1.380001, 1.9600030000000004, 2.5494622782420007, 0.0, 0.0, 0.0, 0.00885353419147383
'2016-05-24', 56.450001, 57.630001, 55.759998, 57.459999, 434400.0, 57.459999, -0.619999, -0.45999899999999627, 2.663281073809549, 0.0, 0.1, 0.0, 0.010467831362998397
'2016-05-23', 57.07, 57.139999, 56.360001, 56.52, 282100.0, 56.52, 0.3400000000000034, 0.5799980000000033, 2.7634072015058453, 0.0, 0.5, 0.0, 0.008585948542725307
'2016-05-20', 56.73, 57.470001, 56.439999, 57.029999, 373100.0, 57.029999, 0.8600009999999969, 0.4199989999999971, 2.852560187426368, 0.0, 0.8, 0.0, 0.008434014020529096
'2016-05-19', 55.869999, 57.02, 55.540001, 56.720001, 460600.0, 56.720001, -1.0400009999999966, -0.9900019999999969, 2.872853800008502, 1.0, 1.0, 0.0, 0.009051627664633188
'2016-05-18', 56.91, 57.360001, 55.630001, 56.330002, 554900.0, 56.330002, 0.41999799999999965, -2.3600000000000065, 2.912937248616731, 0.0, 0.8, 0.0, 0.007075500497862126
'2016-05-17', 56.490002, 57.700001, 56.360001, 57.040001, 652400.0, 57.040001, 0.1800009999999972, -2.4199979999999996, 3.0380426602229273, 0.0, 0.5, 0.0, 0.007147281345467119
'2016-05-16', 56.310001, 57.169998, 55.799999, 56.549999, 503100.0, 56.549999, -0.5499999999999972, -2.719997999999997, 3.112995860110905, 0.0, 0.1, 0.0, 0.006936391908324023
'2016-05-13', 56.860001, 57.580002, 55.650002, 56.119999, 533800.0, 56.119999, -2.409999000000006, -1.5599970000000027, 3.164206473730962, 0.0, 0.0, 0.0, 0.005950287150598776
