Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-06', 27.34, 27.5, 27.049999, 27.450001, 5200.0, 27.450001, 0.33999999999999986, 0.7399999999999984, 0.7001793490879477, -1.0, 0.1, -1.0, 0.0
'2016-09-02', 27.0, 27.5, 26.639999, 27.48, 10000.0, 27.48, 0.23999999999999844, 0.36000100000000046, 0.719705752513043, 0.0, 0.5, -0.8, 0.012592592592592588
'2016-09-01', 26.76, 27.0, 26.51, 27.0, 6600.0, 27.0, 0.28000000000000114, -0.509999999999998, 0.7482945891977452, 0.0, 0.8, -0.5, 0.01083707025411058
'2016-08-31', 26.48, 27.65, 26.059999, 27.200001, 12600.0, 27.200001, -0.120000000000001, -0.5199999999999996, 0.7585014913487053, 1.0, 1.0, -0.1, 0.010825780463242693
'2016-08-30', 26.6, 27.34, 26.5, 26.620001, 4200.0, 26.620001, -0.03999899999999812, -0.619999, 0.7766824134315102, 0.0, 0.8, 0.0, 0.0069548872180450975
'2016-08-29', 26.639999, 27.0, 26.51, 26.879999, 3300.0, 26.68, -0.630001, -0.6600000000000001, 0.7806823539844564, 0.0, 0.5, 0.0, 0.005255262960032396
'2016-08-26', 27.27, 27.27, 26.610001, 27.1, 2800.0, 26.898364, 0.2699999999999996, 1.1900000000000013, 0.7784929521842179, 0.0, 0.1, -0.1, 0.0004278205598337629
'2016-08-25', 27.0, 27.52, 26.99, 27.200001, 7100.0, 26.997621, -0.2199990000000014, -0.04999899999999968, 0.7559847483473673, 0.0, 0.1, -0.5, 0.0017989417989417982
'2016-08-24', 27.219999, 27.559999, 26.77, 27.0, 17900.0, 26.799108, -0.0799999999999983, 0.5199980000000011, 0.7414062953907077, 0.0, 0.5, -0.8, 0.0005510700055499564
'2016-08-23', 27.299999, 27.5, 27.030001, 27.299999, 12000.0, 27.096875, 1.2199990000000014, 0.4299980000000012, 0.7337506610865459, -1.0, 0.8, -1.0, 0.00016280423876775875
'2016-08-22', 26.08, 27.389999, 26.08, 27.209999, 5700.0, 27.007545, -0.9699990000000014, -1.2800010000000022, 0.7031123229379252, 1.0, 1.0, -0.8, 0.004831288343558289
'2016-08-19', 27.049999, 27.370001, 26.83, 27.18, 18700.0, 26.977769, 0.34999799999999937, -0.21000100000000188, 0.7184472785423737, 0.0, 0.8, -0.5, 0.0009746295100686432
'2016-08-18', 26.700001, 27.33, 26.700001, 26.93, 8300.0, 26.729629, -0.16999999999999815, -1.129998999999998, 0.7001034934608038, 0.0, 0.5, -0.1, 0.0019974999251872673
'2016-08-17', 26.870001, 27.5, 26.200001, 27.110001, 12700.0, 26.90829, -0.490000000000002, 0.630001, 0.6964410771761024, 0.0, 0.1, 0.0, 0.0013455068062993127
'2016-08-16', 27.360001, 27.360001, 26.700001, 26.940001, 7200.0, 26.739555, 0.1000009999999989, 1.260000999999999, 0.675065251759953, 0.0, 0.0, 0.0, -5.221647678824647e-05
'2016-08-15', 27.26, 27.58, 25.49, 27.299999, 14800.0, 27.096875, -0.5699999999999967, 1.1600000000000001, 0.6142859771948023, 0.0, 0.0, 0.0, 0.00019564685742234846
'2016-08-12', 27.83, 27.83, 26.75, 27.049999, 10400.0, 26.848735, 1.5899999999999999, 2.219998999999998, 0.5441353252437972, 0.0, 0.0, 0.0, -0.0011004311893639922
'2016-08-11', 26.24, 26.68, 25.98, 26.68, 12300.0, 26.481489, 0.13999999999999702, 0.5599999999999987, 0.37060079684566993, 0.0, 0.0, 0.0, 0.0024659253945480664
'2016-08-10', 26.1, 26.389999, 26.040001, 26.07, 9300.0, 25.876027, 0.0, 0.370000000000001, 0.3501081924212127, 0.0, 0.0, 0.0, 0.0026394210302256244
'2016-08-09', 26.1, 26.76, 25.76, 26.17, 16300.0, 25.975284, 0.48999900000000096, 0.6400010000000016, 0.4438088339218988, 0.0, 0.0, 0.0, 0.00250050413389796
'2016-08-08', 25.610001, 26.16, 25.4, 26.1, 18400.0, 25.905805, -0.06999899999999926, 0.1000009999999989, 0.4597009157175564, 0.0, 0.0, 0.0, 0.0033775847958772034
'2016-08-05', 25.68, 25.68, 25.32, 25.530001, 23700.0, 25.340046, -0.05000000000000071, -0.21999999999999886, 0.47931439044672475, 0.0, 0.0, 0.0, 0.003078178311823172
'2016-08-04', 25.73, 25.73, 25.200001, 25.370001, 5000.0, 25.181237, 0.2700010000000006, 0.11999899999999997, 0.4964229168767559, 0.0, 0.0, -0.1, 0.0028442214606225476
'2016-08-03', 25.459999, 25.459999, 24.860001, 25.26, 4400.0, 25.072055, -0.05000100000000174, -0.44000099999999875, 0.4910036337277, 0.0, 0.0, -0.5, 0.003210493995425667
'2016-08-02', 25.51, 25.75, 25.389999, 25.41, 8100.0, 25.220938, -0.389999999999997, 0.08000000000000185, 0.5415994732686844, 0.0, 0.0, -0.8, 0.0029890239121912947
'2016-08-01', 25.9, 25.9, 25.67, 25.790001, 6000.0, 25.598112, 0.2899989999999981, 0.29999999999999716, 0.5662361448100799, -1.0, 0.0, -1.0, 0.0
'2016-07-29', 25.610001, 25.85, 25.610001, 25.85, 5700.0, 25.657665, -0.2899989999999981, 0.490000000000002, 0.5822776597127343, 0.0, 0.0, -0.8, 0.011323662189626549
'2016-07-28', 25.9, 25.9, 25.700001, 25.9, 5300.0, 25.707292, 0.46999999999999886, 0.8500009999999989, 0.6240853809113024, 0.0, 0.0, -0.5, 0.0
'2016-07-27', 25.43, 25.98, 25.24, 25.959999, 8900.0, 25.766845, -0.1700000000000017, -0.03999900000000167, 0.6255742132903755, 0.0, 0.1, -0.1, 0.006160702582251919
'2016-07-26', 25.6, 25.6, 25.370001, 25.57, 16300.0, 25.379747, 0.47999900000000295, 0.2900010000000002, 0.6379083635867085, 0.0, 0.5, 0.0, 0.0029296874999999722
'2016-07-25', 25.120001, 25.6, 25.120001, 25.59, 12400.0, 25.399599, 0.07000199999999879, -0.5199980000000011, 0.6397172607232086, 0.0, 0.8, 0.0, 0.006210182873798454
'2016-07-22', 25.049999, 25.51, 25.01, 25.51, 9700.0, 25.320194, -0.4200000000000017, -0.8200019999999988, 0.6563264111370569, 1.0, 1.0, 0.0, 0.005655362833880079
'2016-07-21', 25.469999, 25.469999, 24.879999, 25.1, 5000.0, 24.913245, 0.16000000000000014, -0.21000099999999833, 0.6717572129542407, 0.0, 0.8, -0.1, 0.0024118067019050092
'2016-07-20', 25.309999, 25.59, 25.129999, 25.59, 7900.0, 25.399599, -0.3299999999999983, -0.3999999999999986, 0.6881040538242618, 0.0, 0.5, -0.5, 0.002913873090235984
'2016-07-19', 25.639999, 25.639999, 25.200001, 25.299999, 4900.0, 25.111756, -0.23000199999999893, 0.619999, 0.7018961559791093, 0.0, 0.1, -0.8, 0.0011267161125864279
'2016-07-18', 25.870001, 26.0, 25.629999, 25.950001, 8800.0, 25.756921, 0.19000099999999875, 0.5600019999999972, 0.6903416544809969, -1.0, 0.1, -1.0, 0.0
'2016-07-15', 25.68, 25.68, 25.26, 25.5, 8800.0, 25.310269, -0.02999900000000011, 0.5799999999999983, 0.6477328340710691, 0.0, 0.5, -0.8, 0.007398792834890917
'2016-07-14', 25.709999, 25.709999, 25.34, 25.48, 8900.0, 25.290417, 0.6899990000000003, 0.6099989999999984, 0.6119145747936501, 0.0, 0.8, -0.5, 0.003111668732464724
'2016-07-13', 25.02, 26.0, 24.76, 25.530001, 12300.0, 25.340046, -0.28999900000000167, 0.0, 0.566417660565438, 1.0, 1.0, -0.1, 0.01132428723687715
'2016-07-12', 25.309999, 25.309999, 25.02, 25.030001, 13400.0, 24.843766, 0.20999899999999982, 0.1499990000000011, 0.5541102755874264, 0.0, 0.8, 0.0, 0.005531430483264709
'2016-07-11', 25.1, 25.1, 24.75, 25.08, 10400.0, 24.893393, 0.0, 0.06999900000000281, 0.5348542219462847, 0.0, 0.5, 0.0, 0.006135466135458144
'2016-07-08', 25.1, 25.1, 24.75, 25.09, 15200.0, 24.903319, 0.08000000000000185, 0.0, 0.5654714216773167, 0.0, 0.1, 0.0, 0.005112888446215119
'2016-07-07', 25.02, 25.02, 24.700001, 24.98, 2600.0, 24.794137, -0.14000000000000057, 0.2200009999999999, 0.5530623183093979, 0.0, 0.0, -0.1, 0.004853265958661636
'2016-07-06', 25.16, 25.16, 24.950001, 25.049999, 5100.0, 24.863616, 0.12999900000000153, 0.11000100000000046, 0.5433236531861497, 0.0, 0.0, -0.5, 0.0035274294515103255
'2016-07-05', 25.030001, 25.1, 24.469999, 25.059999, 16300.0, 24.873542, -0.06999900000000281, 1.2800009999999986, 0.5238937051650586, 0.0, 0.0, -0.8, 0.0037288585539142936
'2016-07-01', 25.1, 25.1, 24.950001, 25.09, 7300.0, 24.903319, 0.30000100000000174, 0.7800000000000011, 0.5499599927271287, -1.0, 0.1, -1.0, 0.0
'2016-06-30', 24.799999, 25.110001, 24.799999, 25.110001, 13700.0, 24.923171, -0.25, 0.3299999999999983, 0.6165257295526467, 0.0, 0.5, -0.8, 0.012096815003903902
'2016-06-29', 25.049999, 25.1, 24.700001, 25.1, 13200.0, 24.913245, 1.2999989999999997, 0.6399989999999995, 0.6821322831471498, 0.0, 0.8, -0.5, 0.0009980239919371201
'2016-06-28', 23.75, 25.1, 23.75, 24.959999, 30600.0, 24.774286, -0.5700000000000003, -1.1200009999999985, 0.6994518240898526, 1.0, 1.0, -0.1, 0.01894736842105265
'2016-06-27', 24.32, 24.469999, 23.65, 23.74, 23200.0, 23.563364, -0.1499990000000011, 0.44000099999999875, 0.744118844152345, 0.0, 0.8, -0.1, 0.008018092105263169
'2016-06-24', 24.469999, 25.540001, 24.26, 24.290001, 617400.0, 24.109272, 0.059999000000001246, 0.33999999999999986, 0.7640870591325083, 0.0, 0.5, -0.5, 0.005149170623178202
