Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 19.08, 19.08, 18.77, 18.9, 37100.0, 18.732468, 0.25, 0.45000099999999676, 0.20817431120311175, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 18.83, 18.969999, 18.65, 18.93, 78900.0, 18.762203, -0.040001000000000175, 0.25, 0.2157109506837565, 0.0, 0.0, -0.8, 0.013276686139139671
'2016-09-20', 18.870001, 18.870001, 18.6, 18.709999, 22600.0, 18.544152, -0.09999800000000292, 0.2800009999999986, 0.21830177629551917, 0.0, 0.0, -0.5, 0.005564361125365066
'2016-09-19', 18.969999, 19.040001, 18.639999, 18.709999, 50400.0, 18.544152, 0.33999999999999986, 0.26000000000000156, 0.21811850173792124, 0.0, 0.0, -0.1, 0.0019328941451182452
'2016-09-16', 18.629999, 18.93, 18.49, 18.9, 70500.0, 18.732468, 0.049999000000003235, 0.08999800000000135, 0.21856630237465452, 0.0, 0.0, 0.0, 0.00603866108634784
'2016-09-15', 18.58, 18.731001, 18.450001, 18.59, 27000.0, 18.425216, -0.010000000000001563, -0.6000000000000014, 0.20636021801247625, 0.0, 0.1, 0.0, 0.005382131324004306
'2016-09-14', 18.59, 18.648001, 18.389999, 18.530001, 23600.0, 18.365749, -0.11999899999999997, -0.619999, 0.19366171215803665, 0.0, 0.5, 0.0, 0.004393042854581302
'2016-09-13', 18.709999, 18.780001, 18.4, 18.540001, 44400.0, 18.37566, 0.16999799999999965, -0.6100010000000005, 0.17389038066930432, 0.0, 0.8, 0.0, 0.002825082230858778
'2016-09-12', 18.540001, 18.83, 18.4, 18.77, 41900.0, 18.603621, -0.6399989999999995, -0.6899990000000003, 0.1612450081927913, 1.0, 1.0, -0.1, 0.0036407697604762678
'2016-09-09', 19.18, 19.219999, 18.6, 18.66, 116700.0, 18.494596, -0.02999900000000011, 0.040001000000000175, 0.12757744889710462, 0.0, 0.8, -0.5, -0.0005793071486502226
'2016-09-08', 19.209999, 19.280001, 19.049999, 19.209999, 89800.0, 19.03972, -0.11000100000000046, 0.16000000000000014, 0.12680696353304982, 0.0, 0.5, -0.8, -0.0006767256989446045
'2016-09-07', 19.32, 19.32, 19.15, 19.299999, 84800.0, 18.963402, 0.08999999999999986, 0.3000000000000007, 0.1254255573833207, -1.0, 0.1, -1.0, 0.0
'2016-09-06', 19.23, 19.309999, 19.222, 19.309999, 36800.0, 18.973228, 0.09000100000000089, 0.18000100000000074, 0.12627311053789983, 0.0, 0.0, -0.8, 0.004680187207488292
'2016-09-02', 19.139999, 19.219999, 19.120001, 19.219999, 36000.0, 18.884798, 0.08999999999999986, 0.1499990000000011, 0.16758435342127473, 0.0, 0.0, -0.5, 0.00470222072634384
'2016-09-01', 19.049999, 19.110001, 18.91, 19.09, 34300.0, 18.757066, 0.02999900000000011, 0.11999899999999997, 0.19195620305001596, 0.0, 0.0, -0.1, 0.004724427194633109
'2016-08-31', 19.02, 19.030001, 18.83, 18.99, 34000.0, 18.658809, -0.02999900000000011, 0.050000999999998186, 0.21758369363034397, 0.0, 0.1, 0.0, 0.003943217665615151
'2016-08-30', 19.049999, 19.08, 18.950001, 19.030001, 42600.0, 18.698113, 0.059999000000001246, -0.1000009999999989, 0.2618615948263001, 0.0, 0.5, 0.0, 0.0028346563167798654
'2016-08-29', 18.99, 19.09, 18.98, 19.059999, 28900.0, 18.727588, 0.05999999999999872, -0.08999999999999986, 0.3021443663778332, 0.0, 0.8, 0.0, 0.0028962611901000687
'2016-08-26', 18.93, 19.16, 18.76, 18.860001, 51500.0, 18.531077, -0.03999900000000167, -0.03999900000000167, 0.3394866921307259, 1.0, 1.0, 0.0, 0.002943174100067924
'2016-08-25', 18.969999, 19.0, 18.886, 18.98, 23500.0, 18.648983, -0.1800009999999972, -0.040001000000000175, 0.36682495007909294, 0.0, 0.8, 0.0, 0.0023062797736573344
'2016-08-24', 19.15, 19.17, 18.98, 18.98, 26400.0, 18.648983, 0.07000000000000028, 0.129999999999999, 0.38786316516191943, 0.0, 0.5, 0.0, 0.0009863649550333723
'2016-08-23', 19.08, 19.23, 19.040001, 19.049999, 27300.0, 18.717762, 0.1100009999999969, 0.04999899999999968, 0.39984726445159335, 0.0, 0.1, 0.0, 0.0012578616352201363
'2016-08-22', 18.969999, 18.99, 18.879999, 18.99, 28200.0, 18.658809, -0.040001000000000175, -0.0799999999999983, 0.41289491210840834, 0.0, 0.0, 0.0, 0.0016772943808416978
