Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 28.91, 28.92, 28.91, 28.92, 300.0, 28.92, 0.41000000000000014, 1.2999989999999997, 0.45530534845720705, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 28.5, 28.52, 28.49, 28.49, 500.0, 28.49, 0.6299990000000015, 0.7099989999999998, 0.44279504453766794, 0.0, 0.1, -0.8, 0.014385964912280707
'2016-09-20', 27.870001, 27.870001, 27.870001, 27.870001, 300.0, 27.870001, 0.25, 0.0, 0.44630422299941913, 0.0, 0.5, -0.5, 0.018658036646643856
'2016-09-19', 27.620001, 27.620001, 27.620001, 27.620001, 0.0, 27.620001, 0.00999999999999801, -0.08000000000000185, 0.45711198331405833, 0.0, 0.8, -0.1, 0.01556841604265935
'2016-09-16', 27.610001, 27.620001, 27.610001, 27.620001, 1200.0, 27.620001, -0.17999999999999972, -0.5999979999999994, 0.47682911693391644, 1.0, 1.0, 0.0, 0.011771087947443389
'2016-09-15', 27.790001, 27.790001, 27.790001, 27.790001, 0.0, 27.595001, -0.0799999999999983, -2.0099979999999995, 0.5154630117136207, 0.0, 0.8, 0.0, 0.008060445913621954
'2016-09-14', 27.870001, 27.870001, 27.790001, 27.790001, 300.0, 27.595001, 0.16999999999999815, -1.0599990000000012, 0.5510679728192035, 0.0, 0.5, -0.1, 0.006219345548881285
'2016-09-13', 27.700001, 27.76, 27.700001, 27.76, 600.0, 27.565211, -0.5099979999999995, -0.9499989999999983, 0.5694773231270541, 0.0, 0.1, -0.5, 0.0062403246844648114
'2016-09-12', 28.209999, 28.43, 28.15, 28.34, 2300.0, 28.141141, -1.5899999999999999, -0.44000099999999875, 0.5834151329316876, 0.0, 0.0, -0.8, 0.003101741513709378
'2016-09-09', 29.799999, 29.799999, 28.139999, 28.15, 4500.0, 27.952474, 0.869999, 1.629998999999998, 0.6132627429851731, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 28.93, 28.93, 28.93, 28.93, 500.0, 28.727001, 0.28000000000000114, 0.8099990000000012, 0.5377753405365683, 0.0, 0.0, -0.8, 0.030072554441755963
'2016-09-07', 28.65, 28.65, 28.65, 28.65, 0.0, 28.448966, 0.0, 0.44000099999999875, 0.5261517368806792, 0.0, 0.0, -0.5, 0.02006979057591625
'2016-09-06', 28.65, 28.65, 28.65, 28.65, 300.0, 28.448966, 0.4799999999999969, 0.7999999999999972, 0.5334439314495324, 0.0, 0.0, -0.1, 0.013379860383944168
'2016-09-02', 28.17, 28.17, 28.17, 28.17, 0.0, 27.972334, 0.049999000000003235, 0.3200000000000003, 0.5375062637364229, 0.0, 0.1, 0.0, 0.014465734824281132
'2016-09-01', 28.120001, 28.17, 28.120001, 28.17, 400.0, 27.972334, -0.08999800000000135, 0.2200009999999999, 0.5612906985989514, 0.0, 0.5, 0.0, 0.011948776246487342
'2016-08-31', 28.209999, 28.209999, 27.889999, 27.889999, 1200.0, 27.694298, 0.3599989999999984, 0.20999899999999982, 0.5808423307388533, 0.0, 0.8, 0.0, 0.009393832307473671
'2016-08-30', 27.85, 27.85, 27.85, 27.85, 0.0, 27.65458, 0.0, -0.25, 0.5915571964459764, 1.0, 1.0, 0.0, 0.010002559630674522
'2016-08-29', 27.85, 27.85, 27.85, 27.85, 0.0, 27.65458, -0.04999999999999716, -0.26000099999999904, 0.6064545714417354, 0.0, 0.8, 0.0, 0.008752239676840207
'2016-08-26', 27.9, 27.9, 27.85, 27.85, 300.0, 27.65458, -0.10000000000000142, -0.13000100000000003, 0.6181926524603089, 0.0, 0.5, 0.0, 0.007566702508960578
'2016-08-25', 28.0, 28.040001, 28.0, 28.01, 2100.0, 27.813457, -0.10000000000000142, -0.1700000000000017, 0.6255095236865533, 0.0, 0.1, 0.0, 0.006428567857142856
'2016-08-24', 28.1, 28.1, 28.1, 28.1, 0.0, 27.902826, -0.010000999999999038, -0.13999999999999702, 0.6350038589912103, 0.0, 0.0, 0.0, 0.0054998350048527924
