Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-05', 25.84, 25.860001, 25.83, 25.83, 4400.0, 25.83, 0.10000000000000142, 0.10999999999999943, 0.08810911152523067, -1.0, 0.5, -1.0, 0.0
'2016-10-04', 25.74, 25.98, 25.74, 25.860001, 15000.0, 25.860001, 0.1100009999999969, 0.00999999999999801, 0.08820427049619274, 0.0, 0.8, -0.8, 0.0038850038850039405
'2016-10-03', 25.629999, 25.76, 25.629999, 25.73, 14800.0, 25.73, -0.060001999999997224, -0.2200009999999999, 0.0911658675186727, 1.0, 1.0, -0.5, 0.004096781275722998
'2016-09-30', 25.690001, 25.700001, 25.57, 25.690001, 10200.0, 25.690001, -0.03999900000000167, -0.18999800000000278, 0.08437010134164814, 0.0, 0.8, -0.1, 0.001946269549256422
'2016-09-29', 25.73, 25.92, 25.549999, 25.66, 32400.0, 25.66, 0.0, -0.23999900000000096, 0.08057840185068181, 0.0, 0.5, 0.0, 0.0010687912942090889
'2016-09-28', 25.73, 25.879999, 25.73, 25.85, 6300.0, 25.85, -0.120000000000001, -0.1499990000000011, 0.07881334207663604, 0.0, 0.1, 0.0, 0.0008550330353672711
'2016-09-27', 25.85, 25.98, 25.82, 25.98, 7100.0, 25.549999, -0.02999900000000011, -0.04999999999999716, 0.07840414246680803, 0.0, 0.0, 0.0, -6.447453255964902e-05
'2016-09-26', 25.879999, 25.879999, 25.82, 25.860001, 5600.0, 25.431987, -0.08999999999999986, 0.059999000000001246, 0.07852805868243654, 0.0, 0.0, 0.0, -0.00022079378199137858
'2016-09-23', 25.969999, 25.98, 25.85, 25.85, 8900.0, 25.422152, 0.08999999999999986, 0.11999899999999997, 0.07827935147341768, 0.0, 0.0, 0.0, -0.0006257171977557716
'2016-09-22', 25.879999, 25.98, 25.76, 25.940001, 15800.0, 25.510662, -0.02000099999999705, 0.07000000000000028, 0.0743684278918067, 0.0, 0.0, -0.1, -0.00017172849710440558
'2016-09-21', 25.9, 25.9, 25.780001, 25.879999, 11300.0, 25.451654, 0.0799999999999983, 0.07000000000000028, 0.07464059172973853, 0.0, 0.0, -0.5, -0.00023166023166022672
'2016-09-20', 25.82, 25.9, 25.719999, 25.879999, 30900.0, 25.451654, -0.030000000000001137, 0.21999999999999886, 0.07381658200052316, 0.0, 0.0, -0.8, 7.041757622702477e-05
'2016-09-19', 25.85, 25.93, 25.82, 25.83, 25900.0, 25.402483, 0.040001000000000175, 0.030000000000001137, 0.07381658200052316, -1.0, 0.1, -1.0, 0.0
'2016-09-16', 25.809999, 25.93, 25.809999, 25.93, 10500.0, 25.500828, -0.02000099999999705, -0.02000099999999705, 0.07366288889571314, 0.0, 0.5, -0.8, 0.0015498257090207626
