Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-26', 26.59, 26.610001, 26.25, 26.33, 13300.0, 26.33, 0.030000999999998612, 0.26000000000000156, 0.6266202187400108, -1.0, 0.0, -1.0, 0.0
'2016-09-23', 26.559999, 26.629999, 26.386999, 26.59, 7800.0, 26.59, -0.02000099999999705, 0.2199990000000014, 0.6207883893892071, 0.0, 0.0, -0.8, 0.001129555765419969
'2016-09-22', 26.58, 26.629999, 26.34, 26.459999, 14600.0, 26.459999, 0.5499989999999997, 0.5300009999999986, 0.6143039066567371, 0.0, 0.0, -0.5, 0.00018811136192628978
'2016-09-21', 26.030001, 26.51, 26.030001, 26.382999, 30100.0, 26.382999, -0.2999989999999997, -0.1700000000000017, 0.6073654801960505, 0.0, 0.0, -0.1, 0.007171199622056632
'2016-09-20', 26.33, 26.344999, 26.02, 26.15, 46100.0, 26.15, -0.010000000000001563, 0.5, 0.575144901742532, 0.0, 0.0, 0.0, 0.002468666919863289
'2016-09-19', 26.34, 26.469999, 26.212999, 26.469999, 11400.0, 26.469999, 0.2900010000000002, 0.10000000000000142, 0.5543713978917263, 0.0, 0.1, 0.0, 0.001898253606681853
'2016-09-16', 26.049999, 26.347, 26.040001, 26.32, 9300.0, 26.32, -0.15000200000000063, -0.5600020000000008, 0.5418347413499609, 0.0, 0.5, 0.0, 0.003454900964359603
'2016-09-15', 26.200001, 26.280001, 25.879999, 25.969999, 51600.0, 25.969999, 0.370001000000002, -0.8399999999999999, 0.5210014858587856, 0.0, 0.8, 0.0, 0.0021264939210171325
'2016-09-14', 25.83, 26.15, 25.83, 25.91, 27600.0, 25.91, -0.41000000000000014, -1.5499990000000032, 0.48956254368380436, 1.0, 1.0, 0.0, 0.0036778939217963686
'2016-09-13', 26.24, 26.5, 25.16, 25.709999, 25800.0, 25.709999, -0.370001000000002, -1.25, 0.3996380357278656, 0.0, 0.8, 0.0, 0.0014820460704607107
