Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-16', 5.79, 5.79, 5.74, 5.78, 142800.0, 5.732173, 0.08999999999999986, 0.1200000000000001, 0.06565566743752337, -1.0, 0.0, -1.0, 0.0
'2016-09-15', 5.7, 5.78, 5.7, 5.78, 88600.0, 5.732173, -0.009999999999999787, -0.1899999999999995, 0.06665333199973325, 0.0, 0.1, -0.8, 0.015789473684210503
'2016-09-14', 5.71, 5.73, 5.67, 5.71, 78600.0, 5.662752, 0.009999999999999787, -0.23000000000000043, 0.07169069364677366, 0.0, 0.5, -0.5, 0.007005253940455348
'2016-09-13', 5.7, 5.73, 5.65, 5.69, 114000.0, 5.642917, 0.03000000000000025, -0.20999999999999996, 0.07169069364677366, 0.0, 0.8, -0.1, 0.005263157894736833
'2016-09-12', 5.67, 5.77, 5.63, 5.75, 140000.0, 5.65581, -0.21999999999999975, -0.23000000000000043, 0.07015934245225887, 1.0, 1.0, 0.0, 0.005291005291005296
'2016-09-09', 5.89, 5.89, 5.69, 5.75, 110800.0, 5.65581, -0.05000000000000071, 0.040000000000000036, 0.0674858009757114, 0.0, 0.8, 0.0, -0.003395585738539886
'2016-09-08', 5.94, 5.94, 5.86, 5.9, 132300.0, 5.803353, 0.03000000000000025, 0.09000000000000075, 0.0662285604722179, 0.0, 0.5, 0.0, -0.004208754208754219
'2016-09-07', 5.91, 5.96, 5.87, 5.93, 145400.0, 5.832861, 0.009999999999999787, 0.0600000000000005, 0.06123633634443594, 0.0, 0.1, 0.0, -0.0029006526468455425
'2016-09-06', 5.9, 5.93, 5.88, 5.93, 91400.0, 5.832861, 0.05000000000000071, 0.040000000000000036, 0.05711586664161037, 0.0, 0.0, 0.0, -0.002330508474576278
'2016-09-02', 5.85, 5.89, 5.85, 5.88, 116800.0, 5.78368, 0.0, 0.02999999999999936, 0.0520725988938093, 0.0, 0.0, -0.1, -0.0011396011396011322
'2016-09-01', 5.85, 6.0, 5.84, 5.84, 186100.0, 5.744336, 0.0, 0.040000000000000036, 0.05004997502496877, 0.0, 0.0, -0.5, -0.001025641025641019
'2016-08-31', 5.85, 5.88, 5.83, 5.88, 311800.0, 5.78368, -0.010000000000000675, 0.0699999999999994, 0.04922623510103347, 0.0, 0.0, -0.8, -0.0009324009324009264
'2016-08-30', 5.86, 5.86, 5.82, 5.84, 205400.0, 5.744336, 0.040000000000000036, 0.0600000000000005, 0.04881825705842255, -1.0, 0.0, -1.0, 0.0
'2016-08-29', 5.82, 5.86, 5.81, 5.83, 94900.0, 5.734499, 0.010000000000000675, 0.010000000000000675, 0.04689941956523081, 0.0, 0.0, -0.8, 0.006872852233676982
'2016-08-26', 5.81, 5.87, 5.8, 5.8, 136000.0, 5.704991, 0.02999999999999936, 0.02999999999999936, 0.04869861964733247, 0.0, 0.0, -0.5, 0.004302925989673039
