Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 7.56, 7.56, 7.25, 7.45, 16900.0, 7.45, 0.27999999999999936, 0.40999999999999925, 0.22830308558775306, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 7.28, 7.67, 7.212, 7.49, 34400.0, 7.49, 0.14000000000000057, 0.16999999999999993, 0.21862974535857554, 0.0, 0.0, -0.8, 0.03846153846153837
'2016-09-16', 7.14, 7.31, 6.99, 7.28, 106400.0, 7.28, 0.21999999999999975, 0.33000000000000007, 0.22004592702433737, 0.0, 0.0, -0.5, 0.02941176470588235
'2016-09-15', 6.92, 7.19, 6.91, 7.09, 14700.0, 7.09, -0.23000000000000043, -0.16000000000000014, 0.22051170036984433, 0.0, 0.1, -0.1, 0.030828516377649315
'2016-09-14', 7.15, 7.17, 6.94, 7.04, 14500.0, 7.04, 0.040000000000000036, 0.09000000000000075, 0.21606066277784122, 0.0, 0.5, 0.0, 0.014335664335664309
'2016-09-13', 7.11, 7.32, 7.02, 7.11, 24700.0, 7.11, 0.3000000000000007, -0.1299999999999999, 0.21936612976685557, 0.0, 0.8, 0.0, 0.012658227848101245
'2016-09-12', 6.81, 7.26, 6.81, 7.24, 23600.0, 7.24, -0.27000000000000046, -0.3600000000000003, 0.2215970040912608, 1.0, 1.0, 0.0, 0.018355359765051395
'2016-09-09', 7.08, 7.12, 6.76, 6.78, 31800.0, 6.78, 0.020000000000000462, -0.4500000000000002, 0.22328494251864714, 0.0, 0.8, 0.0, 0.009685230024213065
'2016-09-08', 7.06, 7.27, 6.97, 7.07, 69500.0, 7.07, -0.1800000000000006, -0.2400000000000002, 0.22592011616695157, 0.0, 0.5, 0.0, 0.008852691218130312
'2016-09-07', 7.24, 7.24, 7.03, 7.16, 34900.0, 7.16, 0.07000000000000028, -0.33999999999999986, 0.23849563005546986, 0.0, 0.1, 0.0, 0.004910988336402692
'2016-09-06', 7.17, 7.29, 7.0, 7.1, 47800.0, 7.1, -0.3600000000000003, -0.476, 0.24765636811248493, 0.0, 0.0, 0.0, 0.00543933054393305
'2016-09-02', 7.53, 7.53, 7.0, 7.17, 40200.0, 7.17, 0.23000000000000043, 0.3100000000000005, 0.24942580504475118, 0.0, 0.0, -0.1, 0.0003621876131836214
'2016-09-01', 7.3, 7.46, 7.3, 7.46, 142900.0, 7.46, -0.28000000000000025, -0.20000000000000018, 0.24681902726941904, 0.0, 0.0, -0.5, 0.0029680365296803632
'2016-08-31', 7.58, 7.58, 7.05, 7.24, 61800.0, 7.24, -0.06599999999999984, 0.03000000000000025, 0.2508798495074661, 0.0, 0.0, -0.8, -0.00020296326364928414
'2016-08-30', 7.646, 7.646, 7.26, 7.35, 40300.0, 7.35, 0.42600000000000016, 0.266, 0.24633840545071323, -1.0, 0.0, -1.0, 0.0
'2016-08-29', 7.22, 7.67, 7.21, 7.54, 17600.0, 7.54, -0.28000000000000025, 0.17999999999999972, 0.2246065720815449, 0.0, 0.0, -0.8, 0.059002770083102514
'2016-08-26', 7.5, 7.5, 7.2, 7.23, 9200.0, 7.23, -0.04999999999999982, 0.4800000000000004, 0.22191934470783647, 0.0, 0.0, -0.5, 0.009733333333333326
'2016-08-25', 7.55, 7.692, 7.27, 7.34, 14800.0, 7.34, 0.16999999999999993, 0.4900000000000002, 0.20345727370193042, 0.0, 0.0, -0.1, 0.004238410596026494
'2016-08-24', 7.38, 8.15, 7.38, 7.56, 63000.0, 7.56, 0.33999999999999986, 0.6699999999999999, 0.1819079620760638, 0.0, 0.0, 0.0, 0.009010840108401084
'2016-08-23', 7.04, 7.47, 7.04, 7.33, 16800.0, 7.33, 0.020000000000000462, -0.009999999999999787, 0.17509995875372317, 0.0, 0.1, 0.0, 0.017215909090909087
'2016-08-22', 7.02, 7.19, 7.01, 7.04, 4800.0, 7.04, -0.040000000000000036, -0.0600000000000005, 0.20537038626724047, 0.0, 0.5, 0.0, 0.014862298195631538
'2016-08-19', 7.06, 7.11, 6.97, 7.0, 17800.0, 7.0, 0.34999999999999964, 0.019999999999999574, 0.22272433384991613, 0.0, 0.8, 0.0, 0.011857547551598551
'2016-08-18', 6.71, 7.189, 6.71, 7.07, 24900.0, 7.07, -0.33999999999999986, -0.54, 0.22767544150976554, 1.0, 1.0, 0.0, 0.01743666169895678
'2016-08-17', 7.05, 7.08, 6.89, 6.96, 47300.0, 6.96, -0.03000000000000025, 0.01499999999999968, 0.22268746409860316, 0.0, 0.8, 0.0, 0.009393223010244289
'2016-08-16', 7.08, 7.12, 6.83, 7.05, 19100.0, 7.05, 0.040000000000000036, 0.03000000000000025, 0.23036472530894714, 0.0, 0.5, 0.0, 0.007994350282485874
'2016-08-15', 7.04, 7.08, 6.8, 6.99, 62000.0, 6.99, -0.20999999999999996, -0.05799999999999983, 0.25490533319036085, 0.0, 0.1, 0.0, 0.007825413223140494
'2016-08-12', 7.25, 7.365, 6.89, 6.93, 42200.0, 6.93, 0.21499999999999986, 0.1900000000000004, 0.2736677953691706, 0.0, 0.0, 0.0, 0.004551724137931034
'2016-08-11', 7.035, 7.23, 6.92, 7.19, 203500.0, 7.19, -0.01499999999999968, 0.04499999999999993, 0.2886080309962901, 0.0, 0.0, 0.0, 0.006680881307746977
'2016-08-10', 7.05, 7.15, 6.76, 6.99, 163900.0, 6.99, -0.04800000000000004, -0.03000000000000025, 0.29471278108241816, 0.0, 0.0, 0.0, 0.006038500506585613
