Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 1.67, 1.69, 1.63, 1.64, 340300.0, 1.64, 0.05999999999999983, 0.18999999999999995, 0.07944320123347384, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 1.61, 1.7, 1.61, 1.67, 632200.0, 1.67, -0.010000000000000009, 0.1200000000000001, 0.08791978667449603, 0.0, 0.1, -0.8, 0.037267080745341505
'2016-09-16', 1.62, 1.63, 1.53, 1.61, 747200.0, 1.61, 0.13000000000000012, 0.13000000000000012, 0.09361920505727206, 0.0, 0.5, -0.5, 0.015432098765432042
'2016-09-15', 1.49, 1.53, 1.49, 1.52, 197800.0, 1.52, 0.010000000000000009, -0.020000000000000018, 0.1646815108019112, 0.0, 0.8, -0.1, 0.04026845637583892
'2016-09-14', 1.48, 1.53, 1.48, 1.49, 82700.0, 1.49, -0.010000000000000009, -0.07000000000000006, 0.18147420998282066, 1.0, 1.0, 0.0, 0.032094594594594586
'2016-09-13', 1.49, 1.55, 1.46, 1.49, 157100.0, 1.49, 0.0, -0.010000000000000009, 0.19534470956633443, 0.0, 0.8, 0.0, 0.024161073825503348
'2016-09-12', 1.49, 1.54, 1.49, 1.51, 80000.0, 1.51, -0.020000000000000018, -0.030000000000000027, 0.20541151109148895, 0.0, 0.5, 0.0, 0.02013422818791946
'2016-09-09', 1.51, 1.53, 1.48, 1.51, 157200.0, 1.51, -0.040000000000000036, -0.030000000000000027, 0.21017030131670733, 0.0, 0.1, 0.0, 0.015137180700094599
'2016-09-08', 1.55, 1.56, 1.5, 1.51, 136900.0, 1.51, 0.050000000000000044, 0.020000000000000018, 0.20798611064737524, 0.0, 0.0, 0.0, 0.0096774193548387
'2016-09-07', 1.5, 1.56, 1.47, 1.55, 211800.0, 1.55, -0.020000000000000018, -0.050000000000000044, 0.2068679127688326, 0.0, 0.0, 0.0, 0.012592592592592588
'2016-09-06', 1.52, 1.53, 1.45, 1.51, 235600.0, 1.51, -0.020000000000000018, -0.06000000000000005, 0.21351658795825054, 0.0, 0.0, 0.0, 0.009868421052631573
'2016-09-02', 1.54, 1.56, 1.5, 1.5, 235800.0, 1.5, 0.010000000000000009, -0.040000000000000036, 0.24168137886251992, 0.0, 0.0, 0.0, 0.007674144037780394
'2016-09-01', 1.53, 1.56, 1.53, 1.55, 119900.0, 1.55, -0.020000000000000018, -0.040000000000000036, 0.2625653357843635, 0.0, 0.0, 0.0, 0.007625272331154679
'2016-08-31', 1.55, 1.57, 1.53, 1.53, 256700.0, 1.53, -0.030000000000000027, -0.08999999999999986, 0.27969507205764876, 0.0, 0.0, 0.0, 0.005955334987593046
'2016-08-30', 1.58, 1.6, 1.54, 1.56, 218100.0, 1.56, 0.0, -0.040000000000000036, 0.29543734060240623, 0.0, 0.0, -0.1, 0.004068716094032543
'2016-08-29', 1.58, 1.59, 1.56, 1.58, 270200.0, 1.58, 0.010000000000000009, 0.010000000000000009, 0.30633242654925635, 0.0, 0.0, -0.5, 0.003797468354430373
'2016-08-26', 1.57, 1.64, 1.56, 1.58, 192000.0, 1.58, -0.06999999999999984, 0.07000000000000006, 0.3145933883602769, 0.0, 0.0, -0.8, 0.003980891719745218
'2016-08-25', 1.64, 1.64, 1.53, 1.56, 329500.0, 1.56, 0.019999999999999796, 0.04999999999999982, 0.32180118085550896, -1.0, 0.1, -1.0, 0.0
'2016-08-24', 1.62, 1.66, 1.52, 1.55, 336800.0, 1.55, 0.050000000000000044, -0.07999999999999985, 0.3277166798047091, 0.0, 0.5, -0.8, 0.012345679012345552
'2016-08-23', 1.57, 1.63, 1.53, 1.61, 341100.0, 1.61, 0.07000000000000006, -0.1299999999999999, 0.3328211064354076, 0.0, 0.8, -0.3, 0.022292993630573195
'2016-08-22', 1.5, 1.59, 1.48, 1.57, 290800.0, 1.57, -0.09000000000000008, -0.19999999999999996, 0.3350238797459071, 1.0, 1.0, -0.3, 0.03111111111111109
'2016-08-19', 1.59, 1.61, 1.45, 1.5, 1266600.0, 1.5, -0.10999999999999988, -0.04999999999999982, 0.33930255263145637, 0.0, 0.8, -0.8, 0.007861635220125758
'2016-08-18', 1.7, 1.7, 1.57, 1.59, 1023200.0, 1.59, 0.0, 0.040000000000000036, 0.34377398906193524, -1.0, 0.5, -1.0, 0.0
'2016-08-17', 1.7, 1.77, 1.64, 1.7, 655200.0, 1.7, 0.0, 0.20999999999999996, 0.34652176458821937, 0.0, 0.1, -0.8, 0.0
'2016-08-16', 1.7, 1.74, 1.68, 1.7, 296500.0, 1.7, 0.06000000000000005, -0.030000000000000027, 0.3484154608127104, 0.0, 0.1, -0.5, 0.0
'2016-08-15', 1.64, 1.77, 1.64, 1.7, 542400.0, 1.7, -0.020000000000000018, -0.1100000000000001, 0.34910504627308575, 0.0, 0.5, -0.1, 0.012195121951219523
'2016-08-12', 1.66, 1.73, 1.6, 1.65, 400700.0, 1.65, 0.16999999999999993, -0.15000000000000013, 0.352298642253037, 0.0, 0.8, 0.0, 0.006024096385542174
'2016-08-11', 1.49, 1.74, 1.48, 1.65, 1681600.0, 1.65, -0.24, -0.28, 0.3530621600920848, 1.0, 1.0, 0.0, 0.028187919463087244
'2016-08-10', 1.73, 1.75, 1.62, 1.63, 481300.0, 1.63, -0.020000000000000018, -0.6200000000000001, 0.353964216647201, 0.0, 0.8, 0.0, -0.002890173410404627
'2016-08-09', 1.75, 1.8, 1.69, 1.75, 402100.0, 1.75, -0.06000000000000005, -0.31999999999999984, 0.35191997196332386, 0.0, 0.5, -0.1, -0.004081632653061228
'2016-08-08', 1.81, 1.87, 1.72, 1.75, 343300.0, 1.75, 0.040000000000000036, -0.27, 0.3483267941969948, 0.0, 0.1, -0.5, -0.007596685082872935
'2016-08-05', 1.77, 1.87, 1.69, 1.79, 625100.0, 1.79, -0.5800000000000001, -0.29000000000000004, 0.34227409419287863, 0.0, 0.0, -0.8, -0.004394224733207788
'2016-08-04', 2.35, 2.4, 1.68, 1.76, 5837000.0, 1.76, 0.28000000000000025, 0.3500000000000001, 0.33763622765073986, -1.0, 0.0, -1.0, 0.0
'2016-08-03', 2.07, 2.09, 1.9, 2.0, 957600.0, 2.0, -0.010000000000000231, 0.45999999999999974, 0.292999810390534, 0.0, 0.0, -0.8, 0.13526570048309192
'2016-08-02', 2.08, 2.08, 1.96, 2.01, 665700.0, 2.01, 0.020000000000000018, 0.28, 0.2693127054806983, 0.0, 0.0, -0.5, 0.06490384615384616
'2016-08-01', 2.06, 2.24, 1.9, 2.08, 1672400.0, 2.08, 0.06000000000000005, 0.71, 0.24276852257975198, 0.0, 0.0, -0.1, 0.046925566343042076
'2016-07-29', 2.0, 2.12, 1.85, 2.05, 3187900.0, 2.05, 0.3899999999999999, 0.95, 0.21332187469226457, 0.0, 0.0, 0.0, 0.04375000000000001
'2016-07-28', 1.61, 2.1, 1.57, 2.07, 5712400.0, 2.07, -0.18999999999999995, 0.51, 0.18536720314014557, 0.0, 0.1, 0.0, 0.0919254658385093
'2016-07-27', 1.8, 1.87, 1.51, 1.65, 4256400.0, 1.65, 0.44999999999999996, 0.6799999999999999, 0.18894326014853124, 0.0, 0.5, 0.0, 0.05092592592592593
'2016-07-26', 1.35, 1.88, 1.3, 1.69, 16325300.0, 1.69, 0.30000000000000004, 0.22999999999999998, 0.19052558883257648, 0.0, 0.8, 0.0, 0.10582010582010581
'2016-07-25', 1.05, 1.1, 1.05, 1.06, 160800.0, 1.06, -0.050000000000000044, -0.1399999999999999, 0.19949491778544687, 1.0, 1.0, 0.0, 0.15476190476190477
'2016-07-22', 1.1, 1.11, 1.01, 1.06, 432000.0, 1.06, -0.020000000000000018, -0.1299999999999999, 0.19771500252186786, 0.0, 0.8, 0.0, 0.12626262626262627
'2016-07-21', 1.12, 1.17, 1.1, 1.1, 66300.0, 1.1, 0.0, -0.11999999999999988, 0.19848005777239516, 0.0, 0.5, 0.0, 0.10982142857142856
'2016-07-20', 1.12, 1.17, 1.1, 1.13, 152700.0, 1.13, -0.06999999999999984, -0.1399999999999999, 0.19917301245120758, 0.0, 0.1, 0.0, 0.09983766233766234
'2016-07-19', 1.19, 1.2, 1.11, 1.13, 256400.0, 1.13, -0.040000000000000036, -0.08000000000000007, 0.1972409693750261, 0.0, 0.0, 0.0, 0.0812324929971989
'2016-07-18', 1.23, 1.28, 1.17, 1.18, 449400.0, 1.18, -0.010000000000000009, -0.14000000000000012, 0.19367240381634135, 0.0, 0.0, 0.0, 0.07004377736085053
'2016-07-15', 1.24, 1.27, 1.21, 1.22, 91000.0, 1.22, -0.020000000000000018, -0.030000000000000027, 0.18925262364246248, 0.0, 0.0, 0.0, 0.06394009216589863
'2016-07-14', 1.26, 1.28, 1.19, 1.23, 114900.0, 1.23, -0.010000000000000009, 0.0, 0.18424500596277288, 0.0, 0.0, 0.0, 0.05767195767195768
'2016-07-13', 1.27, 1.33, 1.16, 1.26, 269800.0, 1.26, -0.10000000000000009, 0.0, 0.1792853095549722, 0.0, 0.0, 0.0, 0.0531496062992126
'2016-07-12', 1.37, 1.39, 1.25, 1.27, 223300.0, 1.27, 0.10000000000000009, 0.09000000000000008, 0.17492728648085623, 0.0, 0.0, 0.0, 0.0420781451266638
'2016-07-11', 1.27, 1.38, 1.26, 1.35, 265900.0, 1.35, 0.010000000000000009, -0.040000000000000036, 0.17302183548776595, 0.0, 0.0, 0.0, 0.04724409448818898
'2016-07-08', 1.26, 1.31, 1.24, 1.28, 316700.0, 1.28, -0.010000000000000009, 0.040000000000000036, 0.16692679699663426, 0.0, 0.0, -0.1, 0.04553049289891395
'2016-07-07', 1.27, 1.32, 1.25, 1.26, 175100.0, 1.26, -0.010000000000000009, -0.020000000000000018, 0.15977762324208256, 0.0, 0.1, -0.5, 0.042519685039370085
'2016-07-06', 1.28, 1.33, 1.24, 1.25, 234500.0, 1.25, -0.030000000000000027, -0.07000000000000006, 0.15193163667328216, 0.0, 0.5, -0.8, 0.03980654761904762
'2016-07-05', 1.31, 1.43, 1.22, 1.22, 319600.0, 1.22, 0.09000000000000008, -0.030000000000000027, 0.1436600926570153, -1.0, 0.8, -1.0, 0.03608605135322693
'2016-07-01', 1.22, 1.32, 1.22, 1.3, 55200.0, 1.3, -0.07000000000000006, -0.17999999999999994, 0.13672559705076767, 1.0, 1.0, -0.8, 0.04027084818246615
'2016-06-30', 1.29, 1.32, 1.21, 1.23, 228500.0, 1.23, -0.06000000000000005, -0.1399999999999999, 0.1216479437648751, 0.0, 0.8, -0.5, 0.034237726098191215
'2016-06-29', 1.35, 1.38, 1.26, 1.28, 289000.0, 1.28, 0.010000000000000009, -0.19999999999999996, 0.10987669857112056, 0.0, 0.5, -0.1, 0.02962962962962963
'2016-06-28', 1.34, 1.37, 1.31, 1.31, 186300.0, 1.31, -0.05999999999999983, -0.16999999999999993, 0.10120441360599512, 0.0, 0.1, 0.0, 0.02898966704936854
'2016-06-27', 1.4, 1.41, 1.26, 1.3, 276800.0, 1.3, -0.030000000000000027, -0.2100000000000002, 0.09002530508449029, 0.0, 0.0, 0.0, 0.025132275132275138
'2016-06-24', 1.43, 1.48, 1.37, 1.4, 2922600.0, 1.4, -0.1200000000000001, -0.21999999999999997, 0.08220637985514802, 0.0, 0.0, 0.0, 0.02297702297702298
'2016-06-23', 1.55, 1.6, 1.49, 1.49, 351400.0, 1.49, 0.040000000000000036, -0.07999999999999985, 0.0760876687337267, 0.0, 0.0, 0.0, 0.017797552836484983
'2016-06-22', 1.51, 1.56, 1.5, 1.51, 182800.0, 1.51, -0.10000000000000009, -0.11999999999999988, 0.07715496671562294, 0.0, 0.0, 0.0, 0.018543046357615896
'2016-06-21', 1.61, 1.66, 1.5, 1.52, 238300.0, 1.52, -0.039999999999999813, -0.06999999999999984, 0.07662390111591955, 0.0, 0.0, 0.0, 0.014826688038469243
'2016-06-20', 1.65, 1.68, 1.6, 1.62, 121500.0, 1.62, 0.020000000000000018, -0.17000000000000015, 0.08923128499703574, 0.0, 0.0, 0.0, 0.013257575757575761
'2016-06-17', 1.63, 1.71, 1.62, 1.63, 160200.0, 1.63, 0.0, -0.06000000000000005, 0.1030107869216725, 0.0, 0.0, 0.0, 0.013385387618516457
'2016-06-16', 1.63, 1.65, 1.62, 1.63, 132500.0, 1.63, -0.050000000000000044, -0.050000000000000044, 0.13169155882844832, 0.0, 0.0, 0.0, 0.012991699747383621
'2016-06-15', 1.68, 1.73, 1.66, 1.67, 133200.0, 1.67, -0.14000000000000012, -0.040000000000000036, 0.17016364672475331, 0.0, 0.0, 0.0, 0.011394557823129255
'2016-06-14', 1.82, 1.85, 1.62, 1.68, 280300.0, 1.68, 0.13000000000000012, 0.08000000000000007, 0.1977318610868994, 0.0, 0.0, 0.0, 0.00808913308913309
'2016-06-13', 1.69, 1.88, 1.69, 1.82, 334300.0, 1.82, 0.010000000000000009, -0.040000000000000036, 0.2164483515504077, 0.0, 0.0, -0.1, 0.01055493363185671
'2016-06-10', 1.68, 1.75, 1.66, 1.72, 129000.0, 1.72, -0.040000000000000036, 0.040000000000000036, 0.2466326553128492, 0.0, 0.0, -0.5, 0.010494987468671682
'2016-06-09', 1.72, 1.72, 1.68, 1.69, 56200.0, 1.69, -0.020000000000000018, 0.1499999999999999, 0.26859800611487955, 0.0, 0.0, -0.8, 0.009391771019677999
