Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 25.030001, 25.18, 24.57, 24.66, 567500.0, 24.66, 0.2900010000000002, 1.5, 1.3985913220095203, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 24.74, 25.17, 24.58, 24.790001, 434000.0, 24.790001, -0.08000000000000185, 1.7299999999999969, 1.5072885703585996, 0.0, 0.0, -0.8, 0.011721948261924018
'2016-09-16', 24.82, 25.09, 24.42, 24.629999, 1051000.0, 24.629999, 0.7300000000000004, 2.5, 1.5892510768703894, 0.0, 0.0, -0.5, 0.0042304794520547605
'2016-09-15', 24.09, 24.98, 23.940001, 24.9, 684700.0, 24.9, 0.5599990000000012, 1.0799999999999983, 1.6409322081739333, 0.0, 0.1, -0.1, 0.013006793967067923
'2016-09-14', 23.530001, 24.139999, 23.33, 23.969999, 466900.0, 23.969999, 0.520000999999997, -0.27999800000000263, 1.6600056669649998, 0.0, 0.5, 0.0, 0.015937100895150835
'2016-09-13', 23.01, 23.51, 22.610001, 23.35, 485000.0, 23.35, 0.6900000000000013, -1.2800009999999986, 1.682221903416333, 0.0, 0.8, 0.0, 0.017557592351151646
'2016-09-12', 22.32, 23.23, 22.299999, 23.209999, 906400.0, 23.209999, -0.6900000000000013, -1.4799989999999994, 1.661569085834332, 1.0, 1.0, -0.1, 0.02023596923536438
'2016-09-09', 23.01, 23.200001, 22.389999, 22.41, 841400.0, 22.41, -0.7999989999999997, -0.8399999999999999, 1.601137998320883, 0.0, 0.8, -0.5, 0.012541137393679746
'2016-09-08', 23.809999, 23.809999, 22.82, 23.120001, 1232200.0, 23.120001, -0.48000199999999893, 0.03999900000000167, 1.568220310373203, 0.0, 0.5, -0.8, 0.006404882671351631
'2016-09-07', 24.290001, 24.76, 23.58, 23.77, 944100.0, 23.77, 0.4900020000000005, 0.3900010000000016, 1.5410034711044343, -1.0, 0.1, -1.0, 0.0
'2016-09-06', 23.799999, 24.58, 23.57, 24.18, 481300.0, 24.18, -0.05000100000000174, -0.21000100000000188, 1.526398295028872, 0.0, 0.5, -0.8, 0.020588320192786582
'2016-09-02', 23.85, 23.969999, 23.33, 23.66, 456000.0, 23.66, 0.08000000000000185, -0.3099999999999987, 1.4952907033975047, 0.0, 0.8, -0.5, 0.009224339622641483
'2016-09-01', 23.77, 23.940001, 23.48, 23.709999, 428900.0, 23.709999, -0.129999999999999, -0.21000000000000085, 1.4818700296136047, 1.0, 1.0, -0.1, 0.007292118917402897
'2016-08-31', 23.9, 24.25, 23.549999, 23.83, 544400.0, 23.83, -0.11000000000000298, -1.0, 1.4818991042429017, 0.0, 0.8, 0.0, 0.004079508368200853
'2016-08-30', 24.01, 24.23, 23.66, 23.889999, 428400.0, 23.889999, -0.14999999999999858, -2.430000999999997, 1.4419024674136982, 0.0, 0.5, 0.0, 0.0023323698458975308
'2016-08-29', 24.16, 24.77, 23.68, 23.959999, 453300.0, 23.959999, 0.17999999999999972, -2.3500000000000014, 1.400894327436878, 0.0, 0.1, 0.0, 0.0008968060154525388
'2016-08-26', 23.98, 24.389999, 23.610001, 24.040001, 533700.0, 24.040001, -0.9199999999999982, -2.0600009999999997, 1.3628062513310766, 0.0, 0.0, -0.1, 0.0018467830334802796
'2016-08-25', 24.9, 25.299999, 23.65, 24.02, 1060200.0, 24.02, -1.5400010000000002, -0.5699990000000028, 1.3134375440551895, 0.0, 0.0, -0.5, -0.0030622439759036067
'2016-08-24', 26.440001, 26.950001, 24.549999, 24.85, 1115800.0, 24.85, -0.06999900000000281, 1.75, 1.30231242851595, 0.0, 0.0, -0.8, -0.009035131613228333
'2016-08-23', 26.51, 26.709999, 25.889999, 26.33, 539800.0, 26.33, 0.4699990000000014, 0.9699990000000014, 1.3012788069008558, -1.0, 0.0, -1.0, 0.0
'2016-08-22', 26.040001, 26.83, 25.610001, 26.370001, 818200.0, 26.370001, 0.5700019999999988, 0.8000010000000017, 1.299568471181613, 0.0, 0.0, -0.8, 0.018049116050341218
'2016-08-19', 25.469999, 25.940001, 25.190001, 25.92, 683900.0, 25.92, 0.7799980000000026, 0.739999000000001, 1.3040040595712215, 0.0, 0.0, -0.5, 0.02041619632572424
'2016-08-18', 24.690001, 25.67, 24.639999, 25.610001, 755200.0, 25.610001, -0.8500000000000014, 1.3400009999999973, 1.3029518719347333, 0.0, 0.0, -0.1, 0.024571336928391953
'2016-08-17', 25.540001, 25.719999, 24.6, 24.809999, 619200.0, 24.809999, 0.30000100000000174, 3.220001, 1.3026246679686548, 0.0, 0.0, 0.0, 0.009494899784851235
'2016-08-16', 25.24, 25.85, 24.969999, 25.68, 963400.0, 25.68, 0.509999999999998, -0.30000100000000174, 1.3473143484562087, 0.0, 0.1, 0.0, 0.010063391442155335
'2016-08-15', 24.73, 25.48, 24.469999, 25.26, 1302900.0, 25.26, 1.379999999999999, -4.759999999999998, 1.367623262419725, 0.0, 0.5, 0.0, 0.011996225906456404
'2016-08-12', 23.35, 24.530001, 23.129999, 24.440001, 963000.0, 24.440001, 1.0300000000000011, -4.350000999999999, 1.3921968895400327, 0.0, 0.8, 0.0, 0.019333129397369225
'2016-08-11', 22.32, 24.549999, 22.219999, 23.09, 2182100.0, 23.09, -3.220001, -5.1200009999999985, 1.3564321910317394, 1.0, 1.0, 0.0, 0.023465501792114703
'2016-08-10', 25.540001, 25.75, 22.01, 22.309999, 4268300.0, 22.309999, -3.9499989999999983, -1.4599989999999998, 1.208345395526222, 0.0, 0.8, 0.0, 0.004219955459933883
'2016-08-09', 29.49, 29.59, 25.1, 25.51, 2595500.0, 25.51, 1.7899989999999981, 3.09, 1.3611332122906004, 0.0, 0.5, 0.0, -0.010105120379789749
'2016-08-08', 27.700001, 27.84, 26.219999, 26.33, 1008600.0, 26.33, 0.26000000000000156, 0.7200009999999999, 1.2626502447983943, 0.0, 0.1, 0.0, -0.003905483941712095
'2016-08-05', 27.440001, 27.92, 27.280001, 27.700001, 699400.0, 27.700001, 0.44000099999999875, 0.9500010000000003, 1.2500069879273403, 0.0, 0.0, -0.1, -0.002824346957324568
'2016-08-04', 27.0, 27.9, 26.84, 27.24, 898100.0, 27.24, 0.6000000000000014, 0.3200000000000003, 1.2077915017825924, 0.0, 0.0, -0.5, -0.0013960113960113916
'2016-08-03', 26.4, 27.040001, 26.24, 27.01, 688600.0, 27.01, -0.5800000000000018, -0.3900010000000016, 1.2170800878881411, 0.0, 0.0, -0.8, 0.0002976190476190557
'2016-08-02', 26.98, 27.32, 25.91, 26.24, 650600.0, 26.24, 0.490000000000002, 1.510000999999999, 1.232427919776616, -1.0, 0.0, -1.0, 0.0
'2016-08-01', 26.49, 27.43, 26.49, 27.02, 478400.0, 27.02, -0.19000000000000128, 0.9400009999999988, 1.2245637226740722, 0.0, 0.1, -0.8, 0.018497546243865685
'2016-07-29', 26.68, 26.860001, 26.16, 26.530001, 372400.0, 26.530001, -0.11000100000000046, 0.8599999999999994, 1.2149151703356287, 0.0, 0.5, -0.5, 0.00562218890554724
'2016-07-28', 26.790001, 27.09, 26.049999, 26.59, 539000.0, 26.59, 1.3200019999999988, -0.16000000000000014, 1.208612359278416, 0.0, 0.8, -0.1, 0.002364053663155895
'2016-07-27', 25.469999, 27.0, 25.469999, 26.9, 1787700.0, 26.9, -0.0799999999999983, -2.180000999999997, 1.2017886648198104, 1.0, 1.0, 0.0, 0.014821368858318359
'2016-07-26', 25.549999, 25.85, 24.799999, 24.950001, 699400.0, 24.950001, -0.2700010000000006, -0.6500020000000006, 1.3166493567977957, 0.0, 0.8, 0.0, 0.011193746034980282
'2016-07-25', 25.82, 26.27, 25.440001, 25.709999, 355400.0, 25.709999, -1.130001, -0.19000000000000128, 1.4683942407724861, 0.0, 0.5, 0.0, 0.007487735605473793
