Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-30', 11.27, 11.3, 11.0, 11.09, 25700.0, 10.995662, 0.019999999999999574, 1.0099999999999998, 0.8049409226079197, -1.0, 0.0, -1.0, 0.0
'2016-09-29', 11.25, 11.5, 11.24, 11.28, 26400.0, 11.184045, 0.16999999999999993, 0.9299999999999997, 0.8560924794280893, 0.0, 0.0, -0.8, 0.00177777777777774
'2016-09-28', 11.08, 11.39, 11.08, 11.25, 18700.0, 11.154301, 0.16000000000000014, 0.7300000000000004, 0.8959774302712963, 0.0, 0.0, -0.5, 0.008574007220216584
'2016-09-27', 10.92, 11.18, 10.76, 11.11, 19400.0, 11.015491, 0.6600000000000001, 0.9499999999999993, 0.9619990759986322, 0.0, 0.0, -0.1, 0.010683760683760674
'2016-09-26', 10.26, 11.0, 10.26, 10.92, 27500.0, 10.827108, -0.0600000000000005, 0.7300000000000004, 1.0010053279911484, 0.0, 0.0, 0.0, 0.02461013645224171
'2016-09-23', 10.32, 10.65, 10.31, 10.34, 24600.0, 10.252042, -0.02999999999999936, 0.0600000000000005, 1.000393755811514, 0.0, 0.1, 0.0, 0.01841085271317828
'2016-09-22', 10.35, 10.48, 10.14, 10.38, 26900.0, 10.291702, 0.379999999999999, 0.049999999999998934, 0.9839464755090425, 0.0, 0.5, 0.0, 0.014814814814814815
'2016-09-21', 9.97, 10.28, 9.97, 10.27, 11900.0, 10.182638, 0.4400000000000013, -0.27999999999999936, 0.9661107021914668, 0.0, 0.8, 0.0, 0.018627310502937366
'2016-09-20', 9.53, 10.15, 9.53, 9.88, 41000.0, 9.795955, -0.7300000000000004, -0.5899999999999999, 0.9286348403256616, 1.0, 1.0, 0.0, 0.02282266526757608
'2016-09-19', 10.26, 10.27, 9.34, 9.61, 108100.0, 9.528251, -0.040000000000000924, -0.22000000000000064, 0.8571415026444325, 0.0, 0.8, 0.0, 0.010937838423218537
'2016-09-16', 10.3, 10.38, 10.16, 10.18, 45700.0, 10.093403, 0.05000000000000071, -0.23999999999999844, 0.8241334843336969, 0.0, 0.5, 0.0, 0.00941747572815533
'2016-09-15', 10.25, 10.49, 10.25, 10.28, 14300.0, 10.192552, 0.13000000000000078, -0.6500000000000004, 0.7896226947093149, 0.0, 0.1, 0.0, 0.009046563192904653
'2016-09-14', 10.12, 10.52, 10.11, 10.26, 23500.0, 10.172723, -0.3600000000000012, -1.3100000000000005, 0.7479171077064625, 0.0, 0.0, 0.0, 0.009469696969696973
'2016-09-13', 10.48, 10.59, 9.98, 10.06, 30900.0, 9.974424, -0.05999999999999872, -1.0700000000000003, 0.7147873809742308, 0.0, 0.0, 0.0, 0.005798590722254838
'2016-09-12', 10.54, 10.63, 10.45, 10.57, 15200.0, 10.480085, -0.3600000000000012, -1.33, 0.7214402262142028, 0.0, 0.0, 0.0, 0.0049471401463811356
'2016-09-09', 10.9, 10.94, 10.59, 10.62, 23300.0, 10.52966, -0.5299999999999994, -0.46999999999999886, 0.7187516956501737, 0.0, 0.0, -0.1, 0.0022629969418960197
'2016-09-08', 11.43, 11.44, 11.05, 11.16, 11600.0, 11.065066, -0.120000000000001, 0.6500000000000004, 0.7460470643479687, 0.0, 0.0, -0.5, -0.000874890638670167
'2016-09-07', 11.55, 11.64, 11.41, 11.43, 18300.0, 11.33277, -0.3199999999999985, 0.3200000000000003, 0.7515643685007959, 0.0, 0.1, -0.8, -0.0014260249554367257
'2016-09-06', 11.87, 11.87, 11.55, 11.65, 13600.0, 11.550898, 0.5, 0.7199999999999989, 0.7468767561578611, -1.0, 0.5, -1.0, 0.0
'2016-09-02', 11.37, 11.88, 11.37, 11.77, 35100.0, 11.669878, 0.5899999999999999, 0.379999999999999, 0.7462230825221696, 0.0, 0.8, -0.8, 0.04397537379067722
'2016-09-01', 10.78, 11.34, 10.78, 11.3, 34200.0, 11.203876, -0.45000000000000107, -0.5400000000000009, 0.7349996976567783, 1.0, 1.0, -0.5, 0.05055658627087198
'2016-08-31', 11.23, 11.23, 10.75, 10.8, 23100.0, 10.708129, 0.08000000000000007, -0.33000000000000007, 0.6921653623874059, 0.0, 0.8, -0.1, 0.01899673493618281
'2016-08-30', 11.15, 11.36, 11.11, 11.12, 13200.0, 11.025407, 0.16000000000000014, -0.8899999999999988, 0.6709480026218293, 0.0, 0.5, 0.0, 0.016143497757847507
'2016-08-29', 10.99, 11.13, 10.95, 11.06, 15600.0, 10.965917, -0.33000000000000007, -1.209999999999999, 0.6493093766970153, 0.0, 0.1, 0.0, 0.016014558689717906
'2016-08-26', 11.32, 11.58, 10.91, 10.98, 18900.0, 10.886597, -0.2400000000000002, -1.3100000000000005, 0.6172591748114311, 0.0, 0.0, 0.0, 0.008097762073027075
'2016-08-25', 11.56, 11.63, 11.3, 11.33, 26300.0, 11.23362, -0.47999999999999865, -1.6099999999999994, 0.6043394925223917, 0.0, 0.0, 0.0, 0.0038309441423628114
'2016-08-24', 12.04, 12.14, 11.51, 11.57, 26000.0, 11.471578, -0.16000000000000014, -0.6300000000000008, 0.5931482857506113, 0.0, 0.0, -0.1, -0.0017649501661129562
'2016-08-23', 12.2, 12.33, 12.0, 12.07, 22400.0, 11.967325, -0.4300000000000015, -0.3600000000000012, 0.6048963180211593, 0.0, 0.0, -0.5, -0.0030054644808743176
'2016-08-22', 12.63, 12.63, 12.01, 12.04, 34400.0, 11.937581, -0.5399999999999991, -0.4499999999999993, 0.6033665736699557, 0.0, 0.0, -0.8, -0.006017418844022181
'2016-08-19', 13.17, 13.27, 12.6, 12.63, 64600.0, 12.522562, 0.5, 0.40000000000000036, 0.6123206313326013, -1.0, 0.0, -1.0, 0.0
'2016-08-18', 12.67, 13.29, 12.67, 13.22, 25100.0, 13.107543, 0.10999999999999943, 0.3699999999999992, 0.6294050100425531, 0.0, 0.0, -0.8, 0.03946329913180742
'2016-08-17', 12.56, 12.88, 12.46, 12.79, 20200.0, 12.681201, -0.5199999999999996, 0.9500000000000011, 0.6410582396839358, 0.0, 0.0, -0.5, 0.024283439490445837
'2016-08-16', 13.08, 13.11, 12.56, 12.66, 22900.0, 12.552306, 0.3100000000000005, 1.5199999999999996, 0.6685443557128842, 0.0, 0.0, -0.1, 0.0022935779816513724
'2016-08-15', 12.77, 13.42, 12.75, 13.13, 44200.0, 13.018309, 0.46999999999999886, 1.25, 0.6729719327150443, 0.0, 0.0, 0.0, 0.007830853563038379
'2016-08-12', 12.3, 12.88, 12.29, 12.76, 41300.0, 12.651456, 0.6900000000000013, 0.6500000000000004, 0.688036578484991, 0.0, 0.1, 0.0, 0.01414634146341462
'2016-08-11', 11.61, 12.44, 11.49, 12.28, 36000.0, 12.175539, 0.049999999999998934, 0.049999999999998934, 0.7224606102296051, 0.0, 0.5, 0.0, 0.02239448751076659
'2016-08-10', 11.56, 11.68, 11.5, 11.57, 19600.0, 11.471578, 0.040000000000000924, 0.0, 0.7378579357392135, 0.0, 0.8, 0.0, 0.01989619377162629
'2016-08-09', 11.52, 11.56, 11.38, 11.49, 24800.0, 11.392259, -0.13000000000000078, -0.11000000000000121, 0.7627742494051273, 1.0, 1.0, 0.0, 0.01790364583333334
'2016-08-08', 11.65, 11.68, 11.31, 11.46, 25600.0, 11.362514, 0.08999999999999986, -1.08, 0.7595985050596722, 0.0, 0.8, 0.0, 0.0144969003338102
'2016-08-05', 11.56, 11.83, 11.46, 11.54, 18000.0, 11.441834, 0.0, -1.6500000000000004, 0.7557483414176674, 0.0, 0.5, 0.0, 0.013927335640138403
'2016-08-04', 11.56, 11.67, 11.45, 11.47, 13300.0, 11.37243, -0.07000000000000028, -1.6199999999999992, 0.7548601783700667, 0.0, 0.1, 0.0, 0.012661214218307638
'2016-08-03', 11.63, 11.71, 11.07, 11.51, 69500.0, 11.412089, -1.0999999999999996, -1.8699999999999992, 0.747479914260057, 0.0, 0.0, 0.0, 0.011034680424190306
'2016-08-02', 12.73, 12.75, 11.88, 11.9, 61700.0, 11.798771, -0.4800000000000004, -0.08999999999999986, 0.7477186785297143, 0.0, 0.0, -0.1, 0.00265877092271436
'2016-08-01', 13.21, 13.33, 12.72, 12.76, 40400.0, 12.651456, 0.030000000000001137, 0.8900000000000006, 0.7594179057380432, 0.0, 0.0, -0.5, -0.0002162863631448087
'2016-07-29', 13.18, 13.57, 13.0, 13.21, 29400.0, 13.097628, -0.3200000000000003, 0.9499999999999993, 0.7477819795160144, 0.0, 0.0, -0.8, -5.0581689428425836e-05
'2016-07-28', 13.5, 13.65, 13.18, 13.22, 39700.0, 13.107543, 0.6799999999999997, 1.5999999999999996, 0.7430616095288167, -1.0, 0.0, -1.0, 0.0
'2016-07-27', 12.82, 13.58, 12.82, 13.53, 55100.0, 13.414905, 0.5, 0.75, 0.723236859925955, 0.0, 0.1, -0.8, 0.05304212168486737
'2016-07-26', 12.32, 12.98, 12.28, 12.73, 68700.0, 12.621711, 0.08999999999999986, -0.019999999999999574, 0.723236859925955, 0.0, 0.5, -0.5, 0.04788961038961038
'2016-07-25', 12.23, 12.29, 12.12, 12.21, 37300.0, 12.106134, 0.33000000000000007, -0.5299999999999994, 0.7613395358766606, 0.0, 0.8, -0.1, 0.034614336331425445
'2016-07-22', 11.9, 12.27, 11.89, 12.23, 21100.0, 12.125964, -0.16999999999999993, -1.049999999999999, 0.8308097790041286, 1.0, 1.0, 0.0, 0.03361344537815125
'2016-07-21', 12.07, 12.17, 11.83, 12.03, 35200.0, 11.927665, -0.2699999999999996, -1.0299999999999994, 0.8869917323928861, 0.0, 0.8, 0.0, 0.02369511184755592
'2016-07-20', 12.34, 12.45, 11.97, 12.07, 36500.0, 11.967325, -0.41999999999999993, -0.5999999999999996, 0.9410936899869924, 0.0, 0.5, 0.0, 0.015667206915180986
'2016-07-19', 12.76, 12.76, 12.31, 12.36, 33700.0, 12.254858, -0.1899999999999995, -0.4399999999999995, 0.9919043972749255, 0.0, 0.1, 0.0, 0.008284818629646218
'2016-07-18', 12.95, 13.08, 12.52, 12.86, 43700.0, 12.750605, -0.15000000000000036, 0.5999999999999996, 1.0391308333837894, 0.0, 0.0, 0.0, 0.005308880308880316
'2016-07-15', 13.1, 13.49, 13.0, 13.19, 60500.0, 13.077798, 0.16000000000000014, 1.25, 1.0767164075197433, 0.0, 0.0, 0.0, 0.003392705682782022
'2016-07-14', 12.94, 13.24, 12.89, 13.05, 30100.0, 12.938989, -0.2599999999999998, 1.6399999999999988, 1.1016797276079024, 0.0, 0.0, 0.0, 0.004327666151468319
'2016-07-13', 13.2, 13.53, 12.73, 12.89, 51000.0, 12.691116, 0.8499999999999996, 1.58, 1.1424990153168624, 0.0, 0.0, 0.0, 0.002066115702479344
'2016-07-12', 12.35, 13.31, 12.22, 13.22, 72400.0, 13.016024, 0.5, 1.0999999999999996, 1.193040234023983, 0.0, 0.0, -0.1, 0.007759784075573552
'2016-07-11', 11.85, 12.59, 11.85, 12.32, 81500.0, 12.12991, 0.5499999999999989, 0.5, 1.2441880886746985, 0.0, 0.0, -0.5, 0.010710808179162612
'2016-07-08', 11.3, 12.08, 11.21, 11.92, 101200.0, 11.736082, -0.3199999999999985, 0.05000000000000071, 1.281939502819415, 0.0, 0.0, -0.8, 0.013906447534766112
'2016-07-07', 11.62, 12.17, 11.15, 11.29, 81600.0, 11.115802, 0.3699999999999992, 0.6699999999999999, 1.3047215113663995, -1.0, 0.0, -1.0, 0.0
'2016-07-06', 11.25, 11.73, 11.25, 11.66, 45400.0, 11.480093, -0.09999999999999964, 0.08999999999999986, 1.3410735334880866, 0.0, 0.0, -0.8, 0.03288888888888882
'2016-07-05', 11.35, 11.45, 11.08, 11.34, 25100.0, 11.165031, 0.09999999999999964, 0.4299999999999997, 1.314636789721362, 0.0, 0.0, -0.5, 0.011894273127753286
'2016-07-01', 11.25, 11.85, 11.19, 11.5, 29500.0, 11.322562, 0.3000000000000007, -0.41000000000000014, 1.272320015649452, 0.0, 0.1, -0.1, 0.01096296296296294
'2016-06-30', 10.95, 11.33, 10.74, 11.31, 45300.0, 11.135494, -0.21000000000000085, -1.3900000000000006, 1.2331740437676355, 0.0, 0.5, 0.0, 0.015296803652968037
'2016-06-29', 11.16, 11.16, 10.72, 10.81, 82100.0, 10.643209, 0.2400000000000002, -1.5500000000000007, 1.152784117787117, 0.0, 0.8, 0.0, 0.008243727598566291
'2016-06-28', 10.92, 11.0, 10.38, 10.73, 119800.0, 10.564442, -0.7400000000000002, -1.5099999999999998, 1.0964752112514393, 1.0, 1.0, 0.0, 0.010683760683760674
'2016-06-27', 11.66, 11.73, 10.56, 10.67, 132800.0, 10.505369, -0.6799999999999997, -1.1600000000000001, 1.004202779433627, 0.0, 0.8, 0.0, -0.0004900759617740862
'2016-06-24', 12.34, 12.67, 11.63, 11.86, 724900.0, 11.677007, -0.370000000000001, -0.7799999999999994, 0.9821002332756223, 0.0, 0.5, 0.0, -0.007293354943273912
'2016-06-23', 12.71, 13.38, 12.67, 12.77, 87200.0, 12.572967, 0.28000000000000114, -0.16999999999999993, 1.0133157835870805, 0.0, 0.1, 0.0, -0.009528804965469023
'2016-06-22', 12.43, 12.79, 12.4, 12.71, 36500.0, 12.513893, -0.39000000000000057, -0.6300000000000008, 1.078239716606052, 0.0, 0.0, 0.0, -0.006516492357200326
'2016-06-21', 12.82, 12.98, 12.23, 12.43, 58100.0, 12.238213, -0.29999999999999893, -0.2699999999999996, 1.1100377905278866, 0.0, 0.0, 0.0, -0.00850943128634237
'2016-06-20', 13.12, 13.47, 12.69, 12.71, 51100.0, 12.513893, 0.23999999999999844, 0.29999999999999893, 1.1727508767566093, 0.0, 0.0, 0.0, -0.009527439024390244
