Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-15', 10.6, 10.6, 10.5, 10.59, 4600.0, 10.59, 0.17999999999999972, -0.08000000000000007, 0.14200195616805975, 0.0, 0.8, -0.8, 0.0
'2016-09-14', 10.42, 10.54, 10.42, 10.51, 3400.0, 10.51, -0.17999999999999972, -0.27999999999999936, 0.14778700890132396, 1.0, 1.0, -0.5, 0.008637236084452962
'2016-09-13', 10.6, 10.6, 10.44, 10.44, 2800.0, 10.44, -0.030000000000001137, -0.11000000000000121, 0.14981507118963552, 0.0, 0.8, -0.1, 0.0
'2016-09-12', 10.63, 10.63, 10.55, 10.6, 1600.0, 10.6, -0.049999999999998934, 0.05000000000000071, 0.1538902928134917, 0.0, 0.5, -0.1, -0.000705550329256847
'2016-09-09', 10.68, 10.68, 10.65, 10.66, 16000.0, 10.66, -0.019999999999999574, 0.17999999999999972, 0.15426132229290507, 0.0, 0.1, -0.5, -0.0014981273408239714
'2016-09-08', 10.7, 10.78, 10.7, 10.7, 14300.0, 10.7, -0.010000000000001563, 0.33000000000000007, 0.15125548658551935, 0.0, 0.0, -0.8, -0.0015576323987538888
'2016-09-07', 10.71, 10.74, 10.67, 10.72, 14300.0, 10.72, 0.13000000000000078, 0.46000000000000085, 0.14129126732470848, -1.0, 0.0, -1.0, 0.0
'2016-09-06', 10.58, 10.65, 10.58, 10.64, 4400.0, 10.64, 0.08000000000000007, 0.2599999999999998, 0.134405687710338, 0.0, 0.0, -0.8, 0.012287334593572853
'2016-09-02', 10.5, 10.57, 10.46, 10.51, 22100.0, 10.51, 0.13000000000000078, 0.3000000000000007, 0.13285790237024755, 0.0, 0.0, -0.5, 0.01000000000000004
'2016-09-01', 10.37, 10.41, 10.28, 10.38, 15100.0, 10.38, 0.11999999999999922, -0.040000000000000924, 0.13850832305517083, 0.0, 0.1, -0.1, 0.010928961748633932
'2016-08-31', 10.25, 10.37, 10.25, 10.37, 6400.0, 10.37, -0.07000000000000028, -0.17999999999999972, 0.15021059290949573, 0.0, 0.5, 0.0, 0.011219512195121972
'2016-08-30', 10.32, 10.39, 10.32, 10.36, 1000.0, 10.36, 0.120000000000001, -0.16000000000000014, 0.15500394260218753, 0.0, 0.8, 0.0, 0.007558139534883732
'2016-08-29', 10.2, 10.37, 10.19, 10.35, 7300.0, 10.35, -0.21000000000000085, -0.27000000000000135, 0.1586263954496015, 1.0, 1.0, 0.0, 0.00833333333333336
'2016-08-26', 10.41, 10.49, 10.29, 10.32, 5200.0, 10.32, -0.019999999999999574, 0.040000000000000924, 0.1615497859278475, 0.0, 0.8, 0.0, 0.004116920543433521
'2016-08-25', 10.43, 10.44, 10.36, 10.44, 3700.0, 10.44, -0.05000000000000071, 0.129999999999999, 0.1625696431960435, 0.0, 0.5, 0.0, 0.003355704697986591
'2016-08-24', 10.48, 10.48, 10.42, 10.42, 400.0, 10.42, 0.009999999999999787, 0.08999999999999986, 0.16353355075403408, 0.0, 0.1, 0.0, 0.0024385072094995804
'2016-08-23', 10.47, 10.54, 10.46, 10.52, 40200.0, 10.52, 0.10000000000000142, 0.0600000000000005, 0.16217959866216908, 0.0, 0.0, 0.0, 0.0022922636103151883
'2016-08-22', 10.37, 10.43, 10.33, 10.43, 33900.0, 10.43, 0.06999999999999851, -0.13000000000000078, 0.16321254036786922, 0.0, 0.0, 0.0, 0.002980625931445618
'2016-08-19', 10.3, 10.44, 10.3, 10.44, 15300.0, 10.44, -0.08999999999999986, -0.08999999999999986, 0.17049731180676536, 0.0, 0.0, 0.0, 0.0033171521035598715
'2016-08-18', 10.39, 10.44, 10.34, 10.35, 64000.0, 10.35, -0.019999999999999574, 0.02000000000000135, 0.18606331061108095, 0.0, 0.0, 0.0, 0.002369141926408531
'2016-08-17', 10.41, 10.42, 10.33, 10.38, 55800.0, 10.38, -0.08999999999999986, 0.02999999999999936, 0.21553782859525047, 0.0, 0.0, 0.0, 0.0020584602717167604
'2016-08-16', 10.5, 10.5, 10.4, 10.46, 15600.0, 10.46, 0.10999999999999943, 0.15000000000000036, 0.2320593793742359, 0.0, 0.0, 0.0, 0.0013333333333333387
'2016-08-15', 10.39, 10.6, 10.39, 10.6, 4600.0, 10.6, 0.02000000000000135, -0.009999999999999787, 0.2335401464416771, 0.0, 0.0, 0.0, 0.0019249278152069314
'2016-08-12', 10.37, 10.43, 10.37, 10.43, 2300.0, 10.43, -0.010000000000001563, 0.0, 0.23121634890292683, 0.0, 0.0, -0.1, 0.0019286403085824588
'2016-08-11', 10.38, 10.39, 10.32, 10.39, 2800.0, 10.39, 0.030000000000001137, 0.14000000000000057, 0.23495720650554408, 0.0, 0.0, -0.5, 0.0017662170841361597
'2016-08-10', 10.35, 10.39, 10.3, 10.38, 7800.0, 10.38, -0.05000000000000071, 0.1999999999999993, 0.2420259398402484, 0.0, 0.0, -0.8, 0.001830663615560647
'2016-08-09', 10.4, 10.4, 10.35, 10.38, 10300.0, 10.38, 0.030000000000001137, 0.2599999999999998, 0.25822062057258116, -1.0, 0.1, -1.0, 0.0
'2016-08-08', 10.37, 10.37, 10.27, 10.29, 2900.0, 10.29, 0.129999999999999, 0.08999999999999986, 0.28103301506327616, 0.0, 0.5, -0.8, 0.002892960462873784
'2016-08-05', 10.24, 10.31, 10.18, 10.24, 2700.0, 10.24, 0.08999999999999986, 0.10999999999999943, 0.28402758082036106, 0.0, 0.8, -0.5, 0.007812500000000007
'2016-08-04', 10.15, 10.19, 10.03, 10.17, 2000.0, 10.17, 0.009999999999999787, 0.009999999999999787, 0.27865330908974817, 1.0, 1.0, -0.1, 0.008210180623973726
'2016-08-03', 10.14, 10.16, 10.06, 10.15, 4800.0, 10.15, -0.1399999999999988, 0.030000000000001137, 0.27758402131406795, 0.0, 0.8, 0.0, 0.006410256410256405
'2016-08-02', 10.28, 10.28, 10.11, 10.13, 3600.0, 10.13, 0.14999999999999858, 0.10999999999999943, 0.2786198126479882, 0.0, 0.5, 0.0, 0.002334630350194572
'2016-08-01', 10.13, 10.26, 10.11, 10.2, 6800.0, 10.2, -0.009999999999999787, 0.09000000000000163, 0.27220498811659505, 0.0, 0.1, -0.1, 0.004442250740375116
'2016-07-29', 10.14, 10.15, 10.11, 10.15, 8700.0, 10.15, 0.030000000000001137, 0.07000000000000028, 0.2773888165654045, 0.0, 0.0, -0.5, 0.00366300366300366
