Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-14', 3.19, 3.19, 3.19, 3.19, 200.0, 3.19, 0.10999999999999988, 0.1200000000000001, 0.04732394273045682, -1.0, 0.0, -1.0, 0.0
'2016-10-13', 3.08, 3.22, 3.08, 3.21, 5200.0, 3.21, -0.06999999999999984, 0.010000000000000231, 0.039470101201908386, 0.0, 0.0, -0.8, 0.03571428571428567
'2016-10-12', 3.15, 3.15, 3.15, 3.15, 0.0, 3.15, 0.009999999999999787, 0.1499999999999999, 0.04192055979269997, 0.0, 0.0, -0.5, 0.006349206349206355
'2016-10-11', 3.14, 3.15, 3.14, 3.15, 10600.0, 3.15, 0.07000000000000028, 0.14000000000000012, 0.04039251855920296, 0.0, 0.0, -0.1, 0.005307855626326945
'2016-10-10', 3.07, 3.13, 3.07, 3.13, 2300.0, 3.13, 0.0, 0.06999999999999984, 0.04399494920505712, 0.0, 0.0, 0.0, 0.009771986970684049
'2016-10-07', 3.07, 3.07, 3.07, 3.07, 200.0, 3.07, 0.06999999999999984, 0.06999999999999984, 0.0464147964913489, 0.0, 0.0, 0.0, 0.007817589576547239
'2016-10-06', 3.0, 3.0, 3.0, 3.0, 700.0, 3.0, 0.0, -0.009999999999999787, 0.05361280941466632, 0.0, 0.0, 0.0, 0.010555555555555552
'2016-10-05', 3.0, 3.01, 2.97, 3.0, 2800.0, 3.0, 0.0, -0.009999999999999787, 0.05361280941466631, 0.0, 0.0, 0.0, 0.009047619047619046
'2016-10-04', 3.0, 3.03, 3.0, 3.0, 1800.0, 3.0, 0.0, -0.06999999999999984, 0.06937819061732102, 0.0, 0.0, 0.0, 0.007916666666666664
'2016-10-03', 3.0, 3.0, 3.0, 3.0, 900.0, 3.0, -0.009999999999999787, -0.06999999999999984, 0.07566299550565579, 0.0, 0.0, 0.0, 0.007037037037037035
'2016-09-30', 3.01, 3.06, 3.0, 3.01, 2700.0, 3.01, 0.0, -0.020000000000000018, 0.07708581077099871, 0.0, 0.0, 0.0, 0.00598006644518273
'2016-09-29', 3.01, 3.02, 2.97, 2.97, 2500.0, 2.97, -0.06000000000000005, -0.03000000000000025, 0.08018658796138471, 0.0, 0.0, 0.0, 0.005436424041075209
'2016-09-28', 3.07, 3.07, 3.07, 3.07, 0.0, 3.07, 0.0, 0.04999999999999982, 0.08018658796138471, 0.0, 0.0, 0.0, 0.003257328990228016
'2016-09-27', 3.07, 3.07, 3.07, 3.07, 0.0, 3.07, 0.040000000000000036, 0.029999999999999805, 0.0805681216252571, 0.0, 0.0, 0.0, 0.003006765221748938
'2016-09-26', 3.03, 3.07, 3.03, 3.07, 500.0, 3.07, -0.010000000000000231, 0.009999999999999787, 0.08074995700033254, 0.0, 0.0, 0.0, 0.0037718057520037757
'2016-09-23', 3.04, 3.04, 3.02, 3.02, 600.0, 3.02, 0.020000000000000018, 0.020000000000000018, 0.08076646718918824, 0.0, 0.1, 0.0, 0.0032894736842105244
'2016-09-22', 3.02, 3.11, 3.02, 3.11, 2500.0, 3.11, -0.020000000000000018, 0.0, 0.08088675210852928, 0.0, 0.5, 0.0, 0.0035182119205297998
'2016-09-21', 3.04, 3.04, 3.04, 3.04, 0.0, 3.04, 0.020000000000000018, -0.009999999999999787, 0.08086751854456493, 0.0, 0.8, 0.0, 0.002902476780185757
'2016-09-20', 3.02, 3.04, 3.02, 3.04, 700.0, 3.04, 0.0, 0.0, 0.08064738061462379, 1.0, 1.0, 0.0, 0.003127299484915378
'2016-09-19', 3.02, 3.02, 3.02, 3.02, 1000.0, 3.02, 0.0, -0.009999999999999787, 0.08240887223001063, 0.0, 0.8, 0.0, 0.002962704775182989
'2016-09-16', 3.02, 3.12, 3.02, 3.12, 1400.0, 3.12, -0.029999999999999805, 0.0, 0.08268346603496707, 0.0, 0.5, 0.0, 0.00281456953642384
'2016-09-15', 3.05, 3.08, 3.05, 3.08, 800.0, 3.08, 0.029999999999999805, 0.020000000000000018, 0.08260279790795358, 0.0, 0.1, 0.0, 0.002185792349726778
'2016-09-14', 3.02, 3.02, 3.02, 3.02, 100.0, 3.02, -0.009999999999999787, -0.020000000000000018, 0.08252205092512478, 0.0, 0.0, 0.0, 0.002558699578567127
'2016-09-13', 3.03, 3.03, 3.02, 3.02, 1400.0, 3.02, 0.009999999999999787, -0.0900000000000003, 0.0828090172223613, 0.0, 0.0, 0.0, 0.0022958817620892546
'2016-09-12', 3.02, 3.02, 3.02, 3.02, 300.0, 3.02, -0.009999999999999787, -0.06999999999999984, 0.08259674462242576, 0.0, 0.0, 0.0, 0.002345474613686533
'2016-09-09', 3.03, 3.05, 3.02, 3.03, 800.0, 3.03, -0.010000000000000231, 0.0, 0.08346656017032607, 0.0, 0.0, 0.0, 0.0021122112211221142
'2016-09-08', 3.04, 3.04, 3.04, 3.04, 100.0, 3.04, -0.08000000000000007, 0.0, 0.0843247689985965, 0.0, 0.0, 0.0, 0.0018977732793522255
'2016-09-07', 3.12, 3.14, 3.08, 3.08, 1500.0, 3.08, 0.03000000000000025, -0.009999999999999787, 0.08578785202786902, 0.0, 0.0, 0.0, 0.0008309591642924957
'2016-09-06', 3.09, 3.09, 3.03, 3.04, 800.0, 3.04, 0.06000000000000005, -0.040000000000000036, 0.08291896981725927, 0.0, 0.0, 0.0, 0.0011558021266759142
'2016-09-02', 3.03, 3.08, 3.02, 3.08, 1700.0, 3.08, -0.010000000000000231, -0.15000000000000036, 0.08074376480915138, 0.0, 0.0, 0.0, 0.0018208717423466502
'2016-09-01', 3.04, 3.04, 3.04, 3.04, 200.0, 3.04, -0.08999999999999986, 0.08000000000000007, 0.08051224889557006, 0.0, 0.0, -0.1, 0.0016447368421052622
'2016-08-31', 3.13, 3.13, 3.13, 3.13, 0.0, 3.13, 0.0, 0.23999999999999977, 0.08169659315622244, 0.0, 0.0, -0.5, 0.0006183654539833047
'2016-08-30', 3.13, 3.13, 3.13, 3.13, 300.0, 3.13, -0.050000000000000266, 0.1299999999999999, 0.07567180599286778, 0.0, 0.0, -0.8, 0.0005990415335463264
'2016-08-29', 3.18, 3.18, 3.15, 3.15, 5000.0, 3.15, 0.2200000000000002, 0.3900000000000001, 0.06808817812219682, -1.0, 0.0, -1.0, 0.0
'2016-08-26', 2.96, 3.01, 2.96, 3.01, 4300.0, 3.01, 0.06999999999999984, 0.10000000000000009, 0.0521493581509452, 0.0, 0.1, -0.8, 0.0743243243243244
'2016-08-25', 2.89, 2.89, 2.89, 2.89, 0.0, 2.89, -0.10999999999999988, -0.04999999999999982, 0.05307123095949023, 0.0, 0.5, -0.5, 0.05017301038062284
'2016-08-24', 3.0, 3.0, 2.89, 2.89, 1400.0, 2.89, 0.20999999999999996, 0.10000000000000009, 0.05285199460127624, 0.0, 0.8, -0.1, 0.020000000000000018
'2016-08-23', 2.79, 3.0, 2.79, 3.0, 700.0, 3.0, -0.06999999999999984, -0.21999999999999975, 0.05146735750831676, 1.0, 1.0, 0.0, 0.034946236559139796
'2016-08-22', 2.86, 2.89, 2.75, 2.78, 11700.0, 2.78, -0.08000000000000007, -0.0900000000000003, 0.04768531103902846, 0.0, 0.8, 0.0, 0.0223776223776224
'2016-08-19', 2.94, 3.0, 2.75, 2.9, 4000.0, 2.9, 0.040000000000000036, -0.010000000000000231, 0.04611579628139004, 0.0, 0.5, 0.0, 0.01360544217687076
'2016-08-18', 2.9, 2.95, 2.9, 2.9, 1400.0, 2.9, -0.10999999999999988, -0.0900000000000003, 0.046932575751461446, 0.0, 0.1, 0.0, 0.013793103448275874
'2016-08-17', 3.01, 3.01, 2.9, 2.9, 1400.0, 2.9, 0.05999999999999961, 0.03999999999999959, 0.04746460669687352, 0.0, 0.0, 0.0, 0.007059800664451843
'2016-08-16', 2.95, 2.95, 2.95, 2.95, 100.0, 2.95, 0.0, -0.04999999999999982, 0.04800925836637024, 0.0, 0.0, 0.0, 0.008662900188323917
'2016-08-15', 2.95, 2.95, 2.95, 2.95, 100.0, 2.95, -0.040000000000000036, -0.04999999999999982, 0.0477132639373535, 0.0, 0.0, 0.0, 0.007796610169491525
'2016-08-12', 2.99, 2.99, 2.95, 2.95, 500.0, 2.95, 0.020000000000000018, 0.08000000000000007, 0.047953681355611864, 0.0, 0.0, 0.0, 0.005776831863788384
'2016-08-11', 2.97, 2.97, 2.95, 2.95, 400.0, 2.95, -0.029999999999999805, 0.010000000000000231, 0.049671140738080724, 0.0, 0.0, 0.0, 0.0058922558922558915
'2016-08-10', 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 0.0, 0.0, 0.05092041721047549, 0.0, 0.0, 0.0, 0.004615384615384619
'2016-08-09', 3.0, 3.0, 3.0, 3.0, 100.0, 3.0, 0.08999999999999986, 0.04999999999999982, 0.05204698731808488, 0.0, 0.0, 0.0, 0.004285714285714289
