Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-08-09', 11.06, 11.15, 10.47, 10.56, 2558100.0, 10.56, 0.6799999999999997, 1.25, 0.8193165173213314, -1.0, 0.0, -1.0, 0.0
'2016-08-08', 10.38, 11.13, 10.32, 10.98, 5080100.0, 10.98, 0.1800000000000015, -0.6199999999999992, 0.8147784975071446, 0.0, 0.1, -0.8, 0.06551059730250479
'2016-08-05', 10.2, 10.25, 9.83, 10.17, 3248000.0, 10.17, -0.16000000000000014, -0.33000000000000007, 0.7889433158063739, 0.0, 0.5, -0.3, 0.042156862745098105
'2016-08-04', 10.36, 10.56, 10.05, 10.07, 3704500.0, 10.07, 0.5499999999999989, -0.0600000000000005, 0.7536651923913047, 0.0, 0.8, -0.3, 0.02252252252252256
'2016-08-03', 9.81, 10.55, 9.68, 10.36, 5851700.0, 10.36, -1.1899999999999995, -1.0899999999999999, 0.7128051783076651, 1.0, 1.0, -0.8, 0.031855249745158
'2016-08-02', 11.0, 11.08, 9.72, 9.81, 9013400.0, 9.81, 0.47000000000000064, -0.9900000000000002, 0.6029391898580376, -1.0, 0.8, -1.0, 0.0
'2016-08-01', 10.53, 10.58, 10.02, 10.29, 3841200.0, 10.29, 0.10999999999999943, -0.8399999999999999, 0.5867338029767466, 0.0, 0.5, -0.8, 0.044634377967711365
'2016-07-29', 10.42, 10.9, 10.34, 10.68, 3417800.0, 10.68, -0.4800000000000004, -1.0099999999999998, 0.5286948290102924, 0.0, 0.1, -0.5, 0.027831094049904033
'2016-07-28', 10.9, 11.01, 10.44, 10.53, 4101700.0, 10.53, -1.0899999999999999, -1.1399999999999988, 0.45785247502758897, 0.0, 0.5, -0.1, 0.003058103975535157
'2016-07-27', 11.99, 12.2, 10.83, 10.9, 6162900.0, 10.9, 0.620000000000001, -0.07000000000000028, 0.4184868244308562, 0.0, 0.8, 0.0, -0.02064220183486239
'2016-07-26', 11.37, 11.99, 11.21, 11.94, 4388300.0, 11.94, -0.0600000000000005, -0.5300000000000011, 0.44658071312287256, 1.0, 1.0, 0.0, -0.006508355321020215
'2016-07-25', 11.43, 11.64, 11.2, 11.37, 2986400.0, 11.37, -0.6099999999999994, -0.75, 0.4681715022890176, 0.0, 0.8, 0.0, -0.0062700495771361876
'2016-07-22', 12.04, 12.13, 11.58, 11.62, 4509600.0, 11.62, -0.02000000000000135, 0.3899999999999988, 0.4589161143389934, 0.0, 0.5, -0.1, -0.012339819648789737
'2016-07-21', 12.06, 12.45, 12.04, 12.08, 3786400.0, 12.08, 0.16000000000000014, -0.03999999999999915, 0.4594224635343814, 0.0, 0.1, -0.5, -0.01098673300165838
'2016-07-20', 11.9, 12.43, 11.54, 12.06, 4686600.0, 12.06, -0.27999999999999936, -0.02999999999999936, 0.4631895460344022, 0.0, 0.5, -0.8, -0.008403361344537818
'2016-07-19', 12.18, 12.31, 11.71, 12.17, 5944200.0, 12.17, 0.5299999999999994, -0.3000000000000007, 0.46954694475987524, -1.0, 0.8, -1.0, -0.009688013136288996
'2016-07-18', 11.65, 12.5, 11.39, 12.39, 5547500.0, 12.39, -0.4499999999999993, -0.46999999999999886, 0.5399535988294633, 1.0, 1.0, -0.8, -0.005072181037846277
'2016-07-15', 12.1, 12.2, 11.6, 11.92, 5039700.0, 11.92, 0.16999999999999993, 0.009999999999999787, 0.5988373921376507, 0.0, 0.8, -0.5, -0.007575757575757574
'2016-07-14', 11.93, 12.29, 11.74, 11.96, 4072400.0, 11.96, -0.5500000000000007, 0.0, 0.6576037307274547, 0.0, 0.5, -0.1, -0.005996518150751175
'2016-07-13', 12.48, 12.68, 11.69, 11.93, 6410600.0, 11.93, 0.3600000000000012, -0.03999999999999915, 0.708431836288197, 0.0, 0.1, 0.0, -0.008470695970695974
'2016-07-12', 12.12, 12.72, 12.06, 12.49, 4782300.0, 12.49, 0.02999999999999936, -0.5100000000000016, 0.7221714939449402, 0.0, 0.0, 0.0, -0.006160616061606157
'2016-07-11', 12.09, 12.3, 11.66, 11.68, 3248100.0, 11.68, 0.16000000000000014, -0.8100000000000005, 0.7606266422423613, 0.0, 0.0, 0.0, -0.005634822167080231
'2016-07-08', 11.93, 12.35, 11.85, 12.03, 3882900.0, 12.03, -0.5899999999999999, -0.28000000000000114, 0.7583233698979173, 0.0, 0.0, -0.1, -0.004585572703515605
'2016-07-07', 12.52, 13.15, 11.67, 11.75, 5488800.0, 11.75, -0.11000000000000121, 0.16999999999999993, 0.7695435876760546, 0.0, 0.0, -0.5, -0.006744763933262335
'2016-07-06', 12.63, 12.63, 11.97, 12.38, 4317700.0, 12.38, -0.2699999999999996, 0.11000000000000121, 0.7616800874091141, 0.0, 0.0, -0.8, -0.006792515731133061
'2016-07-05', 12.9, 13.45, 12.28, 12.77, 4772000.0, 12.77, 0.6899999999999995, 0.9800000000000004, 0.7453273702802609, -1.0, 0.0, -1.0, 0.0
'2016-07-01', 12.21, 13.79, 12.11, 13.66, 4409000.0, 13.66, -0.1399999999999988, 0.21000000000000085, 0.7145348137074918, 0.0, 0.1, -0.8, 0.056511056511056465
'2016-06-30', 12.35, 12.55, 11.83, 12.52, 4436200.0, 12.52, -0.16999999999999993, -0.05000000000000071, 0.7121785044651533, 0.0, 0.5, -0.5, 0.022267206477732823
'2016-06-29', 12.52, 12.72, 12.13, 12.4, 2814800.0, 12.4, 0.5999999999999996, -0.16999999999999993, 0.6958854471502876, 0.0, 0.8, -0.1, 0.010117145899893524
'2016-06-28', 11.92, 12.27, 11.92, 12.2, 3264400.0, 12.2, -0.08000000000000007, -0.5800000000000001, 0.6718436491393581, 1.0, 1.0, 0.0, 0.020553691275167794
'2016-06-27', 12.0, 12.06, 11.09, 11.35, 3526700.0, 11.35, -0.40000000000000036, -0.3100000000000005, 0.6691832501058452, 0.0, 0.8, 0.0, 0.015000000000000006
'2016-06-24', 12.4, 12.76, 12.05, 12.25, 3445000.0, 12.25, -0.28999999999999915, -0.2400000000000002, 0.6680692745184107, 0.0, 0.5, 0.0, 0.006720430107526881
'2016-06-23', 12.69, 13.33, 12.47, 13.27, 3954400.0, 13.27, 0.1899999999999995, 1.2299999999999986, 0.6475012655500288, 0.0, 0.1, 0.0, 0.0023640661938534374
'2016-06-22', 12.5, 12.94, 12.32, 12.33, 4021900.0, 12.33, 0.1899999999999995, 1.2200000000000006, 0.6197038719331105, 0.0, 0.0, 0.0, 0.0040000000000000036
'2016-06-21', 12.31, 12.48, 11.78, 12.34, 3043900.0, 12.34, -0.33000000000000007, 0.8399999999999999, 0.6123633634443597, 0.0, 0.0, 0.0, 0.005325390378192976
'2016-06-20', 12.64, 12.9, 12.13, 12.42, 2789700.0, 12.42, 1.1799999999999997, 1.4100000000000001, 0.5799407057813948, 0.0, 0.0, 0.0, 0.002056962025316454
'2016-06-17', 11.46, 12.54, 11.41, 12.33, 4026400.0, 12.33, 0.1800000000000015, 0.4300000000000015, 0.6531918214089607, 0.0, 0.0, 0.0, 0.011423131841980006
'2016-06-16', 11.28, 11.57, 10.54, 11.2, 3410800.0, 11.2, -0.19000000000000128, -0.40000000000000036, 0.7382092446514665, 0.0, 0.0, 0.0, 0.011968085106382987
'2016-06-15', 11.47, 12.18, 11.34, 11.58, 2728800.0, 11.58, 0.2400000000000002, -0.47999999999999865, 0.8209544580683037, 0.0, 0.0, 0.0, 0.009590235396687007
'2016-06-14', 11.23, 11.76, 11.03, 11.65, 2711900.0, 11.65, 0.20000000000000107, -1.17, 0.8564809137135255, 0.0, 0.0, 0.0, 0.010622058262307594
