Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-27', 184.0, 184.0, 181.220001, 181.759995, 898600.0, 180.409991, 1.4600069999999903, 8.009995000000004, 3.541326116492566, -1.0, 0.0, -1.0, 0.0
'2016-09-26', 182.539993, 183.779999, 181.410004, 183.479996, 797300.0, 182.117217, 1.3299860000000194, 6.179991999999999, 3.3730119644643306, 0.0, 0.0, -0.8, 0.00799828561404618
'2016-09-23', 181.210007, 183.949997, 180.199997, 182.770004, 948400.0, 181.412499, 1.2100069999999903, 7.400008999999983, 3.308845007312878, 0.0, 0.0, -0.5, 0.007698231036435008
'2016-09-22', 180.0, 182.410004, 180.0, 182.110001, 1011100.0, 180.757398, 4.0099950000000035, 7.229996, 3.4801002297854033, 0.0, 0.0, -0.1, 0.007407407407407408
'2016-09-21', 175.990005, 179.080002, 174.039993, 178.809998, 685300.0, 177.481905, -0.36999600000001465, 4.930006999999989, 3.8799905453662347, 0.0, 0.0, 0.0, 0.011378479988110694
'2016-09-20', 176.360001, 176.550003, 175.740005, 176.149994, 526700.0, 174.841658, 2.550003000000004, 7.039994000000007, 4.216356752144483, 0.0, 0.0, 0.0, 0.008664094983759939
'2016-09-19', 173.809998, 175.580002, 173.25, 175.410004, 439200.0, 174.107164, 1.0399940000000072, 2.949996999999996, 4.367085012868537, 0.0, 0.1, 0.0, 0.009771208136523109
'2016-09-16', 172.770004, 173.419998, 171.600006, 173.330002, 1123200.0, 172.042612, 1.7100059999999928, 3.2200009999999963, 4.408932775276917, 0.0, 0.5, 0.0, 0.009285669420121925
'2016-09-15', 171.059998, 173.339996, 170.330002, 173.279999, 824600.0, 171.99298, 1.7399910000000034, -1.9900049999999965, 4.459528502860188, 0.0, 0.8, 0.0, 0.00945574809371855
'2016-09-14', 169.320007, 171.899994, 169.139999, 171.259995, 626600.0, 169.987979, -1.5399940000000072, -9.5, 4.464438864391647, 1.0, 1.0, 0.0, 0.009633299467872882
'2016-09-13', 170.860001, 171.610001, 168.570007, 168.910004, 979900.0, 167.655442, 1.3099980000000073, -7.479995000000002, 4.4145049210604554, 0.0, 0.8, 0.0, 0.0076905062174265045
'2016-09-12', 169.550003, 173.199997, 169.029999, 172.550003, 966400.0, 171.268406, -3.5, -7.529999000000004, 4.348960168607454, 0.0, 0.5, 0.0, 0.007747779815191691
'2016-09-09', 173.050003, 174.020004, 169.690002, 169.690002, 858500.0, 168.429648, -5.770004, -3.2599950000000035, 4.0175868267434796, 0.0, 0.1, 0.0, 0.005273040937190852
'2016-09-08', 178.820007, 178.820007, 175.899994, 175.940002, 1334800.0, 174.633227, 0.4800109999999904, 3.6200100000000077, 3.8410428728696027, 0.0, 0.0, 0.0, 0.0022282797472432695
'2016-09-07', 178.339996, 179.880005, 176.509995, 179.820007, 608900.0, 178.484413, 1.259994000000006, 3.739990000000006, 3.8555707200906775, 0.0, 0.0, 0.0, 0.0022669396045068824
