Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-10', 25.040001, 25.1, 25.02, 25.040001, 340100.0, 25.040001, 0.0200010000000006, 0.030000999999998612, 0.0668904128681136, 0.0, 0.0, -0.5, 0.0
'2016-10-07', 25.02, 25.040001, 25.02, 25.030001, 591900.0, 25.030001, 0.0, 0.00999999999999801, 0.06485528711651488, 0.0, 0.0, -0.1, 0.000266466826538777
'2016-10-06', 25.02, 25.040001, 25.01, 25.030001, 441800.0, 25.030001, 0.00999999999999801, 0.019999999999999574, 0.06333760599858704, 0.0, 0.0, 0.0, 0.00019985011990408276
'2016-10-05', 25.01, 25.040001, 25.0, 25.01, 332100.0, 25.01, 0.0, 0.030000000000001137, 0.06096341161622208, 0.0, 0.0, 0.0, 0.00023991203518591451
'2016-10-04', 25.01, 25.049999, 25.0, 25.0, 367400.0, 25.0, 0.0, 0.030000000000001137, 0.058916926452044126, 0.0, 0.0, 0.0, 0.0001999266959882621
'2016-10-03', 25.01, 25.030001, 25.0, 25.01, 277300.0, 25.01, 0.010000000000001563, 0.040001000000000175, 0.05698424538901589, 0.0, 0.0, 0.0, 0.00017136573941851037
'2016-09-30', 25.0, 25.059999, 24.98, 25.01, 1276200.0, 25.01, 0.019999999999999574, 0.030000999999998612, 0.05572142297306621, 0.0, 0.0, 0.0, 0.00020000500000000087
'2016-09-29', 24.98, 25.02, 24.98, 25.02, 942100.0, 25.02, 0.0, 0.0, 0.05263700599735491, 0.0, 0.0, 0.0, 0.0002668846188061549
'2016-09-28', 24.98, 24.99, 24.969999, 24.969999, 427800.0, 24.969999, 0.010000999999999038, 0.0, 0.050248147343724896, 0.0, 0.0, 0.0, 0.0002401961569255394
'2016-09-27', 24.969999, 24.99, 24.969999, 24.98, 702400.0, 24.98, 0.0, 0.1499990000000011, 0.047573199508512055, 0.0, 0.0, 0.0, 0.0002548585677483636
'2016-09-26', 24.969999, 24.99, 24.969999, 24.98, 951100.0, 24.98, -0.010000999999999038, 0.12999900000000153, 0.0487122389400812, 0.0, 0.1, 0.0, 0.0002336203537693333
