Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 17.4, 17.459999, 12.22, 15.14, 8726100.0, 15.14, 0.2899989999999981, 0.4799999999999969, 0.6426332146378853, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 17.110001, 17.35, 16.936001, 17.299999, 368800.0, 17.299999, 0.15000200000000063, 0.5200010000000006, 0.6118709955721786, 0.0, 0.0, -0.8, 0.016949093106423438
'2016-09-20', 16.959999, 17.32, 16.709999, 17.01, 614300.0, 17.01, 0.16000000000000014, 1.0199990000000003, 0.5822594262108115, 0.0, 0.0, -0.5, 0.012971728359182061
'2016-09-19', 16.799999, 16.98, 16.59, 16.77, 267500.0, 16.77, -0.12000100000000202, 1.2199989999999996, 0.5601465033564187, 0.0, 0.0, -0.1, 0.011904782454649727
'2016-09-16', 16.92, 17.17, 16.73, 16.74, 194100.0, 16.74, 0.33000000000000185, 1.8900000000000023, 0.538794487547225, 0.0, 0.0, 0.0, 0.007092198581560237
'2016-09-15', 16.59, 17.4, 16.360001, 16.99, 427800.0, 16.99, 0.6500000000000004, 0.8000000000000007, 0.5060541830785283, 0.0, 0.1, 0.0, 0.009764918625678104
'2016-09-14', 15.94, 16.879999, 15.73, 16.530001, 407100.0, 16.530001, 0.35999999999999943, -0.19999900000000004, 0.5026403127155962, 0.0, 0.5, 0.0, 0.015265579255541605
'2016-09-13', 15.58, 16.25, 15.3, 15.85, 532200.0, 15.85, 0.5500000000000007, -0.5099999999999998, 0.5125135846981673, 0.0, 0.8, 0.0, 0.016688061617458266
'2016-09-12', 15.03, 15.77, 15.03, 15.68, 209800.0, 15.68, -0.7599999999999998, -1.200000000000001, 0.5372540869087601, 1.0, 1.0, 0.0, 0.019710578842315363
'2016-09-09', 15.79, 16.01, 15.04, 15.07, 250800.0, 15.07, -0.3499990000000004, -0.3300009999999993, 0.567315471272034, 0.0, 0.8, 0.0, 0.011329251987896697
'2016-09-08', 16.139999, 16.23, 15.76, 16.030001, 222200.0, 16.030001, 0.04999899999999968, -0.20000100000000032, 0.602146311077806, 0.0, 0.5, 0.0, 0.007806698129287363
'2016-09-07', 16.09, 16.370001, 15.87, 16.1, 221900.0, 16.1, -0.14000000000000057, -0.24499899999999997, 0.644999739018135, 0.0, 0.1, 0.0, 0.007401548110062708
'2016-09-06', 16.23, 16.459999, 15.9, 16.16, 287600.0, 16.16, 0.10999900000000196, -0.2699999999999996, 0.6715873431737975, 0.0, 0.0, 0.0, 0.00600739371534195
'2016-09-02', 16.120001, 16.559999, 15.92, 16.049999, 227000.0, 16.049999, -0.2199990000000014, -0.5, 0.7056358927946685, 0.0, 0.0, 0.0, 0.006108030733897694
'2016-09-01', 16.34, 16.929001, 15.95, 16.27, 355800.0, 16.27, 0.005001000000000033, 0.30999900000000125, 0.8003823947131555, 0.0, 0.0, -0.1, 0.00463367721629655
'2016-08-31', 16.334999, 16.91, 16.115, 16.41, 263700.0, 16.41, -0.16500100000000018, -0.06500099999999875, 0.8615752923763728, 0.0, 0.0, -0.5, 0.004346499602887431
'2016-08-30', 16.5, 16.84, 16.200001, 16.639999, 259200.0, 16.639999, -0.12000099999999847, -0.019999999999999574, 0.9328699662392252, 0.0, 0.0, -0.8, 0.0034090909090909037
'2016-08-29', 16.620001, 16.76, 16.23, 16.610001, 458500.0, 16.610001, 0.5899999999999999, 0.3600009999999969, 0.9749425910620219, -1.0, 0.0, -1.0, 0.0
'2016-08-26', 16.030001, 16.969999, 16.030001, 16.690001, 421100.0, 16.690001, -0.36999899999999997, 0.40000099999999783, 0.9926822051951689, 0.0, 0.0, -0.8, 0.036805986474985244
'2016-08-25', 16.4, 17.18, 15.77, 16.08, 405200.0, 16.08, -0.120000000000001, 0.41999999999999815, 1.0656787612701222, 0.0, 0.0, -0.5, 0.006707347560975607
'2016-08-24', 16.52, 17.66, 16.200001, 16.440001, 560100.0, 16.440001, 0.259999999999998, 0.7699999999999996, 1.1056767158622813, 0.0, 0.0, -0.1, 0.002017776432606919
'2016-08-23', 16.26, 16.530001, 16.1, 16.5, 385900.0, 16.5, 0.6300000000000008, 0.740000000000002, 1.0992561121049087, 0.0, 0.0, 0.0, 0.005535070725707209
'2016-08-22', 15.63, 16.27, 15.5, 16.25, 147500.0, 16.25, -0.34999999999999964, 0.28000000000000114, 1.0838514145808404, 0.0, 0.0, 0.0, 0.012667959053102976
'2016-08-19', 15.98, 15.98, 15.46, 15.59, 323400.0, 15.59, 0.23000000000000043, 0.8000000000000007, 1.0876836243442602, 0.0, 0.0, 0.0, 0.006675020859407573
'2016-08-18', 15.75, 16.18, 15.42, 15.98, 333900.0, 15.98, 0.23000000000000043, 0.8000000000000007, 1.0747603867322653, 0.0, 0.0, 0.0, 0.007891165532879805
'2016-08-17', 15.52, 16.040001, 15.3, 15.72, 272600.0, 15.72, 0.16999999999999993, 0.7300000000000004, 1.0666977078816657, 0.0, 0.0, 0.0, 0.00885954413659793
'2016-08-16', 15.35, 15.65, 14.91, 15.44, 353600.0, 15.44, 0.16999999999999993, 0.08999999999999986, 1.0631716177969048, 0.0, 0.1, 0.0, 0.009192913499819029
'2016-08-15', 15.18, 15.565, 15.13, 15.33, 235000.0, 15.33, 0.23000000000000043, -0.40000000000000036, 1.045343112199158, 0.0, 0.5, 0.0, 0.009486172595520414
'2016-08-12', 14.95, 15.19, 14.85, 15.13, 189700.0, 15.13, 0.16000000000000014, -0.4800000000000004, 1.0428659229897834, 0.0, 0.8, -0.1, 0.010155068409851014
'2016-08-11', 14.79, 15.06, 14.73, 15.0, 167500.0, 15.0, -0.47000000000000064, -0.7900000000000009, 1.0410256160793225, 1.0, 1.0, -0.5, 0.010311026594545861
'2016-08-10', 15.26, 15.26, 14.5, 14.77, 154900.0, 14.77, -0.3200000000000003, -0.27999999999999936, 1.0498994660865812, 0.0, 0.8, -0.8, 0.0068555348321403305
'2016-08-09', 15.58, 15.58, 15.22, 15.34, 105000.0, 15.34, 0.15000000000000036, 0.4800000000000004, 1.085595023733784, -1.0, 0.5, -1.0, 0.0
'2016-08-08', 15.43, 15.6, 15.0, 15.35, 187600.0, 15.35, -0.15000000000000036, 0.23000000000000043, 1.0937926372641813, 0.0, 0.1, -0.8, 0.009721322099805597
'2016-08-05', 15.58, 15.64, 15.32, 15.42, 191700.0, 15.42, 0.040000000000000924, 0.7300000000000004, 1.105844875599145, 0.0, 0.0, -0.5, 0.0
'2016-08-04', 15.54, 15.56, 15.24, 15.43, 203900.0, 15.43, 0.4399999999999995, 1.0299999999999994, 1.0838552588894061, 0.0, 0.0, -0.1, 0.0008580008580008778
