Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-19', 8.03, 8.03, 7.88, 7.98, 58000.0, 7.98, 0.049999999999998934, 0.7499999999999991, 0.8366048449935408, -1.0, 0.0, -1.0, 0.0
'2016-09-16', 7.98, 8.0, 7.71, 8.0, 36200.0, 8.0, 0.5800000000000001, 0.8000000000000007, 0.785063408620957, 0.0, 0.1, -0.8, 0.006265664160400869
'2016-09-15', 7.4, 8.0, 7.35, 7.97, 171000.0, 7.97, -0.009999999999999787, 0.10000000000000053, 0.7259005900718546, 0.0, 0.5, -0.5, 0.0425675675675675
'2016-09-14', 7.41, 7.47, 7.3, 7.36, 12000.0, 7.36, 0.1299999999999999, -0.3799999999999999, 0.6963552733100157, 0.0, 0.8, -0.1, 0.02789023841655417
'2016-09-13', 7.28, 7.43, 7.28, 7.4, 11200.0, 7.4, 0.10000000000000053, 0.33999999999999986, 0.657572978628397, 1.0, 1.0, -0.1, 0.025755494505494473
'2016-09-12', 7.18, 7.52, 7.18, 7.34, 10200.0, 7.34, -0.1200000000000001, 1.12, 0.6128186246081843, 0.0, 0.8, -0.5, 0.023676880222841215
'2016-09-09', 7.3, 7.41, 7.1, 7.18, 14700.0, 7.18, -0.4900000000000002, 1.2800000000000002, 0.5651072661205324, 0.0, 0.5, -0.8, 0.016666666666666656
'2016-09-08', 7.79, 7.8, 7.01, 7.4, 140600.0, 7.4, 0.8499999999999996, 1.96, 0.49785997585220243, -1.0, 0.1, -1.0, 0.0
'2016-09-07', 6.94, 7.8, 6.92, 7.73, 198500.0, 7.73, 0.8800000000000008, 1.29, 0.3331714606958738, 0.0, 0.0, -0.8, 0.12247838616714692
'2016-09-06', 6.06, 6.98, 6.0, 6.89, 225000.0, 6.89, 0.040000000000000036, 0.33999999999999986, 0.2461652561458121, 0.0, 0.1, -0.5, 0.14273927392739277
'2016-09-02', 6.02, 6.2, 6.0, 6.01, 187100.0, 6.01, 0.1899999999999995, -0.11000000000000032, 0.23688933187367367, 0.0, 0.5, -0.1, 0.09800664451827246
'2016-09-01', 5.83, 6.14, 5.81, 5.94, 18400.0, 5.94, 0.17999999999999972, -0.3099999999999996, 0.2281519961195459, 0.0, 0.8, 0.0, 0.08404802744425385
'2016-08-31', 5.65, 5.81, 5.57, 5.81, 55100.0, 5.81, -0.0699999999999994, -0.4399999999999995, 0.22988982868611935, 1.0, 1.0, 0.0, 0.07575221238938051
'2016-08-30', 5.72, 5.82, 5.55, 5.7, 20300.0, 5.7, -0.41000000000000014, -0.20999999999999996, 0.24124123472850428, 0.0, 0.8, 0.0, 0.06031468531468532
'2016-08-29', 6.13, 6.13, 5.75, 5.75, 20400.0, 5.75, -0.009999999999999787, 0.29000000000000004, 0.26230368320369085, 0.0, 0.5, 0.0, 0.038685621067350275
'2016-08-26', 6.14, 6.14, 6.02, 6.08, 2700.0, 6.08, 0.04999999999999982, 0.3899999999999997, 0.251762895509953, 0.0, 0.1, 0.0, 0.03359120521172639
'2016-08-25', 6.09, 6.19, 6.09, 6.15, 5200.0, 6.15, 0.16000000000000014, 0.4299999999999997, 0.23640008460235365, 0.0, 0.0, 0.0, 0.031016237912789638
'2016-08-24', 5.93, 6.05, 5.83, 6.04, 5400.0, 6.04, 0.08999999999999986, 0.23999999999999932, 0.22235232302711733, 0.0, 0.0, 0.0, 0.031365935919055656
'2016-08-23', 5.84, 5.94, 5.84, 5.94, 1500.0, 5.94, 0.08999999999999986, 0.16999999999999993, 0.2283518240688161, 0.0, 0.0, 0.0, 0.030354919053549197
'2016-08-22', 5.75, 5.89, 5.75, 5.89, 1300.0, 5.89, 0.08999999999999986, -0.019999999999999574, 0.24643705529449544, 0.0, 0.0, 0.0, 0.029565217391304348
'2016-08-19', 5.66, 5.75, 5.62, 5.75, 12200.0, 5.75, -0.03000000000000025, -0.04999999999999982, 0.2743276629628639, 0.0, 0.0, -0.1, 0.02894808371840174
'2016-08-18', 5.69, 5.69, 5.62, 5.62, 400.0, 5.62, 0.020000000000000462, 0.03000000000000025, 0.2965095089350237, 0.0, 0.0, -0.5, 0.026362038664323368
'2016-08-17', 5.67, 5.67, 5.67, 5.67, 200.0, 5.67, -0.09999999999999964, 0.2699999999999996, 0.31725839451287796, 0.0, 0.0, -0.8, 0.024926513815402708
'2016-08-16', 5.77, 5.77, 5.68, 5.68, 200.0, 5.68, 0.05999999999999961, 0.3699999999999992, 0.33678875674028474, -1.0, 0.0, -1.0, 0.0
'2016-08-15', 5.71, 5.83, 5.71, 5.76, 10400.0, 5.76, 0.04999999999999982, 0.2999999999999998, 0.35233585618775104, 0.0, 0.0, -0.8, 0.010507880910682945
'2016-08-12', 5.66, 5.66, 5.66, 5.66, 400.0, 5.66, 0.2599999999999998, 0.3100000000000005, 0.3651751482355952, 0.0, 0.0, -0.5, 0.009717314487632458
'2016-08-11', 5.4, 5.68, 5.39, 5.67, 4800.0, 5.67, 0.0, 0.03000000000000025, 0.37385915351461796, 0.0, 0.0, -0.1, 0.022839506172839454
'2016-08-10', 5.4, 5.44, 5.4, 5.42, 1000.0, 5.42, -0.009999999999999787, 0.10000000000000053, 0.3830150852845819, 0.0, 0.0, 0.0, 0.017129629629629592
'2016-08-09', 5.41, 5.51, 5.41, 5.41, 1400.0, 5.41, 0.0600000000000005, 0.08000000000000007, 0.3992186813709443, 0.0, 0.1, 0.0, 0.01330868761552678
'2016-08-08', 5.35, 5.4, 5.35, 5.38, 5700.0, 5.38, -0.020000000000000462, 0.019999999999999574, 0.4096558175943421, 0.0, 0.5, 0.0, 0.013084112149532711
'2016-08-05', 5.37, 5.4, 5.37, 5.4, 600.0, 5.4, 0.07000000000000028, -0.20999999999999996, 0.42532027148177803, 0.0, 0.8, 0.0, 0.010641127959563698
