Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-06', 0.37, 0.38, 0.36, 0.37, 1166600.0, 0.37, 0.020000000000000018, 0.02999999999999997, 0.035510561809129405, -1.0, 0.5, -1.0, 0.0
'2016-09-02', 0.35, 0.37, 0.34, 0.36, 2365400.0, 0.36, 0.04999999999999999, 0.02999999999999997, 0.0357211421989835, 0.0, 0.8, -0.8, 0.0571428571428572
'2016-09-01', 0.3, 0.34, 0.3, 0.34, 1875200.0, 0.34, -0.020000000000000018, -0.040000000000000036, 0.03554183763147626, 1.0, 1.0, -0.5, 0.11666666666666668
'2016-08-31', 0.32, 0.32, 0.3, 0.31, 1056000.0, 0.31, -0.020000000000000018, 0.0, 0.03269386622730461, 0.0, 0.8, -0.1, 0.05208333333333332
'2016-08-30', 0.34, 0.34, 0.32, 0.32, 729400.0, 0.32, 0.020000000000000018, 0.010000000000000009, 0.03153305144341938, 0.0, 0.5, 0.0, 0.022058823529411742
'2016-08-29', 0.32, 0.34, 0.32, 0.34, 644500.0, 0.34, -0.020000000000000018, -0.03999999999999998, 0.030820267501903493, 0.0, 0.1, 0.0, 0.031249999999999993
'2016-08-26', 0.34, 0.35, 0.32, 0.33, 998500.0, 0.33, 0.020000000000000018, -0.03999999999999998, 0.02926697038566779, 0.0, 0.0, 0.0, 0.014705882352941162
'2016-08-25', 0.32, 0.34, 0.32, 0.33, 478500.0, 0.33, -0.010000000000000009, -0.03999999999999998, 0.029204261485079343, 0.0, 0.0, 0.0, 0.022321428571428565
'2016-08-24', 0.33, 0.35, 0.32, 0.33, 1900700.0, 0.33, -0.02999999999999997, -0.019999999999999962, 0.027616420236277306, 0.0, 0.0, 0.0, 0.015151515151515143
'2016-08-23', 0.36, 0.37, 0.34, 0.34, 630200.0, 0.34, -0.020000000000000018, -0.020000000000000018, 0.024991109530302084, 0.0, 0.0, 0.0, 0.0030864197530864226
'2016-08-22', 0.38, 0.39, 0.32, 0.35, 2160600.0, 0.35, 0.020000000000000018, -0.010000000000000009, 0.025344295873693818, 0.0, 0.0, 0.0, -0.0026315789473684236
'2016-08-19', 0.36, 0.37, 0.35, 0.36, 580600.0, 0.36, 0.010000000000000009, -0.04999999999999999, 0.02502443250549795, 0.0, 0.0, 0.0, 0.0025252525252525276
'2016-08-18', 0.35, 0.38, 0.34, 0.38, 997700.0, 0.38, -0.030000000000000027, -0.050000000000000044, 0.024424486802296495, 0.0, 0.0, 0.0, 0.004761904761904767
'2016-08-17', 0.38, 0.38, 0.34, 0.36, 1977000.0, 0.36, -0.010000000000000009, -0.020000000000000018, 0.022499382707581606, 0.0, 0.0, 0.0, -0.0020242914979757103
'2016-08-16', 0.39, 0.39, 0.37, 0.37, 1635500.0, 0.37, -0.019999999999999962, -0.019999999999999962, 0.02528943565118754, 0.0, 0.0, 0.0, -0.0036630036630036665
'2016-08-15', 0.41, 0.41, 0.39, 0.39, 969800.0, 0.39, 0.009999999999999953, 0.009999999999999953, 0.029793735359411825, 0.0, 0.0, 0.0, -0.006504065040650404
'2016-08-12', 0.4, 0.42, 0.39, 0.39, 816600.0, 0.39, 0.0, 0.010000000000000009, 0.03543381937578217, 0.0, 0.0, 0.0, -0.004687500000000004
'2016-08-11', 0.4, 0.43, 0.39, 0.4, 2345300.0, 0.4, -0.009999999999999953, 0.0, 0.03919892288769623, 0.0, 0.0, 0.0, -0.004411764705882356
'2016-08-10', 0.41, 0.42, 0.4, 0.41, 1237100.0, 0.41, 0.009999999999999953, 0.0, 0.04391911757866828, 0.0, 0.0, 0.0, -0.005420054200542003
'2016-08-09', 0.4, 0.4, 0.38, 0.4, 1137800.0, 0.4, 0.010000000000000009, -0.009999999999999953, 0.04712748667179272, 0.0, 0.0, 0.0, -0.003947368421052635
'2016-08-08', 0.39, 0.4, 0.39, 0.39, 520700.0, 0.39, -0.010000000000000009, -0.02999999999999997, 0.04996554368317787, 0.0, 0.0, 0.0, -0.0025641025641025663
'2016-08-05', 0.4, 0.4, 0.38, 0.39, 1236500.0, 0.39, -0.009999999999999953, -0.009999999999999953, 0.05150620243124986, 0.0, 0.0, 0.0, -0.0035714285714285744
'2016-08-04', 0.41, 0.41, 0.4, 0.4, 950700.0, 0.4, 0.0, -0.010000000000000009, 0.05491407429389624, 0.0, 0.0, 0.0, -0.004434589800443457
'2016-08-03', 0.41, 0.41, 0.4, 0.41, 894200.0, 0.41, -0.010000000000000009, -0.020000000000000018, 0.05715087245372744, 0.0, 0.0, 0.0, -0.004241781548250263
'2016-08-02', 0.42, 0.42, 0.41, 0.41, 1555800.0, 0.41, 0.010000000000000009, 0.019999999999999962, 0.059032947486034354, 0.0, 0.0, -0.1, -0.004960317460317459
'2016-08-01', 0.41, 0.42, 0.39, 0.42, 724900.0, 0.42, -0.010000000000000009, 0.019999999999999962, 0.060351746729761964, 0.0, 0.0, -0.5, -0.003902439024390242
'2016-07-29', 0.42, 0.42, 0.4, 0.4, 1759800.0, 0.4, -0.010000000000000009, 0.019999999999999962, 0.061206390370795616, 0.0, 0.1, -0.8, -0.004578754578754578
'2016-07-28', 0.43, 0.43, 0.39, 0.4, 967600.0, 0.4, 0.02999999999999997, 0.02999999999999997, 0.06096993794759294, -1.0, 0.5, -1.0, 0.0
'2016-07-27', 0.4, 0.42, 0.39, 0.41, 1201600.0, 0.41, 0.010000000000000009, -0.009999999999999953, 0.06109737219299116, 0.0, 0.8, -0.8, 0.07499999999999993
'2016-07-26', 0.39, 0.4, 0.38, 0.4, 1203500.0, 0.4, -0.010000000000000009, -0.03999999999999998, 0.06184299115951263, 1.0, 1.0, -0.5, 0.05128205128205125
'2016-07-25', 0.4, 0.41, 0.38, 0.38, 1748200.0, 0.38, 0.0, -0.019999999999999962, 0.06202956284439435, 0.0, 0.8, -0.1, 0.024999999999999974
'2016-07-22', 0.4, 0.41, 0.39, 0.41, 938500.0, 0.41, -0.009999999999999953, -0.03999999999999998, 0.06186005711819759, 0.0, 0.5, 0.0, 0.018749999999999982
'2016-07-21', 0.41, 0.42, 0.4, 0.4, 960000.0, 0.4, -0.020000000000000018, -0.040000000000000036, 0.061369554521946985, 0.0, 0.1, 0.0, 0.009756097560975618
'2016-07-20', 0.43, 0.43, 0.4, 0.41, 2354900.0, 0.41, 0.010000000000000009, -0.030000000000000027, 0.060586026991928325, 0.0, 0.0, 0.0, 0.0
'2016-07-19', 0.42, 0.44, 0.42, 0.44, 1969200.0, 0.44, -0.020000000000000018, -0.020000000000000018, 0.05870831854743131, 0.0, 0.0, 0.0, 0.00340136054421769
'2016-07-18', 0.44, 0.46, 0.38, 0.42, 4229100.0, 0.42, -0.010000000000000009, -0.020000000000000018, 0.05700779673771728, 0.0, 0.0, 0.0, -0.0028409090909090936
'2016-07-15', 0.45, 0.47, 0.44, 0.46, 1395000.0, 0.46, -0.010000000000000009, 0.06, 0.05398044913567217, 0.0, 0.0, 0.0, -0.004938271604938276
'2016-07-14', 0.46, 0.46, 0.43, 0.46, 2212300.0, 0.46, 0.020000000000000018, 0.09000000000000002, 0.05003998401278722, 0.0, 0.0, 0.0, -0.0065217391304347875
'2016-07-13', 0.44, 0.47, 0.43, 0.46, 2539200.0, 0.46, -0.020000000000000018, 0.06, 0.044045431091090485, 0.0, 0.0, 0.0, -0.0020661157024793406
'2016-07-12', 0.46, 0.48, 0.42, 0.43, 7010300.0, 0.43, 0.07, 0.12, 0.03853425604431582, 0.0, 0.0, 0.0, -0.005434782608695656
'2016-07-11', 0.39, 0.43, 0.39, 0.43, 3918700.0, 0.43, 0.020000000000000018, 0.07, 0.027730849247724097, 0.0, 0.0, 0.0, 0.007889546351084808
'2016-07-08', 0.37, 0.39, 0.36, 0.39, 1822400.0, 0.39, -0.010000000000000009, 0.07, 0.0233238075793812, 0.0, 0.0, 0.0, 0.011583011583011582
'2016-07-07', 0.38, 0.38, 0.36, 0.37, 1643500.0, 0.37, 0.03999999999999998, 0.07, 0.020518284528683192, 0.0, 0.0, 0.0, 0.008771929824561401
'2016-07-06', 0.34, 0.38, 0.34, 0.38, 3489700.0, 0.38, 0.020000000000000018, 0.050000000000000044, 0.014715826703096077, 0.0, 0.0, 0.0, 0.016544117647058817
'2016-07-05', 0.32, 0.34, 0.32, 0.34, 1376700.0, 0.34, 0.020000000000000018, 0.020000000000000018, 0.012892719737209141, 0.0, 0.0, 0.0, 0.020220588235294115
'2016-07-01', 0.3, 0.32, 0.3, 0.32, 1521900.0, 0.32, -0.010000000000000009, 0.0, 0.014375905768565216, 0.0, 0.0, 0.0, 0.024074074074074078
'2016-06-30', 0.31, 0.31, 0.28, 0.29, 1375700.0, 0.29, 0.020000000000000018, -0.010000000000000009, 0.014487542541400488, 0.0, 0.0, 0.0, 0.02037351443123939
'2016-06-29', 0.29, 0.3, 0.29, 0.3, 990300.0, 0.3, -0.010000000000000009, 0.009999999999999953, 0.01796292478040997, 0.0, 0.0, -0.1, 0.024137931034482762
'2016-06-28', 0.3, 0.3, 0.28, 0.29, 548300.0, 0.29, 0.0, 0.010000000000000009, 0.019765289440498122, 0.0, 0.1, -0.5, 0.020634920634920638
'2016-06-27', 0.3, 0.3, 0.29, 0.3, 1134000.0, 0.3, -0.020000000000000018, 0.010000000000000009, 0.0202895703913776, 0.0, 0.5, -0.8, 0.0196969696969697
'2016-06-24', 0.32, 0.32, 0.28, 0.3, 2963100.0, 0.3, 0.03999999999999998, 0.030000000000000027, 0.02044233080861595, -1.0, 0.8, -1.0, 0.01494565217391304
'2016-06-23', 0.28, 0.29, 0.28, 0.28, 240900.0, 0.28, -0.009999999999999953, -0.019999999999999962, 0.02121058435991071, 1.0, 1.0, -0.8, 0.022321428571428565
'2016-06-22', 0.29, 0.3, 0.28, 0.29, 321100.0, 0.29, 0.0, -0.030000000000000027, 0.022020192753218325, 0.0, 0.8, -0.5, 0.01931034482758621
'2016-06-21', 0.29, 0.3, 0.28, 0.3, 979000.0, 0.3, 0.0, 0.0, 0.02183015244004392, 0.0, 0.5, -0.1, 0.018567639257294433
'2016-06-20', 0.29, 0.3, 0.28, 0.3, 447400.0, 0.3, -0.010000000000000009, 0.0, 0.02180978373727412, 0.0, 0.1, 0.0, 0.017879948914431676
'2016-06-17', 0.3, 0.31, 0.29, 0.3, 596400.0, 0.3, -0.020000000000000018, -0.010000000000000009, 0.02170765354021991, 0.0, 0.0, 0.0, 0.015476190476190477
'2016-06-16', 0.32, 0.33, 0.29, 0.3, 1838200.0, 0.3, 0.030000000000000027, 0.010000000000000009, 0.021625602111078123, 0.0, 0.0, 0.0, 0.011853448275862068
'2016-06-15', 0.29, 0.31, 0.28, 0.3, 729400.0, 0.3, 0.0, -0.030000000000000027, 0.022597935008904387, 0.0, 0.0, 0.0, 0.01609195402298851
'2016-06-14', 0.29, 0.3, 0.29, 0.29, 828400.0, 0.29, -0.020000000000000018, -0.020000000000000018, 0.02359142970562732, 0.0, 0.0, -0.1, 0.015572858731924362
'2016-06-13', 0.31, 0.31, 0.28, 0.29, 1762700.0, 0.29, 0.0, 0.0, 0.026518337470931734, 0.0, 0.0, -0.5, 0.012096774193548387
'2016-06-10', 0.31, 0.31, 0.3, 0.31, 818300.0, 0.31, -0.010000000000000009, 0.0, 0.026999999999999996, 0.0, 0.0, -0.8, 0.011730205278592374
'2016-06-09', 0.32, 0.32, 0.3, 0.3, 741100.0, 0.3, 0.010000000000000009, 0.020000000000000018, 0.026967058093574497, -1.0, 0.0, -1.0, 0.0
'2016-06-08', 0.31, 0.32, 0.29, 0.31, 1771500.0, 0.31, 0.0, 0.02999999999999997, 0.02700617213403879, 0.0, 0.0, -0.8, 0.03225806451612906
'2016-06-07', 0.31, 0.31, 0.29, 0.3, 536700.0, 0.3, 0.0, 0.02999999999999997, 0.026948510575210312, 0.0, 0.1, -0.5, 0.01612903225806453
'2016-06-06', 0.31, 0.31, 0.29, 0.3, 1271100.0, 0.3, 0.010000000000000009, 0.02999999999999997, 0.026948510575210312, 0.0, 0.5, -0.1, 0.01075268817204302
'2016-06-03', 0.3, 0.31, 0.29, 0.3, 1337600.0, 0.3, 0.019999999999999962, 0.010000000000000009, 0.026948510575210312, 0.0, 0.8, 0.0, 0.016666666666666684
'2016-06-02', 0.28, 0.29, 0.28, 0.28, 806400.0, 0.28, 0.0, -0.019999999999999962, 0.026727015047201458, 1.0, 1.0, 0.0, 0.028571428571428553
'2016-06-01', 0.28, 0.29, 0.27, 0.28, 544200.0, 0.28, 0.0, 0.0, 0.026727015047201458, 0.0, 0.8, -0.1, 0.023809523809523794
'2016-05-31', 0.28, 0.28, 0.27, 0.28, 670300.0, 0.28, -0.009999999999999953, -0.019999999999999962, 0.026727015047201454, 0.0, 0.5, -0.5, 0.02040816326530611
'2016-05-27', 0.29, 0.3, 0.28, 0.28, 1144500.0, 0.28, -0.010000000000000009, -0.020000000000000018, 0.027317068331397167, 0.0, 0.1, -0.8, 0.012931034482758633
'2016-05-26', 0.3, 0.3, 0.28, 0.29, 819800.0, 0.29, 0.019999999999999962, -0.040000000000000036, 0.028992336152086042, -1.0, 0.0, -1.0, 0.0
'2016-05-25', 0.28, 0.3, 0.27, 0.3, 2217800.0, 0.3, -0.019999999999999962, -0.02999999999999997, 0.03021405118299909, 0.0, 0.0, -0.8, 0.07142857142857129
'2016-05-24', 0.3, 0.3, 0.28, 0.28, 2261900.0, 0.28, -0.010000000000000009, -0.06, 0.029816103031751143, 0.0, 0.0, -0.5, 0.0
'2016-05-23', 0.31, 0.32, 0.3, 0.3, 1813200.0, 0.3, -0.030000000000000027, -0.03999999999999998, 0.030103525079668358, 0.0, 0.0, -0.1, -0.01075268817204302
'2016-05-20', 0.34, 0.34, 0.32, 0.32, 849200.0, 0.32, 0.030000000000000027, 0.010000000000000009, 0.030928232338036314, 0.0, 0.0, 0.0, -0.029411764705882377
'2016-05-19', 0.31, 0.33, 0.3, 0.33, 2136900.0, 0.33, -0.04999999999999999, -0.010000000000000009, 0.03247049943153528, 0.0, 0.0, 0.0, -0.006451612903225812
'2016-05-18', 0.36, 0.36, 0.32, 0.34, 1563300.0, 0.34, 0.010000000000000009, 0.019999999999999962, 0.03461695153148719, 0.0, 0.1, 0.0, -0.027777777777777776
'2016-05-17', 0.35, 0.36, 0.35, 0.36, 1665600.0, 0.36, 0.019999999999999962, 0.0, 0.03608785575970583, 0.0, 0.5, 0.0, -0.02040816326530612
'2016-05-16', 0.33, 0.34, 0.32, 0.34, 1418900.0, 0.34, 0.010000000000000009, 0.010000000000000009, 0.03646002377033418, 0.0, 0.8, 0.0, -0.011363636363636373
'2016-05-13', 0.32, 0.33, 0.31, 0.33, 1021400.0, 0.33, -0.020000000000000018, -0.010000000000000009, 0.03720961643924263, 1.0, 1.0, 0.0, -0.006944444444444451
