Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 6.25, 6.26, 6.15, 6.19, 2313900.0, 6.095666, 0.2599999999999998, 0.3799999999999999, 0.196823666147025, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 5.99, 6.08, 5.98, 6.07, 1897400.0, 5.977495, 0.08999999999999986, 0.03000000000000025, 0.19549481379878658, 0.0, 0.1, -0.8, 0.043405676126878096
'2016-09-20', 5.9, 5.9, 5.81, 5.86, 2929400.0, 5.770695, 0.0, -0.11999999999999922, 0.20262170553905515, 0.0, 0.5, -0.5, 0.029661016949152512
'2016-09-19', 5.9, 5.91, 5.84, 5.84, 2655900.0, 5.751, 0.03000000000000025, -0.2699999999999996, 0.21037004433986214, 0.0, 0.8, -0.1, 0.019774011299435006
'2016-09-16', 5.87, 5.89, 5.83, 5.88, 2659500.0, 5.790391, -0.08999999999999986, -0.2999999999999998, 0.2253247039767771, 1.0, 1.0, 0.0, 0.016183986371379893
'2016-09-15', 5.96, 6.02, 5.94, 6.0, 3148400.0, 5.908562, -0.05999999999999961, -0.46999999999999975, 0.24088286687839702, 0.0, 0.8, 0.0, 0.009731543624161074
'2016-09-14', 6.02, 6.09, 6.0, 6.02, 1609500.0, 5.928257, -0.15000000000000036, -0.3800000000000008, 0.2656279771074994, 0.0, 0.5, 0.0, 0.006367663344407542
'2016-09-13', 6.17, 6.2, 6.05, 6.09, 3097000.0, 5.99719, 0.0, -0.20000000000000018, 0.2842614211523533, 0.0, 0.1, 0.0, 0.0018522806205140095
'2016-09-12', 6.17, 6.33, 6.16, 6.32, 1959300.0, 6.223685, -0.2599999999999998, -0.21999999999999975, 0.28771610235709016, 0.0, 0.0, 0.0, 0.0016207455429497583
'2016-09-09', 6.43, 6.46, 6.31, 6.32, 2332500.0, 6.223685, 0.02999999999999936, 0.09999999999999964, 0.28538959725649116, 0.0, 0.0, 0.0, -0.003110419906687398
'2016-09-08', 6.4, 6.49, 6.39, 6.46, 2402100.0, 6.361551, 0.03000000000000025, 0.08000000000000007, 0.27672770411041653, 0.0, 0.0, 0.0, -0.0023437500000000056
'2016-09-07', 6.37, 6.39, 6.31, 6.34, 4012200.0, 6.24338, -0.019999999999999574, 0.13999999999999968, 0.2628732267335975, 0.0, 0.0, 0.0, -0.001712573141144571
'2016-09-06', 6.39, 6.4, 6.27, 6.3, 1590400.0, 6.20399, 0.05999999999999961, 0.2599999999999998, 0.25221000949385197, 0.0, 0.0, 0.0, -0.0018257694314032303
'2016-09-02', 6.33, 6.38, 6.28, 6.36, 2047800.0, 6.263076, 0.009999999999999787, 0.29000000000000004, 0.2354308107845417, 0.0, 0.0, 0.0, -0.0009721715882853332
