Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 16.809999, 17.0, 16.66, 16.67, 595700.0, 16.67, 0.10000000000000142, 0.47999900000000295, 0.9599866900468267, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 16.709999, 16.93, 16.559999, 16.709999, 416600.0, 16.709999, 0.07000000000000028, 0.4599989999999998, 0.9928209919216839, 0.0, 0.0, -0.8, 0.005984440812952857
'2016-09-16', 16.639999, 16.870001, 16.5, 16.66, 585900.0, 16.66, 0.259999999999998, 0.5299979999999991, 1.0079476620673227, 0.0, 0.0, -0.5, 0.005108173383904702
'2016-09-15', 16.379999, 16.709999, 16.23, 16.700001, 388600.0, 16.700001, 0.049999000000003235, -0.3100019999999972, 1.0259449393934055, 0.0, 0.1, -0.1, 0.00875050928472787
'2016-09-14', 16.33, 16.440001, 16.073999, 16.370001, 447400.0, 16.370001, 0.0799999999999983, -0.5300010000000022, 1.0678999585272249, 0.0, 0.5, 0.0, 0.007348423147581185
'2016-09-13', 16.25, 16.41, 16.07, 16.33, 1052300.0, 16.33, 0.13999899999999954, -0.8899989999999995, 1.0936140476218208, 0.0, 0.8, 0.0, 0.0068922953846154
'2016-09-12', 16.110001, 16.51, 15.788, 16.469999, 740300.0, 16.469999, -0.5799999999999983, -0.8299999999999983, 1.1078069128990362, 1.0, 1.0, 0.0, 0.0072418576096508905
'2016-09-09', 16.690001, 16.690001, 16.15, 16.16, 480700.0, 16.16, -0.1700000000000017, -0.26000000000000156, 1.1048010444319751, 0.0, 0.8, 0.0, 0.0010271162613214814
'2016-09-08', 16.860001, 17.01, 16.610001, 16.92, 773800.0, 16.92, -0.2799979999999991, -0.08999999999999986, 1.0791737816806188, 0.0, 0.5, 0.0, -0.00037071468738346467
'2016-09-07', 17.139999, 17.299999, 16.67, 16.9, 569400.0, 16.9, 0.1999980000000008, 0.4499980000000008, 1.0448348428128302, 0.0, 0.1, 0.0, -0.002139245554603969
'2016-09-06', 16.940001, 17.09, 16.700001, 17.08, 745500.0, 17.08, -0.010000000000001563, 0.6100010000000005, 0.9922323227282922, 0.0, 0.0, 0.0, -0.0007674261648508611
'2016-09-02', 16.950001, 17.530001, 16.83, 16.950001, 483900.0, 16.950001, 0.0, 0.7200009999999999, 0.9481497723110116, 0.0, 0.0, 0.0, -0.0007508822297682731
'2016-09-01', 16.950001, 17.089001, 16.559999, 16.790001, 350800.0, 16.790001, 0.26000000000000156, 1.080001000000001, 0.8993485877382187, 0.0, 0.0, 0.0, -0.0006883087106209171
'2016-08-31', 16.690001, 17.0, 16.25, 16.93, 639700.0, 16.93, 0.36000100000000046, 0.9900009999999995, 0.8426335647111439, 0.0, 0.0, 0.0, 0.0005530626022500284
'2016-08-30', 16.33, 17.040001, 16.33, 16.610001, 1344700.0, 16.610001, 0.09999999999999787, 0.4399999999999977, 0.8012889616112279, 0.0, 0.0, 0.0, 0.0020995494707374816
'2016-08-29', 16.23, 16.469999, 16.16, 16.299999, 709700.0, 16.299999, 0.3600000000000012, 0.15000000000000213, 0.7804090095726869, 0.0, 0.0, 0.0, 0.0023824152803450433
'2016-08-26', 15.87, 16.379999, 15.69, 16.23, 663100.0, 16.23, 0.16999999999999993, 0.11999999999999922, 0.7608404709413282, 0.0, 0.0, -0.1, 0.0037019494328922576
'2016-08-25', 15.7, 15.86, 15.59, 15.79, 289400.0, 15.79, -0.19000000000000128, 0.06999999999999851, 0.7531342657336885, 0.0, 0.0, -0.5, 0.00415885724990634
'2016-08-24', 15.89, 15.99, 15.63, 15.73, 523900.0, 15.73, -0.18999999999999773, 0.5099999999999998, 0.7503809402933657, 0.0, 0.0, -0.8, 0.0032165547863785776
'2016-08-23', 16.08, 16.08, 15.74, 15.85, 655200.0, 15.85, 0.3299999999999983, 0.629999999999999, 0.7533955726501774, -1.0, 0.0, -1.0, 0.0
'2016-08-22', 15.75, 16.129999, 15.71, 16.040001, 371800.0, 16.040001, 0.11999999999999922, 0.5800000000000001, 0.7520880872019869, 0.0, 0.0, -0.8, 0.020952380952380844
'2016-08-19', 15.63, 15.96, 15.52, 15.76, 620900.0, 15.76, 0.25, 0.9700000000000006, 0.7596168933965104, 0.0, 0.0, -0.5, 0.01439539347408821
'2016-08-18', 15.38, 15.66, 15.32, 15.63, 589700.0, 15.63, -0.06999999999999851, 1.6400000000000006, 0.7531297965011144, 0.0, 0.0, -0.1, 0.015171218032076236
'2016-08-17', 15.45, 15.53, 15.23, 15.41, 1072500.0, 15.41, 0.27999999999999936, 1.6600000000000001, 0.7510170441918739, 0.0, 0.1, 0.0, 0.010194174757281538
'2016-08-16', 15.17, 15.49, 15.05, 15.48, 1297200.0, 15.48, 0.5099999999999998, 1.209999999999999, 0.758809036392651, 0.0, 0.5, 0.0, 0.011997363216875391
'2016-08-15', 14.66, 15.19, 14.61, 15.19, 858900.0, 15.19, 0.9199999999999999, 0.23000000000000043, 0.7663651122887613, 0.0, 0.8, 0.0, 0.01614370168258297
'2016-08-12', 13.74, 14.63, 13.74, 14.57, 599900.0, 14.57, -0.049999999999998934, -0.4599999999999991, 0.7648151825114564, 1.0, 1.0, 0.0, 0.024329382407985007
'2016-08-11', 13.79, 13.94, 13.35, 13.79, 1012100.0, 13.79, -0.1700000000000017, -0.6800000000000015, 0.7396101362054268, 0.0, 0.8, 0.0, 0.02075779550398839
'2016-08-10', 13.96, 14.19, 13.77, 13.81, 487100.0, 13.81, -0.46999999999999886, -0.35999999999999943, 0.7146604005944431, 0.0, 0.5, 0.0, 0.016873607131486765
'2016-08-09', 14.43, 14.56, 13.8, 13.9, 849700.0, 13.9, 0.23000000000000043, 0.5800000000000001, 0.704197604701052, 0.0, 0.1, 0.0, 0.011434511434511423
'2016-08-08', 14.2, 15.14, 14.1, 14.26, 1960600.0, 14.26, -0.27000000000000135, 0.14999999999999858, 0.71800057186609, 0.0, 0.0, 0.0, 0.012035851472471186
'2016-08-05', 14.47, 14.47, 13.65, 13.77, 1708700.0, 13.77, 0.15000000000000036, 0.22000000000000064, 0.7055764703182065, 0.0, 0.0, 0.0, 0.009272057129693605
'2016-08-04', 14.32, 14.5, 14.28, 14.39, 473700.0, 14.39, 0.47000000000000064, -0.5999999999999996, 0.706705612008619, 0.0, 0.0, 0.0, 0.009454232917920058
'2016-08-03', 13.85, 14.45, 13.775, 14.35, 629900.0, 14.35, -0.20000000000000107, -1.6300000000000008, 0.7063647467137869, 0.0, 0.0, 0.0, 0.011500773594636403
'2016-08-02', 14.05, 14.1, 13.76, 13.83, 585500.0, 13.83, -0.1999999999999993, -1.5999999999999996, 0.7204303801663968, 0.0, 0.0, 0.0, 0.009632265717674959
'2016-08-01', 14.25, 14.3, 14.02, 14.05, 490200.0, 14.05, -0.6699999999999999, -1.4399999999999995, 0.7666756071073123, 0.0, 0.0, 0.0, 0.008026315789473677
'2016-07-29', 14.92, 15.06, 14.17, 14.26, 1147900.0, 14.26, -0.5600000000000005, -0.8399999999999999, 0.8507238976699193, 0.0, 0.0, 0.0, 0.004573411133890547
'2016-07-28', 15.48, 15.48, 14.91, 14.99, 857200.0, 14.99, -0.16999999999999993, -0.2699999999999996, 0.9534915546791577, 0.0, 0.0, 0.0, 0.0021533161068044713
'2016-07-27', 15.65, 15.65, 15.15, 15.45, 578500.0, 15.45, -0.03999999999999915, 0.0600000000000005, 1.044962957461507, 0.0, 0.0, 0.0, 0.0014461072809820008
'2016-07-26', 15.69, 15.75, 15.49, 15.66, 334100.0, 15.66, -0.07000000000000028, -0.05000000000000071, 1.100322133740857, 0.0, 0.0, 0.0, 0.001242829827915866
'2016-07-25', 15.76, 15.8, 15.58, 15.7, 270500.0, 15.7, 0.009999999999999787, -0.05000000000000071, 1.136375335265612, 0.0, 0.0, 0.0, 0.0009668842156151757
'2016-07-22', 15.75, 15.82, 15.52, 15.76, 463800.0, 15.76, 0.16000000000000014, 0.03999999999999915, 1.141727690437235, 0.0, 0.0, 0.0, 0.0009523809523809475
'2016-07-21', 15.59, 15.78, 15.52, 15.69, 492800.0, 15.69, -0.15000000000000036, -0.009999999999999787, 1.1424865192494391, 0.0, 0.0, 0.0, 0.0013665393089215452
'2016-07-20', 15.74, 15.79, 15.53, 15.62, 470000.0, 15.62, -0.07000000000000028, 0.15000000000000036, 1.1377314159912109, 0.0, 0.0, 0.0, 0.0009000423549343448
'2016-07-19', 15.81, 15.85, 15.53, 15.72, 547400.0, 15.72, 0.09999999999999964, -0.16000000000000014, 1.1363060482301748, 0.0, 0.0, 0.0, 0.0006831119544591975
'2016-07-18', 15.71, 15.8, 15.55, 15.77, 626100.0, 15.77, 0.11000000000000121, -0.33999899999999883, 1.1146253911716155, 0.0, 0.0, 0.0, 0.0009058414532634711
'2016-07-15', 15.6, 15.69, 15.35, 15.67, 608300.0, 15.67, 0.009999999999999787, -0.370000000000001, 1.0822435451618442, 0.0, 0.0, -0.1, 0.0011396011396011365
'2016-07-14', 15.59, 15.76, 15.4, 15.56, 376900.0, 15.56, -0.3800000000000008, 0.41999999999999993, 1.0510069127270438, 0.0, 0.0, -0.5, 0.001122514432328412
'2016-07-13', 15.97, 15.99, 15.39, 15.57, 452800.0, 15.57, -0.07999899999999904, 0.9600000000000009, 1.0227233645843332, 0.0, 0.0, -0.8, 0.0002375143048388091
'2016-07-12', 16.049999, 16.200001, 15.77, 15.86, 637800.0, 15.86, 0.07999899999999904, 1.7299989999999994, 0.9647994991937322, -1.0, 0.0, -1.0, 0.0
'2016-07-11', 15.97, 16.66, 15.76, 15.99, 876700.0, 15.99, 0.8000000000000007, 1.5700000000000003, 0.8846147309547936, 0.0, 0.1, -0.8, 0.005009329993738199
'2016-07-08', 15.17, 15.89, 14.87, 15.86, 623400.0, 15.86, 0.16000000000000014, 0.3800000000000008, 0.7914802587557063, 0.0, 0.5, -0.5, 0.029004581410678965
'2016-07-07', 15.01, 15.6, 14.79, 15.05, 1413700.0, 15.05, 0.6899999999999995, 0.6899999999999995, 0.7570475546489797, 0.0, 0.8, -0.1, 0.023095691761048188
'2016-07-06', 14.32, 14.798, 14.32, 14.75, 312400.0, 14.75, -0.08000000000000007, -0.03999999999999915, 0.7158498445903302, 1.0, 1.0, 0.0, 0.03020249650837988
'2016-07-05', 14.4, 14.66, 14.35, 14.36, 251800.0, 14.36, -0.3899999999999988, 0.21000000000000085, 0.6977271832329754, 0.0, 0.8, 0.0, 0.02291665277777777
'2016-07-01', 14.79, 14.88, 14.32, 14.53, 282400.0, 14.53, 0.46999999999999886, 0.7299999999999986, 0.684628772076923, 0.0, 0.5, 0.0, 0.014198771692585087
'2016-06-30', 14.32, 14.8, 14.25, 14.75, 495900.0, 14.75, -0.03999999999999915, -0.29999999999999893, 0.6604578378333892, 0.0, 0.1, 0.0, 0.01725856943335993
'2016-06-29', 14.36, 14.54, 14.2, 14.26, 409800.0, 14.26, 0.16999999999999993, -0.07000000000000028, 0.6609820975891353, 0.0, 0.0, -0.1, 0.014710994080779947
'2016-06-28', 14.19, 14.36, 13.95, 14.17, 625100.0, 14.17, 0.129999999999999, -0.14000000000000057, 0.6395258660393129, 0.0, 0.0, -0.5, 0.01456423929214627
'2016-06-27', 14.06, 14.31, 13.63, 14.03, 725300.0, 14.03, -0.5599999999999987, 0.4400000000000013, 0.6108799663872873, 0.0, 0.0, -0.8, 0.01415362019914651
'2016-06-24', 14.62, 14.76, 14.12, 14.42, 2510400.0, 14.42, 0.1899999999999995, 1.33, 0.5847431534918177, -1.0, 0.0, -1.0, 0.0
'2016-06-23', 14.43, 15.04, 14.35, 15.04, 865800.0, 15.04, 0.09999999999999964, 1.5899999999999999, 0.5176738570009327, 0.0, 0.0, -0.8, 0.013167013167013132
'2016-06-22', 14.33, 14.44, 14.04, 14.3, 988300.0, 14.3, 0.7100000000000009, 1.7599999999999998, 0.45229341508951165, 0.0, 0.0, -0.5, 0.010118632240055797
'2016-06-21', 13.62, 14.37, 13.5, 14.33, 1432800.0, 14.33, 0.33000000000000007, 1.209999999999999, 0.3798024340218067, 0.0, 0.0, -0.1, 0.024473813020068527
'2016-06-20', 13.29, 13.66, 13.19, 13.56, 941200.0, 13.56, 0.4499999999999993, 0.6499999999999986, 0.3601766541882222, 0.0, 0.1, 0.0, 0.02501881113619263
'2016-06-17', 12.84, 13.22, 12.64, 13.21, 811400.0, 13.21, 0.2699999999999996, 0.08000000000000007, 0.4056557106162263, 0.0, 0.5, 0.0, 0.027725856697819302
'2016-06-16', 12.57, 12.84, 12.52, 12.8, 418600.0, 12.8, 0.16000000000000014, -0.6199999999999992, 0.4953751664703789, 0.0, 0.8, 0.0, 0.02718111906656058
'2016-06-15', 12.41, 12.9, 12.33, 12.64, 487100.0, 12.64, -0.23000000000000043, -0.7400000000000002, 0.5541203238768033, 1.0, 1.0, 0.0, 0.025440313111545976
'2016-06-14', 12.64, 13.0, 12.21, 12.4, 949300.0, 12.4, -0.11999999999999922, -0.6699999999999999, 0.5822794289113546, 0.0, 0.8, 0.0, 0.019580696202531632
'2016-06-13', 12.76, 13.03, 12.63, 12.69, 504500.0, 12.69, -0.4299999999999997, -0.120000000000001, 0.7064257450952177, 0.0, 0.5, 0.0, 0.016196447230929983
'2016-06-10', 13.19, 13.4, 12.8, 12.84, 465200.0, 12.84, 0.03999999999999915, 0.049999999999998934, 0.7903329818641144, 0.0, 0.1, 0.0, 0.010841546626231992
'2016-06-09', 13.15, 13.35, 12.99, 13.33, 420000.0, 13.33, -0.16000000000000014, -0.33999999999999986, 0.8665105628643864, 0.0, 0.0, 0.0, 0.010162461113031446
'2016-06-08', 13.31, 13.38, 13.15, 13.16, 386300.0, 13.16, 0.4299999999999997, -0.08999999999999986, 0.9416366366893102, 0.0, 0.0, 0.0, 0.00820185324317555
'2016-06-07', 12.88, 13.43, 12.83, 13.33, 435000.0, 13.33, -0.2599999999999998, -0.14999999999999858, 0.9879654177483476, 0.0, 0.0, 0.0, 0.010391782130912557
'2016-06-06', 13.14, 13.22, 12.91, 13.02, 234700.0, 13.02, -0.34999999999999964, 0.2400000000000002, 1.0043262528791241, 0.0, 0.0, 0.0, 0.008045227223309408
'2016-06-03', 13.49, 13.49, 13.03, 13.13, 417500.0, 13.13, 0.08999999999999986, 0.5899999999999999, 1.013000438740719, 0.0, 0.0, 0.0, 0.005584383493946128
'2016-06-02', 13.4, 13.63, 13.325, 13.5, 574500.0, 13.5, 0.370000000000001, 0.5300000000000011, 1.0311215037790433, 0.0, 0.0, 0.0, 0.005690298507462681
'2016-06-01', 13.03, 13.44, 12.85, 13.43, 567700.0, 13.43, 0.129999999999999, 0.4399999999999995, 1.0487550820960168, 0.0, 0.0, 0.0, 0.007178005507652024
'2016-05-31', 12.9, 13.12, 12.89, 13.05, 738700.0, 13.05, 0.0, 0.11000000000000121, 1.0539879822211764, 0.0, 0.0, 0.0, 0.007407407407407402
'2016-05-27', 12.9, 13.31, 12.85, 12.89, 1116500.0, 12.89, 0.030000000000001137, -0.6199999999999992, 1.044469083633722, 0.0, 0.0, 0.0, 0.007017543859649119
'2016-05-26', 12.87, 13.09, 12.75, 12.9, 529000.0, 12.9, 0.27999999999999936, 0.14999999999999858, 1.0320835991117947, 0.0, 0.0, -0.1, 0.006798756798756799
'2016-05-25', 12.59, 12.92, 12.4, 12.79, 692300.0, 12.79, -0.1999999999999993, 0.33999999999999986, 1.025525393802286, 0.0, 0.0, -0.5, 0.007678051363516016
'2016-05-24', 12.79, 12.98, 12.59, 12.62, 1143500.0, 12.62, -0.7300000000000004, 0.6199999999999992, 0.9947332975895264, 0.0, 0.0, -0.8, 0.006503660530243799
'2016-05-23', 13.52, 13.52, 12.71, 12.75, 1586900.0, 12.75, 0.7999999999999989, 1.08, 0.9689648543104591, -1.0, 0.1, -1.0, 0.0
'2016-05-20', 12.72, 13.83, 12.43, 13.61, 7587400.0, 13.61, 0.47000000000000064, -0.17999999999999972, 0.9666212058275754, 0.0, 0.5, -0.8, 0.0628930817610062
'2016-05-19', 12.25, 12.45, 11.95, 12.02, 1696800.0, 12.02, 0.08000000000000007, -0.8699999999999992, 0.9417766307475581, 0.0, 0.8, -0.5, 0.051836734693877534
'2016-05-18', 12.17, 12.37, 11.89, 12.18, 931000.0, 12.18, -0.2699999999999996, -1.3599999999999994, 0.8895054805901987, 1.0, 1.0, -0.1, 0.03697617091207887
'2016-05-17', 12.44, 12.59, 12.09, 12.26, 1364700.0, 12.26, -0.46000000000000085, -0.870000000000001, 0.805190177673711, 0.0, 0.8, 0.0, 0.021704180064308683
'2016-05-16', 12.9, 13.08, 12.77, 12.88, 357700.0, 12.88, -0.21999999999999886, -0.17999999999999972, 0.7292941031496751, 0.0, 0.5, 0.0, 0.009612403100775182
'2016-05-13', 13.12, 13.17, 12.73, 12.83, 683200.0, 12.83, -0.41000000000000014, 0.05999999999999872, 0.6776250192153966, 0.0, 0.1, 0.0, 0.005081300813008134
'2016-05-12', 13.53, 13.78, 13.04, 13.11, 537800.0, 13.11, 0.21999999999999886, -0.5, 0.6314234360202, 0.0, 0.0, 0.0, -0.00010558547143912773
'2016-05-11', 13.31, 13.85, 13.31, 13.45, 718500.0, 13.45, 0.23000000000000043, -1.25, 0.6153098587071576, 0.0, 0.0, 0.0, 0.001972201352366633
'2016-05-10', 13.08, 13.46, 13.04, 13.31, 803300.0, 13.31, 0.019999999999999574, -1.42, 0.5798832257925345, 0.0, 0.0, 0.0, 0.0037376826367652013
'2016-05-09', 13.06, 13.36, 13.05, 13.08, 511800.0, 13.08, -0.9699999999999989, -1.2699999999999996, 0.5378579944764439, 0.0, 0.0, 0.0, 0.003522205206738125
'2016-05-06', 14.03, 14.19, 12.71, 13.16, 1306500.0, 13.16, -0.5300000000000011, -1.4300000000000015, 0.4758454464307597, 0.0, 0.0, 0.0, -0.0033046070109505592
'2016-05-05', 14.56, 14.805, 14.22, 14.28, 792500.0, 14.28, 0.0600000000000005, -0.7400000000000002, 0.49287185623310525, 0.0, 0.0, 0.0, -0.005952380952380958
'2016-05-04', 14.5, 15.15, 14.475, 14.64, 651000.0, 14.64, 0.16999999999999993, -0.8200000000000003, 0.538070214335969, 0.0, 0.0, 0.0, -0.005198938992042442
'2016-05-03', 14.33, 14.77, 13.78, 14.51, 1897600.0, 14.51, -1.1300000000000008, -1.1500000000000004, 0.6052158476297711, 0.0, 0.0, 0.0, -0.004037483800219323
'2016-05-02', 15.46, 15.98, 15.37, 15.42, 1404100.0, 15.42, 0.16000000000000014, 0.3000000000000007, 0.6594236540764637, 0.0, 0.0, 0.0, -0.00836567485985339
'2016-04-29', 15.3, 15.55, 15.22, 15.41, 555700.0, 15.41, -0.019999999999999574, 0.5200000000000014, 0.6792499948881529, 0.0, 0.0, 0.0, -0.007271241830065364
'2016-04-28', 15.32, 15.594, 15.24, 15.36, 567100.0, 15.36, -0.16000000000000014, 0.8200000000000003, 0.708285017960049, 0.0, 0.0, 0.0, -0.006911380740285673
'2016-04-27', 15.48, 15.78, 15.15, 15.36, 746000.0, 15.36, 0.3200000000000003, 0.7400000000000002, 0.7145678569752647, 0.0, 0.0, 0.0, -0.007034165948894634
'2016-04-26', 15.16, 15.2, 14.74, 15.14, 538400.0, 15.14, 0.3800000000000008, 0.34999999999999964, 0.7149153796079646, 0.0, 0.0, 0.0, -0.005693653659213999
'2016-04-25', 14.78, 15.84, 14.65, 15.1, 1124200.0, 15.1, 0.27999999999999936, 0.08000000000000007, 0.735356980580785, 0.0, 0.0, 0.0, -0.0042625169147496615
