Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-13', 12.64, 12.64, 12.44, 12.46, 25000.0, 12.46, 0.07000000000000028, 0.14000000000000057, 0.1338739041868215, -1.0, 0.0, -1.0, 0.0
'2016-10-12', 12.57, 12.73, 12.45, 12.65, 15300.0, 12.65, -0.049999999999998934, 0.10999999999999943, 0.1324474738654285, 0.0, 0.0, -0.8, 0.005568814638027071
'2016-10-11', 12.62, 12.67, 12.46, 12.52, 17700.0, 12.52, 0.009999999999999787, 0.21999999999999886, 0.13390253503533425, 0.0, 0.0, -0.5, 0.0007923930269414165
'2016-10-10', 12.61, 12.65, 12.55, 12.61, 11400.0, 12.61, 0.10999999999999943, 0.11999999999999922, 0.13659388305809644, 0.0, 0.1, -0.1, 0.0007930214115781426
'2016-10-07', 12.5, 12.59, 12.44, 12.51, 23200.0, 12.51, 0.03999999999999915, -0.11999999999999922, 0.14164117417694008, 0.0, 0.5, 0.0, 0.0028000000000000112
'2016-10-06', 12.46, 12.6, 12.38, 12.53, 22200.0, 12.53, 0.0600000000000005, -0.23999999999999844, 0.1505013842682741, 0.0, 0.8, 0.0, 0.0028892455858747948
'2016-10-05', 12.4, 12.62, 12.4, 12.5, 14700.0, 12.5, -0.08999999999999986, -0.25, 0.153998917745115, 1.0, 1.0, 0.0, 0.003225806451612906
'2016-10-04', 12.49, 12.56, 12.33, 12.39, 18600.0, 12.39, -0.129999999999999, -0.16000000000000014, 0.15734745699318523, 0.0, 0.8, 0.0, 0.001715658240878421
'2016-10-03', 12.62, 12.73, 12.43, 12.52, 17400.0, 12.52, -0.08000000000000007, -0.02000000000000135, 0.16720712371852545, 0.0, 0.5, 0.0, 0.00019809825673535413
'2016-09-30', 12.7, 12.75, 12.58, 12.7, 43200.0, 12.7, 0.049999999999998934, 0.129999999999999, 0.17248156101128306, 0.0, 0.1, 0.0, -0.0005249343832020886
'2016-09-29', 12.65, 12.77, 12.62, 12.62, 24200.0, 12.62, 0.0, -0.15000000000000036, 0.1676451278411901, 0.0, 0.0, 0.0, -7.905138339920781e-05
'2016-09-28', 12.65, 12.77, 12.6, 12.66, 21600.0, 12.66, 0.009999999999999787, -0.07000000000000028, 0.16444012757096618, 0.0, 0.0, 0.0, -7.186489399927981e-05
'2016-09-27', 12.64, 12.78, 12.48, 12.7, 25700.0, 12.7, 0.07000000000000028, 0.030000000000001137, 0.17232430666237059, 0.0, 0.0, 0.0, 0.0
'2016-09-26', 12.57, 12.76, 12.5, 12.51, 24300.0, 12.51, -0.23000000000000043, -0.08000000000000007, 0.17431166213296115, 0.0, 0.0, 0.0, 0.0004283703567713132
