Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 373.679993, 375.950012, 372.299988, 373.869995, 556900.0, 373.869995, 6.01998900000001, 11.03997800000002, 4.080735662584378, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 367.660004, 371.23999, 366.329987, 370.369995, 488100.0, 370.369995, -4.149993999999992, 6.959992, 3.995783100728568, 0.0, 0.0, -0.8, 0.016373793544320392
'2016-09-20', 371.809998, 371.809998, 365.709991, 365.709991, 461800.0, 365.709991, 2.94000299999999, 10.029999000000032, 4.033664622490817, 0.0, 0.0, -0.5, 0.0025147185525656807
'2016-09-19', 368.869995, 372.410004, 366.519989, 367.959991, 547500.0, 367.959991, 6.229980000000012, 3.2999880000000417, 4.120964314348876, 0.0, 0.0, -0.1, 0.004346606361047797
'2016-09-16', 362.640015, 366.579987, 360.109985, 365.970001, 1122300.0, 365.970001, 1.9400029999999902, 2.6400150000000053, 4.123729099339111, 0.0, 0.0, 0.0, 0.007610838257879525
'2016-09-15', 360.700012, 366.859985, 359.350006, 365.5, 588900.0, 365.5, -1.07998699999996, -8.959992, 3.9456684570975136, 0.0, 0.1, 0.0, 0.007197105942985113
'2016-09-14', 361.779999, 364.73999, 359.279999, 360.700012, 394500.0, 360.700012, -3.7900080000000003, -10.239990000000034, 3.623105832082105, 0.0, 0.5, 0.0, 0.005482150309070407
'2016-09-13', 365.570007, 367.75, 358.859985, 360.910004, 689200.0, 360.910004, 5.5700069999999755, -4.289978000000019, 3.3818359104949782, 0.0, 0.8, 0.0, 0.003169213574382309
'2016-09-12', 360.0, 369.320007, 358.420013, 368.100006, 868700.0, 368.100006, -9.660004000000015, -13.809998000000007, 3.340940139052829, 1.0, 1.0, 0.0, 0.004749997569444453
'2016-09-09', 369.660004, 370.170013, 362.130005, 362.179993, 648200.0, 362.179993, -2.3599849999999947, -4.850006000000008, 3.0870545679374874, 0.0, 0.8, 0.0, 0.0012083142336503506
'2016-09-08', 372.019989, 373.440002, 371.179993, 372.380005, 380100.0, 372.380005, 2.160004000000015, -2.1000060000000076, 3.3589751835721513, 0.0, 0.5, 0.0, 0.0004462136576215035
'2016-09-07', 369.859985, 373.649994, 368.0, 373.540009, 378500.0, 373.540009, -3.9500130000000127, -2.660004000000015, 3.5954518101848105, 0.0, 0.1, 0.0, 0.0009389322138902299
'2016-09-06', 373.809998, 374.48999, 369.76001, 371.589996, 532200.0, 371.589996, -0.7000120000000152, -0.29000800000000027, 3.9182728798878848, 0.0, 0.0, 0.0, -2.8981969604779186e-05
'2016-09-02', 374.51001, 375.690002, 371.910004, 373.850006, 293500.0, 373.850006, 0.39001500000000533, 2.369995000000017, 3.969604228475604, 0.0, 0.0, 0.0, -0.0001704826568947019
'2016-09-01', 374.119995, 375.829987, 366.720001, 372.170013, 457500.0, 372.170013, 1.6000060000000076, 4.119995000000017, 4.097462387746339, 0.0, 0.0, 0.0, -8.40070424081818e-05
'2016-08-31', 372.519989, 374.040009, 370.660004, 372.809998, 618100.0, 372.809998, -1.580016999999998, 4.51998900000001, 4.259530227313241, 0.0, 0.0, 0.0, 0.0002075958399107571
'2016-08-30', 374.100006, 376.649994, 373.600006, 376.0, 631400.0, 373.710009, 1.9599910000000023, 2.450012000000015, 4.471265491840638, 0.0, 0.0, 0.0, -7.017057492375165e-05
'2016-08-29', 372.140015, 375.720001, 371.859985, 373.799988, 362900.0, 371.523395, 2.1400150000000053, -2.339995999999985, 4.7761731588344825, 0.0, 0.0, 0.0, 0.00024342166261392696
'2016-08-26', 370.0, 373.910004, 368.519989, 371.089996, 362000.0, 368.829909, 2.0, -1.8999939999999924, 4.940757956515805, 0.0, 0.0, -0.1, 0.0005525515015015052
'2016-08-25', 368.0, 369.359985, 366.670013, 368.5, 485300.0, 366.255687, -3.6499939999999924, -1.9299930000000245, 5.2218846421816165, 0.0, 0.0, -0.5, 0.0008123559782608731
'2016-08-24', 371.649994, 372.76001, 368.359985, 369.119995, 401400.0, 366.871906, -2.830016999999998, 2.630004999999983, 5.580849276432059, 0.0, 0.0, -0.8, 0.00027310628720204314
'2016-08-23', 374.480011, 374.480011, 372.149994, 372.279999, 284000.0, 370.012664, 2.580016999999998, 7.460021999999981, 5.621390878869222, -1.0, 0.0, -1.0, 0.0
'2016-08-22', 371.899994, 372.48999, 369.75, 371.549988, 390600.0, 369.287099, 1.970000999999968, 2.7799989999999752, 5.933654391260264, 0.0, 0.0, -0.8, 0.006937394572800122
'2016-08-19', 369.929993, 372.980011, 367.73999, 372.049988, 378900.0, 369.784054, 0.9100040000000149, 1.9299930000000245, 6.408121530985499, 0.0, 0.0, -0.5, 0.006149836571915873
'2016-08-18', 369.019989, 370.899994, 369.019989, 370.790009, 291200.0, 368.531748, 2.0, 4.01998900000001, 7.371804210730936, 0.0, 0.0, -0.1, 0.004932002025866753
'2016-08-17', 367.019989, 370.420013, 366.559998, 370.100006, 338300.0, 367.845948, -2.1000060000000076, 0.7299800000000118, 8.741562887366943, 0.0, 0.1, 0.0, 0.005081482087887031
'2016-08-16', 369.119995, 370.950012, 366.98999, 367.070007, 312300.0, 364.834403, 1.1199950000000172, -0.3999939999999924, 10.067762681863355, 0.0, 0.5, 0.0, 0.0029042133033188697
'2016-08-15', 368.0, 371.769989, 367.730011, 370.73999, 369000.0, 368.482034, 3.0, -4.5, 10.62003065856047, 0.0, 0.8, 0.0, 0.0029347875905797057
'2016-08-12', 365.0, 367.070007, 364.0, 366.600006, 360400.0, 364.367264, -1.2900089999999977, -9.540008999999998, 10.906422074065048, 1.0, 1.0, 0.0, 0.0037103761252446146
'2016-08-11', 366.290009, 368.809998, 366.290009, 367.390015, 495600.0, 365.152462, -3.229980000000012, -3.9899899999999775, 11.408278615546918, 0.0, 0.8, 0.0, 0.002794917209985924
'2016-08-10', 369.519989, 369.519989, 365.51001, 366.440002, 489000.0, 364.208235, -2.9800109999999904, 1.8499760000000265, 12.347513084709638, 0.0, 0.5, 0.0, 0.0014914309698021598
'2016-08-09', 372.5, 372.5, 368.23999, 368.649994, 534600.0, 366.404767, -2.0400089999999977, 5.420012999999983, 13.323963709629416, 0.0, 0.1, 0.0, 0.0005315465771812054
