Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 17.74, 17.969999, 17.5, 17.51, 155200.0, 16.951818, 0.22999999999999687, 0.7399999999999984, 0.35585733152542404, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 17.51, 17.940001, 17.32, 17.709999, 156100.0, 17.145441, 0.26000000000000156, 0.2199990000000014, 0.3828084679203252, 0.0, 0.1, -0.8, 0.013135351227869609
'2016-09-20', 17.25, 17.540001, 17.1, 17.139999, 142400.0, 16.593612, 0.010000000000001563, -0.04999899999999968, 0.38820453921491205, 0.0, 0.5, -0.5, 0.014202898550724593
'2016-09-19', 17.24, 17.57, 17.17, 17.219999, 111400.0, 16.671061, 0.23999999999999844, -0.19000000000000128, 0.3992354573993606, 0.0, 0.8, -0.1, 0.009667440061871617
'2016-09-16', 17.0, 17.450001, 17.0, 17.17, 168700.0, 16.622656, -0.2900010000000002, -0.38999899999999954, 0.4680419646194951, 1.0, 1.0, 0.0, 0.010882352941176447
'2016-09-15', 17.290001, 17.5, 17.15, 17.209999, 83300.0, 16.66138, -0.009997999999999507, -0.41000000000000014, 0.5080595833390892, 0.0, 0.8, 0.0, 0.005205309126355727
'2016-09-14', 17.299999, 17.540001, 17.08, 17.26, 88900.0, 16.709787, -0.13000100000000003, -0.38000100000000003, 0.5459665975134671, 0.0, 0.5, 0.0, 0.004238930880863045
'2016-09-13', 17.43, 17.790001, 17.139999, 17.309999, 196100.0, 16.758192, 0.040001000000000175, -0.14000000000000057, 0.587566059454273, 0.0, 0.1, 0.0, 0.002540775346283081
'2016-09-12', 17.389999, 17.84, 17.309999, 17.610001, 98100.0, 17.04863, -0.3100020000000008, -0.21000100000000188, 0.6035731914564103, 0.0, 0.0, 0.0, 0.002515821018736106
'2016-09-09', 17.700001, 17.969999, 17.4, 17.58, 86700.0, 17.019586, 0.0200010000000006, 0.620001000000002, 0.6146277260806731, 0.0, 0.0, 0.0, 0.0002510922645333819
'2016-09-08', 17.68, 17.99, 17.6, 17.85, 201800.0, 17.280979, 0.10999999999999943, 0.5699989999999993, 0.6334631198598875, 0.0, 0.0, 0.0, 0.0003393665158370968
'2016-09-07', 17.57, 17.809999, 17.450001, 17.450001, 82300.0, 16.893731, -0.030000000000001137, 0.14000000000000057, 0.6283916088982774, 0.0, 0.0, 0.0, 0.0008795984891602325
'2016-09-06', 17.6, 17.74, 17.559999, 17.57, 71000.0, 17.009904, 0.5200000000000031, -0.02000099999999705, 0.6247531695712761, 0.0, 0.0, 0.0, 0.0006628787878787737
'2016-09-02', 17.08, 17.620001, 17.08, 17.440001, 75400.0, 16.884049, -0.030001000000002165, -0.47999900000000295, 0.6060304152987419, 0.0, 0.0, -0.1, 0.002972437398666908
'2016-09-01', 17.110001, 17.219999, 16.879999, 16.940001, 80300.0, 16.399988, -0.31999899999999926, -0.01999800000000107, 0.6042280338493261, 0.0, 0.0, -0.5, 0.0026300365833659754
