Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 23.690001, 23.85, 23.549999, 23.719999, 79400.0, 23.719999, 0.17000099999999918, 0.8600010000000005, 0.5439236956703364, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 23.52, 23.540001, 23.139999, 23.450001, 105000.0, 23.450001, 0.23999900000000096, 0.9199999999999982, 0.5719893422671722, 0.0, 0.0, -0.8, 0.007227933673469353
'2016-09-20', 23.280001, 23.469999, 23.190001, 23.450001, 88900.0, 23.450001, 0.3100019999999972, 1.140001999999999, 0.6203520725993775, 0.0, 0.0, -0.5, 0.00880584154614083
'2016-09-19', 22.969999, 23.32, 22.969999, 23.23, 95700.0, 23.23, 0.1399990000000031, 0.7199990000000014, 0.6679629316066376, 0.0, 0.1, -0.1, 0.01044844044906862
'2016-09-16', 22.83, 22.940001, 22.639999, 22.879999, 183200.0, 22.879999, 0.22999999999999687, 0.5799999999999983, 0.6780793959415808, 0.0, 0.5, 0.0, 0.009417444152431018
'2016-09-15', 22.6, 23.1, 22.6, 22.84, 78100.0, 22.84, 0.4600010000000019, -0.22999999999999687, 0.6838749477958348, 0.0, 0.8, 0.0, 0.009646026548672543
'2016-09-14', 22.139999, 22.6, 22.07, 22.57, 90600.0, 22.57, -0.11000100000000046, -0.9100000000000001, 0.6761249112738047, 1.0, 1.0, 0.0, 0.011668187820002457
'2016-09-13', 22.25, 22.42, 22.07, 22.15, 234300.0, 22.15, 0.0, -1.0300009999999986, 0.637235278545339, 0.0, 0.8, 0.0, 0.009245592295345096
'2016-09-12', 22.25, 22.52, 22.18, 22.35, 163600.0, 22.35, -0.5799999999999983, -1.0899999999999999, 0.6001798991418048, 0.0, 0.5, 0.0, 0.00808989325842696
'2016-09-09', 22.83, 22.870001, 22.49, 22.540001, 117800.0, 22.540001, -0.2199990000000014, -0.22999900000000295, 0.5343215014290764, 0.0, 0.1, 0.0, 0.004185530734413786
'2016-09-08', 23.049999, 23.110001, 22.879999, 22.940001, 218000.0, 22.940001, -0.23000199999999893, -0.15000200000000063, 0.5064495370282108, 0.0, 0.0, 0.0, 0.002776581465361448
'2016-09-07', 23.280001, 23.299999, 23.07, 23.129999, 145600.0, 23.129999, -0.059999000000001246, 0.27000099999999705, 0.48841451247944, 0.0, 0.0, 0.0, 0.0016010620992983327
'2016-09-06', 23.34, 23.469999, 23.200001, 23.27, 180900.0, 23.27, 0.2800009999999986, 0.17999999999999972, 0.4783298416137935, 0.0, 0.0, 0.0, 0.0012496465295629782
'2016-09-02', 23.059999, 23.280001, 23.059999, 23.23, 313800.0, 23.23, -0.14000199999999907, -0.26000099999999904, 0.4718196538703181, 0.0, 0.0, 0.0, 0.002101547892855161
'2016-09-01', 23.200001, 23.200001, 22.969999, 22.99, 151000.0, 22.99, 0.19000099999999875, -0.9299980000000012, 0.4481898901141447, 0.0, 0.0, 0.0, 0.0015086206246284165
'2016-08-31', 23.01, 23.190001, 22.860001, 23.02, 110500.0, 23.02, -0.14999999999999858, -1.1999989999999983, 0.43515192534775987, 0.0, 0.0, 0.0, 0.001970160799652317
'2016-08-30', 23.16, 23.24, 22.940001, 23.049999, 138100.0, 23.049999, -0.16000000000000014, -1.0400010000000002, 0.4030522056901276, 0.0, 0.0, -0.1, 0.0014302704015544004
'2016-08-29', 23.32, 23.57, 23.120001, 23.23, 115200.0, 23.23, -0.8099990000000012, -0.739999000000001, 0.3836520333156948, 0.0, 0.0, -0.5, 0.0009333089496518981
'2016-08-26', 24.129999, 24.200001, 23.540001, 23.6, 134800.0, 23.32, -0.0799999999999983, 0.36999899999999997, 0.37109144524492327, 0.0, 0.0, -0.8, -0.0010130267031230912
'2016-08-25', 24.209999, 24.24, 23.950001, 24.040001, 96900.0, 23.75478, 0.009997999999999507, 0.7099989999999998, 0.3730354278685073, -1.0, 0.0, -1.0, 0.0
'2016-08-24', 24.200001, 24.24, 24.040001, 24.16, 221900.0, 23.873355, 0.14000199999999907, 0.4900020000000005, 0.3803869502676061, 0.0, 0.0, -0.8, 0.00041314047879582763
'2016-08-23', 24.059999, 24.25, 23.950001, 24.059999, 87500.0, 23.774541, 0.2999989999999997, 0.48999900000000096, 0.39728502810464994, 0.0, 0.0, -0.5, 0.0031172071121033417
'2016-08-22', 23.76, 23.940001, 23.629999, 23.83, 125400.0, 23.547271, 0.26000000000000156, 0.3199990000000028, 0.40691450256843364, 0.0, 0.0, -0.1, 0.006313117283950593
'2016-08-19', 23.5, 23.76, 23.34, 23.58, 110900.0, 23.300237, -0.20999899999999982, -0.12000099999999847, 0.40819653768533315, 0.0, 0.1, 0.0, 0.0075531808510638275
'2016-08-18', 23.709999, 23.799999, 23.51, 23.639999, 90700.0, 23.359524, 0.13999899999999954, -0.07000199999999879, 0.4153579526952911, 0.0, 0.5, 0.0, 0.004217629869997042
'2016-08-17', 23.57, 23.780001, 23.41, 23.59, 73600.0, 23.310118, 0.12999900000000153, -0.050000999999998186, 0.430937433587761, 0.0, 0.8, 0.0, 0.0045255197284683885
'2016-08-16', 23.440001, 23.530001, 23.219999, 23.440001, 61400.0, 23.161898, -0.17999999999999972, -0.9200000000000017, 0.5138071165335677, 1.0, 1.0, 0.0, 0.004692820375123467
'2016-08-15', 23.620001, 23.83, 23.08, 23.43, 79100.0, 23.152017, -0.16000000000000014, -1.0599990000000012, 0.5514735177488735, 0.0, 0.8, 0.0, 0.0031223432208999555
'2016-08-12', 23.780001, 24.09, 23.41, 23.610001, 99100.0, 23.329882, 0.16000000000000014, -0.979999000000003, 0.5958909795521553, 0.0, 0.5, 0.0, 0.002009148593204672
'2016-08-11', 23.620001, 24.09, 23.57, 23.719999, 114700.0, 23.438575, -0.740000000000002, -0.619999, 0.62380860323272, 0.0, 0.1, 0.0, 0.0024978745767199645
'2016-08-10', 24.360001, 24.5, 23.559999, 23.59, 138200.0, 23.310118, -0.31999899999999926, 0.050001999999999214, 0.6494339101439861, 0.0, 0.0, 0.0, -0.0005597924833642458
'2016-08-09', 24.68, 24.73, 24.17, 24.17, 42900.0, 23.883237, -0.08000000000000185, 0.38000100000000003, 0.6667066021875233, 0.0, 0.0, 0.0, -0.0015869833873581845
'2016-08-08', 24.76, 24.940001, 24.49, 24.559999, 58200.0, 24.268609, 0.5200000000000031, 0.360000000000003, 0.6483310800307203, 0.0, 0.0, 0.0, -0.0017087144277370503
'2016-08-05', 24.24, 24.66, 24.16, 24.57, 175100.0, 24.278491, -0.06999900000000281, -0.2700000000000031, 0.6060768840120864, 0.0, 0.0, 0.0, -8.840464403582807e-05
'2016-08-04', 24.309999, 24.42, 24.27, 24.32, 76000.0, 24.031457, 0.010000000000001563, 0.5399990000000017, 0.6337335318048116, 0.0, 0.0, 0.0, -0.0002742355796339918
'2016-08-03', 24.299999, 24.42, 24.200001, 24.25, 83100.0, 23.962288, -0.1000009999999989, 0.7199990000000014, 0.6481394900622938, 0.0, 0.0, 0.0, -0.0002314814910074684
'2016-08-02', 24.4, 24.450001, 24.18, 24.379999, 195800.0, 24.090745, -0.11000000000000298, 0.7799990000000001, 0.6592922359287868, 0.0, 0.0, 0.0, -0.0004580544840887145
'2016-08-01', 24.51, 24.540001, 24.360001, 24.440001, 45400.0, 24.150034, 0.740000000000002, 0.75, 0.6640060462579316, 0.0, 0.0, 0.0, -0.000679996826692057
'2016-07-29', 23.77, 24.530001, 23.77, 24.5, 138700.0, 24.209322, 0.19000000000000128, -0.3400010000000009, 0.6507364802372464, 0.0, 0.0, 0.0, 0.0009742466178066122
'2016-07-28', 23.58, 23.83, 23.49, 23.719999, 90600.0, 23.438575, -0.040001000000000175, -0.2199990000000014, 0.6523361360018359, 0.0, 0.0, -0.1, 0.0013358757421543714
'2016-07-27', 23.620001, 23.809999, 23.42, 23.540001, 98100.0, 23.260712, -0.1399990000000031, 0.08999999999999986, 0.6589366153638453, 0.0, 0.0, -0.5, 0.001189464084152364
'2016-07-26', 23.76, 23.92, 23.559999, 23.610001, 101800.0, 23.329882, -0.3500009999999989, -0.19999899999999826, 0.6647653779930556, 0.0, 0.1, -0.8, 0.0008608796296296263
'2016-07-25', 24.110001, 24.139999, 23.82, 23.879999, 122700.0, 23.596677, 0.3100020000000008, 0.5500019999999992, 0.6792365822503519, -1.0, 0.5, -1.0, 0.0
'2016-07-22', 23.799999, 24.139999, 23.690001, 23.969999, 105900.0, 23.685609, 0.26999800000000107, 0.1799980000000012, 0.6919669316444096, 0.0, 0.8, -0.8, 0.01302529466492838
'2016-07-21', 23.530001, 23.76, 23.530001, 23.709999, 114200.0, 23.428694, -0.4299980000000012, -0.12999900000000153, 0.7050160916370035, 1.0, 1.0, -0.8, 0.012324691358916685
'2016-07-20', 23.959999, 24.0, 23.549999, 23.59, 184700.0, 23.310118, 0.3999999999999986, 0.5399989999999981, 0.7311577707082723, -1.0, 0.8, -1.0, 0.0
'2016-07-19', 23.559999, 23.98, 23.559999, 23.959999, 103900.0, 23.675728, -0.060001999999997224, 0.3699980000000025, 0.7400886839954793, 0.0, 0.5, -0.8, 0.016977929413324617
'2016-07-18', 23.620001, 23.76, 23.48, 23.700001, 137900.0, 23.418814, -0.03999900000000167, 0.2800009999999986, 0.7601444857103917, 0.0, 0.1, -0.5, 0.007197247790125017
'2016-07-15', 23.66, 23.690001, 23.27, 23.540001, 133100.0, 23.260712, 0.23999999999999844, 0.010000000000001563, 0.767814001580189, 0.0, 0.5, -0.1, 0.004226528599605518
'2016-07-14', 23.42, 24.02, 23.4, 23.52, 158800.0, 23.240949, 0.22999900000000295, 0.12000100000000202, 0.7679023415920689, 0.0, 0.8, -0.1, 0.005764293339026453
'2016-07-13', 23.190001, 23.43, 23.1, 23.35, 147300.0, 23.072966, -0.1499990000000011, 0.0, 0.7663235450298038, 1.0, 1.0, -0.5, 0.006640775910272717
'2016-07-12', 23.34, 23.620001, 23.17, 23.290001, 160400.0, 23.013678, -0.3099999999999987, 1.0899999999999999, 0.7619598409367521, 0.0, 0.8, -0.8, 0.004427299343044844
'2016-07-11', 23.65, 23.65, 23.059999, 23.08, 210700.0, 22.806169, 0.3500009999999989, 1.029999, 0.7589815636469147, -1.0, 0.3, -1.0, 0.0
'2016-07-08', 23.299999, 23.639999, 23.23, 23.5, 120900.0, 23.221186, 0.10999800000000093, 0.8099990000000012, 0.7592669779613641, 0.0, 0.3, -0.8, 0.01502150279062239
'2016-07-07', 23.190001, 23.27, 23.0, 23.1, 133800.0, 22.825932, 0.9400009999999988, 0.510000999999999, 0.7571444524441997, 0.0, 0.8, -0.5, 0.009918046144111849
'2016-07-06', 22.25, 23.459999, 22.25, 23.09, 247000.0, 22.816051, -0.37000099999999847, -0.4200000000000017, 0.7491893292533266, 1.0, 1.0, -0.1, 0.020973782771535558
'2016-07-05', 22.620001, 22.639999, 22.389999, 22.450001, 334200.0, 22.183644, 0.13000100000000003, 0.12000099999999847, 0.6920954289694323, 0.0, 0.8, 0.0, 0.011383719655892148
'2016-07-01', 22.49, 22.799999, 22.32, 22.41, 143100.0, 22.144118, -0.19000000000000128, -0.3199990000000028, 0.6546627989196009, 0.0, 0.5, 0.0, 0.010315695864828816
'2016-06-30', 22.68, 22.68, 22.4, 22.459999, 230500.0, 22.193524, 0.00999999999999801, -0.8200000000000003, 0.602244168663546, 0.0, 0.1, 0.0, 0.007128159905937676
'2016-06-29', 22.67, 22.73, 22.450001, 22.559999, 202900.0, 22.292338, 0.1700000000000017, -2.0799999999999983, 0.5563173832348273, 0.0, 0.0, 0.0, 0.006175562417291555
'2016-06-28', 22.5, 22.5, 22.309999, 22.4, 187800.0, 22.134237, -0.30999900000000125, -2.1000000000000014, 0.5023169857993846, 0.0, 0.0, -0.1, 0.006388888888888881
'2016-06-27', 22.809999, 22.83, 21.41, 22.200001, 457000.0, 21.936611, -0.6900009999999988, -1.730001999999999, 0.41602845746724965, 0.0, 0.0, -0.5, 0.004091777664893547
'2016-06-24', 23.5, 23.639999, 22.809999, 22.809999, 298900.0, 22.539372, -1.25, -1.0, 0.34746644410376804, 0.0, 0.0, -0.8, 0.0006382978723404195
'2016-06-23', 24.75, 24.98, 24.41, 24.58, 96900.0, 24.288372, 0.14999999999999858, 0.5499989999999997, 0.333823184902003, -1.0, 0.0, -1.0, 0.0
'2016-06-22', 24.6, 24.889999, 24.49, 24.629999, 95600.0, 24.337778, 0.059999000000001246, 0.729999000000003, 0.3177262002981746, 0.0, 0.0, -0.8, 0.006097560975609698
'2016-06-21', 24.540001, 24.91, 24.540001, 24.68, 76600.0, 24.387186, 0.040001000000000175, 0.5100000000000016, 0.3078311896701487, 0.0, 0.1, -0.5, 0.0042787080571023576
'2016-06-20', 24.5, 24.809999, 24.49, 24.59, 169300.0, 24.298254, 0.2999989999999997, 0.4800000000000004, 0.3012574232564073, 0.0, 0.5, -0.1, 0.003401360544217687
'2016-06-17', 24.200001, 24.51, 23.950001, 24.27, 86200.0, 23.982051, 0.33000000000000185, -0.13999899999999954, 0.29707173252790153, 0.0, 0.8, 0.0, 0.005681807616454228
'2016-06-16', 23.870001, 24.08, 23.52, 23.99, 79300.0, 23.705372, -0.16000000000000014, -0.5999980000000029, 0.2969641819038117, 1.0, 1.0, 0.0, 0.007373263201790411
'2016-06-15', 24.030001, 24.27, 23.879999, 23.9, 182500.0, 23.61644, 0.010000999999999038, -0.3199990000000028, 0.30602548514138883, 0.0, 0.8, 0.0, 0.004993750659158673
'2016-06-14', 24.02, 24.120001, 23.620001, 24.0, 132200.0, 23.715254, -0.3200000000000003, -0.6500000000000021, 0.3138487594374596, 0.0, 0.5, 0.0, 0.00434162007850601
'2016-06-13', 24.34, 24.34, 23.92, 24.139999, 94600.0, 23.853592, -0.12999900000000153, 0.0, 0.3144910039349654, 0.0, 0.1, -0.1, 0.0021055875102711594
'2016-06-10', 24.469999, 24.66, 24.25, 24.34, 67300.0, 24.05122, 0.11999899999999997, -0.14000199999999907, 0.31540970044345873, 0.0, 0.0, -0.5, 0.0012714026764865036
'2016-06-09', 24.35, 24.780001, 24.35, 24.49, 181600.0, 24.19944, -0.3200000000000003, 0.06999900000000281, 0.32760236296872, 0.0, 0.0, -0.8, 0.001642710472279255
'2016-06-08', 24.67, 24.940001, 24.67, 24.860001, 103600.0, 24.565051, 0.33000000000000185, 0.9000000000000021, 0.3430073152774328, -1.0, 0.0, -1.0, 0.0
'2016-06-07', 24.34, 24.91, 24.34, 24.549999, 151600.0, 24.258728, -0.2700010000000006, 0.7199990000000014, 0.32471130973096685, 0.0, 0.0, -0.8, 0.013557929334429
'2016-06-06', 24.610001, 24.66, 24.370001, 24.540001, 105300.0, 24.248848, 0.33000000000000185, 0.6100010000000005, 0.31722074718563076, 0.0, 0.1, -0.5, 0.001218996293417486
'2016-06-03', 24.280001, 24.49, 24.07, 24.48, 114400.0, 24.189558, 0.510000999999999, 0.38000100000000003, 0.2988950582850644, 0.0, 0.5, -0.1, 0.005354187039229023
'2016-06-02', 23.77, 24.190001, 23.73, 24.15, 91300.0, 23.863474, 0.1499990000000011, -0.14000000000000057, 0.2897094409547375, 0.0, 0.8, 0.0, 0.009465713083718996
'2016-06-01', 23.620001, 23.969999, 23.620001, 23.82, 75800.0, 23.537389, -0.37999900000000153, -0.5099980000000031, 0.2928094187930073, 1.0, 1.0, 0.0, 0.00889076168963755
'2016-05-31', 24.0, 24.23, 23.690001, 23.709999, 85700.0, 23.428694, 0.10000000000000142, 0.2900010000000002, 0.2893958000165093, 0.0, 0.8, -0.1, 0.0046527777777777895
'2016-05-27', 23.9, 24.23, 23.870001, 24.07, 112400.0, 23.784423, -0.010000000000001563, 0.21999999999999886, 0.303882531252668, 0.0, 0.5, -0.5, 0.004602510460251065
'2016-05-26', 23.91, 24.35, 23.82, 24.02, 66000.0, 23.458339, -0.2199990000000014, 0.26000000000000156, 0.31846250642819596, 0.0, 0.1, -0.8, 0.003973232956921798
'2016-05-25', 24.129999, 24.41, 23.76, 24.16, 103500.0, 23.595065, 0.4200000000000017, 0.3999990000000011, 0.33379123322565946, -1.0, 0.1, -1.0, 0.0
'2016-05-24', 23.709999, 24.129999, 23.709999, 23.860001, 76000.0, 23.30208, 0.02999900000000011, -0.1400010000000016, 0.33936369546623396, 0.0, 0.5, -0.8, 0.01771404545398765
'2016-05-23', 23.68, 23.77, 23.4, 23.66, 37600.0, 23.106756, 0.030000000000001137, -0.490000000000002, 0.3861669779892571, 0.0, 0.8, -0.5, 0.009501668074324362
'2016-05-20', 23.65, 23.85, 23.59, 23.67, 66000.0, 23.116523, -0.08000000000000185, -0.370000000000001, 0.4182216176468707, 1.0, 1.0, -0.1, 0.006765313601127598
'2016-05-19', 23.73, 23.75, 23.5, 23.65, 70400.0, 23.09699, -0.120000000000001, -0.640000999999998, 0.47360273042621437, 0.0, 0.8, 0.0, 0.004214064475347673
'2016-05-18', 23.85, 24.27, 23.85, 23.92, 91100.0, 23.360677, -0.3200000000000003, -0.639999999999997, 0.5317778299883942, 0.0, 0.5, 0.0, 0.002348000000000001
'2016-05-17', 24.17, 24.209999, 23.870001, 24.02, 64900.0, 23.458339, 0.15000000000000213, -0.20000099999999676, 0.5602778628110241, 0.0, 0.1, -0.1, -0.00027583091987312214
'2016-05-16', 24.02, 24.440001, 24.0, 24.33, 107000.0, 23.76109, -0.3500009999999989, -0.28999900000000167, 0.5637553204483896, 0.0, 0.0, -0.5, 0.000654210776733686
'2016-05-13', 24.370001, 24.370001, 23.889999, 24.02, 100300.0, 23.458339, -0.11999899999999997, 0.49000199999999694, 0.5585705517961599, 0.0, 0.0, -0.8, -0.0012310319560511966
'2016-05-12', 24.49, 24.620001, 24.209999, 24.42, 88800.0, 23.848985, 0.11999899999999997, 0.6900009999999988, 0.5495785275811607, -1.0, 0.0, -1.0, 0.0
