Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-07', 35.369999, 35.400002, 34.470001, 34.5, 282000.0, 34.5, 0.23999799999999993, 1.0, 0.6128376723457396, -1.0, 0.0, -1.0, 0.0
'2016-10-06', 35.130001, 35.459999, 34.66, 35.349998, 177900.0, 35.349998, -0.039996999999999616, 0.5400009999999966, 0.6359745132922829, 0.0, 0.1, -0.8, 0.00683171059403044
'2016-10-05', 35.169998, 35.52, 35.110001, 35.360001, 209400.0, 35.155001, 0.3599969999999999, 0.619999, 0.6704478413730377, 0.0, 0.5, -0.5, 0.0028433467639094024
'2016-10-04', 34.810001, 35.619999, 34.810001, 35.029999, 304000.0, 34.826912, 0.4400019999999998, 0.04000099999999662, 0.7167705929309293, 0.0, 0.8, -0.1, 0.005362424436586488
'2016-10-03', 34.369999, 34.84, 34.310001, 34.810001, 221800.0, 34.60819, -0.22000100000000344, -0.31000099999999975, 0.7726480006384251, 1.0, 1.0, 0.0, 0.007273785489490413
'2016-09-30', 34.59, 34.880001, 34.41, 34.610001, 366000.0, 34.409349, 0.04000100000000373, -0.22999999999999687, 0.8387600369338196, 0.0, 0.8, 0.0, 0.004509968198901396
'2016-09-29', 34.549999, 34.889999, 34.419998, 34.490002, 159700.0, 34.290046, -0.22000100000000344, -0.619999, 0.9134931001755655, 0.0, 0.5, 0.0, 0.003955619989067632
'2016-09-28', 34.77, 35.02, 34.59, 34.669998, 247700.0, 34.468999, 0.09000000000000341, -0.32999799999999624, 0.9696542860912486, 0.0, 0.1, 0.0, 0.0024651752331648663
'2016-09-27', 34.68, 34.799999, 34.369999, 34.700001, 425000.0, 34.498827, -0.14000000000000057, -0.25, 1.005296695376608, 0.0, 0.0, 0.0, 0.0024870206170703583
'2016-09-26', 34.82, 35.200001, 34.75, 34.75, 290100.0, 34.548537, -0.34999799999999937, -0.22000099999999634, 1.034089724444563, 0.0, 0.0, 0.0, 0.0017550545663411823
'2016-09-23', 35.169998, 35.330002, 34.939999, 35.080002, 247900.0, 34.876625, 0.07000000000000028, 0.519995999999999, 1.0497128747009554, 0.0, 0.0, 0.0, 0.0005686693527818806
'2016-09-22', 35.099998, 35.400002, 35.0, 35.360001, 226000.0, 35.155001, 0.16999799999999965, 0.44999599999999873, 1.0500623121095924, 0.0, 0.0, 0.0, 0.0006993033291496345
'2016-09-21', 34.93, 35.099998, 34.57, 35.0, 218800.0, 34.797087, -0.1100009999999969, 0.8199990000000028, 1.0484633175915783, 0.0, 0.0, 0.0, 0.001049716098864396
'2016-09-20', 35.040001, 35.07, 34.68, 34.68, 140800.0, 34.478943, 0.389998999999996, 0.20999899999999627, 1.040057930994254, 0.0, 0.0, 0.0, 0.0007244423748293215
'2016-09-19', 34.650002, 35.080002, 34.529999, 34.799999, 235800.0, 34.598246, 0.0, -0.75, 1.0101174989528274, 0.0, 0.0, 0.0, 0.0014842237856972445
'2016-09-16', 34.650002, 34.830002, 34.32, 34.450001, 377800.0, 34.250277, 0.5400010000000037, 0.3900039999999976, 1.0081187045854514, 0.0, 0.0, 0.0, 0.0013852755333174282
'2016-09-15', 34.110001, 34.700001, 34.02, 34.639999, 311800.0, 34.439174, -0.7200010000000034, -1.3400000000000034, 1.00323732179683, 0.0, 0.0, 0.0, 0.0023087033917120144
'2016-09-14', 34.830002, 35.099998, 33.93, 34.080002, 240700.0, 33.882423, -0.5700000000000003, 1.0500030000000038, 1.018079921989013, 0.0, 0.0, -0.1, 0.0009119875850642983
'2016-09-13', 35.400002, 36.119999, 34.439999, 34.84, 531000.0, 34.638015, 1.1400039999999976, 1.620003000000004, 0.9795255327177674, 0.0, 0.0, -0.5, -4.708568472209043e-05
'2016-09-12', 34.259998, 34.889999, 34.099998, 34.619999, 402500.0, 34.419289, -1.1900029999999973, 0.4499970000000033, 0.8807590637256053, 0.0, 0.0, -0.8, 0.0017052279239233386
'2016-09-09', 35.450001, 35.900002, 34.169998, 34.360001, 1040100.0, 34.160798, 1.6700020000000038, 1.8300020000000004, 0.8469793237023414, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 33.779999, 33.779999, 32.869999, 32.970001, 298300.0, 32.778857, 0.0, 0.25, 0.6939071498097165, 0.0, 0.0, -0.8, 0.04943759767429253
'2016-09-07', 33.779999, 33.919998, 33.5, 33.810001, 400600.0, 33.613988, -0.030002000000003193, 0.05999799999999311, 0.6660467766366924, 0.0, 0.1, -0.5, 0.024718798837146266
'2016-09-06', 33.810001, 33.98, 33.59, 33.77, 194100.0, 33.574219, 0.19000199999999978, -0.09999899999999684, 0.6357344216654898, 0.0, 0.5, -0.1, 0.016168785876896807
'2016-09-02', 33.619999, 33.82, 33.419998, 33.66, 218300.0, 33.464856, 0.09000000000000341, 0.039996999999999616, 0.5983963402678077, 0.0, 0.8, -0.1, 0.013607986722426734
'2016-09-01', 33.529999, 33.720001, 33.029999, 33.360001, 170300.0, 33.166596, -0.1900020000000069, 0.0, 0.5685302952949195, 1.0, 1.0, -0.5, 0.011452442930284632
'2016-08-31', 33.720001, 33.740002, 33.41, 33.490002, 335600.0, 33.295843, -0.18999899999999315, 0.5500030000000038, 0.5398672497128741, 0.0, 0.8, -0.8, 0.008550810343491175
'2016-08-30', 33.91, 33.970001, 33.41, 33.75, 240300.0, 33.554334, 0.32999799999999624, 0.8899999999999935, 0.49475516477148723, -1.0, 0.5, -1.0, 0.0
'2016-08-29', 33.580002, 33.889999, 33.509998, 33.849998, 176900.0, 33.653753, 0.050003000000003794, 0.8900030000000001, 0.4187734729490869, 0.0, 0.1, -0.8, 0.009827217997187618
'2016-08-26', 33.529999, 33.869999, 33.209999, 33.560001, 162800.0, 33.365437, 0.3600009999999969, 0.9699979999999968, 0.36208570403692447, 0.0, 0.0, -0.5, 0.00566658233422554
'2016-08-25', 33.169998, 33.619999, 33.040001, 33.540001, 144700.0, 33.345553, 0.14999799999999652, 0.7999989999999997, 0.295450713357483, 0.0, 0.0, -0.1, 0.007436459095756722
'2016-08-24', 33.02, 33.209999, 32.889999, 33.189999, 166800.0, 32.997579, 0.3300010000000029, 0.9700010000000034, 0.2534361958736493, 0.0, 0.0, 0.0, 0.006738340399757672
'2016-08-23', 32.689999, 33.18, 32.689999, 33.009998, 171300.0, 32.818623, 0.1299980000000005, 0.5399969999999996, 0.21978679345881222, 0.0, 0.1, 0.0, 0.007464062632733616
'2016-08-22', 32.560001, 32.73, 32.189999, 32.650002, 157400.0, 32.460713, 0.19000199999999978, 0.31000099999999975, 0.25756559682489727, 0.0, 0.5, 0.0, 0.0069103140793310425
'2016-08-19', 32.369999, 32.779999, 32.369999, 32.66, 137800.0, 32.470653, 0.3200000000000003, 0.09000000000000341, 0.35990125692255126, 0.0, 0.8, 0.0, 0.0067964210581885525
'2016-08-18', 32.049999, 32.48, 31.98, 32.48, 111500.0, 32.291697, -0.10000300000000095, -0.2700010000000006, 0.48172426262447987, 1.0, 1.0, 0.0, 0.007254294298105895
'2016-08-17', 32.150002, 32.25, 31.780001, 32.099998, 81500.0, 31.913899, -0.09999799999999937, -0.019995999999999015, 0.5918735071514568, 0.0, 0.8, 0.0, 0.0060825916382006105
'2016-08-16', 32.25, 32.25, 32.0, 32.09, 120000.0, 31.903958, -0.029998999999996556, 0.16999799999999965, 0.7490690567934377, 0.0, 0.5, 0.0, 0.0051472868217054156
'2016-08-15', 32.279999, 32.549999, 32.279999, 32.279999, 85500.0, 32.092855, -0.04000100000000373, 0.05999799999999311, 0.8027286125050603, 0.0, 0.1, 0.0, 0.0045905177720392465
'2016-08-12', 32.32, 32.380001, 32.09, 32.259998, 69300.0, 32.072971, 0.15000200000000063, -0.13000100000000003, 0.8353736672098497, 0.0, 0.0, 0.0, 0.004099628712871277
'2016-08-11', 32.169998, 32.459999, 31.969999, 32.349998, 117800.0, 32.162449, 0.0899959999999993, 0.16999799999999965, 0.9038801865297006, 0.0, 0.0, -0.1, 0.004160594218635247
'2016-08-10', 32.080002, 32.209999, 31.889999, 32.029999, 244000.0, 31.844305, -0.1399990000000031, 0.20000299999999882, 0.9995689730860898, 0.0, 0.0, -0.5, 0.004074630134285609
'2016-08-09', 32.220001, 32.459999, 31.98, 32.09, 189500.0, 31.903958, -0.22999999999999687, 0.4600010000000019, 1.0900643365317977, 0.0, 0.0, -0.8, 0.0034967907046309383
'2016-08-08', 32.450001, 32.630001, 32.09, 32.299999, 117400.0, 32.11274, 0.4500010000000003, 0.35000300000000095, 1.149169796234864, -1.0, 0.1, -1.0, 0.0
'2016-08-05', 32.0, 32.599998, 31.93, 32.470001, 121300.0, 32.281756, 0.12000099999999847, -0.22000100000000344, 1.159687487980481, 0.0, 0.5, -0.8, 0.01406253125000001
'2016-08-04', 31.879999, 32.209999, 31.83, 31.860001, 73200.0, 31.675292, 0.11999899999999997, -0.5200029999999991, 1.1566743462764566, 0.0, 0.8, -0.5, 0.008939805801123123
'2016-08-03', 31.76, 31.91, 31.66, 31.860001, 122600.0, 31.675292, -0.3399979999999978, -0.7899989999999981, 1.1530442901200624, 1.0, 1.0, -0.1, 0.007241824097397132
'2016-08-02', 32.099998, 32.189999, 31.85, 31.92, 166700.0, 31.734944, -0.12000300000000408, -0.5800020000000004, 1.1517831602445647, 0.0, 0.8, 0.0, 0.002725880232142078
'2016-08-01', 32.220001, 32.25, 31.809999, 32.200001, 132800.0, 32.013321, -0.1800009999999972, -0.25, 1.1442640598027103, 0.0, 0.5, 0.0, 0.0014276846235976024
'2016-07-29', 32.400002, 32.470001, 31.959999, 32.139999, 217400.0, 31.953668, -0.14999699999999905, -0.12999699999999592, 1.1320230505410127, 0.0, 0.1, 0.0, 0.00025719648618128524
