Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 22.370001, 22.42, 22.24, 22.26, 65400.0, 22.091888, 0.41000199999999865, -0.1700000000000017, 0.4220530464295916, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 21.959999, 22.5, 21.950001, 22.360001, 94100.0, 22.191133, 0.08999800000000135, -0.7800009999999986, 0.40892860126652386, 0.0, 0.0, -0.8, 0.018670401578797825
'2016-10-04', 21.870001, 22.110001, 21.799999, 22.0, 125500.0, 21.833851, -0.5800000000000018, -1.0399990000000017, 0.35788933143644036, 0.0, 0.0, -0.5, 0.011431183748002572
'2016-10-03', 22.450001, 22.799999, 21.809999, 21.93, 160000.0, 21.76438, -0.08999999999999986, -0.34999799999999937, 0.2783969478608016, 0.0, 0.0, -0.1, -0.0011878247429328525
'2016-09-30', 22.540001, 22.809999, 22.33, 22.6, 122500.0, 22.429321, -0.19999899999999826, -0.6099989999999984, 0.26636417981649135, 0.0, 0.0, 0.0, -0.0018855367397721246
'2016-09-29', 22.74, 23.02, 22.450001, 22.469999, 57100.0, 22.300301, -0.1700000000000017, -0.5899999999999999, 0.24557333903505602, 0.0, 0.0, 0.0, -0.003254168865435356
'2016-09-28', 22.91, 23.02, 22.65, 22.92, 75900.0, 22.746904, 0.11000100000000046, -0.20000100000000032, 0.23385884807431473, 0.0, 0.0, 0.0, -0.003928408264222331
'2016-09-27', 22.799999, 22.91, 22.74, 22.799999, 57800.0, 22.627809, -0.3500009999999989, -0.26000000000000156, 0.23047797581069518, 0.0, 0.0, 0.0, -0.0026942231758118012
'2016-09-26', 23.15, 23.15, 22.67, 22.67, 48900.0, 22.498792, -0.17999999999999972, 0.010000999999999038, 0.21495130859592063, 0.0, 0.0, 0.0, -0.00421165766738661
'2016-09-23', 23.33, 23.48, 23.25, 23.26, 39800.0, 23.084336, 0.21999899999999784, 0.25, 0.21510248410265542, 0.0, 0.0, 0.0, -0.00457207696337572
'2016-09-22', 23.110001, 23.5, 23.059999, 23.469999, 74000.0, 23.292749, 0.050001999999999214, -0.059999000000001246, 0.22129832544541117, 0.0, 0.0, 0.0, -0.0032020768843757383
'2016-09-21', 23.059999, 23.23, 22.92, 23.01, 80900.0, 22.836224, -0.0799999999999983, 0.059999000000001246, 0.23801253972664707, 0.0, 0.0, 0.0, -0.002720168847756288
'2016-09-20', 23.139999, 23.200001, 22.98, 23.030001, 39200.0, 22.856073, 0.059999000000001246, -0.06000200000000078, 0.2401873717663401, 0.0, 0.1, 0.0, -0.0027729690048819834
'2016-09-19', 23.08, 23.299999, 22.99, 23.07, 46800.0, 22.89577, -0.09000000000000341, -0.12999900000000153, 0.24181939721018808, 0.0, 0.5, 0.0, -0.0023663478202906275
'2016-09-16', 23.17, 23.17, 22.84, 23.1, 224100.0, 22.925544, 0.1700000000000017, -0.17999999999999972, 0.24607171253832313, 0.0, 0.8, 0.0, -0.0024662402120969335
'2016-09-15', 23.0, 23.23, 23.0, 23.1, 53800.0, 22.925544, -0.20000100000000032, -0.2999989999999997, 0.2686104607055766, 1.0, 1.0, -0.1, -0.001826084057971019
'2016-09-14', 23.200001, 23.34, 22.969999, 22.99, 81300.0, 22.816375, -0.009997999999999507, 0.040001000000000175, 0.2972623667933314, 0.0, 0.8, -0.5, -0.002235991282931415
'2016-09-13', 23.209999, 23.32, 23.01, 23.219999, 87300.0, 23.044637, -0.1400010000000016, 0.19999899999999826, 0.33784305485172134, 0.0, 0.5, -0.8, -0.0021288948379025612
'2016-09-12', 23.35, 23.4, 23.15, 23.389999, 119900.0, 23.213353, 0.05000100000000174, 0.13000100000000003, 0.3646179570155221, -1.0, 0.1, -1.0, 0.0
'2016-09-09', 23.299999, 23.42, 23.27, 23.35, 120200.0, 23.173656, 0.13999899999999954, 0.13999899999999954, 0.37022235138773296, 0.0, 0.0, -0.8, 0.0021459657573376606
'2016-09-08', 23.16, 23.43, 23.139999, 23.370001, 68700.0, 23.193506, 0.14999999999999858, -0.13999899999999954, 0.40015293268160584, 0.0, 0.0, -0.5, 0.004101899827288456
'2016-09-07', 23.01, 23.25, 22.9, 23.23, 86500.0, 23.054562, -0.20999899999999982, -0.48999999999999844, 0.43428815569637613, 0.0, 0.0, -0.1, 0.0049253947559032285
'2016-09-06', 23.219999, 23.370001, 22.91, 22.959999, 61300.0, 22.7866, 0.059999000000001246, -0.27000099999999705, 0.4568565727037813, 0.0, 0.0, 0.0, 0.0013996662962819251
'2016-09-02', 23.16, 23.35, 23.08, 23.290001, 78300.0, 23.11411, -0.13999899999999954, -0.26000000000000156, 0.4759813187281443, 0.0, 0.0, 0.0, 0.0016407599309153824
'2016-09-01', 23.299999, 23.469999, 22.93, 23.190001, 117100.0, 23.014865, -0.20000100000000032, -0.39000199999999907, 0.5014760997964842, 0.0, 0.0, 0.0, 0.0003576609595562768
'2016-08-31', 23.5, 23.58, 23.17, 23.35, 157800.0, 23.173656, 0.010000000000001563, 0.08999999999999986, 0.5191591605239979, 0.0, 0.0, 0.0, -0.0009118541033434564
'2016-08-30', 23.49, 23.629999, 23.43, 23.49, 70800.0, 23.312598, 0.06999999999999673, 0.05999999999999872, 0.5225838792857233, 0.0, 0.1, 0.0, -0.0007449978714346372
'2016-08-29', 23.42, 23.65, 23.42, 23.49, 51800.0, 23.312598, -0.27000099999999705, -0.02000099999999705, 0.5208784530007232, 0.0, 0.5, 0.0, -0.00033209981971724203
'2016-08-26', 23.690001, 23.73, 23.450001, 23.6, 95200.0, 23.421768, 0.2800009999999986, 0.20000100000000032, 0.5219638697590145, 0.0, 0.8, 0.0, -0.0014352088883406858
'2016-08-25', 23.41, 23.65, 23.41, 23.65, 125000.0, 23.47139, -0.019999999999999574, -0.38999899999999954, 0.5120803163571597, 1.0, 1.0, 0.0, -0.0002330006601685322
'2016-08-24', 23.43, 23.59, 23.4, 23.58, 126300.0, 23.401919, -0.010000999999999038, -0.21999999999999886, 0.510278931827599, 0.0, 0.8, 0.0, -0.0002845354958030954
'2016-08-23', 23.440001, 23.65, 23.32, 23.459999, 61100.0, 23.282824, -0.04999899999999968, -0.1700000000000017, 0.5100910974853238, 0.0, 0.5, 0.0, -0.00029535638015346674
'2016-08-22', 23.49, 23.57, 23.26, 23.440001, 72500.0, 23.262977, -0.30999900000000125, -0.13000100000000003, 0.514859763323288, 0.0, 0.1, 0.0, -0.00042571306939122127
'2016-08-19', 23.799999, 23.879999, 23.41, 23.49, 125100.0, 23.312598, 0.1499990000000011, 0.2199990000000014, 0.5280253281808193, 0.0, 0.0, 0.0, -0.0012605014535224653
'2016-08-18', 23.65, 23.889999, 23.549999, 23.790001, 58800.0, 23.610334, 0.03999899999999812, 0.1099989999999984, 0.5448080522536566, 0.0, 0.0, 0.0, -0.0007928118393234597
'2016-08-17', 23.610001, 23.860001, 23.559999, 23.74, 111900.0, 23.56071, -0.00999999999999801, -0.02999799999999908, 0.5750225289503551, 0.0, 0.0, 0.0, -0.0006477838129099689
'2016-08-16', 23.620001, 23.75, 23.540001, 23.620001, 52200.0, 23.441618, 0.040001000000000175, -0.29999900000000324, 0.6350613076969541, 0.0, 0.0, 0.0, -0.0006350573632725668
'2016-08-15', 23.58, 23.860001, 23.58, 23.719999, 90800.0, 23.540861, 0.03999899999999812, -0.20000100000000032, 0.6758783895547325, 0.0, 0.0, 0.0, -0.000513369938842009
'2016-08-12', 23.540001, 23.620001, 23.25, 23.610001, 68100.0, 23.431693, -0.09999799999999937, -0.19999899999999826, 0.7043973329500184, 0.0, 0.0, 0.0, -0.0004035705011227458
'2016-08-11', 23.639999, 23.75, 22.620001, 23.639999, 82500.0, 23.461465, -0.28000100000000216, 0.6399989999999995, 0.7367493741206019, 0.0, 0.0, 0.0, -0.0005841572239692608
'2016-08-10', 23.92, 23.92, 23.58, 23.620001, 53400.0, 23.441618, 0.1399990000000031, 1.139999000000003, 0.7875606094491747, 0.0, 0.0, 0.0, -0.001083155974460323
'2016-08-09', 23.780001, 24.02, 23.66, 23.950001, 125000.0, 23.769125, 0.040001000000000175, 1.1800009999999972, 0.8112820048132049, 0.0, 0.0, 0.0, -0.000786194065011763
'2016-08-08', 23.74, 23.860001, 23.6, 23.75, 115500.0, 23.570635, 0.7399999999999984, 1.25, 0.8393804911562447, 0.0, 0.0, 0.0, -0.0006844987363100201
'2016-08-05', 23.0, 23.809999, 22.940001, 23.719999, 201300.0, 23.540861, 0.2199990000000014, 0.3999999999999986, 0.837326998383918, 0.0, 0.0, 0.0, 0.0006086956521739155
'2016-08-04', 22.780001, 23.0, 22.67, 22.940001, 82400.0, 22.766753, 0.1800009999999972, -0.2199990000000014, 0.831556473662065, 0.0, 0.0, 0.0, 0.0009623809262141197
'2016-08-03', 22.6, 22.889999, 22.469999, 22.709999, 112600.0, 22.538488, 0.11000000000000298, 0.10000000000000142, 0.8371050012993384, 0.0, 0.0, -0.1, 0.0012291052114060963
'2016-08-02', 22.49, 22.700001, 22.43, 22.549999, 129800.0, 22.379697, -0.11000000000000298, 0.11999899999999997, 0.8385556117517785, 0.0, 0.0, -0.5, 0.0013656863367846077
'2016-08-01', 22.6, 22.790001, 22.299999, 22.48, 169000.0, 22.310226, -0.3999999999999986, 0.1400010000000016, 0.839324770012154, 0.0, 0.1, -0.8, 0.0011443393347573998
'2016-07-29', 23.0, 23.0, 22.129999, 22.530001, 153300.0, 22.359849, 0.5, 0.4699990000000014, 0.8377028527801222, -1.0, 0.5, -1.0, 0.0
'2016-07-28', 22.5, 22.5, 22.32, 22.389999, 74200.0, 22.220905, 0.12999900000000153, 0.12999900000000153, 0.8166045768100363, 0.0, 0.8, -0.8, 0.022222222222222223
'2016-07-27', 22.370001, 22.66, 22.370001, 22.620001, 58200.0, 22.44917, -0.08999800000000135, -0.09999800000000292, 0.8071945470994576, 1.0, 1.0, -0.5, 0.014081335982059223
'2016-07-26', 22.459999, 22.530001, 22.299999, 22.41, 63800.0, 22.240755, -0.07000199999999879, -0.2700010000000006, 0.7998056668969231, 0.0, 0.8, -0.1, 0.008014262749225117
'2016-07-25', 22.530001, 22.530001, 22.309999, 22.389999, 42900.0, 22.220905, 0.16000000000000014, -0.3999990000000011, 0.792639709157779, 0.0, 0.5, 0.0, 0.005215257203051183
'2016-07-22', 22.370001, 22.629999, 22.27, 22.559999, 58400.0, 22.389622, -0.09999800000000292, -0.4399980000000028, 0.782839679344344, 0.0, 0.1, 0.0, 0.005632534392823689
'2016-07-21', 22.469999, 22.540001, 22.27, 22.4, 64400.0, 22.23083, -0.26000099999999904, -0.520000999999997, 0.7897567343600382, 0.0, 0.0, 0.0, 0.00393117507481864
'2016-07-20', 22.73, 22.73, 22.43, 22.49, 76000.0, 22.320151, -0.1999999999999993, -0.16999999999999815, 0.7933752602368495, 0.0, 0.0, -0.1, 0.001696939224435922
'2016-07-19', 22.93, 23.0, 22.709999, 22.85, 63400.0, 22.508716, 0.12000099999999847, 0.19000000000000128, 0.7959256914927065, 0.0, 0.0, -0.5, 0.00038159616223288424
'2016-07-18', 22.809999, 22.959999, 22.700001, 22.91, 124200.0, 22.56782, -0.1800009999999972, 0.2999989999999997, 0.7729204623161634, 0.0, 0.0, -0.8, 0.0009255249078363433
'2016-07-15', 22.99, 22.99, 22.690001, 22.82, 69900.0, 22.479164, 0.08999999999999986, 0.770000999999997, 0.7559438857630759, -1.0, 0.0, -1.0, 0.0
'2016-07-14', 22.9, 23.049999, 22.639999, 22.790001, 48400.0, 22.449613, 0.16000000000000014, 1.0499999999999972, 0.7243041226203532, 0.0, 0.0, -0.8, 0.003930131004366806
'2016-07-13', 22.74, 22.790001, 22.450001, 22.75, 69900.0, 22.410209, 0.22999999999999687, 1.100000999999999, 0.6918184907107586, 0.0, 0.0, -0.5, 0.005496921723834653
'2016-07-12', 22.51, 22.780001, 22.25, 22.690001, 99700.0, 22.351106, 0.2900010000000002, 1.360000000000003, 0.6640053937702455, 0.0, 0.0, -0.1, 0.00710795202132381
'2016-07-11', 22.219999, 22.450001, 21.9, 22.440001, 105200.0, 22.10484, 0.36999899999999997, 1.019998000000001, 0.6442138630061542, 0.0, 0.0, 0.0, 0.00866337797764974
'2016-07-08', 21.85, 22.190001, 21.74, 22.15, 150000.0, 21.819171, 0.21000100000000188, 0.610000000000003, 0.6344729958007851, 0.0, 0.0, 0.0, 0.010434782608695625
'2016-07-07', 21.639999, 21.73, 21.450001, 21.66, 130600.0, 21.336489, 0.48999900000000096, 0.5799999999999983, 0.6339628196251959, 0.0, 0.0, 0.0, 0.010397420381889412
