Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-30', 1.0, 1.0, 0.9, 0.9, 18600.0, 0.9, 0.050000000000000044, 0.09999999999999998, 0.03270795010391206, -1.0, 0.0, -1.0, 0.0
'2016-09-29', 0.95, 0.98, 0.95, 0.973, 1700.0, 0.973, -0.030000000000000027, -0.010000000000000009, 0.03519136573397263, 0.0, 0.0, -0.8, 0.052631578947368474
'2016-09-28', 0.98, 0.98, 0.95, 0.96, 14200.0, 0.96, -0.010000000000000009, 0.0, 0.03570665982076112, 0.0, 0.0, -0.5, 0.01020408163265307
'2016-09-27', 0.99, 0.99, 0.88, 0.97, 9800.0, 0.97, 0.08999999999999997, -0.020000000000000018, 0.038334043471683094, 0.0, 0.0, -0.1, 0.0033670033670033703
'2016-09-26', 0.9, 0.97, 0.88, 0.96, 14100.0, 0.96, -0.05999999999999994, -0.07999999999999996, 0.03969255457751352, 0.0, 0.0, 0.0, 0.02777777777777777
'2016-09-23', 0.96, 0.975, 0.945, 0.945, 8900.0, 0.945, -0.020000000000000018, -0.031000000000000028, 0.03814912260531762, 0.0, 0.0, 0.0, 0.008333333333333342
'2016-09-22', 0.98, 1.0, 0.96, 0.96, 4700.0, 0.96, -0.030000000000000027, -0.020000000000000018, 0.03831949025409047, 0.0, 0.0, 0.0, 0.00340136054421769
'2016-09-21', 1.01, 1.02, 0.96, 1.0, 37300.0, 1.0, 0.030000000000000027, 0.010000000000000009, 0.038772054655669505, 0.0, 0.0, 0.0, -0.0014144271570014156
'2016-09-20', 0.98, 1.0, 0.943, 1.0, 14600.0, 1.0, -0.01100000000000001, 0.0020000000000000018, 0.03869173038260244, 0.0, 0.0, 0.0, 0.0025510204081632677
'2016-09-19', 0.991, 1.01, 0.98, 0.99, 33400.0, 0.99, -0.009000000000000008, -0.009000000000000008, 0.04156046465358903, 0.0, 0.1, 0.0, 0.0010090817356205861
'2016-09-16', 1.0, 1.02, 0.939, 0.946, 48600.0, 0.946, 0.0, -0.030000000000000027, 0.04198470621018511, 0.0, 0.5, 0.0, 0.0
'2016-09-15', 1.0, 1.01, 0.94, 1.0, 11700.0, 1.0, 0.02200000000000002, -0.010000000000000009, 0.04201327832430547, 0.0, 0.8, -0.1, 0.0
'2016-09-14', 0.978, 1.02, 0.97, 1.0, 33100.0, 1.0, -0.02200000000000002, -0.02100000000000002, 0.04198519580360044, 1.0, 1.0, -0.5, 0.0018745739604635325
'2016-09-13', 1.0, 1.02, 0.967, 1.0, 8300.0, 1.0, -0.030000000000000027, 0.02100000000000002, 0.04229558684622626, 0.0, 0.8, -0.8, 0.0
'2016-09-12', 1.03, 1.04, 0.91, 1.0, 118200.0, 1.0, 0.020000000000000018, 0.020000000000000018, 0.0432078310803339, -1.0, 0.3, -1.0, 0.0
'2016-09-09', 1.01, 1.05, 0.99, 1.03, 13600.0, 1.03, 0.01100000000000001, 0.0030000000000001137, 0.043032610373477886, 0.0, 0.3, -0.8, 0.01980198019801982
'2016-09-08', 0.999, 1.01, 0.97, 1.005, 12600.0, 1.005, 0.020000000000000018, -0.01100000000000001, 0.043032610373477886, 0.0, 0.8, -0.5, 0.01551551551551553
'2016-09-07', 0.979, 1.01, 0.97, 0.97, 13200.0, 0.97, -0.031000000000000028, -0.031000000000000028, 0.0461177719419411, 1.0, 1.0, -0.1, 0.017364657814096032
'2016-09-06', 1.01, 1.01, 0.97, 1.0, 24700.0, 1.0, 0.0030000000000001137, 0.009000000000000119, 0.04833242527882637, 0.0, 0.8, 0.0, 0.004950495049504955
'2016-09-02', 1.007, 1.02, 0.99, 1.01, 12500.0, 1.01, -0.0030000000000001137, -0.02300000000000013, 0.04833242527882637, 0.0, 0.5, 0.0, 0.004568023833167852
'2016-09-01', 1.01, 1.029, 1.0, 1.01, 14000.0, 1.01, 0.0, -0.040000000000000036, 0.04839559208578127, 0.0, 0.1, 0.0, 0.003300330033003303
'2016-08-31', 1.01, 1.03, 1.01, 1.03, 15900.0, 1.03, 0.009000000000000119, -0.010000000000000009, 0.049347070159568074, 0.0, 0.0, 0.0, 0.002828854314002831
'2016-08-30', 1.001, 1.03, 0.987, 1.03, 8500.0, 1.03, -0.029000000000000137, -0.06300000000000017, 0.051721691129866736, 0.0, 0.0, 0.0, 0.003621378621378639
'2016-08-29', 1.03, 1.05, 0.97, 1.02, 26100.0, 1.02, -0.020000000000000018, -0.030000000000000027, 0.05735938361670993, 0.0, 0.0, 0.0, 0.0
'2016-08-26', 1.05, 1.05, 1.0, 1.05, 5900.0, 1.05, 0.030000000000000027, 0.0, 0.06112690805928999, 0.0, 0.0, 0.0, -0.0019047619047619065
'2016-08-25', 1.02, 1.06, 0.99, 1.06, 15200.0, 1.06, -0.04400000000000004, 0.0, 0.06469491650989455, 0.0, 0.0, 0.0, 0.0008912655971479508
'2016-08-24', 1.064, 1.067, 1.03, 1.05, 6700.0, 1.05, 0.0040000000000000036, 0.134, 0.06992638192334058, 0.0, 0.0, 0.0, -0.002662907268170428
'2016-08-23', 1.06, 1.129, 1.03, 1.07, 65200.0, 1.07, 0.010000000000000009, 0.1200000000000001, 0.07369294403129786, 0.0, 0.0, 0.0, -0.0021770682148040655
'2016-08-22', 1.05, 1.06, 1.04, 1.06, 52800.0, 1.06, 0.030000000000000027, 0.13, 0.07730160987255628, 0.0, 0.0, 0.0, -0.001360544217687076
'2016-08-19', 1.02, 1.05, 1.02, 1.04, 51900.0, 1.04, 0.08999999999999997, 0.08000000000000007, 0.08208657354010798, 0.0, 0.0, 0.0, 0.0006535947712418306
'2016-08-18', 0.93, 1.02, 0.93, 1.0, 142100.0, 1.0, -0.009999999999999898, 0.009000000000000008, 0.08620637382983283, 0.0, 0.0, 0.0, 0.00672043010752688
'2016-08-17', 0.94, 0.95, 0.88, 0.926, 23900.0, 0.926, 0.019999999999999907, -0.015000000000000013, 0.08770141896736271, 0.0, 0.0, 0.0, 0.005632040050062584
'2016-08-16', 0.92, 0.93, 0.89, 0.9, 8400.0, 0.9, -0.019999999999999907, -0.039999999999999925, 0.09037812542620893, 0.0, 0.0, 0.0, 0.006642512077294684
'2016-08-15', 0.94, 0.965, 0.9, 0.9, 13400.0, 0.9, 0.018999999999999906, -0.06000000000000005, 0.09122246921065492, 0.0, 0.0, 0.0, 0.005039193729003364
'2016-08-12', 0.921, 0.955, 0.921, 0.955, 8100.0, 0.955, -0.03399999999999992, 0.01100000000000001, 0.09410033061696553, 0.0, 0.0, -0.1, 0.005917480998914222
'2016-08-11', 0.955, 0.958, 0.926, 0.948, 5000.0, 0.948, -0.0050000000000000044, -0.0050000000000000044, 0.09492396957565565, 0.0, 0.1, -0.5, 0.0037397157816006017
'2016-08-10', 0.96, 0.96, 0.882, 0.933, 8100.0, 0.933, -0.040000000000000036, -0.020000000000000018, 0.09678584033260694, 0.0, 0.5, -0.8, 0.003314393939393943
