Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 44.110001, 44.200001, 43.380001, 43.650002, 282200.0, 43.650002, 0.5100029999999975, 1.7999999999999972, 1.4893163940551266, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 43.599998, 44.540001, 43.599998, 44.380001, 341500.0, 44.380001, 0.759997999999996, 0.5399969999999996, 1.5124752845000735, 0.0, 0.1, -0.8, 0.011697317050335589
'2016-09-21', 42.84, 43.509998, 42.459999, 43.490002, 321100.0, 43.490002, 0.4599990000000034, 0.619999, 1.5294007952358002, 0.0, 0.5, -0.3, 0.01482260737628377
'2016-09-20', 42.380001, 42.830002, 42.240002, 42.639999, 327700.0, 42.639999, 0.07000000000000028, -0.17999999999999972, 1.5125223601143254, 0.0, 0.8, -0.3, 0.013607047028306243
'2016-09-19', 42.310001, 42.790001, 41.810001, 42.279999, 317600.0, 42.279999, -0.75, -0.4799999999999969, 1.450581665632101, 1.0, 1.0, -0.8, 0.010635783251340488
'2016-09-16', 43.060001, 43.060001, 42.189999, 42.299999, 409800.0, 42.299999, 0.8399999999999963, 0.40000100000000316, 1.375991853214404, -1.0, 0.8, -1.0, 0.004876915818000084
'2016-09-15', 42.220001, 43.450001, 42.07, 43.040001, 247400.0, 43.040001, -0.3399999999999963, -2.2899969999999996, 1.3209205355362077, 1.0, 1.0, -0.8, 0.007460918819021318
'2016-09-14', 42.560001, 42.610001, 42.110001, 42.189999, 214900.0, 42.189999, -0.22999999999999687, -2.2899969999999996, 1.2004629647215306, 0.0, 0.8, -0.5, 0.005202738868088161
'2016-09-13', 42.790001, 42.810001, 42.169998, 42.400002, 455500.0, 42.400002, 0.13000100000000003, -1.639999000000003, 1.098957680168483, 0.0, 0.5, -0.1, 0.0038560410409899278
'2016-09-12', 42.66, 43.27, 42.66, 42.970001, 405900.0, 42.970001, -1.8499980000000065, -1.9399980000000028, 1.0223224411772338, 0.0, 0.1, 0.0, 0.00377663436995364
'2016-09-09', 44.509998, 44.52, 42.959999, 42.959999, 343900.0, 42.959999, -0.3399999999999963, 0.05999700000000274, 0.9303050023162704, 0.0, 0.0, 0.0, -0.0008986677555006992
'2016-09-08', 44.849998, 45.009998, 44.470001, 44.740002, 167000.0, 44.740002, 0.41999799999999965, -0.1800009999999972, 0.9473496004474333, 0.0, 0.0, 0.0, -0.0014999433120477458
'2016-09-07', 44.43, 45.029999, 44.310001, 45.009998, 441500.0, 45.009998, -0.16999799999999965, -0.5400010000000037, 0.9919089107378554, 0.0, 0.0, 0.0, -0.0006001931877860358
'2016-09-06', 44.599998, 44.599998, 44.169998, 44.560001, 215900.0, 44.560001, 0.14999699999999905, -0.20000100000000032, 1.0433089801849262, 0.0, 0.0, 0.0, -0.000845113870253472
'2016-09-02', 44.450001, 44.619999, 44.200001, 44.459999, 387200.0, 44.459999, -0.5799979999999962, -0.5499989999999997, 1.0823864432719748, 0.0, 0.0, 0.0, -0.0005463602641024582
'2016-09-01', 45.029999, 45.029999, 44.189999, 44.34, 385300.0, 44.34, 0.05999799999999311, -0.030002000000003193, 1.1436661673762925, 0.0, 0.0, 0.0, -0.0013620519956040857
'2016-08-31', 44.970001, 45.389999, 44.73, 44.91, 327300.0, 44.91, 0.17000200000000376, -0.06999999999999318, 1.1810574092740813, 0.0, 0.0, 0.0, -0.0011952412453804572
'2016-08-30', 44.799999, 45.09, 44.709999, 45.040001, 179000.0, 45.040001, -0.20000100000000032, -0.7099990000000034, 1.2306902997825877, 0.0, 0.0, 0.0, -0.0009059847891304415
'2016-08-29', 45.0, 45.16, 44.75, 44.790001, 262400.0, 44.790001, -0.06000099999999975, -0.9799999999999969, 1.2892097098097832, 0.0, 0.0, 0.0, -0.001098764197530868
'2016-08-26', 45.060001, 45.43, 44.68, 45.0, 332500.0, 45.0, 0.020000000000003126, -0.34999899999999684, 1.3379362507654524, 0.0, 0.0, 0.0, -0.0011096315776823918
'2016-08-25', 45.040001, 45.57, 44.939999, 45.07, 398600.0, 45.07, -0.46999700000000644, -1.5799980000000033, 1.3848339435795352, 0.0, 0.0, 0.0, -0.0010324156076284277
'2016-08-24', 45.509998, 45.509998, 44.98, 45.139999, 312900.0, 45.139999, -0.4700019999999938, -1.5500029999999967, 1.455306499928604, 0.0, 0.0, 0.0, -0.001464876439008503
'2016-08-23', 45.98, 46.18, 45.25, 45.299999, 545100.0, 45.299999, 0.5700000000000003, -1.630001, 1.5876188480309898, 0.0, 0.0, 0.0, -0.0018486288504883546
'2016-08-22', 45.41, 45.849998, 45.16, 45.759998, 339900.0, 45.759998, -1.2099990000000034, -1.3400000000000034, 1.7123801515762076, 0.0, 0.0, 0.0, -0.001244697107513189
'2016-08-19', 46.619999, 46.849998, 45.02, 45.709999, 355000.0, 45.709999, -0.4400019999999998, 0.6100009999999969, 1.8461416421285395, 0.0, 0.0, 0.0, -0.0022433130039320706
'2016-08-18', 47.060001, 48.040001, 46.98, 47.439999, 321200.0, 47.439999, -0.5499999999999972, 0.8599999999999994, 1.9336898474738173, 0.0, 0.0, 0.0, -0.002507437260785441
'2016-08-17', 47.610001, 48.459999, 47.02, 47.200001, 216900.0, 47.200001, 0.8600009999999969, 1.4200019999999967, 2.000122296150075, 0.0, 0.0, 0.0, -0.002827460234991061
'2016-08-16', 46.75, 47.610001, 46.700001, 47.48, 460900.0, 47.48, 0.7400019999999969, 0.3400000000000034, 1.9696750299593855, 0.0, 0.0, 0.0, -0.0020915024757377724
'2016-08-15', 46.009998, 46.959999, 46.009998, 46.82, 400800.0, 46.82, -0.19000299999999726, -0.3900039999999976, 2.0197135848434242, 0.0, 0.0, 0.0, -0.0014748323986948648
'2016-08-12', 46.200001, 46.470001, 45.900002, 46.27, 212300.0, 46.27, 0.010002000000000066, 0.1800009999999972, 2.0755539570654298, 0.0, 0.0, 0.0, -0.0015599342847901995
