Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 33.639999, 33.810001, 33.389999, 33.52, 71800.0, 33.52, 0.4799990000000065, 0.619999, 1.16367177989945, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 33.16, 33.639999, 33.07, 33.599998, 144800.0, 33.599998, 0.32999799999999624, 0.3399999999999963, 1.16592357605504, 0.0, 0.0, -0.8, 0.01447524125452372
'2016-09-21', 32.830002, 33.119999, 32.630001, 33.09, 165700.0, 33.09, -0.05999700000000274, 0.620002999999997, 1.1640888208384153, 0.0, 0.0, -0.5, 0.012336231353260391
'2016-09-20', 32.889999, 33.099998, 32.599998, 32.68, 85400.0, 32.68, -0.13000100000000003, 0.6699979999999996, 1.1521934758253036, 0.0, 0.0, -0.1, 0.007601094788722857
'2016-09-19', 33.02, 33.139999, 32.790001, 32.810001, 83400.0, 32.810001, 0.20000000000000284, 0.3699980000000025, 1.135122281910587, 0.0, 0.0, 0.0, 0.0046941172016959415
'2016-09-16', 32.82, 33.09, 32.66, 32.75, 262600.0, 32.75, 0.6100009999999969, 0.6899990000000003, 1.1203493723839801, 0.0, 0.0, 0.0, 0.004996946983546635
'2016-09-15', 32.209999, 32.849998, 32.07, 32.799999, 142000.0, 32.799999, -0.010002000000000066, -0.5400009999999966, 1.0976737135622876, 0.0, 0.1, 0.0, 0.007399358607037935
'2016-09-14', 32.220001, 32.59, 32.009998, 32.380001, 127500.0, 32.380001, -0.4300009999999972, -0.6699979999999996, 1.0400834187704817, 0.0, 0.5, 0.0, 0.006295991646395575
'2016-09-13', 32.650002, 32.849998, 32.169998, 32.360001, 116800.0, 32.360001, 0.5200010000000006, 0.12000300000000408, 1.009285921520306, 0.0, 0.8, 0.0, 0.0037901873635413654
'2016-09-12', 32.130001, 32.959999, 32.130001, 32.84, 120700.0, 32.84, -0.619999, -1.5399969999999996, 0.9965073811407014, 1.0, 1.0, 0.0, 0.005221834744280148
'2016-09-09', 32.75, 32.959999, 32.18, 32.200001, 185200.0, 32.200001, -0.1399990000000031, 0.20999900000000338, 0.9331108963040404, 0.0, 0.8, 0.0, 0.0027175541984732917
'2016-09-08', 32.889999, 32.889999, 32.419998, 32.759998, 135400.0, 32.759998, 0.36000000000000654, -1.4000019999999935, 0.9273653027566391, 0.0, 0.5, 0.0, 0.00207302585146987
