Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 20.620001, 20.77, 20.389999, 20.530001, 11000.0, 20.530001, 0.259999999999998, 0.9100019999999986, 0.6056420869351211, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 20.360001, 20.74, 20.360001, 20.559999, 8400.0, 20.559999, -0.21999899999999784, 0.36000100000000046, 0.6075638590125403, 0.0, 0.1, -0.8, 0.012770136897340918
'2016-09-16', 20.58, 20.83, 20.18, 20.42, 60200.0, 20.42, 0.7800009999999986, 0.27000099999999705, 0.6322836230683189, 0.0, 0.5, -0.5, 0.0009718415937803736
'2016-09-15', 19.799999, 20.950001, 19.799999, 20.51, 26400.0, 20.51, 0.08999999999999986, -0.9000020000000006, 0.6410706513329089, 0.0, 0.8, -0.1, 0.013804748171956958
'2016-09-14', 19.709999, 19.92, 19.6, 19.68, 5500.0, 19.68, -0.2900010000000002, -1.1700000000000017, 0.6807720579854163, 1.0, 1.0, 0.0, 0.01154239023553475
'2016-09-13', 20.0, 20.040001, 19.51, 19.73, 14400.0, 19.73, -0.30999900000000125, -0.3999999999999986, 0.7045894055408197, 0.0, 0.8, 0.0, 0.006200009999999985
'2016-09-12', 20.309999, 20.309999, 19.93, 20.139999, 25800.0, 20.139999, -0.39000199999999907, -0.1300019999999975, 0.7307776760869427, 0.0, 0.5, 0.0, 0.002543919376854698
'2016-09-09', 20.700001, 21.700001, 20.27, 20.34, 18300.0, 20.34, -0.1799980000000012, 0.620001000000002, 0.7443195258909838, 0.0, 0.1, 0.0, -0.0005521048732592665
'2016-09-08', 20.879999, 21.190001, 20.799999, 20.91, 17200.0, 20.91, 0.47999900000000295, 0.740000000000002, 0.7262111210020099, 0.0, 0.0, 0.0, -0.0015565015113267189
'2016-09-07', 20.4, 21.09, 20.4, 20.940001, 23400.0, 20.940001, -0.040001000000000175, 0.19999899999999826, 0.6770351533137052, 0.0, 0.0, 0.0, 0.0011982625272331149
