Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-10', 19.99, 20.200001, 19.870001, 19.98, 233200.0, 19.98, 0.1000009999999989, -0.28000000000000114, 0.6707876549255155, -1.0, 0.1, -1.0, 0.0
'2016-10-07', 19.889999, 19.940001, 19.719999, 19.889999, 359500.0, 19.889999, -0.07000000000000028, -0.28000100000000216, 0.726831931589587, 0.0, 0.5, -0.8, 0.005027702615771821
'2016-10-06', 19.959999, 19.959999, 19.77, 19.83, 306500.0, 19.83, 0.2199990000000014, -0.41000199999999865, 0.7679039892970019, 0.0, 0.8, -0.5, 0.0007515280937638978
'2016-10-05', 19.74, 20.02, 19.58, 20.02, 582300.0, 20.02, -0.5300000000000011, -0.7700000000000031, 0.8097873270875261, 1.0, 1.0, -0.1, 0.0042215467747382645
'2016-10-04', 20.27, 20.360001, 19.950001, 20.07, 251800.0, 20.07, 0.09999999999999787, -0.21000000000000085, 0.8773777914903533, 0.0, 0.8, 0.0, -0.003453379378391726
'2016-10-03', 20.17, 20.360001, 20.02, 20.32, 496800.0, 20.32, -0.20000099999999676, -0.2999989999999997, 0.9402068400094289, 0.0, 0.5, 0.0, -0.001784828953891951
'2016-09-30', 20.370001, 20.42, 20.08, 20.190001, 414500.0, 20.190001, -0.1399990000000031, -0.09999800000000292, 1.0186710490964108, 0.0, 0.1, 0.0, -0.003109155468377248
'2016-09-29', 20.51, 20.620001, 20.24, 20.26, 389800.0, 20.26, 0.030000000000001137, -0.04999899999999968, 1.1077658422250234, 0.0, 0.0, 0.0, -0.0036219265863342135
'2016-09-28', 20.48, 20.58, 20.190001, 20.540001, 207900.0, 20.540001, 0.010000999999999038, 0.18000100000000074, 1.1821357171382012, 0.0, 0.0, -0.1, -0.002990722656250012
'2016-09-27', 20.469999, 20.549999, 20.290001, 20.440001, 379200.0, 20.440001, 0.0, 0.7899990000000017, 1.258045527227967, 0.0, 0.0, -0.5, -0.0026054335528898926
'2016-09-26', 20.469999, 20.6, 20.290001, 20.440001, 160500.0, 20.440001, -0.08999999999999986, 0.7699980000000011, 1.3269036082886274, 0.0, 0.1, -0.8, -0.002344890197600903
'2016-09-23', 20.559999, 20.75, 20.41, 20.629999, 318200.0, 20.629999, 0.26000000000000156, 0.6299990000000015, 1.4012351986731173, -1.0, 0.5, -1.0, 0.0
'2016-09-22', 20.299999, 20.76, 20.200001, 20.58, 342800.0, 20.58, 0.619999, 0.2299989999999994, 1.4449373810655126, 0.0, 0.8, -0.8, 0.012807882404329259
'2016-09-21', 19.68, 20.059999, 19.610001, 20.0, 266500.0, 20.0, -0.0200010000000006, -0.21999999999999886, 1.4636950024435555, 1.0, 1.0, -0.3, 0.022357698170731747
'2016-09-20', 19.700001, 19.719999, 19.5, 19.58, 235100.0, 19.58, -0.2299989999999994, -0.09999799999999937, 1.4405655788846021, 0.0, 0.8, -0.3, 0.014551572865402408
'2016-09-19', 19.93, 20.09, 19.540001, 19.620001, 166800.0, 19.620001, -0.14000000000000057, 0.19000000000000128, 1.3984455541939795, 0.0, 0.5, -0.8, 0.007902646763672874
'2016-09-16', 20.07, 20.07, 19.68, 19.799999, 325600.0, 19.799999, 0.1700000000000017, 0.510000999999999, 1.3525262587306932, -1.0, 0.1, -1.0, 0.0
'2016-09-15', 19.9, 20.309999, 19.9, 20.1, 293500.0, 20.1, 0.1000009999999989, -0.38000100000000003, 1.304774847959293, 0.0, 0.1, -0.8, 0.008542713567839283
'2016-09-14', 19.799999, 20.07, 19.799999, 19.92, 416600.0, 19.92, 0.059999000000001246, -0.9700009999999999, 1.2419538691918335, 0.0, 0.5, -0.5, 0.006818207415060996
'2016-09-13', 19.74, 19.950001, 19.700001, 19.77, 439300.0, 19.77, 0.1800009999999972, -2.0599990000000012, 1.1660974002584101, 0.0, 0.8, -0.1, 0.00557244174265454
'2016-09-12', 19.559999, 20.01, 19.309999, 19.93, 401700.0, 19.93, -0.7200019999999974, -2.0799999999999983, 1.0762271543067627, 1.0, 1.0, 0.0, 0.006518418022413997
'2016-09-09', 20.280001, 20.280001, 19.610001, 19.629999, 508900.0, 19.629999, -0.48999900000000096, -0.7899990000000017, 0.9474839975197941, 0.0, 0.8, 0.0, -0.002071015676971597
'2016-09-08', 20.77, 20.959999, 20.450001, 20.49, 430600.0, 20.49, -1.029999, -0.33000000000000185, 0.8608356727689901, 0.0, 0.5, 0.0, -0.005617075910768731
'2016-09-07', 21.799999, 21.799999, 20.51, 20.77, 799000.0, 20.77, 0.16000000000000014, 0.2599979999999995, 0.7990726974857766, 0.0, 0.1, 0.0, -0.011336822276263142
'2016-09-06', 21.639999, 21.92, 21.549999, 21.84, 278100.0, 21.84, 0.5699989999999993, -0.20000100000000032, 0.7871804803646973, 0.0, 0.0, 0.0, -0.009068848616859913
'2016-09-02', 21.07, 21.75, 21.07, 21.6, 377300.0, 21.6, -0.030000000000001137, -0.4700009999999999, 0.7694917816761694, 0.0, 0.0, 0.0, -0.0052734272003375
'2016-09-01', 21.1, 21.23, 20.879999, 20.889999, 194200.0, 20.889999, -0.44000099999999875, -0.9799999999999969, 0.7102602382072901, 0.0, 0.0, 0.0, -0.004881516587677731
'2016-08-31', 21.540001, 21.57, 21.09, 21.15, 236100.0, 21.15, -0.2999989999999997, -0.5099979999999995, 0.6477429598746448, 0.0, 0.0, 0.0, -0.006204106236831397
'2016-08-30', 21.84, 21.99, 21.42, 21.59, 229600.0, 21.59, 0.2999989999999997, -0.33000000000000185, 0.6078287639353117, 0.0, 0.0, 0.0, -0.006753663003663002
'2016-08-29', 21.540001, 21.9, 21.540001, 21.879999, 105600.0, 21.879999, -0.5399989999999981, -1.25, 0.5814917800512451, 0.0, 0.0, 0.0, -0.005249628354241952
'2016-08-26', 22.08, 22.41, 21.709999, 21.82, 287900.0, 21.82, 0.030000999999998612, -0.6399990000000031, 0.5306315031696155, 0.0, 0.0, 0.0, -0.006502329192546577
'2016-08-25', 22.049999, 22.26, 21.969999, 22.030001, 350800.0, 22.030001, -0.12000100000000202, -1.100000999999999, 0.5142030450236948, 0.0, 0.0, 0.0, -0.0059863918058832245
'2016-08-24', 22.17, 22.48, 21.950001, 22.120001, 421400.0, 22.120001, -0.6200009999999985, -1.2800009999999986, 0.49164560113118067, 0.0, 0.0, 0.0, -0.005920162381596756
'2016-08-23', 22.790001, 22.799999, 22.040001, 22.26, 291600.0, 22.26, 0.07000199999999879, -0.6299990000000015, 0.47265956741316006, 0.0, 0.0, 0.0, -0.007020625353352525
'2016-08-22', 22.719999, 22.860001, 22.58, 22.620001, 176200.0, 22.620001, -0.4300009999999972, -0.9300009999999972, 0.47221872248689667, 0.0, 0.0, 0.0, -0.006479849170181157
'2016-08-19', 23.15, 23.15, 22.65, 22.76, 165900.0, 22.76, -0.30000100000000174, -0.6000000000000014, 0.4725890543948646, 0.0, 0.0, 0.0, -0.007002387177446854
'2016-08-18', 23.450001, 23.540001, 23.139999, 23.200001, 136200.0, 23.200001, 0.030000999999998612, -0.5999979999999994, 0.4747460759892599, 0.0, 0.0, 0.0, -0.007206824852587427
'2016-08-17', 23.42, 23.639999, 23.360001, 23.440001, 113400.0, 23.440001, -0.22999999999999687, -0.259999999999998, 0.46528058578841447, 0.0, 0.0, -0.1, -0.006811435077874021
'2016-08-16', 23.65, 23.780001, 23.49, 23.51, 113600.0, 23.51, -0.10000000000000142, 0.1800009999999972, 0.4562360747591207, 0.0, 0.0, -0.5, -0.006880645781280028
'2016-08-15', 23.75, 23.879999, 23.58, 23.67, 147200.0, 23.67, -0.2999989999999997, 0.5199999999999996, 0.440674663064715, 0.0, 0.0, -0.8, -0.006736842105263157
'2016-08-12', 24.049999, 24.17, 23.52, 23.66, 126100.0, 23.66, 0.36999899999999997, 1.1799980000000012, 0.41974521743087073, -1.0, 0.0, -1.0, 0.0
'2016-08-11', 23.68, 24.08, 23.620001, 24.07, 276300.0, 24.07, 0.21000099999999833, 1.2100009999999983, 0.36022834600731474, 0.0, 0.0, -0.8, 0.01562495777027027
'2016-08-10', 23.469999, 23.700001, 23.4, 23.57, 178000.0, 23.57, 0.23999900000000096, 1.4299980000000012, 0.3254527052864621, 0.0, 0.0, -0.5, 0.012356199929961613
'2016-08-09', 23.23, 23.58, 22.73, 23.379999, 224000.0, 23.379999, 0.35999900000000196, 1.109999000000002, 0.3519798047559628, 0.0, 0.1, -0.1, 0.011766379681446395
'2016-08-08', 22.870001, 23.299999, 22.870001, 23.17, 229400.0, 23.17, 0.4000019999999971, 0.3000009999999982, 0.4622869696056301, 0.0, 0.5, 0.0, 0.012898971888982442
'2016-08-05', 22.469999, 22.940001, 22.299999, 22.82, 381600.0, 22.82, 0.4299980000000012, -0.41000000000000014, 0.4841995810274199, 0.0, 0.8, 0.0, 0.014063195997471991
'2016-08-04', 22.040001, 22.469999, 21.879999, 22.34, 139800.0, 22.34, -0.0799999999999983, -0.6899990000000003, 0.4832072242841816, 1.0, 1.0, 0.0, 0.015199621209938539
'2016-08-03', 22.120001, 22.370001, 21.969999, 22.0, 222600.0, 22.0, -0.4499990000000018, -0.6799980000000012, 0.47067980897652, 0.0, 0.8, 0.0, 0.012464465982619088
'2016-08-02', 22.57, 22.719999, 22.1, 22.209999, 280400.0, 22.209999, -0.30999900000000125, -0.28000000000000114, 0.4616953688314358, 0.0, 0.5, 0.0, 0.008196715773150195
'2016-08-01', 22.879999, 22.98, 22.52, 22.59, 148700.0, 22.59, 0.1499990000000011, 0.0, 0.4619606093601741, 0.0, 0.1, 0.0, 0.005681818430149398
'2016-07-29', 22.73, 23.15, 22.73, 22.870001, 196900.0, 22.870001, -0.06999899999999926, -0.33999999999999986, 0.4671454228971055, 0.0, 0.0, 0.0, 0.005807298724153098
'2016-07-28', 22.799999, 22.84, 22.57, 22.74, 217500.0, 22.74, -0.05000100000000174, -0.030000999999998612, 0.47558100859234864, 0.0, 0.0, -0.1, 0.004984051255281355
'2016-07-27', 22.85, 23.24, 22.629999, 22.75, 321100.0, 22.75, -0.02999900000000011, 0.5100000000000016, 0.4802869577431392, 0.0, 0.0, -0.5, 0.00437636396790663
'2016-07-26', 22.879999, 23.059999, 22.790001, 22.85, 235300.0, 22.85, -0.19000099999999875, 0.30999900000000125, 0.4802425262306594, 0.0, 0.1, -0.8, 0.003933566605488045
'2016-07-25', 23.07, 23.23, 22.809999, 22.92, 204200.0, 22.92, 0.240000000000002, 0.36999899999999997, 0.481341781920687, -1.0, 0.5, -1.0, 0.0
'2016-07-22', 22.83, 23.15, 22.83, 22.940001, 155900.0, 22.940001, 0.48999999999999844, 0.12000099999999847, 0.4981928077900283, 0.0, 0.8, -0.8, 0.010512483574244504
'2016-07-21', 22.34, 22.98, 22.309999, 22.85, 123000.0, 22.85, -0.23000000000000043, -0.19000099999999875, 0.5385780181596936, 1.0, 1.0, -0.3, 0.016338406445837072
'2016-07-20', 22.57, 22.65, 22.41, 22.42, 131700.0, 22.42, -0.13000100000000003, -0.13999899999999954, 0.5586835091935535, 0.0, 0.8, -0.3, 0.00738443361394181
'2016-07-19', 22.700001, 23.25, 22.370001, 22.5, 280000.0, 22.5, -0.009997999999999507, -0.11999899999999997, 0.5868508439121299, 0.0, 0.5, -0.8, 0.004074878675115476
'2016-07-18', 22.709999, 22.809999, 22.4, 22.77, 122900.0, 22.77, 0.1799980000000012, -0.31000099999999975, 0.5872346900140656, -1.0, 0.8, -1.0, 0.0031704184575261363
'2016-07-15', 22.530001, 22.93, 22.209999, 22.74, 141900.0, 22.74, -0.1799980000000012, -0.6600000000000001, 0.6010435685818838, 1.0, 1.0, -0.8, 0.003994666193460604
'2016-07-14', 22.709999, 23.17, 22.34, 22.57, 119500.0, 22.57, -0.11000100000000046, 0.08999800000000135, 0.6163784463030486, 0.0, 0.8, -0.5, 0.0022645846125186686
'2016-07-13', 22.82, 22.82, 22.360001, 22.620001, 86100.0, 22.620001, -0.1999999999999993, -0.19000000000000128, 0.629936209186843, 0.0, 0.5, -0.1, 0.001369412795793164
