Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-07', 1.9, 1.92, 1.84, 1.86, 4300.0, 1.86, 0.05999999999999983, 0.04999999999999982, 0.07550496672405065, -1.0, 0.5, -1.0, 0.0
'2016-10-06', 1.84, 1.88, 1.8, 1.81, 5400.0, 1.81, 0.030000000000000027, -0.020000000000000018, 0.07533923280734943, 0.0, 0.8, -0.8, 0.03260869565217382
'2016-10-05', 1.81, 1.87, 1.81, 1.87, 2600.0, 1.87, -0.050000000000000044, -0.050000000000000044, 0.07521893969532464, 1.0, 1.0, -0.5, 0.024861878453038635
'2016-10-04', 1.86, 1.9, 1.81, 1.82, 15000.0, 1.82, 0.010000000000000009, -0.07999999999999985, 0.07445281876613012, 0.0, 0.8, -0.1, 0.007168458781361973
'2016-10-03', 1.85, 1.93, 1.85, 1.86, 10200.0, 1.86, -0.010000000000000009, -0.08999999999999986, 0.07534291974403134, 0.0, 0.5, 0.0, 0.006756756756756733
'2016-09-30', 1.86, 1.94, 1.86, 1.9, 3700.0, 1.9, 0.0, -0.21999999999999997, 0.07521893969532463, 0.0, 0.1, 0.0, 0.004301075268817184
'2016-09-29', 1.86, 1.94, 1.85, 1.91, 7200.0, 1.91, -0.07999999999999985, -0.1399999999999999, 0.07624230380103215, 0.0, 0.0, 0.0, 0.0035842293906809867
'2016-09-28', 1.94, 1.94, 1.85, 1.86, 42500.0, 1.86, 0.0, -0.1499999999999999, 0.07621898276238885, 0.0, 0.0, 0.0, -0.002945508100147278
'2016-09-27', 1.94, 1.94, 1.91, 1.93, 2200.0, 1.93, -0.14000000000000012, 0.07999999999999985, 0.07649328220322499, 0.0, 0.0, -0.1, -0.0025773195876288685
'2016-09-26', 2.08, 2.08, 1.81, 1.99, 23000.0, 1.96, 0.08000000000000007, 0.18000000000000016, 0.0767651541318643, 0.0, 0.0, -0.5, -0.009615384615384625
'2016-09-23', 2.0, 2.03, 1.85, 2.03, 28100.0, 1.999397, -0.08999999999999986, 0.050000000000000044, 0.06953895790610225, 0.0, 0.0, -0.8, -0.0050000000000000044
'2016-09-22', 2.09, 2.09, 1.9, 1.95, 61600.0, 1.920603, 0.22999999999999976, 0.22999999999999976, 0.06611101774036353, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 1.86, 2.07, 1.86, 2.07, 39200.0, 2.038794, -0.039999999999999813, 0.030000000000000027, 0.05335416259924489, 0.0, 0.0, -0.8, 0.12365591397849449
'2016-09-20', 1.9, 2.0, 1.8, 1.88, 27500.0, 1.851658, -0.050000000000000044, 0.11999999999999988, 0.060535572645805114, 0.0, 0.0, -0.5, 0.04999999999999999
'2016-09-19', 1.95, 2.11, 1.91, 1.94, 152100.0, 1.910754, 0.08999999999999986, 0.1499999999999999, 0.06069596362197401, 0.0, 0.1, -0.1, 0.023931623931623916
'2016-09-16', 1.86, 3.14, 1.86, 1.95, 2119500.0, 1.920603, 0.030000000000000027, 0.010000000000000009, 0.06707872654989469, 0.0, 0.5, 0.0, 0.03091397849462362
'2016-09-15', 1.83, 1.84, 1.74, 1.76, 24400.0, 1.733467, 0.050000000000000044, -0.020000000000000018, 0.06815097618930742, 0.0, 0.8, 0.0, 0.02841530054644806
'2016-09-14', 1.78, 1.78, 1.78, 1.78, 300.0, 1.753166, -0.020000000000000018, 0.0, 0.06759355656339501, 1.0, 1.0, 0.0, 0.029026217228464404
'2016-09-13', 1.8, 1.8, 1.74, 1.76, 22800.0, 1.733467, -0.050000000000000044, -0.06000000000000005, 0.0684762732630799, 0.0, 0.8, 0.0, 0.023015873015873
'2016-09-12', 1.85, 1.85, 1.83, 1.85, 14200.0, 1.822111, 0.0, 0.0, 0.07133722730804716, 0.0, 0.5, 0.0, 0.0162162162162162
'2016-09-09', 1.85, 1.85, 1.78, 1.85, 3800.0, 1.822111, 0.07000000000000006, 0.06000000000000005, 0.07130606955621342, 0.0, 0.1, 0.0, 0.014414414414414399
'2016-09-08', 1.78, 1.85, 1.78, 1.84, 32500.0, 1.812261, -0.08000000000000007, -0.020000000000000018, 0.07077350414448107, 0.0, 0.0, 0.0, 0.01741573033707864
'2016-09-07', 1.86, 1.9, 1.79, 1.81, 3000.0, 1.782713, 0.010000000000000009, 0.030000000000000027, 0.06714826050530928, 0.0, 0.0, 0.0, 0.011241446725317681
'2016-09-06', 1.85, 1.87, 1.77, 1.86, 35400.0, 1.83196, 0.06000000000000005, 0.020000000000000018, 0.0667008245826091, 0.0, 0.0, 0.0, 0.0108108108108108
'2016-09-02', 1.79, 1.79, 1.79, 1.79, 300.0, 1.763015, -0.010000000000000009, -0.08000000000000007, 0.07171626190915287, 0.0, 0.0, 0.0, 0.012892135797163723
'2016-09-01', 1.8, 1.8, 1.76, 1.79, 1700.0, 1.763015, -0.030000000000000027, -0.07000000000000006, 0.06860191121406323, 0.0, 0.0, 0.0, 0.0115079365079365
'2016-08-31', 1.83, 1.83, 1.83, 1.83, 5400.0, 1.802412, 0.0, -0.040000000000000036, 0.06472162612982528, 0.0, 0.0, 0.0, 0.00947176684881602
'2016-08-30', 1.83, 1.83, 1.83, 1.83, 200.0, 1.802412, -0.040000000000000036, -0.020000000000000018, 0.0628269227499025, 0.0, 0.0, 0.0, 0.00887978142076502
'2016-08-29', 1.87, 1.87, 1.87, 1.87, 0.0, 1.841809, 0.0, 0.020000000000000018, 0.060726161303565535, 0.0, 0.0, 0.0, 0.006920415224913486
'2016-08-26', 1.87, 1.89, 1.82, 1.87, 5600.0, 1.841809, 0.0, -0.06999999999999984, 0.05955389715767274, 0.0, 0.0, 0.0, 0.006535947712418292
'2016-08-25', 1.87, 1.88, 1.83, 1.83, 12000.0, 1.802412, 0.020000000000000018, -0.019999999999999796, 0.058257093035002046, 0.0, 0.0, 0.0, 0.006191950464396277
'2016-08-24', 1.85, 1.85, 1.85, 1.85, 0.0, 1.822111, 0.0, -0.09999999999999987, 0.056906355825455286, 0.0, 0.0, 0.0, 0.00648648648648648
'2016-08-23', 1.85, 1.85, 1.85, 1.85, 2000.0, 1.822111, -0.08999999999999986, -0.04999999999999982, 0.056375723695773684, 0.0, 0.0, 0.0, 0.0061776061776061715
'2016-08-22', 1.94, 1.94, 1.75, 1.75, 1900.0, 1.723618, 0.050000000000000044, -0.010000000000000009, 0.05356304696336829, 0.0, 0.0, 0.0, 0.003514526710402997
'2016-08-19', 1.89, 1.9, 1.84, 1.84, 2200.0, 1.812261, -0.06000000000000005, -0.06000000000000005, 0.057661849509783196, 0.0, 0.0, 0.0, 0.004600874166091557
'2016-08-18', 1.95, 1.95, 1.89, 1.89, 1600.0, 1.861508, 0.050000000000000044, -0.020000000000000018, 0.0633719180710194, 0.0, 0.0, 0.0, 0.0029914529914529895
'2016-08-17', 1.9, 1.9, 1.9, 1.9, 2500.0, 1.871357, -0.050000000000000044, -0.010000000000000009, 0.06347440429023335, 0.0, 0.0, 0.0, 0.003999999999999999
'2016-08-16', 1.95, 1.95, 1.95, 1.95, 0.0, 1.920603, 0.0, 0.040000000000000036, 0.06869902150362514, 0.0, 0.0, 0.0, 0.0027613412228796826
'2016-08-15', 1.95, 1.95, 1.95, 1.95, 700.0, 1.920603, -0.020000000000000018, -0.07999999999999985, 0.0712897062851448, 0.0, 0.0, 0.0, 0.0026590693257359907
'2016-08-12', 1.97, 2.03, 1.96, 2.03, 2500.0, 1.999397, 0.06000000000000005, 0.06000000000000005, 0.08257319984918428, 0.0, 0.0, 0.0, 0.0021754894851341534
'2016-08-11', 1.91, 1.91, 1.91, 1.91, 0.0, 1.881206, 0.0, -0.1399999999999999, 0.08523236213760328, 0.0, 0.0, 0.0, 0.003249684058494312
'2016-08-10', 1.91, 1.91, 1.91, 1.91, 100.0, 1.881206, -0.11999999999999988, -0.040000000000000036, 0.08525843066817493, 0.0, 0.0, -0.1, 0.003141361256544502
'2016-08-09', 2.03, 2.03, 1.92, 1.92, 3500.0, 1.891055, 0.11999999999999988, 0.1699999999999997, 0.08526364341786528, 0.0, 0.0, -0.5, 0.0009534403305259822
'2016-08-08', 1.91, 1.95, 1.91, 1.95, 400.0, 1.920603, -0.1399999999999999, -0.09999999999999987, 0.08399801584958219, 0.0, 0.1, -0.8, 0.0029450261780104704
'2016-08-05', 2.05, 2.05, 1.91, 1.91, 3700.0, 1.881206, 0.09999999999999987, 0.009999999999999787, 0.0839417787649405, -1.0, 0.5, -1.0, 0.0
'2016-08-04', 1.95, 1.95, 1.95, 1.95, 0.0, 1.920603, 0.08999999999999986, 0.0, 0.08101851640211635, 0.0, 0.8, -0.8, 0.05128205128205122
