Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 4.5, 4.5, 4.43, 4.49, 85000.0, 4.49, 0.08000000000000007, 0.25, 0.12256925479997915, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 4.42, 4.57, 4.4, 4.48, 93300.0, 4.48, 0.019999999999999574, 0.03000000000000025, 0.1115392307665782, 0.0, 0.0, -0.8, 0.018099547511312233
'2016-10-04', 4.4, 4.47, 4.4, 4.43, 46900.0, 4.43, 0.010000000000000675, 0.05000000000000071, 0.1055272476661833, 0.0, 0.0, -0.5, 0.011363636363636322
'2016-10-03', 4.39, 4.47, 4.34, 4.42, 59400.0, 4.42, 0.13999999999999968, 0.17999999999999972, 0.10014489502715546, 0.0, 0.0, -0.1, 0.008352315869400178
'2016-09-30', 4.25, 4.48, 4.25, 4.44, 104200.0, 4.44, -0.13999999999999968, -0.03000000000000025, 0.09396275858019487, 0.0, 0.0, 0.0, 0.014705882352941176
'2016-09-29', 4.39, 4.39, 4.26, 4.27, 43400.0, 4.27, 0.040000000000000036, 0.1899999999999995, 0.09439220777632483, 0.0, 0.0, 0.0, 0.005011389521640106
'2016-09-28', 4.35, 4.44, 4.29, 4.41, 92300.0, 4.41, 0.13999999999999968, 0.3199999999999994, 0.08650048169422717, 0.0, 0.0, 0.0, 0.005747126436781623
'2016-09-27', 4.21, 4.35, 4.11, 4.32, 60000.0, 4.32, -0.07000000000000028, 0.09999999999999964, 0.08090048756891943, 0.0, 0.1, 0.0, 0.00984051577875806
'2016-09-26', 4.28, 4.33, 4.22, 4.23, 19600.0, 4.23, 0.08000000000000007, 0.16000000000000014, 0.08179649544244952, 0.0, 0.5, 0.0, 0.006425233644859805
'2016-09-23', 4.2, 4.3, 4.12, 4.28, 44800.0, 4.28, 0.16999999999999993, 0.08000000000000007, 0.08271772616689979, 0.0, 0.8, 0.0, 0.00793650793650793
'2016-09-22', 4.03, 4.3, 4.03, 4.22, 35600.0, 4.22, -0.08000000000000007, -0.16999999999999993, 0.09110982383914476, 1.0, 1.0, 0.0, 0.011662531017369719
'2016-09-21', 4.11, 4.21, 4.05, 4.2, 42000.0, 4.2, -0.009999999999999787, -0.019999999999999574, 0.10821224001419098, 0.0, 0.8, -0.1, 0.008626410086264094
'2016-09-20', 4.12, 4.16, 4.11, 4.13, 25600.0, 4.13, 0.0, 0.07000000000000028, 0.10860171883231552, 0.0, 0.5, -0.5, 0.00768608414239482
