Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 19.26, 19.280001, 19.190001, 19.200001, 17100.0, 19.200001, 0.10000000000000142, 0.1700000000000017, 0.17715556741810926, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 19.16, 19.27, 19.059999, 19.25, 10400.0, 19.25, -0.010000000000001563, 0.14999999999999858, 0.16969280807301962, 0.0, 0.0, -0.8, 0.005219206680584626
'2016-10-04', 19.17, 19.17, 18.99, 19.059999, 11700.0, 19.059999, 0.12999900000000153, 0.22999900000000295, 0.16624675475708459, 0.0, 0.0, -0.5, 0.002347417840375583
'2016-10-03', 19.040001, 19.25, 19.040001, 19.25, 7600.0, 19.25, -0.04999899999999968, 0.0200010000000006, 0.16466456429346493, 0.0, 0.0, -0.1, 0.003851522906957855
'2016-09-30', 19.09, 19.200001, 19.0, 19.200001, 16600.0, 19.200001, 0.0799999999999983, 0.2800009999999986, 0.16435116989263154, 0.0, 0.0, 0.0, 0.0022262964903090846
'2016-09-29', 19.01, 19.120001, 18.969999, 18.969999, 7200.0, 18.969999, 0.06999900000000281, -0.1000009999999989, 0.16260272103982618, 0.0, 0.1, 0.0, 0.0026301946344029453
'2016-09-28', 18.940001, 19.110001, 18.9, 19.08, 23000.0, 19.08, -0.07999900000000082, -0.23999900000000096, 0.16212539865658163, 0.0, 0.5, 0.0, 0.002815900942490295
'2016-09-27', 19.02, 19.02, 18.879999, 18.950001, 9600.0, 18.950001, 0.21000099999999833, 0.21000099999999833, 0.16472529516531112, 0.0, 0.8, 0.0, 0.0018026137899955087
'2016-09-26', 18.809999, 19.049999, 18.809999, 19.01, 15900.0, 19.01, -0.3000019999999992, -0.0799999999999983, 0.1644525616859666, 1.0, 1.0, 0.0, 0.0029904374263922096
'2016-09-23', 19.110001, 19.110001, 19.0, 19.07, 20100.0, 19.07, -0.06999899999999926, 0.19000099999999875, 0.16395450791993085, 0.0, 0.8, 0.0, 0.0008721378693572898
'2016-09-22', 19.18, 19.219999, 18.969999, 19.139999, 14500.0, 19.139999, 0.37000099999999847, 0.3500000000000014, 0.1652370748702502, 0.0, 0.5, 0.0, 0.0004171011470281639
'2016-09-21', 18.809999, 19.030001, 18.76, 19.030001, 24300.0, 19.030001, -0.0799999999999983, -0.14000199999999907, 0.16123468395998625, 0.0, 0.1, 0.0, 0.0021748635828306977
'2016-09-20', 18.889999, 18.889999, 18.690001, 18.76, 21100.0, 18.76, -0.030001000000002165, 0.08999999999999986, 0.16123468395998625, 0.0, 0.0, -0.1, 0.0016322614239771447
'2016-09-19', 18.92, 18.969999, 18.75, 18.9, 11000.0, 18.9, 0.09000000000000341, 0.030001000000002165, 0.17215516063675432, 0.0, 0.1, -0.5, 0.0013823385916409165
'2016-09-16', 18.83, 18.84, 18.74, 18.84, 10700.0, 18.84, -0.12000100000000202, -0.030001000000002165, 0.21264524380215208, 0.0, 0.5, -0.8, 0.0016311357256657433
'2016-09-15', 18.950001, 19.0, 18.82, 18.92, 17600.0, 18.92, 0.15000200000000063, -0.10999800000000093, 0.23932543770752607, -1.0, 0.8, -1.0, 0.0010905856944281999
'2016-09-14', 18.799999, 18.940001, 18.799999, 18.870001, 75700.0, 18.870001, -0.08999999999999986, -0.6400019999999991, 0.2759681744945643, 1.0, 1.0, -0.8, 0.0015292587249605767
'2016-09-13', 18.889999, 18.889999, 18.639999, 18.639999, 13500.0, 18.639999, 0.02999799999999908, -0.4600010000000019, 0.30214067106500264, 0.0, 0.8, -0.3, 0.001152184534572102
'2016-09-12', 18.860001, 19.16, 18.860001, 19.09, 12700.0, 19.09, -0.1999980000000008, -0.259999999999998, 0.31594665689084134, 0.0, 0.5, -0.3, 0.0011782696441355823
'2016-09-09', 19.059999, 19.15, 19.0, 19.0, 8400.0, 19.0, -0.3800019999999975, 0.10999800000000093, 0.3303045009287644, 0.0, 0.1, -0.8, 0.0005522753920948605
'2016-09-08', 19.440001, 19.559999, 19.33, 19.360001, 13600.0, 19.360001, 0.09000099999999733, 0.6900009999999988, 0.34348374702029055, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 19.35, 19.379999, 19.280001, 19.379999, 10300.0, 19.379999, 0.22999900000000295, 0.47999900000000295, 0.33203146356999425, 0.0, 0.0, -0.8, 0.0046512144702841
'2016-09-06', 19.120001, 19.299999, 19.09, 19.27, 28200.0, 19.27, 0.16999999999999815, 0.2200009999999999, 0.32472490545489263, 0.0, 0.0, -0.5, 0.008368200399152707
'2016-09-02', 18.950001, 19.049999, 18.950001, 18.959999, 7400.0, 18.959999, 0.20000100000000032, 0.2200009999999999, 0.31690802051562056, 0.0, 0.0, -0.1, 0.008619172808135093
'2016-09-01', 18.75, 18.82, 18.719999, 18.77, 32500.0, 18.77, -0.12000099999999847, -0.059999000000001246, 0.3129055802215459, 0.0, 0.1, 0.0, 0.009200013333333317
'2016-08-31', 18.870001, 18.870001, 18.709999, 18.77, 20200.0, 18.77, -0.02999900000000011, 0.07000199999999879, 0.3130546954348483, 0.0, 0.5, 0.0, 0.006041335132944617
'2016-08-30', 18.9, 18.940001, 18.84, 18.889999, 8700.0, 18.889999, 0.16999999999999815, -0.040001000000000175, 0.3105101334907966, 0.0, 0.8, 0.0, 0.004761913580246915
'2016-08-29', 18.73, 18.950001, 18.73, 18.950001, 6500.0, 18.950001, -0.07999900000000082, -0.1999999999999993, 0.3065979761845671, 1.0, 1.0, 0.0, 0.0054153077568453835
'2016-08-26', 18.809999, 18.92, 18.690001, 18.690001, 12300.0, 18.690001, 0.010000000000001563, 0.01999800000000107, 0.31241089467498856, 0.0, 0.8, 0.0, 0.004186616384190115
'2016-08-25', 18.799999, 18.879999, 18.75, 18.860001, 14500.0, 18.860001, -0.14000199999999907, -0.08000000000000185, 0.32163285601312064, 0.0, 0.5, 0.0, 0.0037825179316942105
'2016-08-24', 18.940001, 19.0, 18.84, 18.889999, 14600.0, 18.889999, 0.010000999999999038, 0.060001999999997224, 0.32412435309172466, 0.0, 0.1, 0.0, 0.0026399153833202016
