Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-14', 0.129, 0.129, 0.097, 0.11, 2500.0, 0.11, 0.019000000000000003, 0.019000000000000003, 0.015435025105259792, 0.0, 0.0, -0.8, 0.0
'2016-09-13', 0.11, 0.129, 0.109, 0.129, 2200.0, 0.129, 0.0, 0.009999999999999995, 0.0150087381955387, 0.0, 0.0, -0.5, 0.08636363636363638
'2016-09-12', 0.11, 0.11, 0.11, 0.11, 500.0, 0.11, 0.0, 0.0020000000000000018, 0.015478156651660217, 0.0, 0.0, -0.1, 0.05757575757575758
'2016-09-09', 0.11, 0.11, 0.11, 0.11, 0.0, 0.11, 0.0, 0.03, 0.015905834010059187, 0.0, 0.0, 0.0, 0.04318181818181819
'2016-09-08', 0.11, 0.11, 0.11, 0.11, 5000.0, 0.11, 0.009999999999999995, 0.03, 0.016095409973723017, 0.0, 0.1, 0.0, 0.034545454545454546
'2016-09-07', 0.1, 0.1, 0.1, 0.1, 300.0, 0.1, -0.007999999999999993, 0.0, 0.016269398677681155, 0.0, 0.5, 0.0, 0.048333333333333325
'2016-09-06', 0.108, 0.108, 0.096, 0.096, 3500.0, 0.096, 0.027999999999999997, 0.007999999999999993, 0.016269398677681155, 0.0, 0.8, 0.0, 0.027777777777777783
'2016-09-02', 0.08, 0.08, 0.08, 0.08, 0.0, 0.08, 0.0, -0.024999999999999994, 0.01845884310808478, 1.0, 1.0, 0.0, 0.0765625
'2016-09-01', 0.08, 0.08, 0.08, 0.08, 100.0, 0.08, -0.020000000000000004, -0.024999999999999994, 0.019269319309894336, 0.0, 0.8, 0.0, 0.06805555555555556
'2016-08-31', 0.1, 0.1, 0.07, 0.07, 3900.0, 0.07, 0.0, -0.0049999999999999906, 0.01825364499368703, 0.0, 0.5, 0.0, 0.028999999999999998
