Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-09', 6.99, 7.02, 6.91, 6.96, 522500.0, 6.96, 0.040000000000000036, 0.20000000000000018, 0.4218963801166769, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 6.95, 7.13, 6.95, 7.04, 584400.0, 7.04, -0.019999999999999574, 0.23000000000000043, 0.47733938543649307, 0.0, 0.0, -0.8, 0.005755395683453243
'2016-09-07', 6.97, 7.05, 6.94, 7.0, 351800.0, 7.0, 0.10999999999999943, 0.08000000000000007, 0.5232717585856638, 0.0, 0.1, -0.5, 0.00143472022955527
'2016-09-06', 6.86, 7.01, 6.84, 6.97, 352000.0, 6.97, 0.07000000000000028, -0.05999999999999961, 0.558676610890017, 0.0, 0.5, -0.1, 0.0063168124392614135
'2016-09-02', 6.79, 6.84, 6.75, 6.83, 179300.0, 6.83, 0.07000000000000028, -0.16000000000000014, 0.5894502146539227, 0.0, 0.8, 0.0, 0.007363770250368195
'2016-09-01', 6.72, 6.79, 6.65, 6.75, 260300.0, 6.75, -0.16999999999999993, -0.28000000000000025, 0.6126322079536973, 1.0, 1.0, 0.0, 0.008035714285714299
'2016-08-31', 6.89, 6.89, 6.62, 6.73, 369100.0, 6.73, -0.03000000000000025, -0.0600000000000005, 0.6309449703068847, 0.0, 0.8, 0.0, 0.0024189646831156396
'2016-08-30', 6.92, 6.99, 6.86, 6.88, 260600.0, 6.88, -0.03000000000000025, -0.040000000000000036, 0.6430556395488306, 0.0, 0.5, 0.0, 0.0014450867052023181
'2016-08-29', 6.95, 7.01, 6.92, 6.95, 194500.0, 6.95, -0.04999999999999982, 0.1299999999999999, 0.6536652218240023, 0.0, 0.1, 0.0, 0.0007194244604316553
'2016-08-26', 7.0, 7.05, 6.89, 6.97, 339800.0, 6.97, 0.04999999999999982, 0.15000000000000036, 0.6558371240890023, 0.0, 0.0, 0.0, -0.00015873015873015534
'2016-08-25', 6.95, 7.06, 6.91, 7.03, 439400.0, 7.03, -0.009999999999999787, 0.03000000000000025, 0.6515363040963685, 0.0, 0.0, 0.0, 0.0005755395683453243
'2016-08-24', 6.96, 7.04, 6.92, 6.96, 601400.0, 6.96, 0.13999999999999968, 0.03000000000000025, 0.6419030733339385, 0.0, 0.0, 0.0, 0.0003918495297805675
'2016-08-23', 6.82, 6.98, 6.81, 6.97, 493200.0, 6.97, -0.02999999999999936, -0.10999999999999943, 0.6324738905458646, 0.0, 0.0, 0.0, 0.002077223851417399
'2016-08-22', 6.85, 6.89, 6.66, 6.81, 740700.0, 6.81, -0.07000000000000028, -0.11000000000000032, 0.6302247394558724, 0.0, 0.0, 0.0, 0.0015721504772599727
'2016-08-19', 6.92, 6.99, 6.87, 6.93, 390700.0, 6.93, -0.009999999999999787, 0.1200000000000001, 0.6285016573831237, 0.0, 0.0, -0.1, 0.0007225433526011591
'2016-08-18', 6.93, 6.98, 6.82, 6.95, 365900.0, 6.95, 0.0, 0.16000000000000014, 0.629620785340933, 0.0, 0.0, -0.5, 0.0005772005772005821
'2016-08-17', 6.93, 6.99, 6.83, 6.91, 403400.0, 6.91, -0.03000000000000025, 0.2699999999999996, 0.6265404128138016, 0.0, 0.0, -0.8, 0.0005411255411255457
'2016-08-16', 6.96, 7.0, 6.91, 6.93, 522100.0, 6.93, 0.16000000000000014, 0.2999999999999998, 0.6187499943883278, -1.0, 0.0, -1.0, 0.0
'2016-08-15', 6.8, 6.99, 6.79, 6.95, 346800.0, 6.95, 0.03000000000000025, 0.09999999999999964, 0.5963831728753662, 0.0, 0.0, -0.8, 0.023529411764705903
'2016-08-12', 6.77, 6.87, 6.74, 6.86, 241100.0, 6.86, 0.10999999999999943, 0.17999999999999972, 0.5761076288333631, 0.0, 0.0, -0.5, 0.014032496307237843
'2016-08-11', 6.66, 6.84, 6.66, 6.78, 331800.0, 6.78, 0.0, 0.16999999999999993, 0.5606638921849703, 0.0, 0.0, -0.1, 0.015015015015015006
'2016-08-10', 6.66, 6.71, 6.6, 6.69, 290900.0, 6.69, -0.040000000000000036, 0.3100000000000005, 0.5446288236547489, 0.0, 0.0, 0.0, 0.011261261261261254
'2016-08-09', 6.7, 6.74, 6.5, 6.63, 436700.0, 6.63, 0.11000000000000032, 0.5499999999999998, 0.5264835124568374, 0.0, 0.0, 0.0, 0.00776119402985074
'2016-08-08', 6.59, 6.75, 6.59, 6.73, 425300.0, 6.73, 0.09999999999999964, 0.5899999999999999, 0.48953992006100316, 0.0, 0.0, 0.0, 0.009357612544258981
'2016-08-05', 6.49, 6.62, 6.44, 6.6, 1191800.0, 6.6, 0.14000000000000057, 1.0700000000000003, 0.44730812149518995, 0.0, 0.0, 0.0, 0.010345586616773051
'2016-08-04', 6.35, 6.5, 6.26, 6.5, 915800.0, 6.5, 0.1999999999999993, 1.0099999999999998, 0.3989313502624508, 0.0, 0.0, 0.0, 0.012007874015748038
'2016-08-03', 6.15, 6.33, 6.04, 6.3, 629300.0, 6.3, 0.15000000000000036, 0.7700000000000005, 0.3548514556198911, 0.0, 0.1, 0.0, 0.014634146341463407
'2016-08-02', 6.0, 6.39, 5.83, 6.15, 2202200.0, 6.15, 0.5800000000000001, 0.6299999999999999, 0.31620387234961067, 0.0, 0.5, 0.0, 0.016
'2016-08-01', 5.42, 5.55, 5.4, 5.54, 855300.0, 5.54, 0.08000000000000007, 0.03000000000000025, 0.28827166970681584, 0.0, 0.8, 0.0, 0.025830258302583026
'2016-07-29', 5.34, 5.44, 5.29, 5.39, 543800.0, 5.39, -0.040000000000000036, -0.0600000000000005, 0.29142733037395246, 1.0, 1.0, 0.0, 0.025280898876404497
'2016-07-28', 5.38, 5.43, 5.28, 5.32, 303300.0, 5.32, 0.009999999999999787, -0.08999999999999986, 0.2979903055842961, 0.0, 0.8, 0.0, 0.022590792107520734
'2016-07-27', 5.37, 5.43, 5.35, 5.4, 238200.0, 5.4, -0.019999999999999574, -0.14999999999999947, 0.30123007080229475, 0.0, 0.5, 0.0, 0.021149241819632878
'2016-07-26', 5.39, 5.46, 5.38, 5.4, 187200.0, 5.4, -0.010000000000000675, -0.11000000000000032, 0.30291638010073557, 0.0, 0.1, 0.0, 0.019418676561533708
'2016-07-25', 5.4, 5.49, 5.37, 5.41, 244200.0, 5.41, -0.0699999999999994, -0.02999999999999936, 0.30422287151947586, 0.0, 0.0, 0.0, 0.01805555555555555
'2016-07-22', 5.47, 5.5, 5.41, 5.45, 206600.0, 5.45, -0.04999999999999982, -0.04999999999999982, 0.3019788439977579, 0.0, 0.0, 0.0, 0.016023228304118727
'2016-07-21', 5.52, 5.61, 5.43, 5.45, 165900.0, 5.45, 0.019999999999999574, -0.03000000000000025, 0.295180547386774, 0.0, 0.0, 0.0, 0.014492753623188411
'2016-07-20', 5.5, 5.57, 5.45, 5.5, 117900.0, 5.5, 0.07000000000000028, -0.1900000000000004, 0.2831381680773933, 0.0, 0.0, 0.0, 0.013971291866028707
'2016-07-19', 5.43, 5.52, 5.43, 5.5, 185200.0, 5.5, -0.08999999999999986, -0.1200000000000001, 0.2710637481397236, 0.0, 0.0, 0.0, 0.014088397790055251
'2016-07-18', 5.52, 5.56, 5.45, 5.49, 334800.0, 5.49, -0.03000000000000025, 0.11999999999999922, 0.2614763639201235, 0.0, 0.0, 0.0, 0.01242236024844721
'2016-07-15', 5.55, 5.55, 5.47, 5.51, 248400.0, 5.51, -0.14000000000000057, 0.2999999999999998, 0.24417684847940302, 0.0, 0.0, 0.0, 0.01154791154791155
'2016-07-14', 5.69, 5.76, 5.48, 5.49, 312900.0, 5.49, 0.14000000000000057, 0.6900000000000004, 0.22217010499965015, 0.0, 0.0, 0.0, 0.009704286696721935
'2016-07-13', 5.55, 5.8, 5.55, 5.61, 551600.0, 5.61, 0.14999999999999947, 0.6099999999999994, 0.1789317064009494, 0.0, 0.0, 0.0, 0.010585585585585587
'2016-07-12', 5.4, 5.81, 5.38, 5.56, 906600.0, 5.56, 0.15000000000000036, 0.5100000000000007, 0.14061610465693072, 0.0, 0.0, 0.0, 0.011555555555555553
'2016-07-11', 5.25, 5.41, 5.25, 5.31, 358900.0, 5.31, 0.25, 0.25, 0.11508644094283603, 0.0, 0.0, 0.0, 0.012527472527472527
'2016-07-08', 5.0, 5.3, 4.99, 5.29, 441700.0, 5.29, 0.05999999999999961, -0.019999999999999574, 0.09894105989594681, 0.0, 0.0, 0.0, 0.014518518518518517
'2016-07-07', 4.94, 5.0, 4.92, 4.99, 183700.0, 4.99, 0.05000000000000071, 0.15000000000000036, 0.09819538346242827, 0.0, 0.0, -0.1, 0.014603817235396178
'2016-07-06', 4.89, 4.98, 4.82, 4.92, 175800.0, 4.92, -0.11000000000000032, 0.09999999999999964, 0.10391289086965529, 0.0, 0.0, -0.5, 0.01459699598053734
'2016-07-05', 5.0, 5.06, 4.86, 4.9, 210800.0, 4.9, -0.019999999999999574, 0.33000000000000007, 0.11797551535052615, 0.0, 0.0, -0.8, 0.013066666666666666
'2016-07-01', 5.02, 5.1, 4.97, 5.06, 286600.0, 5.06, 0.22999999999999954, 0.21999999999999975, 0.14132075415718512, -1.0, 0.1, -1.0, 0.0
'2016-06-30', 4.79, 5.01, 4.79, 5.0, 496200.0, 5.0, 0.0, -0.11000000000000032, 0.1485649876503733, 0.0, 0.5, -0.8, 0.04801670146137777
'2016-06-29', 4.79, 4.86, 4.74, 4.82, 266400.0, 4.82, 0.1200000000000001, -0.25, 0.16778425300234698, 0.0, 0.8, -0.5, 0.024008350730688886
'2016-06-28', 4.67, 4.85, 4.67, 4.71, 319000.0, 4.71, -0.1299999999999999, -0.28000000000000025, 0.1833227269659227, 1.0, 1.0, -0.1, 0.02498215560314059
'2016-06-27', 4.8, 4.88, 4.58, 4.61, 367600.0, 4.61, -0.10000000000000053, -0.29000000000000004, 0.19561754068135664, 0.0, 0.8, 0.0, 0.01145833333333332
'2016-06-24', 4.9, 4.95, 4.84, 4.85, 834000.0, 4.85, -0.13999999999999968, 0.010000000000000675, 0.20769528962721645, 0.0, 0.5, -0.1, 0.004897959183673438
'2016-06-23', 5.04, 5.08, 4.97, 5.05, 268600.0, 5.05, 0.08999999999999986, 0.17999999999999972, 0.2120995573362241, 0.0, 0.1, -0.5, -0.0006613756613756766
'2016-06-22', 4.95, 5.03, 4.93, 4.97, 246100.0, 4.97, -0.13999999999999968, 0.16000000000000014, 0.21237283776938665, 0.0, 0.0, -0.8, 0.002020202020202003
'2016-06-21', 5.09, 5.1, 4.89, 4.97, 205600.0, 4.97, 0.20000000000000018, 0.2699999999999996, 0.21645143155503088, -1.0, 0.1, -1.0, 0.0
'2016-06-20', 4.89, 5.13, 4.89, 5.08, 474400.0, 5.08, 0.02999999999999936, 0.04999999999999982, 0.21623957906811503, 0.0, 0.5, -0.8, 0.04089979550102253
'2016-06-17', 4.86, 4.97, 4.84, 4.84, 483600.0, 4.84, 0.07000000000000028, 0.0600000000000005, 0.22714875204490023, 0.0, 0.8, -0.5, 0.02366255144032917
'2016-06-16', 4.79, 4.88, 4.73, 4.86, 262400.0, 4.86, -0.03000000000000025, -0.08000000000000007, 0.23075937443338873, 1.0, 1.0, -0.1, 0.02087682672233819
'2016-06-15', 4.82, 4.89, 4.79, 4.85, 170600.0, 4.85, -0.019999999999999574, -0.08000000000000007, 0.23156688498622213, 0.0, 0.8, 0.0, 0.014004149377593337
'2016-06-14', 4.84, 4.92, 4.79, 4.81, 262300.0, 4.81, 0.040000000000000036, -0.16999999999999993, 0.23111541128478066, 0.0, 0.5, 0.0, 0.010330578512396695
'2016-06-13', 4.8, 4.95, 4.67, 4.86, 363400.0, 4.86, -0.07000000000000028, -0.15000000000000036, 0.22871719558344442, 0.0, 0.1, -0.1, 0.010069444444444447
'2016-06-10', 4.87, 4.95, 4.79, 4.87, 342400.0, 4.87, -0.03000000000000025, -0.04999999999999982, 0.22691750826138463, 0.0, 0.0, -0.5, 0.006453505426811374
'2016-06-09', 4.9, 5.0, 4.86, 4.9, 397300.0, 4.9, -0.10999999999999943, -0.09999999999999964, 0.22299003465526337, 0.0, 0.0, -0.8, 0.004846938775510191
'2016-06-08', 5.01, 5.01, 4.93, 4.94, 342200.0, 4.94, 0.05999999999999961, 0.10999999999999943, 0.2174807782055437, -1.0, 0.0, -1.0, 0.0
'2016-06-07', 4.95, 5.08, 4.92, 5.02, 600100.0, 5.02, 0.03000000000000025, 0.07000000000000028, 0.20536038782805435, 0.0, 0.0, -0.8, 0.012121212121212041
'2016-06-06', 4.92, 5.02, 4.87, 4.96, 380500.0, 4.96, -0.08000000000000007, 0.05999999999999961, 0.19576090859345066, 0.0, 0.0, -0.5, 0.00914634146341462
'2016-06-03', 5.0, 5.0, 4.87, 4.93, 324900.0, 4.93, 0.09999999999999964, 0.28000000000000025, 0.18700594167625326, 0.0, 0.0, -0.1, 0.0006666666666666524
'2016-06-02', 4.9, 5.01, 4.89, 5.0, 360000.0, 5.0, 0.020000000000000462, 0.15000000000000036, 0.17182322957685967, 0.0, 0.0, 0.0, 0.005612244897959155
'2016-06-01', 4.88, 5.0, 4.82, 4.99, 386900.0, 4.99, 0.019999999999999574, 0.08999999999999986, 0.16084119151787232, 0.0, 0.0, 0.0, 0.005327868852459013
'2016-05-31', 4.86, 4.98, 4.85, 4.88, 408200.0, 4.88, 0.14000000000000057, 0.1800000000000006, 0.14940957874989882, 0.0, 0.0, 0.0, 0.0051440329218106805
'2016-05-27', 4.72, 4.85, 4.69, 4.83, 440800.0, 4.83, -0.03000000000000025, 0.16000000000000014, 0.13838312356963503, 0.0, 0.0, 0.0, 0.0087772397094431
'2016-05-26', 4.75, 4.75, 4.7, 4.73, 173200.0, 4.73, -0.040000000000000036, 0.34999999999999964, 0.13591010100634734, 0.0, 0.0, 0.0, 0.006842105263157889
'2016-05-25', 4.79, 4.8, 4.62, 4.74, 511900.0, 4.74, 0.11000000000000032, 0.27000000000000046, 0.12926329718833568, 0.0, 0.0, 0.0, 0.005103224309904889
'2016-05-24', 4.68, 4.8, 4.68, 4.79, 481200.0, 4.79, 0.1200000000000001, 0.29000000000000004, 0.11911712256803753, 0.0, 0.0, 0.0, 0.007051282051282053
'2016-05-23', 4.56, 4.66, 4.54, 4.62, 378100.0, 4.62, 0.15999999999999925, 0.15999999999999925, 0.11689548988543376, 0.0, 0.1, 0.0, 0.008971291866028712
'2016-05-20', 4.4, 4.57, 4.4, 4.54, 404500.0, 4.54, -0.11999999999999922, 0.0, 0.11851113402920795, 0.0, 0.5, 0.0, 0.01155303030303029
'2016-05-19', 4.52, 4.55, 4.34, 4.37, 546200.0, 4.37, 0.1299999999999999, 0.11999999999999922, 0.11900700259508541, 0.0, 0.8, 0.0, 0.008339006126616751
'2016-05-18', 4.39, 4.58, 4.33, 4.52, 1010900.0, 4.52, -0.010000000000000675, -0.11000000000000032, 0.11918426443490301, 1.0, 1.0, 0.0, 0.010087862024080706
'2016-05-17', 4.4, 4.48, 4.31, 4.37, 308300.0, 4.37, 0.0, -0.05999999999999961, 0.12034210494345787, 0.0, 0.8, -0.1, 0.009242424242424234
'2016-05-16', 4.4, 4.48, 4.4, 4.44, 311300.0, 4.44, 0.0, -0.019999999999999574, 0.12168493013607819, 0.0, 0.5, -0.5, 0.008664772727272719
'2016-05-13', 4.4, 4.47, 4.3, 4.42, 344500.0, 4.42, -0.09999999999999964, 0.0600000000000005, 0.12449185604778426, 0.0, 0.1, -0.8, 0.008155080213903735
'2016-05-12', 4.5, 4.53, 4.37, 4.42, 480800.0, 4.42, 0.040000000000000036, 0.2400000000000002, 0.12491063472205512, -1.0, 0.0, -1.0, 0.0
'2016-05-11', 4.46, 4.63, 4.46, 4.5, 678600.0, 4.5, 0.040000000000000036, 0.08000000000000007, 0.12477045590469997, 0.0, 0.1, -0.8, 0.00896860986547086
'2016-05-10', 4.42, 4.49, 4.38, 4.49, 586400.0, 4.49, 0.08000000000000007, -0.07000000000000028, 0.12494265351218807, 0.0, 0.5, -0.5, 0.009049773755656116
'2016-05-09', 4.34, 4.44, 4.33, 4.38, 429500.0, 4.38, 0.08000000000000007, -0.45999999999999996, 0.128228961887191, 0.0, 0.8, -0.1, 0.012288786482334882
'2016-05-06', 4.26, 4.4, 4.26, 4.36, 749100.0, 4.36, -0.1200000000000001, -0.33000000000000007, 0.13626771036782304, 1.0, 1.0, 0.0, 0.014084507042253534
'2016-05-05', 4.38, 4.4, 4.26, 4.27, 291200.0, 4.27, -0.11000000000000032, -0.2400000000000002, 0.1337842375701347, 0.0, 0.8, 0.0, 0.005479452054794526
'2016-05-04', 4.49, 4.49, 4.27, 4.34, 770600.0, 4.34, -0.3099999999999996, -0.1899999999999995, 0.13447882939539432, 0.0, 0.5, 0.0, 0.0003711952487008087
'2016-05-03', 4.8, 4.9, 4.5, 4.54, 952300.0, 4.54, 0.20999999999999996, 0.13999999999999968, 0.13441064772636965, 0.0, 0.1, 0.0, -0.008928571428571423
'2016-05-02', 4.59, 4.71, 4.55, 4.64, 731700.0, 4.64, -0.03000000000000025, -0.009999999999999787, 0.11987076374162307, 0.0, 0.0, 0.0, -0.002450980392156859
'2016-04-29', 4.62, 4.64, 4.51, 4.54, 391100.0, 4.54, -0.05999999999999961, -0.040000000000000036, 0.11697863052711813, 0.0, 0.0, 0.0, -0.0028860028860028886
'2016-04-28', 4.68, 4.76, 4.6, 4.61, 358400.0, 4.61, 0.019999999999999574, 0.16000000000000014, 0.11397904290799354, 0.0, 0.0, 0.0, -0.0038461538461538403
'2016-04-27', 4.66, 4.73, 4.65, 4.67, 278200.0, 4.67, 0.0600000000000005, 0.20000000000000018, 0.1076831772686276, 0.0, 0.0, 0.0, -0.0031213421771361712
'2016-04-26', 4.6, 4.7, 4.57, 4.67, 242500.0, 4.67, -0.0600000000000005, 0.09999999999999964, 0.09897755076559313, 0.0, 0.0, 0.0, -0.0018115942028985445
'2016-04-25', 4.66, 4.74, 4.55, 4.59, 251700.0, 4.59, 0.14000000000000057, 0.16000000000000014, 0.09409746719935318, 0.0, 0.0, 0.0, -0.002641135688345991
'2016-04-22', 4.52, 4.66, 4.52, 4.66, 321400.0, 4.66, 0.05999999999999961, 0.07999999999999918, 0.08254022588343755, 0.0, 0.0, 0.0, -0.00031605562579013237
'2016-04-21', 4.46, 4.59, 4.46, 4.54, 471500.0, 4.54, -0.040000000000000036, 0.07000000000000028, 0.08164965809277266, 0.0, 0.0, 0.0, 0.0005979073243647239
'2016-04-20', 4.5, 4.5, 4.39, 4.44, 336000.0, 4.44, 0.0, 0.040000000000000036, 0.08179989133380455, 0.0, 0.0, 0.0, 0.0
'2016-04-19', 4.5, 4.54, 4.46, 4.5, 277200.0, 4.5, 0.05999999999999961, 0.08000000000000007, 0.08014985963805557, 0.0, 0.0, 0.0, 0.0
'2016-04-18', 4.44, 4.57, 4.44, 4.51, 264900.0, 4.51, 0.05000000000000071, 0.09000000000000075, 0.0777753174214031, 0.0, 0.0, 0.0, 0.0007507507507507459
'2016-04-15', 4.39, 4.56, 4.39, 4.44, 385900.0, 4.44, -0.07000000000000028, 0.040000000000000036, 0.07975587752636171, 0.0, 0.0, 0.0, 0.0013187867162210805
'2016-04-14', 4.46, 4.49, 4.38, 4.42, 372300.0, 4.42, 0.040000000000000036, 0.08000000000000007, 0.08126499861564024, 0.0, 0.0, 0.0, 0.000448430493273543
'2016-04-13', 4.42, 4.57, 4.39, 4.44, 516300.0, 4.44, 0.07000000000000028, 0.0, 0.08305353026144584, 0.0, 0.0, 0.0, 0.0008618832148243921
'2016-04-12', 4.35, 4.49, 4.33, 4.41, 318900.0, 4.41, 0.0, 0.0, 0.0835763124336077, 0.0, 0.0, -0.1, 0.001567398119122261
'2016-04-11', 4.35, 4.47, 4.3, 4.36, 293800.0, 4.36, -0.03000000000000025, 0.0, 0.08721939131994805, 0.0, 0.0, -0.5, 0.0014992503748125973
'2016-04-08', 4.38, 4.43, 4.26, 4.31, 365800.0, 4.31, -0.040000000000000036, 0.07000000000000028, 0.09721968250651032, 0.0, 0.0, -0.8, 0.0011415525114155261
'2016-04-07', 4.42, 4.48, 4.35, 4.35, 284700.0, 4.35, 0.07000000000000028, 0.040000000000000036, 0.10824303929378348, -1.0, 0.1, -1.0, 0.0
'2016-04-06', 4.35, 4.5, 4.33, 4.47, 228500.0, 4.47, 0.0, -0.1200000000000001, 0.13320368696932613, 0.0, 0.5, -0.8, 0.01609195402298857
'2016-04-05', 4.35, 4.38, 4.32, 4.37, 344200.0, 4.37, 0.040000000000000036, -0.08000000000000007, 0.16912979893823823, 0.0, 0.8, -0.3, 0.008045977011494286
'2016-04-04', 4.31, 4.48, 4.31, 4.4, 558500.0, 4.4, -0.07000000000000028, 0.009999999999999787, 0.2375064911393651, 1.0, 1.0, -0.3, 0.008507347254447047
'2016-04-01', 4.38, 4.4, 4.26, 4.29, 552000.0, 4.29, -0.08999999999999986, 0.20000000000000018, 0.2741834341377238, 0.0, 0.8, -0.8, 0.0022831050228310523
'2016-03-31', 4.47, 4.51, 4.38, 4.46, 406400.0, 4.46, 0.040000000000000036, 0.14999999999999947, 0.2972326062568207, -1.0, 0.5, -1.0, 0.0
'2016-03-30', 4.43, 4.51, 4.35, 4.48, 509000.0, 4.48, 0.1299999999999999, 0.08000000000000007, 0.320517116894281, 0.0, 0.1, -0.8, 0.009029345372460505
