Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 132.639999, 132.970001, 130.949997, 132.0, 737400.0, 132.0, 1.1099999999999852, 3.699996999999996, 2.367878864307919, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 131.529999, 132.940002, 130.679993, 132.559998, 1239900.0, 132.559998, -0.7100059999999928, 5.510002, 2.3545291975284415, 0.0, 0.0, -0.8, 0.008439139424003076
'2016-09-20', 132.240005, 132.759995, 131.070007, 131.570007, 1027600.0, 131.570007, 0.029998000000006186, 4.930007000000003, 2.330211312309283, 0.0, 0.1, -0.5, 0.001512378950681348
'2016-09-19', 132.210007, 132.889999, 131.610001, 131.889999, 1091500.0, 131.889999, 3.2700049999999976, 3.44000299999999, 2.283148264872642, 0.0, 0.5, -0.1, 0.0010841136001654263
'2016-09-16', 128.940002, 132.779999, 128.0, 131.990005, 2733200.0, 131.990005, 2.920004999999989, 0.9900049999999965, 2.2196901636068898, 0.0, 0.8, 0.0, 0.00717387339578294
'2016-09-15', 126.019997, 128.800003, 125.919998, 128.639999, 1213300.0, 128.639999, -1.2900009999999895, -1.0400009999999895, 2.3647531843799663, 1.0, 1.0, 0.0, 0.01050627227042385
'2016-09-14', 127.309998, 127.849998, 125.980003, 126.25, 1122400.0, 126.25, -1.460006000000007, 0.7900009999999895, 2.4644201426054853, 0.0, 0.8, 0.0, 0.0069777198488370044
'2016-09-13', 128.770004, 128.770004, 126.949997, 127.540001, 1216700.0, 127.540001, 0.8200070000000039, 1.7300029999999964, 2.484378198913268, 0.0, 0.5, 0.0, 0.004293363449545493
'2016-09-12', 127.949997, 129.809998, 127.080002, 129.009995, 1215800.0, 129.009995, 0.8899990000000031, 0.34999899999999684, 2.484441360214799, 0.0, 0.1, 0.0, 0.004581869978472912
'2016-09-09', 127.059998, 129.089996, 127.059998, 128.449997, 1808000.0, 128.449997, 0.5400009999999895, -0.9799950000000166, 2.477564076671404, 0.0, 0.0, 0.0, 0.004879585399577219
'2016-09-08', 126.519997, 127.900002, 126.169998, 127.669998, 1054200.0, 127.669998, -0.5200040000000001, -2.060005000000004, 2.901404950045219, 0.0, 0.0, 0.0, 0.004837181587982479
'2016-09-07', 127.040001, 128.100006, 126.550003, 126.739998, 951500.0, 126.739998, -0.5599969999999956, -1.2099989999999963, 3.3670347802401497, 0.0, 0.0, 0.0, 0.004007326222177264
'2016-09-06', 127.599998, 128.039993, 127.169998, 127.580002, 788900.0, 127.580002, -0.43999500000001035, -0.8900069999999971, 3.76297531423861, 0.0, 0.0, 0.0, 0.003291536754830768
'2016-09-02', 128.039993, 128.5, 127.5, 128.179993, 524700.0, 128.179993, -0.5400089999999977, 0.41999000000001274, 4.673868814520454, 0.0, 0.0, 0.0, 0.0027635632203183093
'2016-09-01', 128.580002, 128.990005, 127.150002, 127.639999, 698300.0, 127.639999, 0.33000200000000746, -1.0200040000000001, 5.027085486505605, 0.0, 0.0, 0.0, 0.0022554034935719195
'2016-08-31', 128.25, 128.770004, 127.290001, 128.259995, 710600.0, 128.259995, -0.24000499999999647, -2.3699949999999887, 5.002642583609823, 0.0, 0.0, 0.0, 0.00228200077972709
'2016-08-30', 128.490005, 129.039993, 127.919998, 128.220001, 744500.0, 128.220001, 0.8700019999999995, -4.449996999999996, 4.968977713019075, 0.0, 0.0, 0.0, 0.0020186365857795675
'2016-08-29', 127.620003, 129.220001, 127.550003, 128.490005, 510200.0, 128.490005, -1.9800030000000106, -6.159996000000007, 4.94457761466837, 0.0, 0.0, 0.0, 0.0023138526517111953
'2016-08-26', 129.600006, 130.479996, 126.5, 127.650002, 1683900.0, 127.650002, -1.0199889999999812, -3.3999939999999924, 4.890284661990716, 0.0, 0.0, 0.0, 0.0013031519458417227
'2016-08-25', 130.619995, 131.570007, 128.960007, 129.410004, 836600.0, 129.410004, -2.320007000000004, -1.5800020000000075, 4.879593894298797, 0.0, 0.0, 0.0, 0.0008139335788521505
'2016-08-24', 132.940002, 133.940002, 131.100006, 131.369995, 800900.0, 131.369995, -0.839997000000011, 0.900008999999983, 4.879021658421315, 0.0, 0.0, 0.0, -0.00011283398355899069
