Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 19.6, 19.6, 19.431999, 19.48, 13300.0, 19.48, 0.3500000000000014, 0.47999900000000295, 0.31345976871117337, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 19.25, 19.5, 19.25, 19.450001, 40100.0, 19.450001, 0.19000099999999875, 0.14999999999999858, 0.31748583454037055, 0.0, 0.0, -0.8, 0.018181818181818257
'2016-09-21', 19.059999, 19.273001, 19.059999, 19.273001, 21800.0, 19.273001, -0.1800009999999972, 0.13299900000000164, 0.3311198736617837, 0.0, 0.0, -0.5, 0.01416581921121822
'2016-09-20', 19.24, 19.24, 18.990999, 19.07, 8100.0, 19.063999, 0.11999899999999997, 0.3689999999999998, 0.34523993336419273, 0.0, 0.0, -0.1, 0.0062370062370062885
'2016-09-19', 19.120001, 19.24, 19.063, 19.118999, 22100.0, 19.112984, 0.02000099999999705, 0.14000099999999804, 0.35587350560179704, 0.0, 0.0, 0.0, 0.00627613722405144
'2016-09-16', 19.1, 19.1, 18.903999, 18.969999, 30100.0, 18.96403, 0.17300000000000182, 0.30000100000000174, 0.3852305836773551, 0.0, 0.0, 0.0, 0.005235602094240838
'2016-09-15', 18.927, 19.09, 18.875999, 19.049999, 13100.0, 19.044005, 0.05600000000000094, -0.34299999999999997, 0.39279414140570584, 0.0, 0.1, 0.0, 0.005926278156425581
'2016-09-14', 18.871, 19.040001, 18.83, 18.893, 8000.0, 18.887055, -0.10900000000000176, -0.4990009999999998, 0.4112732671869709, 0.0, 0.5, 0.0, 0.005518671885054186
'2016-09-13', 18.98, 19.018999, 18.809999, 18.902, 51900.0, 18.896053, 0.18000100000000074, -0.48999900000000096, 0.4189563051897417, 0.0, 0.8, 0.0, 0.0040832455216016925
'2016-09-12', 18.799999, 19.146, 18.799999, 19.129, 18100.0, 19.122981, -0.4700009999999999, -0.5300009999999986, 0.4220009347704445, 1.0, 1.0, 0.0, 0.004728138549369082
'2016-09-09', 19.27, 19.27, 18.91, 19.011999, 53700.0, 19.006017, -0.1000009999999989, 0.06999899999999926, 0.42640440150216946, 0.0, 0.8, 0.0, 0.001712506486767005
'2016-09-08', 19.370001, 19.429001, 19.329, 19.34, 11300.0, 19.333915, -0.09999800000000292, 0.46300099999999844, 0.4161659723721401, 0.0, 0.5, 0.0, 0.001079452706275042
'2016-09-07', 19.469999, 19.538, 19.35, 19.371, 33400.0, 19.364905, 0.1399990000000031, 0.7699980000000011, 0.39162354973789854, 0.0, 0.1, 0.0, 0.000556415882027866
'2016-09-06', 19.33, 19.440001, 19.33, 19.389999, 13100.0, 19.383898, 0.12999899999999798, 0.41999999999999815, 0.3538290006962621, 0.0, 0.0, 0.0, 0.001074455808030575
'2016-09-02', 19.200001, 19.34, 19.18, 19.34, 20900.0, 19.333915, 0.2930010000000003, 0.3200019999999988, 0.32580388954837536, 0.0, 0.0, 0.0, 0.0014880914403523843
'2016-09-01', 18.907, 19.08, 18.85, 19.049999, 45700.0, 19.044005, 0.2069989999999997, -0.033000999999998726, 0.3058689324973179, 0.0, 0.0, 0.0, 0.0024435394298408047
'2016-08-31', 18.700001, 18.791, 18.66, 18.780001, 10200.0, 18.774092, -0.20999899999999982, -0.16999999999999815, 0.29598237495639257, 0.0, 0.0, -0.1, 0.0030080178872717743
'2016-08-30', 18.91, 19.028, 18.85, 18.9, 27800.0, 18.894053, 0.030000999999998612, 0.0200010000000006, 0.3028576363249844, 0.0, 0.0, -0.5, 0.002146390020841762
'2016-08-29', 18.879999, 19.030001, 18.879999, 18.969999, 21100.0, 18.96403, -0.060001999999997224, -0.02000099999999705, 0.29909384097143943, 0.0, 0.0, -0.8, 0.002118647122574294
'2016-08-26', 18.940001, 18.965, 18.709999, 18.84, 15300.0, 18.834072, 0.07000000000000028, 0.20000100000000032, 0.29555235091887183, -1.0, 0.0, -1.0, 0.0
'2016-08-25', 18.870001, 18.870001, 18.799999, 18.84, 9200.0, 18.834072, -0.01999800000000107, 0.3500009999999989, 0.2861632001737331, 0.0, 0.0, -0.8, 0.00370959174829934
'2016-08-24', 18.889999, 18.98, 18.780001, 18.83, 20700.0, 18.824075, -0.010000999999999038, 0.38999899999999954, 0.2752884820940548, 0.0, 0.0, -0.5, 0.0013235045697990565
'2016-08-23', 18.9, 18.99, 18.9, 18.99, 26300.0, 18.984025, 0.16000000000000014, 0.3500009999999989, 0.26025482799292415, 0.0, 0.1, -0.1, 0.0007054850088183453
'2016-08-22', 18.74, 18.76, 18.66, 18.75, 20500.0, 18.7441, 0.21999999999999886, 0.11999899999999997, 0.23904613554774762, 0.0, 0.5, 0.0, 0.00266810298826041
'2016-08-19', 18.52, 18.76, 18.52, 18.75, 106000.0, 18.7441, 0.019999999999999574, 0.15999899999999911, 0.22946178435706635, 0.0, 0.8, -0.1, 0.004535647948164139
'2016-08-18', 18.5, 18.66, 18.5, 18.629999, 15300.0, 18.624137, -0.04999899999999968, 0.16000000000000014, 0.2637868904507511, 1.0, 1.0, -0.5, 0.003963972972972961
'2016-08-17', 18.549999, 18.549999, 18.370001, 18.48, 25300.0, 18.474185, -0.07000199999999879, 0.36999899999999997, 0.3158590694814328, 0.0, 0.8, -0.8, 0.0030034811014583505
'2016-08-16', 18.620001, 18.639999, 18.5, 18.6, 19700.0, 18.594148, 0.259999999999998, 0.38000100000000003, 0.36823849400484393, -1.0, 0.5, -1.0, 0.0
'2016-08-15', 18.360001, 18.6, 18.360001, 18.540001, 51600.0, 18.534167, 0.0200010000000006, 0.09000100000000089, 0.3849960767163003, 0.0, 0.1, -0.8, 0.014161219272264637
'2016-08-12', 18.34, 18.358999, 18.285999, 18.358999, 19200.0, 18.353223, 0.16000000000000014, 0.16000000000000014, 0.40551571825438937, 0.0, 0.0, -0.5, 0.007633615049073027
'2016-08-11', 18.18, 18.35, 18.18, 18.32, 22600.0, 18.314235, -0.05999999999999872, 0.28000000000000114, 0.4364923099974881, 0.0, 0.0, -0.1, 0.008067491749174895
'2016-08-10', 18.24, 18.24, 18.129999, 18.184, 40100.0, 18.178278, -0.030000000000001137, 0.04999899999999968, 0.4835328098947715, 0.0, 0.1, 0.0, 0.005208347039473685
'2016-08-09', 18.27, 18.309999, 18.221001, 18.26, 15400.0, 18.254255, 0.08999999999999986, 0.259999999999998, 0.5402591303997545, 0.0, 0.5, 0.0, 0.0038314285714285594
'2016-08-08', 18.18, 18.290001, 18.18, 18.184, 14400.0, 18.178278, 0.28000000000000114, -0.02999900000000011, 0.5639930344548878, 0.0, 0.8, 0.0, 0.004033745874587448
'2016-08-05', 17.9, 18.32, 17.9, 18.27, 22300.0, 18.264252, -0.2900010000000002, -0.33999999999999986, 0.5728303165105983, 1.0, 1.0, 0.0, 0.005746217079010375
'2016-08-04', 18.190001, 18.23, 18.129999, 18.129999, 41400.0, 18.124295, 0.1800009999999972, -0.07999900000000082, 0.5717863212407907, 0.0, 0.8, 0.0, 0.0029549201234238508
'2016-08-03', 18.01, 18.143, 18.01, 18.143, 39000.0, 18.137291, -0.19999899999999826, -0.19000099999999875, 0.564759045830136, 0.0, 0.5, 0.0, 0.0037633475229810406
'2016-08-02', 18.209999, 18.212999, 17.959999, 18.059999, 24500.0, 18.054317, -0.030000999999998612, -0.20000100000000032, 0.5615507393343593, 0.0, 0.1, 0.0, 0.0022515212658715616
'2016-08-01', 18.24, 18.4, 18.218, 18.250999, 10700.0, 18.245257, -0.030000000000001137, -0.23300000000000054, 0.5526753866061342, 0.0, 0.0, 0.0, 0.001893944377990431
'2016-07-29', 18.27, 18.358999, 18.17, 18.358999, 14200.0, 18.353223, 0.06999899999999926, 0.06999899999999926, 0.5429718662920667, 0.0, 0.0, 0.0, 0.0015964285714285664
'2016-07-28', 18.200001, 18.440001, 18.200001, 18.384001, 33500.0, 18.378216, -0.20999899999999982, 0.11000100000000046, 0.5336854976338499, 0.0, 0.0, 0.0, 0.00177514783145848
'2016-07-27', 18.41, 18.41, 18.209999, 18.35, 50500.0, 18.344227, -0.06299999999999883, 0.14999999999999858, 0.5224152579703621, 0.0, 0.0, 0.0, 0.0008147784589120754
'2016-07-26', 18.473, 18.48, 18.348, 18.455, 10000.0, 18.449193, 0.27299899999999866, 0.49799999999999756, 0.49978377216131736, 0.0, 0.0, 0.0, 0.000530507587650443
'2016-07-25', 18.200001, 18.388, 18.200001, 18.34, 17100.0, 18.334229, 0.11000100000000046, 0.25, 0.46985651702085146, 0.0, 0.0, 0.0, 0.001442307613060015
'2016-07-22', 18.09, 18.280001, 18.030001, 18.23, 16200.0, 18.224263, -0.1700000000000017, 0.17999999999999972, 0.4516420193524219, 0.0, 0.0, 0.0, 0.0017234123500146283
'2016-07-21', 18.26, 18.26, 17.91, 17.99, 16600.0, 17.984339, 0.28500000000000014, 0.3899990000000031, 0.43901314076544845, 0.0, 0.0, 0.0, 0.0010952932943896704
'2016-07-20', 17.975, 18.18, 17.975, 18.18, 19100.0, 18.17428, 0.024999000000001104, 0.06500000000000128, 0.41759533145574346, 0.0, 0.0, 0.0, 0.0018885908791450026
'2016-07-19', 17.950001, 18.0, 17.879999, 17.926001, 74300.0, 17.92036, 0.040001000000000175, 0.08000000000000185, 0.40971348381557915, 0.0, 0.0, 0.0, 0.001866295160652075
'2016-07-18', 17.91, 17.989, 17.84, 17.893999, 14500.0, 17.888369, 0.03999900000000167, 0.04999899999999968, 0.39981356930485595, 0.0, 0.0, 0.0, 0.0018877482651351953
'2016-07-15', 17.870001, 17.914, 17.790001, 17.82, 11500.0, 17.814393, -0.03999900000000167, 0.0799999999999983, 0.39140473400059506, 0.0, 0.0, 0.0, 0.0019077172458417373
'2016-07-14', 17.91, 17.989, 17.85, 17.85, 23900.0, 17.844384, 0.03999900000000167, 0.5499989999999997, 0.38222274073323026, 0.0, 0.0, 0.0, 0.0017235962420799609
'2016-07-13', 17.870001, 17.969999, 17.85, 17.85, 20600.0, 17.844384, 0.00999999999999801, 0.7800009999999986, 0.3704184609334271, 0.0, 0.0, 0.0, 0.0017487408086882595
'2016-07-12', 17.860001, 17.950001, 17.76, 17.889999, 22000.0, 17.88437, 0.07000000000000028, 0.9390010000000011, 0.36022302373251436, 0.0, 0.0, 0.0, 0.0017021275642705687
'2016-07-11', 17.790001, 17.879999, 17.790001, 17.85, 14500.0, 17.844384, 0.4299999999999997, 0.6400010000000016, 0.3492561995731962, 0.0, 0.0, 0.0, 0.0017944392989678222
'2016-07-08', 17.360001, 17.648001, 17.341, 17.6, 22100.0, 17.594462, 0.2700010000000006, 0.19000099999999875, 0.3390148501307609, 0.0, 0.0, 0.0, 0.002688171888162137
'2016-07-07', 17.09, 17.27, 17.09, 17.110001, 27000.0, 17.104617, 0.16900000000000048, 0.13999899999999954, 0.33963881807372304, 0.0, 0.0, -0.1, 0.003197360611886648
'2016-07-06', 16.921, 17.129, 16.882, 17.120001, 11300.0, 17.114614, -0.2289999999999992, 0.22099899999999906, 0.3486602361170287, 0.0, 0.0, -0.5, 0.003462339186768531
'2016-07-05', 17.15, 17.15, 16.93, 17.01, 7400.0, 17.004648, -0.020000000000003126, 0.7099989999999998, 0.36556797999257107, 0.0, 0.0, -0.8, 0.0028571448007774537
'2016-07-01', 17.17, 17.32, 17.15, 17.245001, 21100.0, 17.239575, 0.2199990000000014, 0.4200000000000017, 0.39397226302580246, -1.0, 0.1, -1.0, 0.0
'2016-06-30', 16.950001, 17.209999, 16.900999, 17.18, 17500.0, 17.174595, 0.25, -0.059999000000001246, 0.43016383750114956, 0.0, 0.5, -0.8, 0.012979291269658414
'2016-06-29', 16.700001, 16.945999, 16.700001, 16.9, 10400.0, 16.894682, 0.26000000000000156, -1.0599990000000012, 0.4668628104276266, 0.0, 0.8, -0.5, 0.014071825504681149
'2016-06-28', 16.440001, 16.620001, 16.389999, 16.527, 32800.0, 16.5218, -0.30999900000000125, -1.3399999999999999, 0.48936579056561763, 1.0, 1.0, -0.1, 0.01480127647194188
'2016-06-27', 16.75, 16.75, 16.15, 16.200001, 28500.0, 16.194903, -0.26000000000000156, -0.9100000000000001, 0.504914378101537, 0.0, 0.8, -0.1, 0.006268656716417936
'2016-06-24', 17.01, 17.379999, 16.884001, 16.969999, 66600.0, 16.96466, -0.75, -0.6600000000000001, 0.532056386540098, 0.0, 0.5, -0.5, 0.0018812463256907715
'2016-06-23', 17.76, 17.98, 17.76, 17.950001, 19300.0, 17.944353, -0.02000099999999705, 0.30999900000000125, 0.5503988127473554, 0.0, 0.1, -0.8, -0.005536786786786785
'2016-06-22', 17.780001, 17.780001, 17.559999, 17.559999, 9800.0, 17.554474, 0.12000099999999847, 0.5300009999999986, 0.5570814927282767, -1.0, 0.0, -1.0, 0.0
'2016-06-21', 17.66, 17.790001, 17.629999, 17.76, 14100.0, 17.739417, -0.010000000000001563, 0.23000000000000043, 0.5669099187704629, 0.0, 0.1, -0.8, 0.006795073612683945
'2016-06-20', 17.67, 17.736, 17.530001, 17.530001, 10800.0, 17.509684, 0.2199990000000014, 0.3200000000000003, 0.5800692647207732, 0.0, 0.5, -0.5, 0.0031126485568759733
'2016-06-17', 17.450001, 17.450001, 17.33, 17.360001, 10300.0, 17.339881, 0.20000100000000032, 0.15000200000000063, 0.5899667786186764, 0.0, 0.8, -0.1, 0.006303724567121769
'2016-06-16', 17.25, 17.389999, 17.101999, 17.367001, 17900.0, 17.346873, -0.17999999999999972, -0.3200000000000003, 0.5878732762162452, 1.0, 1.0, 0.0, 0.007681173913043458
'2016-06-15', 17.43, 17.506001, 17.365, 17.365, 12700.0, 17.344875, 0.0799999999999983, -0.26000099999999904, 0.5880193404173111, 0.0, 0.8, 0.0, 0.004016075731497405
