Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-09', 4.94, 5.0, 4.76, 4.76, 432200.0, 4.76, 0.03000000000000025, 0.28000000000000025, 0.27575028961403153, -1.0, 0.1, -1.0, 0.0
'2016-09-08', 4.91, 5.03, 4.79, 5.01, 550500.0, 5.01, 0.009999999999999787, 0.040000000000000036, 0.266658333203121, 0.0, 0.5, -0.8, 0.006109979633401272
'2016-09-07', 4.9, 5.02, 4.84, 4.93, 428900.0, 4.93, 0.25, 0.3200000000000003, 0.26184898107284843, 0.0, 0.8, -0.5, 0.0040816326530612275
'2016-09-06', 4.65, 4.94, 4.61, 4.91, 604700.0, 4.91, -0.009999999999999787, 0.16000000000000014, 0.2539597518418137, 1.0, 1.0, -0.1, 0.020788530465949823
'2016-09-02', 4.66, 4.78, 4.59, 4.62, 286900.0, 4.62, -0.20999999999999996, 0.16000000000000014, 0.25392496704516654, 0.0, 0.8, 0.0, 0.015021459227467823
'2016-09-01', 4.87, 4.91, 4.59, 4.62, 481400.0, 4.62, 0.29000000000000004, 0.33999999999999986, 0.25291830037912777, 0.0, 0.5, 0.0, 0.002874743326488718
'2016-08-31', 4.58, 4.85, 4.41, 4.81, 1121900.0, 4.81, 0.08999999999999986, -0.20999999999999996, 0.2375766542963906, 0.0, 0.1, 0.0, 0.013100436681222719
'2016-08-30', 4.49, 4.68, 4.49, 4.58, 216200.0, 4.58, -0.009999999999999787, -0.25, 0.24353621679103277, 0.0, 0.0, -0.1, 0.014317531021317218
'2016-08-29', 4.5, 4.52, 4.41, 4.5, 325500.0, 4.5, -0.03000000000000025, -0.23000000000000043, 0.24585542273638974, 0.0, 0.0, -0.5, 0.012222222222222233
'2016-08-26', 4.53, 4.62, 4.36, 4.46, 410200.0, 4.46, -0.2599999999999998, 0.1900000000000004, 0.2472850357156472, 0.0, 0.0, -0.8, 0.010056414029923966
'2016-08-25', 4.79, 4.99, 4.43, 4.49, 662800.0, 4.49, 0.04999999999999982, 0.4400000000000004, 0.25658894927274034, -1.0, 0.0, -1.0, 0.0
'2016-08-24', 4.74, 5.09, 4.71, 4.78, 1267300.0, 4.78, 0.009999999999999787, 0.45999999999999996, 0.24819794967368736, 0.0, 0.0, -0.8, 0.010548523206751016
'2016-08-23', 4.73, 4.83, 4.61, 4.76, 585300.0, 4.76, 0.39000000000000057, 0.22000000000000064, 0.2353824311389635, 0.0, 0.1, -0.5, 0.006342494714587696
'2016-08-22', 4.34, 4.73, 4.28, 4.71, 932500.0, 4.71, -0.009999999999999787, -0.2999999999999998, 0.21726992940170578, 0.0, 0.5, -0.1, 0.03456221198156684
'2016-08-19', 4.35, 4.38, 4.24, 4.31, 239100.0, 4.31, 0.0699999999999994, -0.22000000000000064, 0.2169393156315071, 0.0, 0.8, -0.1, 0.025287356321839104
'2016-08-18', 4.28, 4.41, 4.21, 4.36, 221100.0, 4.36, -0.22999999999999954, -0.1899999999999995, 0.21461723033241192, 1.0, 1.0, -0.5, 0.023831775700934567
'2016-08-17', 4.51, 4.53, 4.28, 4.28, 358900.0, 4.28, -0.1299999999999999, 0.1899999999999995, 0.2154901389855229, 0.0, 0.8, -0.8, 0.010347376201034748
'2016-08-16', 4.64, 4.64, 4.49, 4.51, 286000.0, 4.51, 0.0699999999999994, 0.1899999999999995, 0.21181333501196017, -1.0, 0.5, -1.0, 0.0
'2016-08-15', 4.57, 4.67, 4.54, 4.66, 489200.0, 4.66, 0.10000000000000053, 0.2600000000000007, 0.1885134831605775, 0.0, 0.1, -0.8, 0.015317286652078642
'2016-08-12', 4.47, 4.62, 4.4, 4.54, 621100.0, 4.54, 0.14999999999999947, 0.16999999999999993, 0.16953039714327206, 0.0, 0.0, -0.5, 0.019015659955257263
'2016-08-11', 4.32, 4.47, 4.23, 4.47, 554100.0, 4.47, -0.1299999999999999, 0.16999999999999993, 0.15262481231219693, 0.0, 0.0, -0.1, 0.024691358024691308
'2016-08-10', 4.45, 4.45, 4.2, 4.29, 427500.0, 4.29, 0.14000000000000057, 0.20999999999999996, 0.14701813947038417, 0.0, 0.0, 0.0, 0.010674157303370757
'2016-08-09', 4.31, 4.5, 4.25, 4.45, 903000.0, 4.45, 0.009999999999999787, 0.35999999999999943, 0.14161332329033638, 0.0, 0.0, 0.0, 0.015313225058004646
'2016-08-08', 4.3, 4.55, 4.21, 4.27, 796200.0, 4.27, 0.14999999999999947, 0.22999999999999954, 0.14187631546135135, 0.0, 0.1, 0.0, 0.013178294573643407
'2016-08-05', 4.15, 4.3, 4.1, 4.21, 647400.0, 4.21, -0.08999999999999986, 0.14000000000000057, 0.14752024343195147, 0.0, 0.5, 0.0, 0.016867469879518048
'2016-08-04', 4.24, 4.35, 4.14, 4.16, 440100.0, 4.16, 0.29000000000000004, 0.23000000000000043, 0.14812007141355132, 0.0, 0.8, 0.0, 0.011792452830188663
'2016-08-03', 3.95, 4.23, 3.92, 4.23, 623900.0, 4.23, -0.1200000000000001, -0.22999999999999954, 0.14643959695231185, 1.0, 1.0, 0.0, 0.019409282700421925
'2016-08-02', 4.07, 4.09, 3.88, 3.96, 660400.0, 3.96, 0.0600000000000005, 0.020000000000000462, 0.14929463784372454, 0.0, 0.8, 0.0, 0.01400491400491399
'2016-08-01', 4.01, 4.19, 3.99, 4.08, 329200.0, 4.08, 0.0, -0.04999999999999982, 0.14973643511183238, 0.0, 0.5, 0.0, 0.014282475629109044
'2016-07-29', 4.01, 4.12, 3.96, 3.99, 443100.0, 3.99, -0.16999999999999993, -0.11000000000000032, 0.14925779339414366, 0.0, 0.1, 0.0, 0.01309226932668329
'2016-07-28', 4.18, 4.21, 4.01, 4.02, 408700.0, 4.02, 0.1299999999999999, 0.08000000000000007, 0.14837677266562532, 0.0, 0.0, -0.1, 0.008465218991534781
'2016-07-27', 4.05, 4.22, 3.98, 4.18, 325200.0, 4.18, -0.009999999999999787, -0.07000000000000028, 0.1402493810641918, 0.0, 0.0, -0.5, 0.010405643738977071
'2016-07-26', 4.06, 4.09, 4.01, 4.02, 187100.0, 4.02, -0.0600000000000005, 0.12999999999999945, 0.13806158046321212, 0.0, 0.0, -0.8, 0.009523809523809526
'2016-07-25', 4.12, 4.19, 4.01, 4.06, 268000.0, 4.06, 0.020000000000000462, 0.08000000000000007, 0.1406733805664739, -1.0, 0.0, -1.0, 0.0
'2016-07-22', 4.1, 4.23, 4.02, 4.12, 223800.0, 4.12, -0.020000000000000462, 0.0699999999999994, 0.17258975120852982, 0.0, 0.0, -0.8, 0.004878048780487918
