Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-11', 13.09, 13.13, 12.9, 12.96, 7598100.0, 12.96, 0.2699999999999996, 0.7899999999999991, 0.5163293522549344, -1.0, 0.1, -1.0, 0.0
'2016-10-10', 12.82, 13.19, 12.66, 13.15, 7096100.0, 13.15, 0.3800000000000008, 0.3000000000000007, 0.5250866595144082, 0.0, 0.5, -0.8, 0.021060842433697314
'2016-10-07', 12.44, 12.66, 12.44, 12.55, 5271400.0, 12.55, 0.20999999999999908, -0.22000000000000064, 0.5326370454842794, 0.0, 0.8, -0.5, 0.026125401929260467
'2016-10-06', 12.23, 12.47, 12.2, 12.34, 3306700.0, 12.34, -0.07000000000000028, -0.5800000000000001, 0.53298832590926, 1.0, 1.0, -0.1, 0.023439629326792027
'2016-10-05', 12.3, 12.46, 12.2, 12.33, 2892500.0, 12.33, -0.21999999999999886, -0.9199999999999999, 0.5208987958860681, 0.0, 0.8, 0.0, 0.016056910569105673
'2016-10-04', 12.52, 12.61, 12.15, 12.2, 7359200.0, 12.2, -0.14000000000000057, -1.0, 0.522753819264437, 0.0, 0.5, 0.0, 0.009105431309904159
'2016-10-03', 12.66, 12.78, 12.34, 12.5, 5753600.0, 12.5, -0.15000000000000036, -0.9499999999999993, 0.5351619692516775, 0.0, 0.1, 0.0, 0.005660874144286462
'2016-09-30', 12.81, 12.82, 12.54, 12.64, 8204200.0, 12.64, -0.41000000000000014, -1.0700000000000003, 0.5392555568147218, 0.0, 0.0, 0.0, 0.0031225604996096726
'2016-09-29', 13.22, 13.22, 12.7, 12.76, 9119400.0, 12.76, -0.29999999999999893, -0.5800000000000001, 0.5431309439004762, 0.0, 0.0, 0.0, -0.0012291981845688423
'2016-09-28', 13.52, 13.58, 13.29, 13.31, 6965000.0, 13.31, -0.08999999999999986, -0.370000000000001, 0.5435669232026541, 0.0, 0.0, 0.0, -0.0035338593030900703
'2016-09-27', 13.61, 13.65, 13.35, 13.47, 4038700.0, 13.47, -0.27000000000000135, -0.0600000000000005, 0.5348640533402442, 0.0, 0.0, 0.0, -0.003820720058780306
'2016-09-26', 13.88, 13.89, 13.57, 13.67, 3235400.0, 13.67, 0.08000000000000007, 0.5900000000000016, 0.5205809788645333, 0.0, 0.0, 0.0, -0.005174220592088033
'2016-09-23', 13.8, 14.0, 13.75, 13.9, 3698500.0, 13.9, -0.08999999999999986, 0.4300000000000015, 0.4903110124083376, 0.0, 0.0, 0.0, -0.004287439613526575
'2016-09-22', 13.89, 13.96, 13.66, 13.91, 3084700.0, 13.91, 0.22000000000000064, 0.9000000000000004, 0.46277484326133755, 0.0, 0.0, 0.0, -0.004430414797585428
'2016-09-21', 13.67, 13.91, 13.63, 13.79, 4343300.0, 13.79, 0.3800000000000008, 0.8000000000000007, 0.4193481714385897, 0.0, 0.0, 0.0, -0.003030619709478525
'2016-09-20', 13.29, 13.65, 13.22, 13.62, 5358200.0, 13.62, -0.08000000000000007, 0.28999999999999915, 0.39206702941659805, 0.0, 0.0, 0.0, -0.0010032605969400516
'2016-09-19', 13.37, 13.44, 13.04, 13.26, 3460100.0, 13.26, 0.379999999999999, -0.05000000000000071, 0.38424543660992977, 0.0, 0.0, 0.0, -0.0013089005235602065
'2016-09-16', 12.99, 13.32, 12.89, 13.29, 6121800.0, 13.29, 0.120000000000001, -0.33999999999999986, 0.36979213380252196, 0.0, 0.0, 0.0, 0.00045283702395507695
