Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-03', 16.190001, 16.24, 16.1, 16.129999, 2576400.0, 16.129999, 0.040001000000000175, 0.19000099999999875, 0.9303968679607337, -1.0, 0.0, -1.0, 0.0
'2016-09-30', 16.15, 16.215, 16.120001, 16.139999, 801600.0, 16.139999, 0.04999999999999716, 0.14999999999999858, 0.880651021814102, 0.0, 0.1, -0.8, 0.0024768421052631688
'2016-09-29', 16.1, 16.200001, 16.1, 16.139999, 1326600.0, 16.139999, -0.04999999999999716, 0.740000000000002, 0.82617888835019, 0.0, 0.5, -0.5, 0.002795062111801159
'2016-09-28', 16.15, 16.23, 16.065001, 16.200001, 2016800.0, 16.200001, 0.14999999999999858, 0.7499999999999982, 0.7688031101798574, 0.0, 0.8, -0.1, 0.000825614035087723
'2016-09-27', 16.0, 16.129999, 16.0, 16.1, 5362300.0, 16.1, 0.0, 0.9700000000000006, 0.6938418808025035, 1.0, 1.0, 0.0, 0.0029687656249999805
'2016-09-26', 16.0, 16.4, 15.75, 16.049999, 5371100.0, 16.049999, 0.6400000000000006, 1.1400000000000006, 0.6250479092748722, 0.0, 0.8, 0.0, 0.0023750124999999843
'2016-09-23', 15.36, 15.59, 15.25, 15.3, 3578700.0, 15.3, -0.040000000000000924, 1.0999999999999996, 0.53751124019255, 0.0, 0.5, 0.0, 0.009006087239583327
'2016-09-22', 15.4, 15.57, 15.24, 15.3, 697000.0, 15.3, 0.370000000000001, 1.450000000000001, 0.500505966220406, 0.0, 0.1, 0.0, 0.007328395176252304
'2016-09-21', 15.03, 15.27, 14.94, 15.24, 217200.0, 15.24, 0.16999999999999993, 0.9900000000000002, 0.4363878244558769, 0.0, 0.0, 0.0, 0.009647380239520954
'2016-09-20', 14.86, 15.22, 14.81, 14.91, 208000.0, 14.91, 0.5999999999999996, 0.6999999999999993, 0.3897903995169141, 0.0, 0.0, 0.0, 0.009944676237475693
'2016-09-19', 14.26, 14.91, 14.26, 14.78, 315600.0, 14.78, 0.3100000000000005, 0.17999999999999972, 0.35069914298282634, 0.0, 0.0, 0.0, 0.013534368863955112
'2016-09-16', 13.95, 14.55, 13.911, 14.33, 601900.0, 14.33, -0.08999999999999986, -0.4400000000000013, 0.3477273836403071, 0.0, 0.0, 0.0, 0.014597595307917885
'2016-09-15', 14.04, 14.09, 13.9, 14.0, 490000.0, 14.0, -0.120000000000001, -0.5, 0.36523599676556157, 0.0, 0.0, 0.0, 0.012761164529914529
'2016-09-14', 14.16, 14.226, 13.9, 14.03, 491600.0, 14.03, 0.08000000000000007, -0.5899999999999999, 0.39434742155729746, 0.0, 0.0, 0.0, 0.011027819426336367
'2016-09-13', 14.08, 14.32, 13.9, 14.22, 458100.0, 14.22, -0.3100000000000005, -0.3800000000000008, 0.5254531377772903, 0.0, 0.0, -0.1, 0.010704144683441552
'2016-09-12', 14.39, 14.52, 14.17, 14.23, 247800.0, 14.23, -0.14999999999999858, 0.3000000000000007, 0.5462380433474037, 0.0, 0.0, -0.5, 0.008339129024785721
'2016-09-09', 14.54, 14.63, 14.361, 14.54, 216500.0, 14.54, -0.21000000000000085, 0.9099999999999984, 0.5726574504497043, 0.0, 0.0, -0.8, 0.007092507737276477
'2016-09-08', 14.75, 14.77, 14.53, 14.65, 126600.0, 14.65, 0.28999999999999915, 1.1400000000000006, 0.5889987738149847, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 14.46, 14.87, 14.42, 14.67, 499800.0, 14.67, 0.370000000000001, 0.9200000000000017, 0.619443208768075, 0.0, 0.0, -0.8, 0.020055325034578086
'2016-09-06', 14.09, 14.48, 14.0, 14.41, 210700.0, 14.41, 0.4599999999999991, 0.5899999999999999, 0.6906264467053727, 0.0, 0.0, -0.5, 0.023420865862313702
'2016-09-02', 13.63, 14.01, 13.49, 14.01, 568200.0, 14.01, 0.02000000000000135, 0.16000000000000014, 0.7555701305783747, 0.0, 0.0, -0.1, 0.02739056003912935
'2016-09-01', 13.61, 13.636, 13.47, 13.63, 118600.0, 13.63, 0.07000000000000028, 0.05999999999999872, 0.7987907527423354, 0.0, 0.1, 0.0, 0.020940484937545932
'2016-08-31', 13.54, 13.675, 13.361, 13.57, 201600.0, 13.57, 0.03999999999999915, -0.13000000000000078, 0.8332615969123316, 0.0, 0.5, 0.0, 0.01787296898079765
'2016-08-30', 13.5, 13.61, 13.39, 13.54, 200300.0, 13.54, 0.02999999999999936, -0.35999999999999943, 0.859839519910547, 0.0, 0.8, 0.0, 0.015432098765432098
'2016-08-29', 13.47, 13.555, 13.36, 13.48, 248100.0, 13.48, -0.08000000000000007, -0.3899999999999988, 0.8712402398624363, 1.0, 1.0, 0.0, 0.013575140523915572
'2016-08-26', 13.55, 13.647, 13.46, 13.51, 291800.0, 13.51, -0.11999999999999922, -0.1399999999999988, 0.8772090210814448, 0.0, 0.8, 0.0, 0.011070110701107003
'2016-08-25', 13.67, 13.67, 13.477, 13.52, 182200.0, 13.52, -0.1899999999999995, -0.5, 0.8934878597695414, 0.0, 0.5, 0.0, 0.008778346744696417
'2016-08-24', 13.86, 13.86, 13.61, 13.68, 124100.0, 13.68, 0.0, -0.23000000000000043, 0.9203664125408605, 0.0, 0.1, -0.1, 0.006421356421356426
'2016-08-23', 13.86, 13.97, 13.67, 13.85, 269300.0, 13.85, 0.16999999999999993, -0.02000000000000135, 0.9426437998169476, 0.0, 0.0, -0.5, 0.00583759674668766
'2016-08-22', 13.69, 13.84, 13.65, 13.78, 234300.0, 13.78, -0.4800000000000004, -0.23000000000000043, 0.9551290779552029, 0.0, 0.0, -0.8, 0.006452398344290239
'2016-08-19', 14.17, 14.24, 13.76, 13.78, 264600.0, 13.78, 0.08000000000000007, 0.6199999999999992, 0.944105749726516, -1.0, 0.0, -1.0, 0.0
'2016-08-18', 14.09, 14.23, 14.04, 14.14, 286400.0, 14.14, 0.20999999999999908, 0.5999999999999996, 0.9379139974788023, 0.0, 0.0, -0.8, 0.005677785663591205
'2016-08-17', 13.88, 14.09, 13.83, 14.0, 182600.0, 14.0, -0.03999999999999915, 0.5500000000000007, 0.923704859068451, 0.0, 0.0, -0.5, 0.010446685878962504
'2016-08-16', 13.92, 14.15, 13.8, 13.81, 211700.0, 13.81, 0.3699999999999992, 0.33000000000000007, 0.9041020714253207, 0.0, 0.0, -0.1, 0.0059865900383141765
'2016-08-15', 13.55, 13.99, 13.55, 13.89, 250500.0, 13.89, 0.0600000000000005, -0.2599999999999998, 0.8810012611921861, 0.0, 0.0, 0.0, 0.011439114391143897
'2016-08-12', 13.49, 13.735, 13.47, 13.54, 259800.0, 13.54, 0.16000000000000014, -0.5899999999999999, 0.8354110099559114, 0.0, 0.0, 0.0, 0.0100815418828762
'2016-08-11', 13.33, 13.55, 13.33, 13.4, 251000.0, 13.4, -0.2599999999999998, -0.8300000000000001, 0.7800928719639022, 0.0, 0.0, 0.0, 0.010502625656414102
'2016-08-10', 13.59, 13.785, 13.3, 13.34, 159000.0, 13.34, -0.22000000000000064, -0.9299999999999997, 0.70375816553384, 0.0, 0.0, 0.0, 0.006096920004204773
'2016-08-09', 13.81, 14.04, 13.66, 13.67, 344000.0, 13.472, -0.2699999999999996, -0.9399999999999995, 0.6455733024908086, 0.0, 0.0, 0.0, 0.0032585083272990535
'2016-08-08', 14.08, 14.23, 13.78, 13.79, 324800.0, 13.590262, -0.08000000000000007, -1.8000000000000007, 0.5964893591301993, 0.0, 0.0, 0.0, 0.0007102272727272717
'2016-08-05', 14.16, 14.239, 13.83, 14.06, 367100.0, 13.856351, -0.35999999999999943, -0.6699999999999999, 0.5563392250536838, 0.0, 0.0, 0.0, 7.062146892655217e-05
'2016-08-04', 14.52, 14.74, 14.04, 14.07, 228500.0, 13.866206, -0.23000000000000043, -0.5199999999999996, 0.5137709173897991, 0.0, 0.1, 0.0, -0.002191334835962933
'2016-08-03', 14.75, 14.92, 14.45, 14.45, 212300.0, 14.240702, -1.1300000000000008, -0.1999999999999993, 0.49762335154210785, 0.0, 0.5, 0.0, -0.003276836158192091
'2016-08-02', 15.88, 16.02, 14.15, 14.79, 389100.0, 14.575777, 1.0500000000000007, 0.5600000000000005, 0.4912646944367163, 0.0, 0.8, 0.0, -0.00828327843441194
'2016-08-01', 14.83, 15.31, 14.164, 15.23, 210500.0, 15.009404, -0.20999999999999908, -0.9800000000000004, 0.4845410199353613, 1.0, 1.0, 0.0, -0.0031788845005298145
'2016-07-29', 15.04, 15.21, 14.83, 14.97, 153700.0, 14.75317, 0.08999999999999986, -0.7900000000000009, 0.4778010976221058, 0.0, 0.8, 0.0, -0.0038563829787234007
'2016-07-28', 14.95, 15.06, 14.6, 15.06, 234300.0, 14.841867, -0.370000000000001, -0.8000000000000007, 0.480005092565578, 0.0, 0.5, 0.0, -0.003260869565217389
'2016-07-27', 15.32, 15.46, 14.77, 15.06, 228300.0, 14.841867, -0.4900000000000002, -0.4299999999999997, 0.47556936636228203, 0.0, 0.1, 0.0, -0.00441560436184918
'2016-07-26', 15.81, 15.81, 15.1, 15.3, 203900.0, 15.078391, -0.019999999999999574, 0.030000000000001137, 0.47613676839981844, 0.0, 0.0, 0.0, -0.005762878628153773
'2016-07-25', 15.83, 15.83, 15.534, 15.77, 212100.0, 15.541583, 0.08000000000000007, 0.1899999999999995, 0.4689131641952011, 0.0, 0.0, 0.0, -0.005519167470159923
'2016-07-22', 15.75, 15.84, 15.51, 15.82, 172500.0, 15.590858, 0.0, 0.07000000000000028, 0.46182596529669306, 0.0, 0.0, 0.0, -0.005015873015873016
'2016-07-21', 15.75, 15.92, 15.65, 15.76, 316900.0, 15.531728, -0.02999999999999936, -0.22000000000000064, 0.4543797970860942, 0.0, 0.0, 0.0, -0.004777021919879063
'2016-07-20', 15.78, 15.88, 15.61, 15.78, 131200.0, 15.551438, 0.1399999999999988, -0.45000000000000107, 0.44809473204768774, 0.0, 0.0, 0.0, -0.004637631063486576
'2016-07-19', 15.64, 15.94, 15.51, 15.85, 144400.0, 15.620424, -0.03999999999999915, -0.5300000000000011, 0.4379128528219592, 0.0, 0.0, -0.1, -0.004086511731346604
'2016-07-18', 15.68, 15.77, 15.551, 15.65, 112400.0, 15.423321, -0.2900000000000009, -0.4200000000000017, 0.436999872870564, 0.0, 0.0, -0.5, -0.004012542517006802
'2016-07-15', 15.97, 16.059999, 15.49, 15.72, 88200.0, 15.492307, -0.2599999999999998, 0.16999999999999993, 0.43139875856206295, 0.0, 0.0, -0.8, -0.00450845335003131
'2016-07-14', 16.23, 16.445, 15.8, 15.9, 103300.0, 15.669699, 0.05999999999999872, 0.7699999999999996, 0.40986772934149845, -1.0, 0.0, -1.0, 0.0
'2016-07-13', 16.17, 16.299999, 15.7, 16.190001, 145300.0, 15.9555, 0.07000000000000028, 1.0600000000000023, 0.3649811258438201, 0.0, 0.0, -0.8, 0.0037105751391464884
'2016-07-12', 16.1, 16.67, 16.1, 16.16, 147100.0, 15.925934, 0.3000000000000007, 1.5500000000000007, 0.335476609550585, 0.0, 0.0, -0.5, 0.00403726708074531
'2016-07-11', 15.8, 16.139999, 15.75, 15.94, 213700.0, 15.70912, 0.33999999999999986, 0.9199999999999999, 0.3475982674806587, 0.0, 0.0, -0.1, 0.0090717299578059
'2016-07-08', 15.46, 15.74, 15.35, 15.66, 245700.0, 15.433176, 0.3500000000000014, 0.46000000000000085, 0.3907697531795418, 0.0, 0.0, 0.0, 0.012451487710219915
'2016-07-07', 15.11, 15.63, 15.11, 15.35, 166100.0, 15.127667, 0.5599999999999987, 0.11999999999999922, 0.44218007895225475, 0.0, 0.0, 0.0, 0.014824619457313051
'2016-07-06', 14.55, 15.06, 14.45, 15.06, 282700.0, 14.841867, -0.33000000000000007, -0.41999999999999993, 0.48916209537898137, 0.0, 0.0, 0.0, 0.019243986254295527
'2016-07-05', 14.88, 14.95, 14.3, 14.63, 191500.0, 14.418095, -0.11999999999999922, 0.23000000000000043, 0.5155898456029647, 0.0, 0.0, 0.0, 0.012960829493087554
'2016-07-01', 15.0, 15.56, 14.93, 15.01, 396500.0, 14.792591, 0.009999999999999787, 0.2699999999999996, 0.5399947530609288, 0.0, 0.1, 0.0, 0.010250000000000004
'2016-06-30', 14.99, 15.293, 14.77, 15.0, 1219600.0, 14.782736, 0.019999999999999574, -0.009999999999999787, 0.5813529239818291, 0.0, 0.5, 0.0, 0.009191312727003189
'2016-06-29', 14.97, 15.0, 14.759, 14.99, 294500.0, 14.77288, 0.3200000000000003, -0.33999999999999986, 0.6056423587123566, 0.0, 0.8, 0.0, 0.008416833667334667
'2016-06-28', 14.65, 15.0, 14.58, 14.92, 120700.0, 14.703895, -0.08000000000000007, -0.25, 0.6130348005347386, 1.0, 1.0, 0.0, 0.009804529941048712
'2016-06-27', 14.73, 14.73, 14.11, 14.48, 246600.0, 14.270267, -0.2699999999999996, -0.1999999999999993, 0.6169981091273026, 0.0, 0.8, 0.0, 0.008486082824168364
'2016-06-24', 15.0, 15.01, 14.69, 14.84, 254600.0, 14.625053, -0.3100000000000005, -0.07000000000000028, 0.6258579888618682, 0.0, 0.5, 0.0, 0.00630769230769231
'2016-06-23', 15.31, 15.31, 14.96, 15.2, 341200.0, 14.979839, 0.41000000000000014, 0.23000000000000043, 0.62733510449626, 0.0, 0.1, 0.0, 0.004292245964355696
'2016-06-22', 14.9, 15.17, 14.7, 15.04, 468200.0, 14.822156, -0.02999999999999936, -0.049999999999998934, 0.6285980874577614, 0.0, 0.0, 0.0, 0.005950782997762864
'2016-06-21', 14.93, 15.07, 14.44, 14.83, 419300.0, 14.615198, -0.14000000000000057, -0.2400000000000002, 0.6336557074275868, 0.0, 0.0, 0.0, 0.005442062960482254
'2016-06-20', 15.07, 15.2, 14.87, 14.94, 274700.0, 14.723604, -0.009999999999999787, -0.15000000000000036, 0.6296860769903966, 0.0, 0.0, 0.0, 0.004527889457043601
'2016-06-17', 15.08, 15.22, 14.94, 14.96, 1095500.0, 14.743315, 0.13000000000000078, -0.13000000000000078, 0.6193921751739092, 0.0, 0.0, 0.0, 0.004236663719422341
'2016-06-16', 14.95, 15.07, 14.51, 14.99, 216800.0, 14.77288, -0.22000000000000064, -0.11000000000000121, 0.6052290659099431, 0.0, 0.0, 0.0, 0.004506248899841581
'2016-06-15', 15.17, 15.32, 14.95, 14.99, 440000.0, 14.77288, -0.05000000000000071, -0.08000000000000007, 0.5980004645111537, 0.0, 0.0, 0.0, 0.0034937376400791054
