Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 31.709999, 31.799999, 31.309999, 31.34, 20442200.0, 31.083115, 0.20999899999999982, 0.8599989999999984, 0.4134305449131276, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 31.5, 31.799999, 31.49, 31.66, 20261900.0, 31.400492, 0.38999899999999954, 0.37999900000000153, 0.4015353311152375, 0.0, 0.1, -0.8, 0.006666634920634915
'2016-09-21', 31.110001, 31.379999, 30.969999, 31.360001, 21169400.0, 31.102952, 0.030001000000002165, 0.48000199999999893, 0.39591646546047093, 0.0, 0.5, -0.5, 0.009643169088937018
'2016-09-20', 31.08, 31.219999, 31.040001, 31.1, 15878900.0, 30.845083, 0.22999999999999687, 0.06999999999999673, 0.39591646546047093, 0.0, 0.8, -0.1, 0.006756746031746049
'2016-09-19', 30.85, 31.25, 30.82, 31.02, 16833500.0, 30.765738, -0.27000099999999705, -0.41000000000000014, 0.3963764531357659, 1.0, 1.0, 0.0, 0.006969197730956227
'2016-09-16', 31.120001, 31.139999, 30.700001, 30.84, 37416300.0, 30.587214, 0.49000199999999694, 0.509999999999998, 0.39539623310806293, 0.0, 0.8, -0.1, 0.0037917608036066672
'2016-09-15', 30.629999, 31.389999, 30.610001, 31.309999, 25554500.0, 31.05336, -0.38000100000000003, -0.509999999999998, 0.3997576275145299, 0.0, 0.3, -0.5, 0.005876591768742783
'2016-09-14', 31.01, 31.23, 30.809999, 31.0, 24262900.0, 30.745902, -0.25, -0.7099989999999998, 0.4049799962143592, 0.0, 0.3, -0.8, 0.0032247615976413054
'2016-09-13', 31.26, 31.35, 30.9, 31.059999, 23617900.0, 30.80541, 0.6499990000000011, -0.5300009999999986, 0.407710162738739, -1.0, 0.8, -1.0, 0.00179942018554062
'2016-09-12', 30.610001, 31.5, 30.6, 31.440001, 22612500.0, 31.182296, -0.5299979999999991, -1.3199989999999993, 0.4121574692334434, 1.0, 1.0, -0.8, 0.0039928780139536725
'2016-09-09', 31.139999, 31.34, 30.85, 30.85, 25450500.0, 30.597132, -0.5800000000000018, -0.510000999999999, 0.41253192345213197, 0.0, 0.8, -0.3, 0.001830443218704022
'2016-09-08', 31.719999, 31.75, 31.42, 31.469999, 19913700.0, 31.212049, -0.07000199999999879, 0.2999989999999997, 0.41900734321378236, 0.0, 0.5, -0.3, -2.8659865628969635e-05
'2016-09-07', 31.790001, 31.93, 31.75, 31.790001, 14050500.0, 31.529427, -0.13999899999999954, 0.33999999999999986, 0.400454718039854, 0.0, 0.1, -0.8, -0.00020971478841203442
'2016-09-06', 31.93, 31.940001, 31.700001, 31.870001, 17656500.0, 31.608772, 0.28000000000000114, 0.31999899999999926, 0.37619271169673, -1.0, 0.0, -1.0, 0.0
'2016-09-02', 31.65, 31.950001, 31.65, 31.83, 18156500.0, 31.569099, 0.22999999999999687, 0.21999999999999886, 0.3375929062254404, 0.0, 0.0, -0.8, 0.008846761453396561
'2016-09-01', 31.42, 31.639999, 31.26, 31.58, 15980500.0, 31.321148, -0.030000999999998612, 0.08000000000000185, 0.31429209634136374, 0.0, 0.0, -0.5, 0.008115849777211935
'2016-08-31', 31.450001, 31.58, 31.25, 31.440001, 20418800.0, 31.182296, -0.16000000000000014, 0.39000199999999907, 0.3038895892341769, 0.0, 0.0, -0.1, 0.005087429620961426
'2016-08-30', 31.610001, 31.66, 31.41, 31.540001, 17794800.0, 31.281477, 0.18000100000000074, 0.630001, 0.3226191833182224, 0.0, 0.0, 0.0, 0.002530836680454386
'2016-08-29', 31.43, 31.700001, 31.41, 31.58, 21101700.0, 31.321148, 0.08999999999999986, 0.6000000000000014, 0.3326506199877384, 0.0, 0.0, 0.0, 0.003181673560292714
