Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 90.699997, 90.809998, 90.010002, 90.57, 8280000.0, 90.124487, 0.619995000000003, 0.6999969999999962, 2.8920197460067447, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 90.080002, 90.400002, 89.199997, 90.260002, 5773900.0, 89.816014, 0.5800019999999932, 0.9400029999999902, 2.897208601495868, 0.0, 0.0, -0.8, 0.006882715211307422
'2016-09-20', 89.5, 90.290001, 89.5, 89.989998, 5465100.0, 89.547338, -0.629997000000003, -1.25, 2.853978629816315, 0.0, 0.1, -0.5, 0.0067038938547485825
'2016-09-19', 90.129997, 90.230003, 89.0, 89.169998, 7480000.0, 88.731372, 0.12999700000000303, -1.4500049999999902, 2.7515353735936947, 0.0, 0.5, -0.1, 0.002108066196873364
'2016-09-16', 90.0, 90.349998, 89.370003, 90.120003, 6406800.0, 89.676703, 0.8600009999999969, -1.4000020000000006, 2.6598503272267986, 0.0, 0.8, 0.0, 0.0019444361111111005
'2016-09-15', 89.139999, 90.220001, 88.099998, 90.150002, 7449200.0, 89.706554, -1.610000999999997, -3.599998999999997, 2.529907247259772, 1.0, 1.0, 0.0, 0.0035001077350247517
'2016-09-14', 90.75, 91.129997, 89.330002, 89.440002, 7939400.0, 89.000048, -0.8300019999999932, -2.809997999999993, 2.3097608238959433, 0.0, 0.8, 0.0, -9.183287419651753e-05
'2016-09-13', 91.580002, 91.82, 90.720001, 90.93, 4082100.0, 90.482716, 0.1799999999999926, -1.5999980000000136, 2.1402480482525643, 0.0, 0.5, 0.0, -0.0013727341914668181
'2016-09-12', 91.400002, 92.260002, 91.040001, 92.040001, 5235400.0, 91.587257, -1.3399959999999993, -2.5699989999999957, 2.0844971824409995, 0.0, 0.1, 0.0, -0.0009573372328810294
'2016-09-09', 92.739998, 92.790001, 91.519997, 91.519997, 6153400.0, 91.06981, -0.8199999999999932, -1.0900039999999933, 1.9754718326528038, 0.0, 0.0, 0.0, -0.0024441102293077275
'2016-09-08', 93.559998, 93.860001, 92.279999, 93.110001, 7380800.0, 92.651993, 0.3799979999999863, 0.0, 1.9790024909939306, 0.0, 0.0, 0.0, -0.00305686304097612
'2016-09-07', 93.18, 93.809998, 92.860001, 93.610001, 3350400.0, 93.149534, -0.7900009999999895, 0.3199990000000099, 1.9682961177752771, 0.0, 0.0, 0.0, -0.0024195623329235794
'2016-09-06', 93.970001, 94.080002, 92.900002, 93.360001, 3745200.0, 92.900763, 0.1399990000000031, 0.9599989999999963, 1.9328536565700363, 0.0, 0.0, 0.0, -0.002899865174347858
'2016-09-02', 93.830002, 94.199997, 93.519997, 93.839996, 3133600.0, 93.378398, 0.27000400000000013, 0.4100039999999865, 1.9047143462252047, 0.0, 0.0, 0.0, -0.002566019506048984
'2016-09-01', 93.559998, 93.75, 93.07, 93.370003, 3274400.0, 92.910716, 0.6999969999999962, -0.45000400000000695, 1.8818935524992717, 0.0, 0.0, 0.0, -0.0021834736006972285
