Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 16.76, 16.76, 16.51, 16.610001, 32000.0, 16.610001, 0.010000000000001563, 0.05000100000000174, 1.6332559404659135, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 16.75, 16.98, 16.299999, 16.51, 32000.0, 16.51, 0.2900010000000002, 1.1099999999999994, 1.7890347167740426, 0.0, 0.0, -0.8, 0.0005970149253732277
'2016-09-20', 16.459999, 16.549999, 16.440001, 16.459999, 56600.0, 16.459999, -0.07000199999999879, 0.4599989999999998, 1.9961933371629903, 0.0, 0.0, -0.5, 0.009113032145384751
'2016-09-19', 16.530001, 16.530001, 16.030001, 16.299999, 111100.0, 16.299999, -0.1799980000000012, 0.41999999999999815, 2.0520101192301126, 0.0, 0.0, -0.1, 0.00463801141532504
'2016-09-16', 16.709999, 16.82, 15.82, 16.059999, 41200.0, 16.059999, 1.0699989999999993, 0.5299990000000001, 2.1019289926056293, 0.0, 0.0, 0.0, 0.0007480700627211549
'2016-09-15', 15.64, 16.879999, 15.31, 16.719999, 65100.0, 16.719999, -0.35999999999999943, -1.259999999999998, 2.141131508432055, 0.0, 0.0, 0.0, 0.014322250639386202
'2016-09-14', 16.0, 16.09, 15.48, 15.67, 86500.0, 15.67, -0.11000100000000046, -1.7600000000000016, 2.133948951310815, 0.0, 0.0, 0.0, 0.007916666666666683
'2016-09-13', 16.110001, 16.17, 15.58, 15.88, 104700.0, 15.88, -0.06999899999999926, -1.2099989999999998, 2.1352702163739985, 0.0, 0.0, 0.0, 0.005763935086037559
'2016-09-12', 16.18, 17.110001, 16.02, 16.25, 63600.0, 16.25, -0.7199999999999989, -1.260000999999999, 2.1579041026886507, 0.0, 0.0, 0.0, 0.0044808405438813495
'2016-09-09', 16.9, 17.049999, 16.5, 16.57, 81900.0, 16.57, -0.860000000000003, -0.630001, 2.1465624479671632, 0.0, 0.0, 0.0, -0.0009204470742932085
'2016-09-08', 17.76, 18.200001, 16.92, 17.1, 104500.0, 17.1, 0.4400000000000013, 0.26000000000000156, 2.1936373030807177, 0.0, 0.0, 0.0, -0.0056306306306306295
'2016-09-07', 17.32, 17.700001, 17.08, 17.370001, 37500.0, 17.370001, -0.12000099999999847, -0.6200009999999985, 2.255644418239256, 0.0, 0.0, 0.0, -0.0029393239554902305
'2016-09-06', 17.440001, 17.440001, 17.09, 17.309999, 15000.0, 17.309999, -0.08999999999999986, -0.9200000000000017, 2.2707896512007877, 0.0, 0.0, 0.0, -0.0032492400659839276
'2016-09-02', 17.530001, 17.76, 17.299999, 17.43, 23500.0, 17.43, 0.030000999999998612, -0.8899990000000031, 2.2637100460675748, 0.0, 0.0, 0.0, -0.0033788273117523458
'2016-09-01', 17.5, 17.610001, 17.15, 17.57, 22600.0, 17.57, -0.44000099999999875, -1.1000000000000014, 2.2647414272913173, 0.0, 0.0, 0.0, -0.0030204081632652998
'2016-08-31', 17.940001, 18.07, 17.6, 17.68, 40400.0, 17.68, -0.4200000000000017, -0.6099980000000009, 2.259709169738585, 0.0, 0.0, 0.0, -0.0043849904653479755
'2016-08-30', 18.360001, 18.690001, 17.950001, 18.1, 45600.0, 18.1, -0.059999000000001246, -0.4499980000000008, 2.265999240124561, 0.0, 0.0, 0.0, -0.0054466262011641465
'2016-08-29', 18.42, 18.879999, 18.02, 18.280001, 54900.0, 18.280001, -0.17999999999999972, -0.20999899999999982, 2.2554169577857017, 0.0, 0.0, 0.0, -0.005301143258606374
'2016-08-26', 18.6, 18.969999, 18.32, 18.360001, 16200.0, 18.360001, 0.05000100000000174, -0.21999999999999886, 2.2163133676747955, 0.0, 0.0, 0.0, -0.005495818399044205
'2016-08-25', 18.549999, 18.639999, 18.360001, 18.51, 21200.0, 18.51, -0.26000000000000156, 0.0799999999999983, 2.1999120047251877, 0.0, 0.0, 0.0, -0.0050787320087839595
