Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 71.57, 71.57, 70.279999, 71.029999, 1257700.0, 71.029999, 0.5899969999999968, 1.5199969999999894, 1.143600106293709, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 70.980003, 71.940002, 70.790001, 71.769997, 1535500.0, 71.769997, -0.4300010000000043, 0.7000039999999927, 1.1279083267533074, 0.0, 0.0, -0.8, 0.008312158003149096
'2016-10-04', 71.410004, 71.660004, 70.300003, 70.709999, 1334800.0, 70.709999, 0.26000200000000007, 2.720001999999994, 1.1632144166744651, 0.0, 0.0, -0.5, 0.0011202632056986894
'2016-10-03', 71.150002, 71.889999, 71.050003, 71.220001, 1548700.0, 71.220001, 1.0999989999999968, 2.6600040000000007, 1.3492206404699447, 0.0, 0.0, -0.1, 0.001967664503134249
'2016-09-30', 70.050003, 71.839996, 69.379997, 71.32, 2476600.0, 71.32, -0.22999599999999987, 0.9200060000000008, 1.5355574873869517, 0.0, 0.1, 0.0, 0.00542468570629465
'2016-09-29', 70.279999, 71.019997, 69.470001, 69.68, 1741000.0, 69.68, 1.5899969999999968, 0.3600009999999969, 1.6905878482690055, 0.0, 0.5, 0.0, 0.0036710330630482495
'2016-09-28', 68.690002, 70.699997, 68.540001, 70.629997, 2609700.0, 70.629997, 0.20000400000000695, -1.7099999999999937, 1.823911715627791, 0.0, 0.8, 0.0, 0.006987911671143412
'2016-09-27', 68.489998, 68.790001, 67.849998, 68.400002, 2777600.0, 68.400002, -0.6399990000000031, -0.9300000000000068, 1.9717526379803891, 1.0, 1.0, 0.0, 0.006424299876812447
'2016-09-26', 69.129997, 69.330002, 68.669998, 68.760002, 1939700.0, 68.760002, -0.7900010000000037, -0.740005999999994, 2.1312871949766823, 0.0, 0.8, 0.0, 0.004411983049847358
'2016-09-23', 69.919998, 70.07, 69.410004, 69.510002, 1088500.0, 69.510002, -0.4800039999999939, -0.49000599999999395, 2.2129888375739135, 0.0, 0.5, 0.0, 0.0026220474942741565
'2016-09-22', 70.400002, 70.870003, 70.089996, 70.230003, 1791200.0, 70.230003, 0.9800039999999939, 1.75, 2.2415054015459934, 0.0, 0.1, -0.1, 0.0016619289300588268
'2016-09-21', 69.419998, 69.800003, 68.629997, 69.519997, 1918600.0, 69.519997, -0.4500049999999902, 0.5999980000000136, 2.2471133391293807, 0.0, 0.0, -0.5, 0.002815539223621499
'2016-09-20', 69.870003, 70.0, 68.459999, 68.849998, 1705000.0, 68.849998, -0.5400010000000037, 2.0800019999999932, 2.2684931304095324, 0.0, 0.0, -0.8, 0.002027571355144587
'2016-09-19', 70.410004, 71.0, 69.489998, 69.57, 1474600.0, 69.57, 1.760002, 2.2700049999999976, 2.26018240940954, -1.0, 0.0, -1.0, 0.0
'2016-09-16', 68.650002, 69.980003, 68.139999, 69.769997, 2724500.0, 69.769997, -0.16999799999999254, 1.5400010000000037, 2.3059621247837745, 0.0, 0.0, -0.8, 0.025637318990901124
'2016-09-15', 68.82, 69.309998, 68.120003, 69.110001, 1642100.0, 69.110001, 1.0299989999999895, -1.1100000000000136, 2.3669517805265174, 0.0, 0.1, -0.5, 0.011551903516419701
'2016-09-14', 67.790001, 68.989998, 67.68, 68.440002, 3131500.0, 68.440002, -0.34999799999999937, -2.239998, 2.4549461200613583, 0.0, 0.5, -0.1, 0.012882937313031348
'2016-09-13', 68.139999, 68.82, 67.339996, 68.18, 2192900.0, 68.18, 1.0299980000000062, -2.3400039999999933, 2.453029938396809, 0.0, 0.8, 0.0, 0.008328459910896086
'2016-09-12', 67.110001, 69.339996, 66.760002, 69.019997, 4150800.0, 69.019997, -2.81999900000001, -3.7900010000000037, 2.449599261671609, 1.0, 1.0, 0.0, 0.009834608704595321
'2016-09-09', 69.93, 70.489998, 67.93, 68.010002, 4622300.0, 68.010002, -0.09999899999999684, -0.8300019999999932, 2.450521023103261, 0.0, 0.8, 0.0, 0.001144010677343996
'2016-09-08', 70.029999, 70.800003, 69.959999, 70.669998, 1620500.0, 70.669998, -0.45000399999999274, -0.9800029999999964, 2.3998060224767253, 0.0, 0.5, 0.0, 0.0007751881957249227
'2016-09-07', 70.480003, 70.739998, 69.860001, 70.290001, 1634100.0, 70.290001, -0.41999900000000423, 0.2900009999999895, 2.3954972563782433, 0.0, 0.1, 0.0, -0.0001241469158280181
'2016-09-06', 70.900002, 71.019997, 69.830002, 70.470001, 2290800.0, 70.470001, 0.14000000000000057, 0.04000100000000373, 2.33038632886007, 0.0, 0.0, 0.0, -0.0007679015611624696
'2016-09-02', 70.760002, 70.860001, 69.919998, 70.169998, 1990900.0, 70.169998, -0.25, 1.2400049999999965, 2.2365221600522687, 0.0, 0.0, 0.0, -0.0004946268938771361
'2016-09-01', 71.010002, 72.129997, 69.839996, 70.300003, 3334500.0, 70.300003, 0.8199999999999932, 2.260002, 2.149472985176813, 0.0, 0.0, 0.0, -0.0007681350681735324
'2016-08-31', 70.190002, 72.050003, 69.860001, 70.660004, 2887500.0, 70.660004, -0.66999899999999, 2.08000100000001, 2.036602543618107, 0.0, 0.0, 0.0, 0.0002611981689357906
'2016-08-30', 70.860001, 71.480003, 70.230003, 70.410004, 2490100.0, 70.410004, 1.3400039999999933, 2.7099989999999963, 1.940349981914631, 0.0, 0.0, 0.0, -0.0004885006118776876
'2016-08-29', 69.519997, 70.839996, 69.089996, 70.839996, 3293700.0, 70.839996, 0.7699970000000036, 2.0199970000000036, 1.7835140137955472, 0.0, 0.0, 0.0, 0.0009144408992340485
'2016-08-26', 68.75, 69.760002, 68.620003, 69.620003, 3173400.0, 69.620003, 0.6399990000000031, 3.559997999999993, 1.699792465242103, 0.0, 0.0, 0.0, 0.0016097008484848492
'2016-08-25', 68.110001, 68.940002, 67.32, 68.650002, 2913300.0, 68.650002, -0.04000100000000373, 3.349998999999997, 1.6540740888970156, 0.0, 0.0, 0.0, 0.0021105591747091626
'2016-08-24', 68.150002, 69.120003, 68.120003, 68.650002, 4486600.0, 68.650002, 0.6500020000000006, 3.130004999999997, 1.6504897529334241, 0.0, 0.0, 0.0, 0.0019507159239356595
'2016-08-23', 67.5, 68.029999, 66.419998, 67.860001, 3040500.0, 67.860001, 2.309997999999993, 2.6600040000000007, 1.6206727508470424, 0.0, 0.0, 0.0, 0.0023950650205761324
'2016-08-22', 65.190002, 65.25, 64.669998, 65.059998, 1235100.0, 65.059998, 0.4300000000000068, 0.6000060000000076, 1.6081981284257028, 0.0, 0.0, 0.0, 0.004214403113048236
'2016-08-19', 64.760002, 65.410004, 64.709999, 65.309998, 2439500.0, 65.309998, -0.25999500000000353, 0.6399990000000031, 1.6040137554428144, 0.0, 0.0, 0.0, 0.004362262064167324
'2016-08-18', 65.019997, 65.489998, 64.639999, 65.07, 1558500.0, 65.07, 0.1800010000000043, -0.050002999999989584, 1.6561261165760646, 0.0, 0.0, 0.0, 0.003947508641072374
'2016-08-17', 64.839996, 65.050003, 64.480003, 64.949997, 2257600.0, 64.949997, 0.25, -0.880004999999997, 1.8907706369874868, 0.0, 0.0, 0.0, 0.0039047223540572377
