Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-28', 3.85, 3.85, 3.52, 3.758, 32900.0, 3.758, 0.4849999999999999, 0.5420000000000003, 0.2826459603264991, -1.0, 0.1, -1.0, 0.0
'2016-09-27', 3.365, 3.864, 3.229, 3.742, 97300.0, 3.742, 0.06500000000000039, 0.04500000000000037, 0.27842785820068766, 0.0, 0.5, -0.8, 0.1441307578008915
'2016-09-26', 3.3, 3.324, 3.195, 3.29, 1900.0, 3.29, 0.10999999999999988, -0.010000000000000231, 0.29564002322644567, 0.0, 0.8, -0.5, 0.08333333333333338
'2016-09-23', 3.19, 3.3, 3.14, 3.19, 5800.0, 3.19, -0.11799999999999988, -0.5800000000000001, 0.29479929330534926, 1.0, 1.0, -0.1, 0.06896551724137932
'2016-09-22', 3.308, 3.42, 3.1, 3.14, 12800.0, 3.14, -0.01200000000000001, -0.4360000000000004, 0.30292610209972554, 0.0, 0.8, 0.0, 0.04096130592503025
'2016-09-21', 3.32, 3.863, 3.15, 3.15, 9500.0, 3.15, 0.009999999999999787, -0.6200000000000001, 0.30052299782582736, 0.0, 0.5, 0.0, 0.031927710843373515
'2016-09-20', 3.31, 3.379, 3.23, 3.379, 6700.0, 3.379, -0.45999999999999996, -0.5899999999999999, 0.32940188220470146, 0.0, 0.1, 0.0, 0.02719033232628399
'2016-09-19', 3.77, 3.77, 3.12, 3.35, 19800.0, 3.35, 0.0259999999999998, -0.1299999999999999, 0.3414536571776616, 0.0, 0.0, 0.0, 0.003031451307313379
'2016-09-16', 3.744, 3.759, 3.661, 3.67, 2300.0, 3.67, -0.19599999999999973, -0.09599999999999964, 0.34278441556692096, 0.0, 0.0, 0.0, 0.003538995726495722
'2016-09-15', 3.94, 3.94, 3.68, 3.71, 32100.0, 3.71, 0.040000000000000036, 0.2599999999999998, 0.3483697971345328, 0.0, 0.0, 0.0, -0.0025380710659898436
'2016-09-14', 3.9, 3.999, 3.779, 3.939, 2600.0, 3.939, 0.0, 0.1120000000000001, 0.35300022662882247, 0.0, 0.0, 0.0, -0.0012820512820512775
'2016-09-13', 3.9, 4.0, 3.76, 3.85, 9800.0, 3.85, 0.06000000000000005, 0.040000000000000036, 0.35787593132567913, 0.0, 0.0, 0.0, -0.0011655011655011614
'2016-09-12', 3.84, 3.95, 3.77, 3.95, 14400.0, 3.95, 0.1599999999999997, -0.16000000000000014, 0.38433582537497935, 0.0, 0.0, 0.0, 0.00021701388888889392
'2016-09-09', 3.68, 3.905, 3.68, 3.88, 16900.0, 3.88, -0.10799999999999965, -0.20999999999999996, 0.40116985042359404, 0.0, 0.0, -0.1, 0.003553511705685617
'2016-09-08', 3.788, 3.788, 3.678, 3.733, 10500.0, 3.733, -0.07200000000000006, 0.19599999999999973, 0.42194428805497797, 0.0, 0.0, -0.5, 0.0011691054457685977
