Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-28', 12.61, 12.74, 12.47, 12.67, 64900.0, 12.67, 0.11999999999999922, 0.2400000000000002, 0.60668654637758, -1.0, 0.1, -1.0, 0.0
'2016-09-27', 12.49, 12.65, 12.06, 12.65, 50100.0, 12.65, -0.019999999999999574, 0.0860000000000003, 0.6234235843754673, 0.0, 0.5, -0.8, 0.009607686148919072
'2016-09-26', 12.51, 12.725, 12.183, 12.42, 73000.0, 12.42, 0.33999999999999986, 0.08999999999999986, 0.6335443411650222, 0.0, 0.8, -0.5, 0.003996802557953623
'2016-09-23', 12.17, 12.56, 12.08, 12.54, 133500.0, 12.54, -0.1999999999999993, -0.33000000000000007, 0.6314735403975547, 1.0, 1.0, -0.1, 0.012051492741714586
'2016-09-22', 12.37, 12.38, 12.1, 12.15, 141000.0, 12.15, -0.034000000000000696, -0.14000000000000057, 0.6182966107693691, 0.0, 0.8, 0.0, 0.004850444624090546
'2016-09-21', 12.404, 12.5, 12.17, 12.32, 96500.0, 12.32, -0.016000000000000014, 0.15399999999999991, 0.6090474575561049, 0.0, 0.5, -0.1, 0.003321509190583675
'2016-09-20', 12.42, 12.5, 12.25, 12.42, 82400.0, 12.42, -0.08000000000000007, 0.3349999999999991, 0.5996735306259008, 0.0, 0.1, -0.5, 0.0025496511003757316
'2016-09-19', 12.5, 12.5, 12.29, 12.42, 107300.0, 12.42, -0.009999999999999787, 0.09999999999999964, 0.5861691725849191, 0.0, 0.0, -0.8, 0.0012571428571428506
'2016-09-16', 12.51, 12.542, 12.15, 12.42, 57700.0, 12.42, 0.2599999999999998, -0.120000000000001, 0.5708288213933606, -1.0, 0.0, -1.0, 0.0
'2016-09-15', 12.25, 12.64, 12.16, 12.51, 53800.0, 12.51, 0.16499999999999915, -0.33000000000000007, 0.5464898382708805, 0.0, 0.0, -0.8, 0.02122448979591835
'2016-09-14', 12.085, 12.22, 12.07, 12.18, 97500.0, 12.18, -0.3149999999999995, -0.41499999999999915, 0.49935628451926856, 0.0, 0.0, -0.5, 0.01758378154737273
'2016-09-13', 12.4, 12.44, 12.07, 12.13, 29000.0, 12.13, -0.23000000000000043, -1.0099999999999998, 0.4260779062826681, 0.0, 0.0, -0.1, 0.0029569892473118127
'2016-09-12', 12.63, 12.63, 12.22, 12.4, 53600.0, 12.4, 0.05000000000000071, -0.7899999999999991, 0.3713900674792235, 0.0, 0.0, 0.0, -0.002375296912114034
'2016-09-09', 12.58, 12.81, 12.48, 12.65, 60000.0, 12.65, 0.08000000000000007, -1.0500000000000007, 0.34302559671254845, 0.0, 0.0, 0.0, -0.0011128775834658234
'2016-09-08', 12.5, 13.05, 12.06, 12.64, 68500.0, 12.64, -0.9100000000000001, -1.08, 0.289500535405377, 0.0, 0.0, 0.0, 0.0001333333333333305
