Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-15', 26.35, 26.52, 26.18, 26.25, 65800.0, 26.25, 0.10000000000000142, 0.6900000000000013, 0.29435219739554086, -1.0, 0.1, -1.0, 0.0
'2016-09-14', 26.25, 26.559999, 26.24, 26.52, 74600.0, 26.52, 0.030000999999998612, 0.41000000000000014, 0.2842778511723738, 0.0, 0.5, -0.8, 0.0038095238095238637
'2016-09-13', 26.219999, 26.41, 26.1, 26.41, 73100.0, 26.41, 0.6099980000000009, 0.47999900000000295, 0.28026278581293435, 0.0, 0.8, -0.5, 0.002479042810032144
'2016-09-12', 25.610001, 26.4, 25.610001, 26.24, 89800.0, 26.24, -0.04999899999999968, -0.2799979999999991, 0.2775200242633974, 1.0, 1.0, -0.1, 0.009631640909866955
'2016-09-09', 25.66, 25.77, 25.66, 25.77, 17700.0, 25.77, -0.17999999999999972, -0.13999899999999954, 0.2788271998536489, 0.0, 0.8, 0.0, 0.006722525331254884
'2016-09-08', 25.84, 25.91, 25.690001, 25.690001, 42400.0, 25.690001, 0.10000000000000142, 0.10000000000000142, 0.2879717425960093, 0.0, 0.5, 0.0, 0.003947368421052644
'2016-09-07', 25.74, 25.84, 25.74, 25.83, 19700.0, 25.83, -0.1499990000000011, 0.04999899999999968, 0.2928066719421252, 0.0, 0.1, 0.0, 0.003949753949753969
'2016-09-06', 25.889999, 25.889999, 25.73, 25.799999, 37000.0, 25.799999, 0.08999999999999986, 0.1999980000000008, 0.2928133165620128, 0.0, 0.0, 0.0, 0.002538216728839149
'2016-09-02', 25.799999, 25.84, 25.77, 25.84, 17400.0, 25.84, 0.059999000000001246, 0.03999899999999812, 0.29973876592876475, 0.0, 0.0, 0.0, 0.002664733630416041
'2016-09-01', 25.74, 25.809999, 25.719999, 25.809999, 27500.0, 25.809999, 0.04999899999999968, 0.1100009999999969, 0.3056849613217448, 0.0, 0.0, -0.1, 0.0026331692998359793
'2016-08-31', 25.690001, 25.75, 25.690001, 25.690001, 41900.0, 25.690001, 0.0, 0.02000099999999705, 0.307097644624364, 0.0, 0.0, -0.5, 0.002569089039739635
'2016-08-30', 25.690001, 25.77, 25.690001, 25.700001, 46900.0, 25.700001, -0.06999900000000281, -0.029998000000002634, 0.31132505867026744, 0.0, 0.0, -0.8, 0.0023355354906723956
'2016-08-29', 25.76, 25.780001, 25.690001, 25.780001, 26200.0, 25.780001, 0.13000100000000003, 0.05000100000000174, 0.3093263025788712, -1.0, 0.0, -1.0, 0.0
'2016-08-26', 25.629999, 25.780001, 25.629999, 25.700001, 15900.0, 25.700001, -0.040001000000000175, -0.0799999999999983, 0.3131385364347098, 0.0, 0.0, -0.8, 0.005072220252525177
'2016-08-25', 25.67, 25.85, 25.610001, 25.620001, 75500.0, 25.620001, -0.04999899999999968, -0.030000999999998612, 0.30673558971930337, 0.0, 0.0, -0.5, 0.0017530190884300712
'2016-08-24', 25.719999, 25.780001, 25.690001, 25.77, 17300.0, 25.77, 0.010000000000001563, 0.04999899999999968, 0.2985091718308482, 0.0, 0.0, -0.1, 0.0005184162980203352
'2016-08-23', 25.709999, 25.76, 25.709999, 25.74, 37000.0, 25.74, 0.0, 0.0799999999999983, 0.29186685480503294, 0.0, 0.0, 0.0, 0.0004862018858888495
'2016-08-22', 25.709999, 25.77, 25.700001, 25.75, 29400.0, 25.75, 0.009997999999999507, 0.1099989999999984, 0.28502554793954865, 0.0, 0.0, 0.0, 0.0003889615087110796
'2016-08-19', 25.700001, 25.780001, 25.68, 25.74, 24400.0, 25.74, 0.030000999999998612, 0.15000200000000063, 0.27709782672949623, 0.0, 0.0, 0.0, 0.00038909855814143904
'2016-08-18', 25.67, 25.77, 25.67, 25.75, 12900.0, 25.75, 0.040001000000000175, 0.020000000000003126, 0.26809805345630944, 0.0, 0.1, 0.0, 0.0005008625966943061
'2016-08-17', 25.629999, 25.74, 25.629999, 25.74, 39000.0, 25.74, 0.02999900000000011, -0.14000099999999804, 0.2599786221988881, 0.0, 0.5, 0.0, 0.0006340275315656471
'2016-08-16', 25.6, 25.719999, 25.58, 25.6, 18400.0, 25.6, 0.05000100000000174, -0.8999999999999986, 0.245986395017622, 0.0, 0.8, 0.0, 0.000694444444444445
'2016-08-15', 25.549999, 25.700001, 25.549999, 25.65, 15300.0, 25.65, -0.1000009999999989, -1.0100000000000016, 0.23101128226516468, 1.0, 1.0, 0.0, 0.0008219217542826592
'2016-08-12', 25.65, 25.65, 25.51, 25.549999, 19600.0, 25.549999, -0.120000000000001, -0.6700000000000017, 0.21102406550601974, 0.0, 0.8, 0.0, 0.0003898635477582952
'2016-08-11', 25.77, 25.77, 25.57, 25.57, 28500.0, 25.57, -0.7300000000000004, -0.5200010000000006, 0.19600323296772426, 0.0, 0.5, 0.0, -3.233734316387922e-05
'2016-08-10', 26.5, 26.549999, 25.91, 26.15, 57300.0, 26.15, -0.059999000000001246, 0.3299999999999983, 0.18460267579753545, 0.0, 0.1, 0.0, -0.002148040638606672
'2016-08-09', 26.559999, 26.67, 26.49, 26.610001, 20800.0, 26.610001, 0.23999900000000096, 0.4499980000000008, 0.18371582645330867, 0.0, 0.0, 0.0, -0.002151460386511524
'2016-08-08', 26.32, 26.75, 26.32, 26.68, 26200.0, 26.68, 0.02999900000000011, 0.1700000000000017, 0.17505427729859477, 0.0, 0.0, 0.0, -0.0014184397163120534
'2016-08-05', 26.290001, 26.35, 26.200001, 26.33, 14300.0, 26.33, 0.12000099999999847, 0.1400010000000016, 0.20152308938702004, 0.0, 0.0, 0.0, -0.0012599871144926892
'2016-08-04', 26.17, 26.290001, 26.16, 26.27, 12600.0, 26.27, 0.059999000000001246, 0.010000000000001563, 0.20357936503289215, 0.0, 0.0, 0.0, -0.0009215761199397606
'2016-08-03', 26.110001, 26.219999, 26.1, 26.17, 17300.0, 26.17, -0.03999899999999812, -0.2299989999999994, 0.20670994364212114, 0.0, 0.0, 0.0, -0.0007447146401871044
'2016-08-02', 26.15, 26.190001, 26.09, 26.1, 21900.0, 26.1, 0.0, -0.05000100000000174, 0.21199051236756386, 0.0, 0.0, -0.1, -0.0007849451544731751
'2016-08-01', 26.15, 26.27, 26.129999, 26.15, 13800.0, 26.15, -0.010000000000001563, 0.05999999999999872, 0.21675095294030175, 0.0, 0.0, -0.5, -0.0007456978967495163
'2016-07-29', 26.16, 26.35, 26.1, 26.1, 19300.0, 26.1, -0.17999999999999972, -0.12000099999999847, 0.22569122476042855, 0.0, 0.1, -0.8, -0.0007281199941750375
'2016-07-28', 26.34, 26.700001, 26.16, 26.17, 35700.0, 26.17, 0.13999899999999954, 0.040001000000000175, 0.23440243537915037, -1.0, 0.5, -1.0, 0.0
'2016-07-27', 26.200001, 26.459999, 26.17, 26.459999, 14700.0, 26.459999, 0.11000100000000046, -0.02999900000000011, 0.22909859682510567, 0.0, 0.8, -0.8, 0.005343473078493376
'2016-07-26', 26.09, 26.219999, 26.040001, 26.219999, 19100.0, 26.219999, -0.19000099999999875, -0.28999900000000167, 0.2340104788264099, 1.0, 1.0, -0.5, 0.004791107704101188
'2016-07-25', 26.280001, 26.360001, 26.059999, 26.129999, 28500.0, 26.129999, -0.01999800000000107, 0.040001000000000175, 0.24041813852938257, 0.0, 0.8, -0.1, 0.000761022294735342
'2016-07-22', 26.299999, 26.4, 26.15, 26.4, 17900.0, 26.4, 0.06999899999999926, -0.08999999999999986, 0.23563969152675093, 0.0, 0.5, 0.0, 0.00038023765704325857
'2016-07-21', 26.23, 26.25, 26.120001, 26.25, 14200.0, 26.25, -0.1499990000000011, -0.030000000000001137, 0.22824422105501407, 0.0, 0.1, -0.1, 0.0008387342737323631
'2016-07-20', 26.379999, 26.379999, 26.15, 26.15, 35600.0, 26.15, 0.1399990000000031, 0.3200000000000003, 0.2233780630344218, 0.0, 0.0, -0.5, -0.0002527103962361893
'2016-07-19', 26.24, 26.389999, 26.15, 26.379999, 19200.0, 26.379999, -0.1499990000000011, 0.22999999999999687, 0.20361596674043042, 0.0, 0.0, -0.8, 0.0005444250871080217
'2016-07-18', 26.389999, 26.389999, 26.16, 26.24, 18000.0, 26.24, 0.12999899999999798, 0.4399979999999992, 0.1908170073961965, -1.0, 0.0, -1.0, 0.0
'2016-07-15', 26.26, 26.389999, 26.209999, 26.219999, 46100.0, 26.219999, 0.20000100000000032, 0.26000000000000156, 0.16180906168988227, 0.0, 0.1, -0.8, 0.004950456968773723
'2016-07-14', 26.059999, 26.33, 26.059999, 26.26, 20400.0, 26.26, 0.04999899999999968, 0.059999000000001246, 0.1410833229789367, 0.0, 0.5, -0.5, 0.006331542836973982
'2016-07-13', 26.01, 26.139999, 26.01, 26.139999, 15100.0, 26.139999, 0.059999000000001246, 0.1499990000000011, 0.13671689955078323, 0.0, 0.8, -0.1, 0.00486990900935535
'2016-07-12', 25.950001, 26.139999, 25.950001, 26.01, 30100.0, 26.01, -0.04999899999999968, -0.01999800000000107, 0.1316479357163392, 1.0, 1.0, 0.0, 0.00423890157075523
'2016-07-11', 26.0, 26.0, 25.879999, 25.98, 16500.0, 25.98, 0.0, 0.12000099999999847, 0.1289463829164365, 0.0, 0.8, 0.0, 0.0029999923076923043
'2016-07-08', 26.0, 26.1, 25.940001, 25.98, 15700.0, 25.98, 0.13999899999999954, 0.13999899999999954, 0.12351721958455399, 0.0, 0.5, 0.0, 0.0024999935897435867
'2016-07-07', 25.860001, 25.99, 25.860001, 25.92, 9900.0, 25.92, -0.10999800000000093, -0.03999899999999812, 0.11740742708150506, 0.0, 0.1, 0.0, 0.002927842114159233
'2016-07-06', 25.969999, 25.969999, 25.809999, 25.870001, 17800.0, 25.870001, 0.08999999999999986, -0.060001999999997224, 0.11693278696413609, 0.0, 0.0, 0.0, 0.0020215634201603077
'2016-07-05', 25.879999, 26.0, 25.870001, 25.870001, 13800.0, 25.870001, 0.01999800000000107, 0.08000000000000185, 0.11152260219582802, 0.0, 0.0, -0.1, 0.0021895930779080187
'2016-07-01', 25.860001, 25.99, 25.860001, 25.99, 14700.0, 25.99, -0.03999899999999812, 0.06000200000000078, 0.11348255079019366, 0.0, 0.0, -0.5, 0.002049489479911463
'2016-06-30', 25.9, 26.09, 25.860001, 25.99, 28700.0, 25.99, -0.13000100000000003, 0.3999999999999986, 0.11283986470739063, 0.0, 0.0, -0.8, 0.0017198982098982135
'2016-06-29', 26.030001, 26.030001, 25.76, 25.84, 51100.0, 25.84, 0.23000199999999893, 0.23000199999999893, 0.1100785059274668, -1.0, 0.1, -1.0, 0.0
'2016-06-28', 25.799999, 26.07, 25.780001, 26.040001, 74700.0, 26.040001, 0.0, -0.030000999999998612, 0.09875634483400726, 0.0, 0.5, -0.8, 0.008914806547085484
'2016-06-27', 25.799999, 25.870001, 25.610001, 25.82, 39500.0, 25.82, 0.2999989999999997, 0.01999800000000107, 0.09860155306678618, 0.0, 0.8, -0.3, 0.004457403273542742
