Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-27', 28.110001, 28.110001, 27.719999, 27.719999, 13000.0, 27.595518, 0.040001000000000175, 0.8000019999999992, 0.3795034094978579, -1.0, 0.0, -1.0, 0.0
'2016-09-26', 28.07, 28.07, 27.870001, 27.91, 36700.0, 27.784665, 0.14999999999999858, 0.740000000000002, 0.3955298344083905, 0.0, 0.0, -0.8, 0.0014250445315283284
'2016-09-23', 27.92, 28.01, 27.881001, 28.0, 23800.0, 27.874261, 0.1189990000000023, 0.5800000000000018, 0.40039204797356076, 0.0, 0.0, -0.5, 0.0034025967048710378
'2016-09-22', 27.801001, 27.985001, 27.799999, 27.950001, 32600.0, 27.824486, 0.49100199999999816, 0.7410019999999982, 0.40415972397118216, 0.0, 0.0, -0.1, 0.0037049025680766083
'2016-09-21', 27.309999, 27.73, 27.309999, 27.73, 25300.0, 27.605473, -0.02000099999999705, 0.07999900000000082, 0.4277223183021692, 0.0, 0.0, 0.0, 0.007323343365922489
'2016-09-20', 27.33, 27.5, 27.33, 27.370001, 13100.0, 27.247091, -0.010000000000001563, 0.0799999999999983, 0.4125025098272211, 0.0, 0.0, 0.0, 0.005708020490303712
'2016-09-19', 27.34, 27.459999, 27.32, 27.4, 11600.0, 27.276955, 0.2800009999999986, -0.36000100000000046, 0.3931869983048509, 0.0, 0.0, 0.0, 0.00469398317483541
'2016-09-16', 27.059999, 27.326, 27.059999, 27.25, 20200.0, 27.127629, -0.17000099999999918, -0.6400019999999991, 0.3700571098453452, 0.0, 0.0, 0.0, 0.005543248013951722
'2016-09-15', 27.23, 27.389999, 27.219999, 27.290001, 12600.0, 27.16745, -0.019999999999999574, -0.9700009999999999, 0.3208232911751144, 0.0, 0.0, 0.0, 0.004039666727873669
'2016-09-14', 27.25, 27.503, 27.25, 27.33, 29300.0, 27.10075, -0.4500010000000003, -1.1320000000000014, 0.2798463893885278, 0.0, 0.0, 0.0, 0.003506629969418962
'2016-09-13', 27.700001, 27.700001, 27.280001, 27.280001, 131300.0, 27.05117, 0.0, -0.6899979999999992, 0.22769034891081544, 0.0, 0.0, 0.0, 0.0014801443508973165
'2016-09-12', 27.700001, 27.870001, 27.559999, 27.809999, 27600.0, 27.576723, -0.5, -0.4779979999999995, 0.2108482725047247, 0.0, 0.0, 0.0, 0.0013455857735430149
'2016-09-09', 28.200001, 28.200001, 27.721001, 27.790001, 38000.0, 27.556892, -0.18199900000000113, -0.31999899999999926, 0.19309398326665234, 0.0, 0.0, 0.0, -0.0002659574373773954
'2016-09-08', 28.382, 28.41, 28.25, 28.35, 124600.0, 28.112194, -0.007998999999998091, 0.271999000000001, 0.20260156235101492, 0.0, 0.0, 0.0, -0.0007371925868508236
'2016-09-07', 28.389999, 28.4, 28.243999, 28.379999, 63100.0, 28.141941, 0.21199999999999974, 0.38999899999999954, 0.20156017246691688, 0.0, 0.0, 0.0, -0.000704468398989978
'2016-09-06', 28.177999, 28.280001, 28.177999, 28.26, 31100.0, 28.022949, -0.3420009999999998, 0.125, 0.19757929955787923, 0.0, 0.1, 0.0, -0.00016087728585695372
'2016-09-02', 28.52, 28.52, 28.1, 28.17, 33000.0, 27.933704, 0.4099989999999991, 0.4499999999999993, 0.1991810501539323, 0.0, 0.5, 0.0, -0.0008984900946704048
'2016-09-01', 28.110001, 28.110001, 27.940001, 28.040001, 26500.0, 27.804795, 0.11000100000000046, -0.01999800000000107, 0.1889494306432896, 0.0, 0.8, 0.0, 0.0
'2016-08-31', 28.0, 28.129999, 28.0, 28.129999, 20200.0, 27.894039, -0.052998999999999796, -0.059999000000001246, 0.1888787417317876, 1.0, 1.0, 0.0, 0.0002182559523809533
'2016-08-30', 28.052999, 28.09, 27.999001, 28.08, 19100.0, 27.844459, -0.017001000000000488, 0.007998999999998091, 0.18801496296945494, 0.0, 0.8, 0.0, 0.00010694419028631947
'2016-08-29', 28.07, 28.1, 28.02, 28.09, 100600.0, 27.854375, -0.059999000000001246, -0.06999899999999926, 0.19299141840554287, 0.0, 0.5, 0.0, 7.125222657641642e-05
'2016-08-26', 28.129999, 28.139999, 27.91, 27.98, 76500.0, 27.745297, 0.07000000000000028, -0.060001999999997224, 0.1926184401706706, 0.0, 0.1, 0.0, -3.38530305061783e-05
'2016-08-25', 28.059999, 28.059999, 27.961, 28.049999, 25600.0, 27.81471, 0.01499899999999954, -0.030000999999998612, 0.19260153635133162, 0.0, 0.0, 0.0, 8.099851257365141e-05
'2016-08-24', 28.045, 28.059999, 27.950001, 27.99, 16300.0, 27.755213, -0.09499899999999784, -0.19499999999999673, 0.192182712230997, 0.0, 0.0, 0.0, 0.0001007712759772706
'2016-08-23', 28.139999, 28.139999, 28.02, 28.110001, 34700.0, 27.874208, -0.050001999999999214, 0.11999899999999997, 0.19316636529287967, 0.0, 0.0, -0.1, -4.441779357087498e-05
'2016-08-22', 28.190001, 28.190001, 27.959999, 28.02, 42600.0, 27.784962, 0.1000009999999989, 0.010000999999999038, 0.1981189380492576, 0.0, 0.1, -0.5, -0.00011351542697710199
'2016-08-19', 28.09, 28.110001, 28.0, 28.040001, 70000.0, 27.804795, -0.14999999999999858, -0.4800000000000004, 0.20702012069786044, 0.0, 0.5, -0.8, 2.738587507188515e-05
'2016-08-18', 28.24, 28.4, 28.040001, 28.120001, 32700.0, 27.884124, 0.21999999999999886, -0.06900000000000261, 0.2276908837301036, -1.0, 0.8, -1.0, -0.00017049496380232661
'2016-08-17', 28.02, 28.16, 28.018, 28.16, 24100.0, 27.923788, -0.16000000000000014, -0.240000000000002, 0.23343760653532958, 1.0, 1.0, -0.8, 0.00011471525441011636
'2016-08-16', 28.18, 28.190001, 28.129999, 28.129999, 213600.0, 27.894039, -0.39000000000000057, -0.5849989999999998, 0.26632111970425637, 0.0, 0.8, -0.5, -8.565502557450778e-05
'2016-08-15', 28.57, 28.57, 28.187, 28.25, 54400.0, 28.013033, 0.26099999999999923, 0.23000000000000043, 0.29312546003849405, 0.0, 0.5, -0.1, -0.0005366923346167307
'2016-08-12', 28.309, 28.370001, 28.190001, 28.290001, 101600.0, 27.947588, 0.04899999999999949, 0.05900000000000105, 0.2881675358585329, 0.0, 0.1, 0.0, -0.00022675907240259918
'2016-08-11', 28.26, 28.26, 28.09, 28.18, 48200.0, 27.838919, -0.504998999999998, 0.25, 0.2939872940348196, 0.0, 0.0, 0.0, -0.00016586938251946334
'2016-08-10', 28.764999, 28.855, 28.232, 28.370001, 29500.0, 28.02662, 0.4249989999999997, 0.8949980000000011, 0.3078513156063852, 0.0, 0.0, 0.0, -0.0006900199872221173
'2016-08-09', 28.34, 28.34, 28.197001, 28.27, 51600.0, 27.92783, 0.08999999999999986, 0.4500010000000003, 0.30715462049907183, 0.0, 0.0, 0.0, -0.00023869712316825046
'2016-08-08', 28.25, 28.309999, 28.188999, 28.278, 24400.0, 27.935732, 0.23999999999999844, 0.0, 0.34294618814122363, 0.0, 0.0, 0.0, -0.0001415919089759793
'2016-08-05', 28.01, 28.17, 28.01, 28.030001, 26100.0, 27.690735, 0.1399990000000031, -0.19999899999999826, 0.3570505018816371, 0.0, 0.0, -0.1, 9.917192272600945e-05
'2016-08-04', 27.870001, 28.059999, 27.870001, 28.049999, 57000.0, 27.710491, -0.01999800000000107, -0.1700000000000017, 0.37325462188778796, 0.0, 0.0, -0.5, 0.0002327408056600551
'2016-08-03', 27.889999, 27.99, 27.84, 27.988001, 28400.0, 27.649243, -0.36000100000000046, 0.03999899999999812, 0.39448533169251887, 0.0, 0.0, -0.8, 0.00020758431421204058
'2016-08-02', 28.25, 28.25, 27.761, 27.93, 19300.0, 27.591945, 0.040001000000000175, 0.2509990000000002, 0.41531906138735875, -1.0, 0.1, -1.0, 0.0
'2016-08-01', 28.209999, 28.209999, 27.951, 28.040001, 87300.0, 27.700614, 0.16999799999999965, -0.010000000000001563, 0.4277141060939032, 0.0, 0.5, -0.8, 0.0014179724004953057
'2016-07-29', 28.040001, 28.18, 27.969999, 28.129999, 7300.0, 27.789523, 0.19000099999999875, 0.0200010000000006, 0.43863027854207565, 0.0, 0.8, -0.5, 0.00374463253407159
'2016-07-28', 27.85, 27.999001, 27.85, 27.98, 19500.0, 27.641339, -0.14900099999999838, -0.16000000000000014, 0.4715653313999485, 1.0, 1.0, -0.1, 0.004787552363853962
'2016-07-27', 27.999001, 28.000999, 27.825001, 27.940001, 63400.0, 27.601824, -0.22099800000000158, -0.13099800000000172, 0.4962155907807948, 0.0, 0.8, 0.0, 0.00224114246076137
'2016-07-26', 28.219999, 28.219999, 27.91, 27.92, 52300.0, 27.582065, 0.19999900000000181, -0.030000999999998612, 0.5056466070098419, 0.0, 0.5, 0.0, 0.00021262226125520848
