Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 10.3, 10.3, 10.29, 10.29, 1200.0, 10.29, 0.010000000000001563, 0.030000000000001137, 0.09280565116892883, -1.0, 0.0, -1.0, 0.0
'2016-09-28', 10.29, 10.29, 10.29, 10.29, 0.0, 10.29, 0.0, 0.019999999999999574, 0.0886340792246414, 0.0, 0.0, -0.8, 0.0009718172983480625
'2016-09-27', 10.29, 10.29, 10.29, 10.29, 0.0, 10.29, -0.010000000000001563, 0.08999999999999986, 0.08408263131520627, 0.0, 0.0, -0.5, 0.0004859086491740313
'2016-09-26', 10.3, 10.3, 10.15, 10.29, 900.0, 10.29, 0.030000000000001137, 0.10000000000000142, 0.07838934167913975, 0.0, 0.0, -0.1, 0.0
'2016-09-23', 10.27, 10.27, 10.27, 10.27, 0.0, 10.27, 0.0, 0.07000000000000028, 0.07034833963135805, 0.0, 0.0, 0.0, 0.0007302823758520238
'2016-09-22', 10.27, 10.27, 10.27, 10.27, 200.0, 10.27, 0.07000000000000028, 0.1899999999999995, 0.06321128591214295, 0.0, 0.0, 0.0, 0.0005842259006816191
'2016-09-21', 10.2, 10.2, 10.2, 10.2, 0.0, 10.2, 0.0, 0.11999999999999922, 0.054082241899619014, 0.0, 0.1, 0.0, 0.0016339869281045984
'2016-09-20', 10.2, 10.2, 10.2, 10.2, 0.0, 10.2, 0.0, 0.11999999999999922, 0.049630859575693846, 0.0, 0.5, 0.0, 0.001400560224089656
'2016-09-19', 10.2, 10.2, 10.2, 10.2, 1700.0, 10.2, 0.11999999999999922, 0.009999999999999787, 0.04538722287164111, 0.0, 0.8, 0.0, 0.001225490196078449
'2016-09-16', 10.08, 10.08, 10.08, 10.08, 0.0, 10.08, 0.0, 0.0, 0.03870687564531977, 1.0, 1.0, -0.1, 0.0024250440917107656
