Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-27', 11.26, 11.3, 11.14, 11.14, 3800.0, 11.14, 0.009999999999999787, 0.1899999999999995, 0.5674450536297667, -1.0, 0.0, -1.0, 0.0
'2016-09-26', 11.25, 11.25, 11.11, 11.21, 1900.0, 11.21, 0.09999999999999964, 0.1899999999999995, 0.5620996352960923, 0.0, 0.0, -0.8, 0.00088888888888887
'2016-09-23', 11.15, 11.25, 11.1, 11.25, 6400.0, 11.25, -0.049999999999998934, 0.05000000000000071, 0.5574865220094762, 0.0, 0.1, -0.5, 0.004932735426008943
'2016-09-22', 11.2, 11.21, 11.12, 11.12, 1700.0, 11.12, 0.129999999999999, 0.09999999999999964, 0.5478897902153519, 0.0, 0.5, -0.1, 0.0017857142857143008
'2016-09-21', 11.07, 11.33, 11.05, 11.18, 7600.0, 11.18, 0.009999999999999787, -0.009999999999999787, 0.539193224487598, 0.0, 0.8, 0.0, 0.004290876242095743
'2016-09-20', 11.06, 11.22, 10.91, 11.09, 2700.0, 11.09, -0.03999999999999915, -1.1600000000000001, 0.5259746508467241, 1.0, 1.0, 0.0, 0.00361663652802892
'2016-09-19', 11.1, 11.4, 10.86, 11.14, 21600.0, 11.14, 0.0, -1.1799999999999997, 0.5128227980718313, 0.0, 0.8, 0.0, 0.002402402402402405
'2016-09-16', 11.1, 11.15, 11.01, 11.15, 2600.0, 11.15, 0.019999999999999574, -1.2800000000000011, 0.5111381635352834, 0.0, 0.5, 0.0, 0.0020592020592020608
'2016-09-15', 11.08, 11.55, 11.08, 11.2, 13300.0, 11.2, -1.1400000000000006, -1.58, 0.5301316398363292, 0.0, 0.1, 0.0, 0.002030685920577614
'2016-09-14', 12.22, 12.22, 10.76, 11.05, 82500.0, 11.05, -0.05999999999999872, -0.33999999999999986, 0.5456783749507477, 0.0, 0.0, 0.0, -0.008728859792689588
'2016-09-13', 12.28, 12.45, 12.25, 12.38, 5900.0, 12.29, -0.10000000000000142, -0.33000000000000007, 0.5760725262981697, 0.0, 0.0, 0.0, -0.00830618892508143
'2016-09-12', 12.38, 12.57, 12.01, 12.33, 14900.0, 12.240363, -0.27999999999999936, -0.40999999999999837, 0.6342667682713113, 0.0, 0.0, 0.0, -0.008224408870612432
'2016-09-09', 12.66, 12.7, 12.45, 12.55, 13500.0, 12.458764, 0.09999999999999964, 0.34999999999999964, 0.7040676261711102, 0.0, 0.0, 0.0, -0.009215376513954715
'2016-09-08', 12.56, 12.8, 12.56, 12.75, 12500.0, 12.65731, -0.049999999999998934, 0.3800000000000008, 0.751197636370675, 0.0, 0.0, 0.0, -0.00796178343949045
'2016-09-07', 12.61, 12.79, 12.52, 12.58, 8600.0, 12.488546, -0.17999999999999972, 0.41999999999999993, 0.8001461672025235, 0.0, 0.0, 0.0, -0.007646992183074655
'2016-09-06', 12.79, 12.84, 12.54, 12.61, 6200.0, 12.518327, 0.47999999999999865, 1.4699999999999989, 0.8335055821981971, 0.0, 0.0, 0.0, -0.007974980453479278
'2016-09-02', 12.31, 12.78, 12.31, 12.69, 23100.0, 12.597746, 0.13000000000000078, 0.5099999999999998, 0.8662335456189373, 0.0, 0.0, 0.0, -0.0053310316815597105
'2016-09-01', 12.18, 12.42, 12.12, 12.2, 12300.0, 12.111308, -0.009999999999999787, 0.9299999999999997, 0.9120641424812181, 0.0, 0.0, -0.1, -0.0044431565729740165
'2016-08-31', 12.19, 12.19, 11.54, 12.1, 7100.0, 12.012036, 0.8699999999999992, 0.8399999999999999, 0.9525491530041318, 0.0, 0.0, -0.5, -0.004238446814328683
'2016-08-30', 11.32, 12.1, 11.32, 11.73, 6400.0, 11.644725, -0.4800000000000004, 0.3200000000000003, 0.986260558315544, 0.0, 0.0, -0.8, -0.0002789659661521317
'2016-08-29', 11.8, 11.88, 11.26, 11.57, 67900.0, 11.485888, 0.5500000000000007, 0.4400000000000013, 1.0005511814328474, -1.0, 0.1, -1.0, 0.0
'2016-08-26', 11.25, 11.54, 11.04, 11.27, 55900.0, 11.18807, -0.09999999999999964, -0.21000000000000085, 1.008807051257408, 0.0, 0.5, -0.8, 0.048888888888888954
'2016-08-25', 11.35, 11.35, 11.04, 11.25, 2500.0, 11.168215, 0.34999999999999964, -0.14000000000000057, 0.987229569159181, 0.0, 0.8, -0.5, 0.019823788546255553
'2016-08-24', 11.0, 11.46, 10.94, 11.44, 6500.0, 11.356833, -0.35999999999999943, -0.5399999999999991, 0.9651272800344349, 1.0, 1.0, -0.1, 0.024242424242424263
'2016-08-23', 11.36, 11.4, 10.99, 11.0, 18100.0, 10.920032, -0.10000000000000142, -0.41999999999999993, 0.9203845210924977, 0.0, 0.8, 0.0, 0.009683098591549325
'2016-08-22', 11.46, 11.52, 11.35, 11.36, 5400.0, 11.277415, -0.02999999999999936, -0.1899999999999995, 0.8894552640052598, 0.0, 0.5, 0.0, 0.005933682373472946
'2016-08-19', 11.49, 11.6, 11.49, 11.49, 1800.0, 11.40647, -0.049999999999998934, -0.2599999999999998, 0.8600003229973553, 0.0, 0.1, 0.0, 0.004496663765593277
'2016-08-18', 11.54, 11.67, 11.5, 11.54, 18500.0, 11.456106, -0.2400000000000002, 0.05999999999999872, 0.8287337060573532, 0.0, 0.0, -0.1, 0.003218618469918316
'2016-08-17', 11.78, 11.87, 11.51, 11.51, 9000.0, 11.426325, 0.129999999999999, 0.08999999999999986, 0.8031587638817121, 0.0, 0.0, -0.5, 0.00021222410865875797
'2016-08-16', 11.65, 11.7, 11.51, 11.57, 2300.0, 11.485888, -0.09999999999999964, -0.09999999999999964, 0.7954911829946464, 0.0, 0.0, -0.8, 0.0014306151645207472
'2016-08-15', 11.75, 11.85, 11.51, 11.73, 18000.0, 11.644725, 0.2699999999999996, 0.1999999999999993, 0.8087219684305739, -1.0, 0.0, -1.0, 0.0
'2016-08-12', 11.48, 12.05, 11.48, 11.65, 66600.0, 11.565306, -0.20999999999999908, 0.009999999999999787, 0.812285185278066, 0.0, 0.0, -0.8, 0.023519163763066165
'2016-08-11', 11.69, 11.91, 11.51, 11.55, 17000.0, 11.466034, -0.0600000000000005, -0.7599999999999998, 0.8366245009295122, 0.0, 0.1, -0.5, 0.0025662959794696535
'2016-08-10', 11.75, 11.75, 11.66, 11.69, 2600.0, 11.605016, 0.1999999999999993, -1.17, 0.8664159252665865, 0.0, 0.5, -0.1, 0.0
