Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-30', 15.2, 15.2, 14.81, 15.0, 1600.0, 15.0, 0.009999999999999787, 0.28999999999999915, 0.1587310793624094, -1.0, 0.0, -1.0, 0.0
'2016-09-29', 15.19, 15.2, 15.19, 15.2, 500.0, 15.2, 0.2400000000000002, 0.3899999999999988, 0.15427572718998922, 0.0, 0.0, -0.8, 0.0006583278472679254
'2016-09-28', 14.95, 15.2, 14.95, 15.2, 3000.0, 15.2, 0.1899999999999995, 0.14999999999999858, 0.15238292409438645, 0.0, 0.0, -0.5, 0.008361204013377926
'2016-09-27', 14.76, 15.05, 14.72, 14.73, 2000.0, 14.73, -0.15000000000000036, 0.20999999999999908, 0.1564839359877627, 0.0, 0.0, -0.1, 0.009936766034327
'2016-09-26', 14.91, 14.92, 14.91, 14.92, 2200.0, 14.92, 0.10999999999999943, 0.009999999999999787, 0.16353355075403403, 0.0, 0.1, 0.0, 0.0048625083836351295
'2016-09-23', 14.8, 14.8, 14.8, 14.8, 0.0, 14.8, 0.0, -0.2699999999999996, 0.1729727017640517, 0.0, 0.5, 0.0, 0.005405405405405387
'2016-09-22', 14.8, 14.8, 14.8, 14.8, 0.0, 14.8, 0.25, -0.29999999999999893, 0.17082154430867325, 0.0, 0.8, 0.0, 0.004504504504504488
'2016-09-21', 14.55, 14.87, 14.55, 14.8, 1600.0, 14.8, -0.34999999999999964, -0.5499999999999989, 0.1748396090389387, 1.0, 1.0, -0.1, 0.0063819342169857485
'2016-09-20', 14.9, 14.9, 14.62, 14.63, 600.0, 14.58, -0.16999999999999993, -0.03999999999999915, 0.1523318745371436, 0.0, 0.8, -0.5, 0.002516778523489924
'2016-09-19', 15.07, 15.2, 14.58, 14.62, 4900.0, 14.570034, -0.02999999999999936, 0.370000000000001, 0.15735487140713386, 0.0, 0.5, -0.8, 0.0009584900095848928
'2016-09-16', 15.1, 15.1, 15.01, 15.01, 300.0, 14.958702, 0.0, 0.3100000000000005, 0.16031912618967928, -1.0, 0.1, -1.0, 0.0
'2016-09-15', 15.1, 15.1, 14.87, 15.1, 2900.0, 15.048394, 0.16000000000000014, 0.08000000000000007, 0.16031912618967928, 0.0, 0.5, -0.8, 0.0
'2016-09-14', 14.94, 14.94, 14.87, 14.87, 700.0, 14.81918, 0.2400000000000002, -0.13000000000000078, 0.1601651925010206, 0.0, 0.8, -0.5, 0.005354752342704155
'2016-09-13', 14.7, 14.85, 14.7, 14.7, 1900.0, 14.649761, -0.08999999999999986, -0.39000000000000057, 0.15884863514959444, 1.0, 1.0, -0.1, 0.009070294784580508
'2016-09-12', 14.79, 14.79, 14.68, 14.68, 3500.0, 14.62983, -0.23000000000000043, -0.07000000000000028, 0.1596597075727695, 0.0, 0.8, 0.0, 0.005240027045300888
'2016-09-09', 15.02, 15.02, 14.85, 14.85, 1400.0, 14.799249, -0.05000000000000071, 0.049999999999998934, 0.16329285212634254, 0.0, 0.5, 0.0, 0.0010652463382157134
'2016-09-08', 15.07, 15.1, 14.91, 15.03, 4200.0, 14.978633, -0.019999999999999574, 0.09999999999999964, 0.17717191901903895, 0.0, 0.1, 0.0, 0.00033178500331784293
'2016-09-07', 15.09, 15.1, 15.01, 15.07, 4100.0, 15.018496, 0.23000000000000043, -0.009999999999999787, 0.18382479581263125, 0.0, 0.0, 0.0, 9.467007478935707e-05
'2016-09-06', 14.86, 15.1, 14.86, 15.0, 5600.0, 14.948736, -0.11000000000000121, -0.15000000000000036, 0.19513670421869214, 0.0, 0.0, -0.1, 0.0020188425302826397
'2016-09-02', 14.97, 15.09, 14.97, 15.07, 2400.0, 15.018496, 0.0, 0.21000000000000085, 0.18962213888561527, 0.0, 0.0, -0.5, 0.0009648927484598752
'2016-09-01', 14.97, 14.97, 14.97, 14.97, 500.0, 14.918839, -0.129999999999999, -0.129999999999999, 0.1909904011549621, 0.0, 0.1, -0.8, 0.0008684034736138877
'2016-08-31', 15.1, 15.1, 14.78, 14.91, 4900.0, 14.859043, 0.08999999999999986, 0.2699999999999996, 0.19332183873875539, -1.0, 0.5, -1.0, 0.0
'2016-08-30', 15.01, 15.1, 15.01, 15.1, 4300.0, 15.048394, 0.25, 0.09999999999999964, 0.1926427320773411, 0.0, 0.8, -0.8, 0.005996002664890064
'2016-08-29', 14.76, 15.1, 14.76, 15.02, 6000.0, 14.968668, -0.33999999999999986, -0.16000000000000014, 0.18964411113685786, 1.0, 1.0, -0.5, 0.011517615176151757
'2016-08-26', 15.1, 15.1, 14.78, 14.78, 3700.0, 14.729487, 0.2699999999999996, -0.030000000000001137, 0.17164077474643244, 0.0, 0.8, -0.1, 0.0
'2016-08-25', 14.83, 14.99, 14.82, 14.99, 2700.0, 14.93877, -0.08000000000000007, -0.3699999999999992, 0.17107373329129813, 0.0, 0.5, 0.0, 0.00455158462575859
'2016-08-24', 14.91, 14.91, 14.85, 14.85, 2800.0, 14.799249, -0.009999999999999787, -0.17999999999999972, 0.1562121065161795, 0.0, 0.1, 0.0, 0.0025486250838363447
'2016-08-23', 14.92, 14.97, 14.88, 14.97, 900.0, 14.918839, -0.21000000000000085, -0.23000000000000043, 0.1454529324405512, 0.0, 0.0, 0.0, 0.0020107238605898093
'2016-08-22', 15.13, 15.13, 15.09, 15.1, 1700.0, 15.048394, -0.06999999999999851, -0.019999999999999574, 0.14058647003021146, 0.0, 0.0, 0.0, -0.00028325937116420674
'2016-08-19', 15.2, 15.2, 15.2, 15.2, 500.0, 15.098223, 0.10999999999999943, -0.10000000000000142, 0.13882202835125107, 0.0, 0.0, 0.0, -0.0008223684210526287
'2016-08-18', 15.09, 15.17, 14.9, 15.17, 4600.0, 15.068424, -0.0600000000000005, -0.21000000000000085, 0.13837509409813117, 0.0, 0.0, 0.0, 7.363228039172216e-05
'2016-08-17', 15.15, 15.15, 15.15, 15.15, 0.0, 15.048557, 0.0, 0.030000000000001137, 0.13479573023241084, 0.0, 0.0, 0.0, -0.0003300330033003347
'2016-08-16', 15.15, 15.15, 15.11, 15.15, 2400.0, 15.048557, -0.15000000000000036, -0.15000000000000036, 0.13748575683805697, 0.0, 0.0, 0.0, -0.0003000300030003043
'2016-08-15', 15.3, 15.3, 15.07, 15.07, 2000.0, 14.969093, 0.0, 0.20000000000000107, 0.1397473911503658, 0.0, 0.0, -0.1, -0.0010893246187363892
