Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 10.7, 10.87, 10.66, 10.68, 401200.0, 10.68, 0.009999999999999787, 0.5499999999999989, 0.3246365489110688, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 10.69, 10.88, 10.5, 10.69, 322500.0, 10.69, 0.15000000000000036, 0.7899999999999991, 0.33217950301338905, 0.0, 0.0, -0.8, 0.0009354536950420755
'2016-09-21', 10.54, 10.67, 10.3, 10.6, 386200.0, 10.6, 0.21999999999999886, 0.8099999999999987, 0.32959925161727327, 0.0, 0.0, -0.5, 0.007590132827324485
'2016-09-20', 10.32, 10.51, 10.28, 10.42, 552200.0, 10.42, 0.16999999999999993, 0.7000000000000011, 0.3398110586128054, 0.0, 0.0, -0.1, 0.012273901808785497
'2016-09-19', 10.15, 10.31, 10.05, 10.11, 321600.0, 10.11, 0.25, 0.07000000000000028, 0.3437789987768304, 0.0, 0.1, 0.0, 0.013546798029556623
'2016-09-16', 9.9, 10.07, 9.81, 10.01, 478900.0, 10.01, 0.16999999999999993, -0.16000000000000014, 0.3437789987768304, 0.0, 0.5, 0.0, 0.01616161616161614
'2016-09-15', 9.73, 10.17, 9.71, 10.05, 1331400.0, 10.05, 0.11000000000000121, -0.8899999999999988, 0.3481999744718862, 0.0, 0.8, 0.0, 0.016615279205207244
'2016-09-14', 9.62, 9.75, 9.51, 9.62, 545000.0, 9.62, -0.46000000000000085, -1.3900000000000006, 0.36488110696803994, 1.0, 1.0, 0.0, 0.01603801603801604
'2016-09-13', 10.08, 10.15, 9.59, 9.64, 628100.0, 9.64, 0.019999999999999574, -0.75, 0.3562503801167562, 0.0, 0.8, -0.1, 0.0076884920634920535
'2016-09-12', 10.06, 10.46, 9.95, 10.41, 436700.0, 10.41, -0.5599999999999987, -0.6899999999999995, 0.36133533209779267, 0.0, 0.5, -0.5, 0.007068698917605465
'2016-09-09', 10.62, 10.63, 10.18, 10.19, 672700.0, 10.19, -0.39000000000000057, 0.21999999999999886, 0.36659226517875254, 0.0, 0.1, -0.8, 0.0007532956685499066
'2016-09-08', 11.01, 11.09, 10.94, 10.99, 614800.0, 10.99, 0.17999999999999972, 0.9299999999999997, 0.37006966311163025, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 10.83, 11.0, 10.78, 10.95, 382900.0, 10.95, 0.08000000000000007, 0.33000000000000007, 0.3393570718612214, 0.0, 0.1, -0.8, 0.016620498614958422
'2016-09-06', 10.75, 10.93, 10.61, 10.88, 408800.0, 10.88, 0.34999999999999964, 0.33999999999999986, 0.3178196553602897, 0.0, 0.5, -0.5, 0.012093023255813944
'2016-09-02', 10.4, 10.71, 10.35, 10.69, 570800.0, 10.69, 0.3200000000000003, 0.21000000000000085, 0.2989955406579391, 0.0, 0.8, -0.1, 0.01955128205128203
'2016-09-01', 10.08, 10.31, 10.05, 10.25, 305700.0, 10.25, -0.41999999999999993, -0.6600000000000001, 0.2984480226475328, 1.0, 1.0, 0.0, 0.023065476190476185
'2016-08-31', 10.5, 10.61, 9.9, 10.17, 635400.0, 10.17, 0.08999999999999986, 0.07000000000000028, 0.30089422283143513, 0.0, 0.8, 0.0, 0.00971428571428571
'2016-08-30', 10.41, 10.5, 10.19, 10.26, 419500.0, 10.26, 0.22000000000000064, 0.16999999999999993, 0.3020899424564368, 0.0, 0.5, 0.0, 0.009606147934678188
'2016-08-29', 10.19, 10.66, 10.19, 10.51, 689100.0, 10.51, -0.5500000000000007, -0.2599999999999998, 0.2998008598312479, 0.0, 0.1, 0.0, 0.011495864292723963
'2016-08-26', 10.74, 11.06, 10.07, 10.12, 1278200.0, 10.12, 0.3100000000000005, 0.23000000000000043, 0.2999770361581403, 0.0, 0.0, 0.0, 0.003142458100558654
'2016-08-25', 10.43, 10.62, 10.34, 10.6, 246500.0, 10.6, 0.1899999999999995, 0.0, 0.28053698508396346, 0.0, 0.0, 0.0, 0.006178757856610206
