Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 25.959999, 26.08, 25.879999, 25.9, 11800.0, 25.9, 0.16999799999999965, 0.5099979999999995, 0.19121518843782315, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 25.790001, 26.07, 25.549999, 26.040001, 10200.0, 26.040001, 0.20000100000000032, 0.5, 0.1682555788092396, 0.0, 0.0, -0.8, 0.006591624405132813
'2016-09-21', 25.59, 25.73, 25.469999, 25.73, 10400.0, 25.73, 0.04999899999999968, 0.41999999999999815, 0.15583083363540953, 0.0, 0.0, -0.5, 0.007229366940211019
'2016-09-20', 25.540001, 25.639999, 25.469999, 25.540001, 5500.0, 25.540001, 0.08999999999999986, 0.40000200000000063, 0.1586527449086912, 0.0, 0.0, -0.1, 0.00548157117665474
'2016-09-19', 25.450001, 25.639999, 25.41, 25.6, 11700.0, 25.6, 0.16000000000000014, 0.2900010000000002, 0.1599934657704669, 0.0, 0.1, 0.0, 0.005009803339496917
'2016-09-16', 25.290001, 25.52, 25.25, 25.51, 13200.0, 25.51, 0.12000099999999847, -0.19999899999999826, 0.1644726219712367, 0.0, 0.5, 0.0, 0.005298520945096045
'2016-09-15', 25.17, 25.299999, 25.17, 25.25, 4700.0, 25.25, 0.030001000000002165, -0.13999899999999954, 0.1629550895194542, 0.0, 0.8, 0.0, 0.005231088597536737
'2016-09-14', 25.139999, 25.290001, 25.139999, 25.219999, 3400.0, 25.219999, -0.0200010000000006, -0.370001000000002, 0.1670476741008853, 1.0, 1.0, 0.0, 0.00465962059675727
'2016-09-13', 25.16, 25.299999, 25.139999, 25.139999, 4000.0, 25.139999, -0.3299999999999983, -0.5100000000000016, 0.16111458551893715, 0.0, 0.8, 0.0, 0.003974557829888711
'2016-09-12', 25.49, 25.620001, 25.1, 25.1, 27800.0, 25.1, 0.1800009999999972, 0.06999999999999673, 0.15356110575368156, 0.0, 0.5, 0.0, 0.002048729349200128
'2016-09-09', 25.309999, 25.639999, 25.309999, 25.469999, 16000.0, 25.469999, -0.20000100000000032, -0.09000099999999733, 0.15790152585386544, 0.0, 0.1, 0.0, 0.0025681549809622615
'2016-09-08', 25.51, 25.690001, 25.5, 25.52, 3100.0, 25.52, -0.16000000000000014, 0.18000000000000327, 0.1576440970465647, 0.0, 0.0, 0.0, 0.001603645629165027
'2016-09-07', 25.67, 25.73, 25.450001, 25.68, 10400.0, 25.68, 0.25, 0.2199990000000014, 0.16036376669000268, 0.0, 0.0, 0.0, 0.0009414329307882032
'2016-09-06', 25.42, 25.540001, 25.42, 25.540001, 8200.0, 25.540001, 0.020000000000003126, 0.20000100000000032, 0.15984847408407002, 0.0, 0.0, -0.1, 0.001634082793681529
'2016-09-02', 25.4, 25.48, 25.4, 25.48, 5000.0, 25.48, 0.07000000000000028, 0.25, 0.16031074338541199, 0.0, 0.0, -0.5, 0.0015748003374578214
'2016-09-01', 25.33, 25.5, 25.280001, 25.43, 6700.0, 25.43, -0.12000100000000202, 0.030000999999998612, 0.1608518614554814, 0.0, 0.1, -0.8, 0.0016581102776681183
'2016-08-31', 25.450001, 25.450001, 25.27, 25.35, 5100.0, 25.35, 0.23000199999999893, -0.10999800000000093, 0.15693590977906668, -1.0, 0.5, -1.0, 0.0
'2016-08-30', 25.219999, 25.379999, 25.15, 25.24, 5700.0, 25.24, 0.06999900000000281, -0.2900010000000002, 0.15994059689051235, 0.0, 0.8, -0.8, 0.009119825896900271
'2016-08-29', 25.15, 25.309999, 24.799999, 25.23, 23300.0, 25.23, -0.1499990000000011, -0.5300000000000011, 0.1497927411100049, 1.0, 1.0, -0.5, 0.005964234592445363
'2016-08-26', 25.299999, 25.59, 25.280001, 25.33, 14600.0, 25.035999, -0.26000000000000156, -0.26000000000000156, 0.13179100964247242, 0.0, 0.8, -0.1, 0.0019763110135564387
'2016-08-25', 25.559999, 25.57, 25.23, 25.360001, 24000.0, 25.065652, 0.04999899999999968, -0.010000999999999038, 0.12894645271199034, 0.0, 0.5, 0.0, -0.0010758803237824943
'2016-08-24', 25.51, 25.66, 25.5, 25.66, 6100.0, 25.362169, -0.16999999999999815, -0.13999999999999702, 0.1291492239417644, 0.0, 0.1, 0.0, -0.00047039592316739504
'2016-08-23', 25.68, 25.68, 25.5, 25.5, 8300.0, 25.204026, 0.12000099999999847, 0.1999999999999993, 0.12899598960312686, 0.0, 0.0, 0.0, -0.0014927245586708166
'2016-08-22', 25.559999, 25.709999, 25.52, 25.6, 6600.0, 25.302866, -0.010000999999999038, 0.08999999999999986, 0.12742044472426273, 0.0, 0.0, 0.0, -0.0006147887564471396
'2016-08-19', 25.57, 25.790001, 25.57, 25.76, 7000.0, 25.461009, -0.0799999999999983, 0.07000000000000028, 0.13069414830203976, 0.0, 0.0, 0.0, -0.000586620062573328
'2016-08-18', 25.65, 25.76, 25.51, 25.620001, 7300.0, 25.322634, 0.16999999999999815, 0.05999999999999872, 0.13071794444693594, 0.0, 0.0, 0.0, -0.0008663591076456498
'2016-08-17', 25.48, 25.67, 25.48, 25.67, 2600.0, 25.372053, 0.010000999999999038, 0.11999899999999997, 0.1300152237256554, 0.0, 0.0, -0.1, -0.0001177354788069078
'2016-08-16', 25.469999, 25.57, 25.450001, 25.559999, 2300.0, 25.263329, -0.030000999999998612, -0.02000099999999705, 0.1314684687181641, 0.0, 0.1, -0.5, -7.13780946752333e-05
