Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 14.2, 14.21, 13.79, 13.81, 5600.0, 13.81, 0.1899999999999995, 0.08000000000000007, 0.29173827692337917, -1.0, 0.5, -1.0, 0.0
'2016-09-28', 14.01, 14.19, 13.89, 14.19, 5600.0, 14.19, 0.23000000000000043, -0.3200000000000003, 0.28915970212554404, 0.0, 0.8, -0.8, 0.01356174161313344
'2016-09-27', 13.78, 13.95, 13.7, 13.93, 31400.0, 13.93, -0.13000000000000078, -0.11000000000000121, 0.29173827692337917, 1.0, 1.0, -0.3, 0.015239477503628446
'2016-09-26', 13.91, 13.91, 13.71, 13.71, 5900.0, 13.71, -0.20999999999999908, 0.10999999999999943, 0.2959767258117134, 0.0, 0.8, -0.3, 0.006949436855978891
'2016-09-23', 14.12, 14.16, 13.87, 13.88, 6700.0, 13.88, -0.21000000000000085, 0.3899999999999988, 0.3040104164882075, 0.0, 0.5, -0.8, 0.0014164305949008512
'2016-09-22', 14.33, 14.33, 14.04, 14.07, 18500.0, 14.07, 0.4399999999999995, 0.8200000000000003, 0.3066195615996402, -1.0, 0.1, -1.0, 0.0
'2016-09-21', 13.89, 14.1, 13.76, 14.1, 27100.0, 14.1, 0.08999999999999986, 0.3500000000000014, 0.3026519820226233, 0.0, 0.0, -0.8, 0.03167746580273574
'2016-09-20', 13.8, 13.87, 13.75, 13.75, 63200.0, 13.726, 0.07000000000000028, 0.3800000000000008, 0.3049752266806091, 0.0, 0.0, -0.5, 0.019202898550724615
'2016-09-19', 13.73, 13.8, 13.6, 13.71, 4700.0, 13.68607, 0.22000000000000064, -0.019999999999999574, 0.30313619967855304, 0.0, 0.1, -0.1, 0.014566642388929345
'2016-09-16', 13.51, 13.63, 13.49, 13.58, 2600.0, 13.556297, -0.02999999999999936, -0.120000000000001, 0.29845528233816804, 0.0, 0.5, 0.0, 0.015173945225758703
'2016-09-15', 13.54, 13.68, 13.43, 13.58, 14800.0, 13.556297, 0.11999999999999922, -0.7100000000000009, 0.284730086612255, 0.0, 0.8, 0.0, 0.011669128508124092
'2016-09-14', 13.42, 13.46, 13.29, 13.37, 18200.0, 13.346663, -0.33000000000000007, -1.25, 0.2884519987026534, 1.0, 1.0, 0.0, 0.011301539990064582
'2016-09-13', 13.75, 13.75, 13.31, 13.41, 11300.0, 13.386593, 0.11999999999999922, -0.8200000000000003, 0.27875835812083233, 0.0, 0.8, -0.1, 0.006025974025974027
'2016-09-12', 13.63, 14.0, 13.61, 13.98, 19400.0, 13.955598, -0.6199999999999992, -0.5899999999999999, 0.2802689184812805, 0.0, 0.5, -0.5, 0.006419662509170939
'2016-09-09', 14.25, 14.25, 13.84, 13.84, 5600.0, 13.815843, -0.41999999999999993, 0.08999999999999986, 0.2762529034538219, 0.0, 0.1, -0.8, 0.0006237816764132559
'2016-09-08', 14.67, 14.71, 14.52, 14.52, 16800.0, 14.494656, 0.09999999999999964, 0.7599999999999998, 0.29699532356961816, -1.0, 0.0, -1.0, 0.0
