Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 51.23, 51.23, 51.040001, 51.049999, 800.0, 51.049999, 0.8299979999999962, 0.7399979999999999, 0.33734138345664083, -1.0, 0.1, -1.0, 0.0
'2016-09-22', 50.400002, 50.93, 50.400002, 50.830002, 1800.0, 50.830002, -0.20999899999999627, -0.09199900000000127, 0.3383742523912383, 0.0, 0.5, -0.8, 0.01646821363221367
'2016-09-21', 50.610001, 50.610001, 50.306, 50.306, 700.0, 50.306, 0.4099999999999966, -0.21899800000000624, 0.3376814101833997, 0.0, 0.8, -0.5, 0.006125261684938516
'2016-09-20', 50.200001, 50.77, 50.200001, 50.77, 600.0, 50.61, -0.2900009999999966, -0.04999899999999968, 0.3536989972421691, 1.0, 1.0, -0.1, 0.00683930265260351
'2016-09-19', 50.490002, 52.529999, 50.099998, 50.650002, 5000.0, 50.490379, -0.001999000000004969, -0.36999899999999997, 0.49480794753687046, 0.0, 0.8, 0.0, 0.0036640818512940444
'2016-09-16', 50.492001, 50.492001, 50.492001, 50.492001, 100.0, 50.332876, -0.33699800000000124, -0.35799699999999746, 0.5426338811584567, 0.0, 0.5, 0.0, 0.0029232313450995727
'2016-09-15', 50.828999, 50.828999, 50.0, 50.424999, 1500.0, 50.266086, 0.5789990000000032, -0.36600099999999713, 0.58619629239602, 0.0, 0.1, 0.0, 0.0013148694901506707
'2016-09-14', 50.25, 50.25, 50.02, 50.02, 400.0, 49.862364, -0.6100009999999969, -0.5800020000000004, 0.6274043379449654, 0.0, 0.0, -0.1, 0.0027860696517412846
'2016-09-13', 50.860001, 50.860001, 50.349998, 50.386002, 2300.0, 50.227211, 0.010002999999997542, -0.07799900000000548, 0.62435491643148, 0.0, 0.0, -0.5, 0.0009093565491671932
'2016-09-12', 50.849998, 50.849998, 50.099998, 50.099998, 1200.0, 49.94211, -0.3450020000000009, -0.030003000000000668, 0.6259734420998992, 0.0, 0.0, -0.8, 0.0008303332567376732
'2016-09-09', 51.195, 51.25, 51.039001, 51.25, 700.0, 51.088487, 0.36499799999999993, 0.49499899999999997, 0.6275504982680776, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 50.830002, 50.830002, 50.830002, 50.830002, 100.0, 50.669812, -0.10799800000000204, 0.4299999999999997, 0.6239530094601109, 0.0, 0.0, -0.8, 0.007180759111518428
'2016-09-07', 50.938, 50.938, 50.91, 50.91, 400.0, 50.749558, 0.057999000000002354, -0.08200000000000074, 0.6277181713094715, 0.0, 0.1, -0.5, 0.002522674624052749
'2016-09-06', 50.880001, 50.880001, 50.880001, 50.880001, 100.0, 50.719654, 0.17999999999999972, -0.4599990000000034, 0.6281664981364673, 0.0, 0.5, -0.1, 0.002063672653360733
'2016-09-02', 50.700001, 50.700001, 50.700001, 50.700001, 300.0, 50.540221, 0.2999989999999997, 0.07500100000000032, 0.628845572898757, 0.0, 0.8, 0.0, 0.0024408234232579204
'2016-09-01', 50.400002, 51.519001, 50.400002, 50.5, 2500.0, 50.34085, -0.6199980000000025, -0.5749959999999987, 0.6335022966869674, 1.0, 1.0, 0.0, 0.003154753843065322
'2016-08-31', 51.02, 51.25, 50.359001, 50.5, 6600.0, 50.34085, -0.3200000000000003, -0.029998999999996556, 0.6300168275961314, 0.0, 0.8, 0.0, 0.0005716712400365777
'2016-08-30', 51.34, 52.43, 51.009998, 51.009998, 1800.0, 50.849242, 0.7150000000000034, 0.09000000000000341, 0.6319104215585565, 0.0, 0.5, 0.0, -0.00040347264733708925
'2016-08-29', 50.625, 50.625, 50.625, 50.625, 200.0, 50.465457, -0.34999799999999937, -0.22499799999999937, 0.6234304854280033, 0.0, 0.1, -0.1, 0.0014074074074074082
'2016-08-26', 50.974998, 51.028999, 50.974998, 51.028999, 900.0, 50.868183, -0.07500100000000032, 0.7179980000000015, 0.6228908435574105, 0.0, 0.0, -0.5, 0.000479542278092228
'2016-08-25', 51.049999, 51.049999, 50.719002, 51.049999, 2400.0, 50.889116, -0.20000100000000032, -0.4100000000000037, 0.6222305958911983, 0.0, 0.1, -0.8, 0.000284037223977224
'2016-08-24', 51.25, 51.25, 50.924999, 51.089001, 2100.0, 50.927995, 0.40000200000000063, 0.25999800000000306, 0.6251918692163276, -1.0, 0.5, -1.0, 0.0
'2016-08-23', 50.849998, 51.25, 50.849998, 51.25, 1300.0, 51.088487, 0.5929980000000015, -0.10000300000000095, 0.6481350152491586, 0.0, 0.8, -0.8, 0.007866312993758636
'2016-08-22', 50.257, 51.009998, 50.257, 51.009998, 1500.0, 50.689746, -1.2029990000000055, -0.9860000000000042, 0.7997283138338812, 1.0, 1.0, -0.5, 0.009879220805062002
'2016-08-19', 51.459999, 51.459999, 51.459999, 51.459999, 300.0, 51.136922, 0.46999700000000644, 0.21699900000000127, 0.7956800302304832, 0.0, 0.8, -0.1, -0.0013602733779040257
'2016-08-18', 50.990002, 50.992001, 50.990002, 50.990002, 800.0, 50.669875, 0.04000099999999662, 0.004001999999999839, 0.787309283532492, 0.0, 0.5, 0.0, 0.0012747499009707975
'2016-08-17', 50.950001, 50.950001, 50.771999, 50.771999, 1200.0, 50.453242, -0.2929990000000018, 0.5400010000000037, 0.7851346318099883, 0.0, 0.1, 0.0, 0.0011776211741389355
'2016-08-16', 51.243, 51.310001, 50.903, 51.069, 4700.0, 50.748378, 0.0, -0.006999999999997897, 0.9357112335477112, 0.0, 0.0, 0.0, 2.2767337327367954e-05
'2016-08-15', 51.243, 51.25, 50.939999, 51.169998, 1700.0, 50.848742, 0.257000000000005, 1.0229989999999987, 1.0487746631318837, 0.0, 0.0, -0.1, 1.951486056631539e-05
'2016-08-12', 50.986, 50.986, 50.986, 50.986, 200.0, 50.665899, 0.5760000000000005, 2.165999999999997, 1.0436249309533556, 0.0, 0.0, -0.5, 0.0006472364962931072
'2016-08-11', 50.41, 51.242001, 50.41, 50.889999, 4300.0, 50.570501, -0.8400000000000034, 0.8899999999999935, 1.0429213814839065, 0.0, 0.1, -0.8, 0.001851484493817372
'2016-08-10', 51.25, 51.25, 51.25, 51.25, 200.0, 50.928241, 1.0299989999999966, 1.75, 1.0522938394239667, -1.0, 0.5, -1.0, 0.0
'2016-08-09', 50.220001, 51.09, 50.220001, 50.700001, 8000.0, 50.381695, 1.4000010000000032, -1.75, 1.0583739737293145, 0.0, 0.8, -0.8, 0.020509736748113495
'2016-08-08', 48.82, 48.82, 48.82, 48.82, 700.0, 48.513497, -0.7000000000000028, -2.3599999999999994, 1.0831941267939293, 1.0, 1.0, -0.3, 0.024887341253584595
'2016-08-05', 49.52, 50.703999, 49.52, 50.703999, 400.0, 50.385668, 0.020000000000003126, -1.5299989999999966, 1.0673680462649844, 0.0, 0.8, -0.3, 0.011645126548195994
'2016-08-04', 49.5, 50.720001, 49.400002, 50.34, 4700.0, 50.023955, -2.4700010000000034, -1.5499989999999997, 1.0726730854701372, 0.0, 0.5, -0.8, 0.008838383838383838
'2016-08-03', 51.970001, 52.369999, 49.610001, 49.610001, 1900.0, 49.298538, 0.7900010000000037, 1.3300020000000004, 1.0792043313699125, -1.0, 0.1, -1.0, 0.0
