Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 3.9, 3.9, 3.83, 3.87, 51100.0, 3.87, 0.06999999999999984, 0.19999999999999973, 0.11409742425761513, -1.0, 0.0, -1.0, 0.0
'2016-09-28', 3.83, 3.88, 3.83, 3.88, 77500.0, 3.88, -0.029999999999999805, 0.30000000000000027, 0.09726024653246337, 0.0, 0.0, -0.8, 0.018276762402088732
'2016-09-27', 3.86, 3.88, 3.83, 3.85, 92800.0, 3.85, 0.16999999999999993, 0.41999999999999993, 0.08512474506406595, 0.0, 0.0, -0.5, 0.005181347150259072
'2016-09-26', 3.69, 3.89, 3.64, 3.8, 398000.0, 3.8, -0.010000000000000231, 0.20999999999999996, 0.06690706655918756, 0.0, 0.1, -0.1, 0.018970189701897015
'2016-09-23', 3.7, 3.84, 3.7, 3.76, 91700.0, 3.76, 0.17000000000000037, 0.26000000000000023, 0.06690706655918756, 0.0, 0.5, 0.0, 0.013513513513513495
'2016-09-22', 3.53, 3.76, 3.53, 3.76, 782600.0, 3.76, 0.08999999999999986, 0.009999999999999787, 0.06286139956726666, 0.0, 0.8, 0.0, 0.020963172804532585
'2016-09-21', 3.44, 3.59, 3.44, 3.52, 127800.0, 3.52, -0.040000000000000036, -0.06000000000000005, 0.0897997772825746, 1.0, 1.0, 0.0, 0.022286821705426355
'2016-09-20', 3.48, 3.51, 3.42, 3.44, 131700.0, 3.44, 0.040000000000000036, 0.020000000000000018, 0.10525946777157652, 0.0, 0.8, 0.0, 0.017241379310344824
'2016-09-19', 3.44, 3.46, 3.41, 3.46, 136800.0, 3.46, -0.08000000000000007, -0.010000000000000231, 0.1182464469750454, 0.0, 0.5, 0.0, 0.016715116279069766
'2016-09-16', 3.52, 3.53, 3.42, 3.43, 79100.0, 3.43, 0.020000000000000018, 0.0, 0.13272402445174225, 0.0, 0.1, 0.0, 0.011994949494949492
'2016-09-15', 3.5, 3.57, 3.45, 3.52, 76800.0, 3.52, 0.040000000000000036, -0.04999999999999982, 0.14792640812992872, 0.0, 0.0, 0.0, 0.011428571428571427
'2016-09-14', 3.46, 3.51, 3.44, 3.48, 87100.0, 3.48, 0.009999999999999787, -0.10000000000000009, 0.1603607045243802, 0.0, 0.0, 0.0, 0.011560693641618495
'2016-09-13', 3.45, 3.57, 3.4, 3.46, 196200.0, 3.46, -0.06999999999999984, -0.11999999999999966, 0.1669228031822562, 0.0, 0.0, 0.0, 0.010869565217391297
'2016-09-12', 3.52, 3.55, 3.48, 3.51, 292300.0, 3.51, -0.029999999999999805, -0.08999999999999986, 0.1694959848754209, 0.0, 0.0, 0.0, 0.008304195804195802
'2016-09-09', 3.55, 3.59, 3.51, 3.55, 182500.0, 3.55, -0.010000000000000231, 0.0, 0.1742743686132748, 0.0, 0.0, 0.0, 0.007042253521126763
'2016-09-08', 3.56, 3.59, 3.55, 3.57, 34500.0, 3.57, -0.009999999999999787, -0.020000000000000018, 0.17420964382031215, 0.0, 0.0, 0.0, 0.00636704119850187
'2016-09-07', 3.57, 3.6, 3.55, 3.57, 140800.0, 3.57, -0.040000000000000036, -0.040000000000000036, 0.17646812743382306, 0.0, 0.0, 0.0, 0.005777310924369749
'2016-09-06', 3.61, 3.63, 3.54, 3.59, 227400.0, 3.59, 0.06000000000000005, 0.04999999999999982, 0.17448845870779603, 0.0, 0.0, 0.0, 0.004725435880723481
'2016-09-02', 3.55, 3.59, 3.54, 3.58, 97800.0, 3.58, -0.03000000000000025, -0.010000000000000231, 0.1734874315012154, 0.0, 0.0, 0.0, 0.0054773082942097045
'2016-09-01', 3.58, 3.58, 3.51, 3.54, 158400.0, 3.54, -0.029999999999999805, 0.010000000000000231, 0.17051067089448949, 0.0, 0.0, 0.0, 0.004704498676859745
'2016-08-31', 3.61, 3.61, 3.56, 3.56, 247600.0, 3.56, 0.04999999999999982, 0.06000000000000005, 0.17004705231199985, 0.0, 0.0, 0.0, 0.004016620498614959
'2016-08-30', 3.56, 3.61, 3.55, 3.6, 134000.0, 3.6, 0.0, -0.04999999999999982, 0.17044908004705953, 0.0, 0.0, 0.0, 0.0045478865703584784
'2016-08-29', 3.56, 3.61, 3.51, 3.56, 224800.0, 3.56, -0.009999999999999787, -0.06999999999999984, 0.16864327901092166, 0.0, 0.0, 0.0, 0.004341164453524002
'2016-08-26', 3.57, 3.61, 3.51, 3.57, 134900.0, 3.57, 0.020000000000000018, 0.06000000000000005, 0.16753805537847222, 0.0, 0.0, -0.1, 0.004018998903909391
'2016-08-25', 3.55, 3.6, 3.52, 3.57, 208400.0, 3.57, -0.06000000000000005, 0.04999999999999982, 0.1655928742428249, 0.0, 0.0, -0.5, 0.004107981220657278
'2016-08-24', 3.61, 3.61, 3.52, 3.53, 175300.0, 3.53, -0.020000000000000018, 0.08999999999999986, 0.1630368056605625, 0.0, 0.1, -0.8, 0.0032132963988919672
'2016-08-23', 3.63, 3.65, 3.57, 3.6, 136400.0, 3.6, 0.1200000000000001, 0.06999999999999984, 0.15958453002162284, -1.0, 0.5, -1.0, 0.0
'2016-08-22', 3.51, 3.62, 3.5, 3.58, 147000.0, 3.58, 0.009999999999999787, -0.1200000000000001, 0.15844417173110398, 0.0, 0.8, -0.8, 0.03418803418803422
'2016-08-19', 3.5, 3.61, 3.5, 3.54, 158500.0, 3.54, -0.020000000000000018, -0.1499999999999999, 0.14831498013799327, 1.0, 1.0, -0.5, 0.018571428571428555
'2016-08-18', 3.52, 3.64, 3.5, 3.52, 96600.0, 3.52, -0.040000000000000036, -0.16999999999999993, 0.1357076105292388, 0.0, 0.8, -0.1, 0.010416666666666654
'2016-08-17', 3.56, 3.66, 3.52, 3.52, 177900.0, 3.52, -0.06999999999999984, -0.06999999999999984, 0.12953592380322754, 0.0, 0.5, 0.0, 0.00491573033707864
'2016-08-16', 3.63, 3.7, 3.51, 3.52, 181300.0, 3.52, -0.020000000000000018, -0.28000000000000025, 0.1216716893940411, 0.0, 0.1, 0.0, 0.0
'2016-08-15', 3.65, 3.78, 3.63, 3.63, 158900.0, 3.63, -0.040000000000000036, -0.25, 0.1216716893940411, 0.0, 0.0, 0.0, -0.0009132420091324209
'2016-08-12', 3.69, 3.73, 3.56, 3.63, 186800.0, 3.63, 0.06000000000000005, -0.20999999999999996, 0.12115233752961146, 0.0, 0.0, 0.0, -0.0023228803716608616
'2016-08-11', 3.63, 3.8, 3.63, 3.72, 87400.0, 3.72, -0.28000000000000025, -0.3400000000000003, 0.12304877081872866, 0.0, 0.0, 0.0, 0.0
'2016-08-10', 3.91, 3.93, 3.6, 3.65, 250600.0, 3.65, 0.010000000000000231, -0.08000000000000007, 0.12424930136177387, 0.0, 0.0, 0.0, -0.007956805910770113
'2016-08-09', 3.9, 3.99, 3.88, 3.93, 176400.0, 3.93, 0.0, -0.10000000000000009, 0.1309045453756286, 0.0, 0.0, 0.0, -0.006923076923076923
'2016-08-08', 3.9, 3.96, 3.88, 3.95, 26600.0, 3.95, -0.07000000000000028, -0.07000000000000028, 0.13268383473505738, 0.0, 0.0, -0.1, -0.006293706293706294
'2016-08-05', 3.97, 3.99, 3.88, 3.88, 46200.0, 3.88, -0.020000000000000018, 0.03000000000000025, 0.13951344021276235, 0.0, 0.0, -0.5, -0.00713685978169606
'2016-08-04', 3.99, 3.99, 3.91, 3.95, 56400.0, 3.95, -0.009999999999999787, 0.03000000000000025, 0.13678409589162369, 0.0, 0.0, -0.8, -0.006940427993059577
'2016-08-03', 4.0, 4.01, 3.94, 3.99, 51000.0, 3.99, 0.029999999999999805, 0.16000000000000014, 0.132723605871584, -1.0, 0.0, -1.0, 0.0
'2016-08-02', 3.97, 4.0, 3.87, 3.99, 148900.0, 3.99, 0.03000000000000025, 0.050000000000000266, 0.12796049737668613, 0.0, 0.0, -0.8, 0.0075566750629722425
'2016-08-01', 3.94, 3.97, 3.91, 3.96, 120700.0, 3.96, -0.020000000000000018, 0.23999999999999977, 0.12864939435017436, 0.0, 0.0, -0.5, 0.00761421319796955
'2016-07-29', 3.96, 3.97, 3.87, 3.89, 44000.0, 3.89, 0.1200000000000001, 0.20000000000000018, 0.12794790606597153, 0.0, 0.1, -0.1, 0.0033670033670033703
'2016-07-28', 3.84, 3.98, 3.81, 3.95, 40000.0, 3.95, -0.08000000000000007, 0.10999999999999988, 0.12486259114188954, 0.0, 0.5, 0.0, 0.010416666666666676
'2016-07-27', 3.92, 3.98, 3.8, 3.81, 44100.0, 3.81, 0.21999999999999975, 0.04999999999999982, 0.12839868465923718, 0.0, 0.8, 0.0, 0.0040816326530612275
'2016-07-26', 3.7, 3.95, 3.7, 3.91, 50000.0, 3.91, -0.05999999999999961, -0.18999999999999995, 0.12587648266808577, 1.0, 1.0, 0.0, 0.013513513513513504
'2016-07-25', 3.76, 3.82, 3.67, 3.73, 46100.0, 3.73, 0.029999999999999805, -0.13000000000000034, 0.1255636182268663, 0.0, 0.8, 0.0, 0.009118541033434659
'2016-07-22', 3.73, 3.8, 3.71, 3.76, 11300.0, 3.76, -0.14000000000000012, -0.20999999999999996, 0.12636323304928013, 0.0, 0.5, 0.0, 0.009048257372654156
'2016-07-21', 3.87, 3.88, 3.7, 3.78, 39400.0, 3.78, -0.020000000000000018, -0.06000000000000005, 0.12830692368951363, 0.0, 0.1, 0.0, 0.0037324145851277604
'2016-07-20', 3.89, 3.92, 3.86, 3.87, 10100.0, 3.87, 0.0, -0.08000000000000007, 0.12861009118866046, 0.0, 0.0, 0.0, 0.002827763496143956
'2016-07-19', 3.89, 4.01, 3.89, 3.9, 25300.0, 3.9, -0.04999999999999982, 0.14000000000000012, 0.12896338843080837, 0.0, 0.0, 0.0, 0.002570694087403596
'2016-07-18', 3.94, 4.01, 3.86, 3.96, 40000.0, 3.96, 0.009999999999999787, -0.010000000000000231, 0.13191790376341392, 0.0, 0.0, 0.0, 0.001269035532994925
'2016-07-15', 3.93, 4.05, 3.86, 3.94, 50700.0, 3.94, -0.040000000000000036, 0.07000000000000028, 0.12904994726418484, 0.0, 0.0, -0.1, 0.0013701311411235043
