Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 65.779999, 65.779999, 64.589996, 64.620003, 16800.0, 64.620003, 0.7799990000000037, 2.1899990000000003, 1.1010026642723845, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 65.0, 66.120003, 64.949997, 66.059998, 16900.0, 66.059998, 0.4300000000000068, 1.9199979999999996, 1.0920287873807315, 0.0, 0.0, -0.8, 0.011999984615384672
'2016-09-21', 64.57, 64.910004, 63.450001, 64.910004, 12600.0, 64.910004, 0.6100009999999898, 1.6199989999999929, 1.0919189110315202, 0.0, 0.0, -0.5, 0.009369668576738505
'2016-09-20', 63.959999, 64.650002, 63.830002, 64.349998, 13400.0, 64.349998, 0.36999899999999997, 0.6399990000000031, 1.0993924437016553, 0.0, 0.1, -0.1, 0.009485094999245805
'2016-09-19', 63.59, 64.290001, 63.450001, 63.689999, 12100.0, 63.689999, 0.5099980000000031, -0.3199999999999932, 1.1071031747972162, 0.0, 0.5, 0.0, 0.00860984038370813
'2016-09-16', 63.080002, 63.66, 62.560001, 63.630001, 63800.0, 63.630001, 0.13000100000000003, -1.4199979999999996, 1.270585165452646, 0.0, 0.8, 0.0, 0.008560548238410022
'2016-09-15', 62.950001, 63.200001, 62.84, 63.09, 17800.0, 63.09, -0.36999899999999997, -1.9200019999999967, 1.3167786829825203, 1.0, 1.0, 0.0, 0.007492713674989995
'2016-09-14', 63.32, 63.32, 62.52, 62.639999, 17400.0, 62.639999, -0.5899999999999963, -2.639998999999996, 1.4330286635814447, 0.0, 0.8, 0.0, 0.005550038353939183
'2016-09-13', 63.91, 64.0, 62.889999, 63.18, 23300.0, 63.18, -0.5900000000000034, -1.7199970000000064, 1.5311922089526124, 0.0, 0.5, 0.0, 0.0036574851353465953
'2016-09-12', 64.5, 65.290001, 63.290001, 65.18, 36600.0, 64.760001, -0.370002999999997, -1.139999000000003, 1.5607663012128512, 0.0, 0.1, 0.0, 0.0022049939707149075
'2016-09-09', 64.870003, 65.980003, 64.730003, 64.889999, 54700.0, 64.471869, -1.0899959999999993, -0.9599989999999963, 1.6238003459790433, 0.0, 0.0, 0.0, 0.001402799380169609
'2016-09-08', 65.959999, 66.379997, 65.260002, 65.739998, 60000.0, 65.31639, 0.33000199999999325, -0.09999899999999684, 1.6491033488269948, 0.0, 0.0, 0.0, -0.00024808424214250963
'2016-09-07', 65.629997, 66.309998, 65.220001, 65.900002, 24400.0, 65.475363, -0.010002000000000066, -0.6500020000000006, 1.6242874691661764, 0.0, 0.0, 0.0, 0.0001904642273054914
'2016-09-06', 65.639999, 66.160004, 65.160004, 65.910004, 24700.0, 65.485301, -0.19000299999999015, -0.6100009999999969, 1.5998311702457955, 0.0, 0.0, 0.0, 0.0001640650660160859
'2016-09-02', 65.830002, 66.400002, 65.769997, 66.290001, 8200.0, 65.862849, -0.22999599999999987, 0.5500029999999896, 1.5720488905886936, 0.0, 0.0, 0.0, -5.425554836140083e-05
'2016-09-01', 66.059998, 66.379997, 65.169998, 65.739998, 16900.0, 65.31639, -0.22000100000001055, 0.05999799999999311, 1.5274126457512955, 0.0, 0.0, 0.0, -0.0002825703991089933
'2016-08-31', 66.279999, 67.309998, 65.5, 66.120003, 28500.0, 65.693947, 0.02999900000000366, 2.0299990000000037, 1.461351305584743, 0.0, 0.0, 0.0, -0.00047148461785583305
'2016-08-30', 66.25, 66.410004, 64.93, 66.339996, 20500.0, 65.912523, 0.9700009999999963, 2.5299989999999966, 1.3662276319855702, 0.0, 0.0, 0.0, -0.00041731498335182804
'2016-08-29', 65.279999, 67.190002, 65.160004, 66.330002, 63300.0, 65.902593, -0.7200009999999963, 1.129997000000003, 1.2454604750947054, 0.0, 0.0, 0.0, 0.00042551743571224285
'2016-08-26', 66.0, 66.449997, 64.699997, 65.160004, 12800.0, 64.740133, 1.75, 2.0, 1.1763651565454631, 0.0, 0.0, 0.0, -0.000175439393939391
'2016-08-25', 64.25, 65.279999, 64.25, 65.150002, 16700.0, 64.730196, 0.5299989999999966, 0.5800020000000004, 1.0124968663659688, 0.0, 0.0, 0.0, 0.0011906607003891079
'2016-08-24', 63.720001, 64.5, 63.720001, 64.5, 14800.0, 64.084383, -0.4300009999999972, 0.22000100000000344, 0.968554118238347, 0.0, 0.0, 0.0, 0.001539471772091511
'2016-08-23', 64.150002, 65.220001, 63.830002, 63.880001, 13800.0, 63.468379, 0.15000200000000063, 0.5100029999999975, 0.9531386500986919, 0.0, 0.0, 0.0, 0.0011549613471137983
'2016-08-22', 64.0, 64.0, 63.099998, 63.810001, 24000.0, 63.39883, 0.33000200000000035, 0.4799999999999969, 0.9234663219995168, 0.0, 0.0, 0.0, 0.001209238451086959
'2016-08-19', 63.669998, 64.269997, 63.34, 63.860001, 18600.0, 63.448507, 0.16999799999999965, 0.41999799999999965, 0.9498412407933005, 0.0, 0.0, 0.0, 0.00138081845602278
'2016-08-18', 63.5, 64.43, 63.290001, 63.849998, 13600.0, 63.43857, -0.1399990000000031, 0.75, 1.0464343777697795, 0.0, 0.0, 0.0, 0.0014362198425196873
'2016-08-17', 63.639999, 64.010002, 63.34, 63.720001, 13300.0, 63.30941, 0.11999899999999997, 0.25999800000000306, 1.1972842306842415, 0.0, 0.0, 0.0, 0.0012933327090041645
'2016-08-16', 63.52, 64.440002, 63.52, 63.799999, 28600.0, 63.388893, 0.2700000000000031, -0.27999899999999656, 1.3289519956219067, 0.0, 0.0, 0.0, 0.001317752938706969
'2016-08-15', 63.25, 63.93, 62.939999, 63.869999, 18500.0, 63.458441, 0.5, -0.38000100000000003, 1.3741074661598844, 0.0, 0.0, -0.1, 0.0014285708639186921
'2016-08-12', 62.75, 63.32, 62.27, 63.290001, 19700.0, 62.88218, -0.630001, -0.7799989999999966, 1.3709982130309704, 0.0, 0.0, -0.5, 0.001665063332875397
'2016-08-11', 63.380001, 63.849998, 63.110001, 63.169998, 11800.0, 62.762951, -0.41999799999999965, 2.5800020000000004, 1.448516748839141, 0.0, 0.0, -0.8, 0.0012622267603519515
'2016-08-10', 63.799999, 63.889999, 62.970001, 63.330002, 23100.0, 62.921924, 0.16999799999999965, 1.7900009999999966, 1.5269869444616757, -1.0, 0.1, -1.0, 0.0
'2016-08-09', 63.630001, 63.849998, 63.07, 63.75, 42700.0, 63.339215, 0.10000200000000348, 2.7900009999999966, 1.6211619678492488, 0.0, 0.5, -0.8, 0.0026716642673005717
'2016-08-08', 63.529999, 63.700001, 62.740002, 63.700001, 18900.0, 63.289538, 2.729999999999997, 2.489998, 1.7332061609631968, 0.0, 0.8, -0.5, 0.0021249803577047368
'2016-08-05', 60.799999, 63.470001, 60.799999, 63.27, 33100.0, 62.862309, -1.2099990000000034, -1.5700000000000003, 1.6742707271262784, 1.0, 1.0, -0.1, 0.016447368691568567
'2016-08-04', 62.009998, 62.009998, 60.720001, 61.150002, 14200.0, 60.755971, 1.1699979999999996, 0.5699990000000028, 1.6762071730350585, 0.0, 0.8, -0.1, 0.007216582235658178
'2016-08-03', 60.84, 62.240002, 60.84, 62.16, 18200.0, 61.759461, -0.2000009999999932, -1.1399999999999935, 1.6589218556442553, 0.0, 0.3, -0.5, 0.009730437212360275
'2016-08-02', 61.040001, 61.400002, 60.599998, 61.02, 16900.0, 60.626807, -1.3299980000000033, -1.129997000000003, 1.6610747301206197, 0.0, 0.3, -0.8, 0.007536036355351095
'2016-08-01', 62.369999, 63.040001, 60.849998, 61.060001, 30300.0, 60.66655, 0.9299999999999997, 0.029998999999996556, 1.6867329543630132, -1.0, 0.8, -1.0, 0.00327538428028056
'2016-07-29', 61.439999, 62.610001, 61.110001, 62.369999, 39300.0, 61.968107, -0.5400009999999966, -0.7000000000000028, 1.6558212910015924, 1.0, 1.0, -0.8, 0.0048014323698149786
'2016-07-28', 61.98, 62.439999, 61.77, 62.080002, 12300.0, 61.679978, -0.18999800000000278, -0.06999900000000281, 1.6649972415862222, 0.0, 0.8, -0.5, 0.003262699437094409
'2016-07-27', 62.169998, 62.610001, 62.150002, 62.349998, 12000.0, 61.948235, -0.17000200000000376, 0.2999989999999997, 1.639635390770615, 0.0, 0.5, -0.1, 0.0026218450256343907
'2016-07-26', 62.34, 62.459999, 61.880001, 62.25, 14700.0, 61.848881, 0.20000100000000032, 0.630001, 1.6057818829885528, 0.0, 0.1, 0.0, 0.0021290853676320417
'2016-07-25', 62.139999, 62.709999, 61.82, 61.98, 14000.0, 61.58062, 0.09000000000000341, 0.3400000000000034, 1.5821945025820716, 0.0, 0.0, 0.0, 0.002226156027671211
'2016-07-22', 62.049999, 62.540001, 61.900002, 62.299999, 13100.0, 61.898558, 0.17999999999999972, 0.20999899999999627, 1.584567983857943, 0.0, 0.0, 0.0, 0.00216946634625062
'2016-07-21', 61.869999, 62.02, 61.41, 61.919998, 21800.0, 61.521006, 0.1599999999999966, -0.6799999999999997, 1.6266385241557664, 0.0, 0.0, 0.0, 0.0022281743184955093
'2016-07-20', 61.709999, 62.720001, 61.709999, 62.200001, 24600.0, 61.799204, -0.0899999999999963, -0.7900009999999966, 1.6847142622220292, 0.0, 0.0, 0.0, 0.00225787288269658
'2016-07-19', 61.799999, 62.18, 61.139999, 61.709999, 18900.0, 61.31236, -0.04000100000000373, -0.1100009999999969, 1.7498903927963552, 0.0, 0.0, 0.0, 0.002022653754411873
'2016-07-18', 61.84, 62.279999, 61.470001, 61.77, 19400.0, 61.371974, -0.7099989999999963, 0.38000100000000003, 1.7595433861219336, 0.0, 0.0, 0.0, 0.0018643929305227878
'2016-07-15', 62.549999, 62.91, 61.599998, 62.080002, 25200.0, 61.679978, 0.04999899999999968, 2.1799999999999997, 1.788612747485517, 0.0, 0.0, 0.0, 0.001110222950514267
'2016-07-14', 62.5, 63.029999, 62.060001, 62.130001, 28800.0, 61.729655, 0.5900000000000034, 3.0299989999999966, 1.7930029529382934, 0.0, 0.0, 0.0, 0.0010947359999999998
'2016-07-13', 61.91, 62.389999, 61.299999, 61.950001, 44700.0, 61.550815, 0.4500009999999932, 3.2799989999999966, 1.7814452069413889, 0.0, 0.0, 0.0, 0.0015264084962041701
'2016-07-12', 61.459999, 62.669998, 61.290001, 61.900002, 41900.0, 61.501138, 1.0900000000000034, 3.110001000000004, 1.8319947830957506, 0.0, 0.0, 0.0, 0.00181302592322807
'2016-07-11', 60.369999, 61.439999, 60.369999, 61.16, 36500.0, 60.765904, 0.8999979999999965, 1.1799999999999997, 1.8506293697373501, 0.0, 0.0, 0.0, 0.002582559110347027
'2016-07-08', 59.470001, 60.25, 59.43, 60.200001, 33100.0, 59.812091, 0.8400000000000034, -0.6699979999999996, 1.8629913077214135, 0.0, 0.0, 0.0, 0.003165642835766818
'2016-07-07', 58.630001, 59.299999, 58.310001, 58.720001, 19800.0, 58.341628, 0.28000300000000067, -0.07000000000000028, 1.8727762303065099, 0.0, 0.0, -0.1, 0.0036741698730882386
'2016-07-06', 58.349998, 58.82, 58.049999, 58.700001, 29300.0, 58.321757, -0.8400010000000009, 0.2899969999999996, 1.8345983096764507, 0.0, 0.0, -0.5, 0.0037360762206024418
