Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-27', 6.98, 6.98, 6.88, 6.92, 46700.0, 6.92, 0.03000000000000025, 0.08000000000000007, 0.14800000000000005, -1.0, 0.0, -1.0, 0.0
'2016-09-26', 6.95, 6.99, 6.9, 6.95, 43900.0, 6.95, 0.0, 0.1200000000000001, 0.14895040188674294, 0.0, 0.0, -0.8, 0.0043165467625899635
'2016-09-23', 6.95, 7.02, 6.95, 6.98, 27100.0, 6.98, 0.07000000000000028, 0.15000000000000036, 0.1487712636529276, 0.0, 0.0, -0.5, 0.0021582733812949817
'2016-09-22', 6.88, 6.94, 6.88, 6.92, 15800.0, 6.92, -0.020000000000000462, 0.21999999999999975, 0.1486909546677269, 0.0, 0.0, -0.1, 0.0048449612403101035
'2016-09-21', 6.9, 6.92, 6.81, 6.88, 37300.0, 6.88, 0.07000000000000028, 0.22000000000000064, 0.1472794018938909, 0.0, 0.1, 0.0, 0.002898550724637684
'2016-09-20', 6.83, 6.91, 6.82, 6.88, 28000.0, 6.88, 0.03000000000000025, 0.03000000000000025, 0.14707669956711553, 0.0, 0.5, 0.0, 0.004392386530014652
'2016-09-19', 6.8, 6.89, 6.76, 6.83, 33900.0, 6.83, 0.13999999999999968, -0.14000000000000057, 0.1452201394052798, 0.0, 0.8, 0.0, 0.004411764705882368
'2016-09-16', 6.66, 6.83, 6.65, 6.79, 78300.0, 6.79, -0.019999999999999574, -0.3200000000000003, 0.1422892203303618, 1.0, 1.0, 0.0, 0.006864006864006869
'2016-09-15', 6.68, 6.71, 6.64, 6.65, 38900.0, 6.65, -0.1200000000000001, -0.3100000000000005, 0.12912354118784422, 0.0, 0.8, 0.0, 0.005613772455089834
'2016-09-14', 6.8, 6.87, 6.62, 6.63, 52900.0, 6.63, -0.14000000000000057, -0.20999999999999996, 0.11787422675603579, 0.0, 0.5, 0.0, 0.0029411764705882452
'2016-09-13', 6.94, 6.97, 6.75, 6.8, 38500.0, 6.8, -0.040000000000000036, -0.07999999999999918, 0.11347833860844694, 0.0, 0.1, 0.0, 0.0005763688760806921
'2016-09-12', 6.98, 6.99, 6.93, 6.97, 30200.0, 6.97, -0.009999999999999787, -0.1299999999999999, 0.11924018711081527, 0.0, 0.0, 0.0, 0.0
'2016-09-09', 6.99, 6.99, 6.9, 6.94, 23700.0, 6.94, -0.019999999999999574, -0.16999999999999993, 0.12561183596036382, 0.0, 0.0, 0.0, -0.00011921793037672612
'2016-09-08', 7.01, 7.06, 7.01, 7.06, 54400.0, 7.06, -0.009999999999999787, -0.2400000000000002, 0.13496872065614152, 0.0, 0.0, 0.0, -0.0003292000438933322
'2016-09-07', 7.02, 7.05, 7.01, 7.05, 22100.0, 7.05, -0.09000000000000075, -0.13000000000000078, 0.14637243213422704, 0.0, 0.0, -0.1, -0.0004070004070003983
'2016-09-06', 7.11, 7.14, 6.99, 7.05, 68700.0, 7.05, -0.04999999999999982, 0.15000000000000036, 0.15547096906568195, 0.0, 0.0, -0.5, -0.0012189404594467874
'2016-09-02', 7.16, 7.22, 7.13, 7.13, 13000.0, 7.13, -0.08999999999999986, 0.14000000000000057, 0.17252536045462996, 0.0, 0.0, -0.8, -0.001571229050279327
'2016-09-01', 7.25, 7.25, 7.12, 7.18, 38800.0, 7.18, 0.09999999999999964, 0.3700000000000001, 0.18888091486436634, -1.0, 0.0, -1.0, 0.0
'2016-08-31', 7.15, 7.25, 7.07, 7.23, 114900.0, 7.23, 0.1900000000000004, 0.28000000000000025, 0.19758008221703144, 0.0, 0.0, -0.8, 0.013986013986013936
'2016-08-30', 6.96, 7.1, 6.96, 7.1, 92900.0, 7.1, -0.05999999999999961, 0.0, 0.210518935543153, 0.0, 0.1, -0.5, 0.020833333333333336
'2016-08-29', 7.02, 7.03, 6.92, 6.92, 23100.0, 6.92, 0.13999999999999968, -0.07000000000000028, 0.2304538999453036, 0.0, 0.5, -0.1, 0.010921177587844276
'2016-08-26', 6.88, 7.0, 6.88, 6.95, 89500.0, 6.95, 0.009999999999999787, -0.3100000000000005, 0.24657768665383245, 0.0, 0.8, 0.0, 0.01344476744186047
'2016-08-25', 6.87, 6.95, 6.8, 6.81, 37600.0, 6.81, -0.08999999999999986, -0.33999999999999986, 0.2639814808319369, 1.0, 1.0, 0.0, 0.011062590975254727
'2016-08-24', 6.96, 7.04, 6.81, 6.88, 50700.0, 6.88, -0.1299999999999999, -0.09999999999999964, 0.2809090402405891, 0.0, 0.8, 0.0, 0.006944444444444446
'2016-08-23', 7.09, 7.1, 6.92, 7.0, 98700.0, 7.0, -0.10000000000000053, -0.1200000000000001, 0.2930720427168417, 0.0, 0.5, 0.0, 0.003223856538384045
'2016-08-22', 7.19, 7.21, 7.11, 7.13, 38400.0, 7.13, -0.019999999999999574, 0.10000000000000053, 0.2992516592360944, 0.0, 0.1, 0.0, 0.001043115438108477
'2016-08-19', 7.21, 7.38, 7.18, 7.33, 31800.0, 7.155, 0.15000000000000036, 0.1299999999999999, 0.3008875759039136, 0.0, 0.0, 0.0, 0.0006164278008938209
'2016-08-18', 7.06, 7.2, 7.01, 7.2, 58700.0, 7.028104, -0.15000000000000036, 0.0699999999999994, 0.2986043461766013, 0.0, 0.0, 0.0, 0.0026912181303116204
'2016-08-17', 7.21, 7.27, 7.02, 7.1, 168600.0, 6.930491, 0.1200000000000001, 0.25, 0.30538427522640316, 0.0, 0.0, 0.0, 0.0005043500189131261
'2016-08-16', 7.09, 7.34, 7.06, 7.29, 159300.0, 7.115955, 0.009999999999999787, 0.10999999999999943, 0.3012095984895273, 0.0, 0.0, 0.0, 0.001880582980724026
'2016-08-15', 7.08, 7.22, 7.07, 7.16, 73400.0, 6.989059, 0.08999999999999986, 0.16999999999999993, 0.29974971040668064, 0.0, 0.0, 0.0, 0.0018470230334637105
'2016-08-12', 6.99, 7.13, 6.97, 7.11, 30600.0, 6.940253, 0.03000000000000025, 0.10000000000000053, 0.2974939775300782, 0.0, 0.0, 0.0, 0.0026568567341099508
'2016-08-11', 6.96, 6.98, 6.91, 6.97, 36600.0, 6.803595, -0.020000000000000462, 0.08000000000000007, 0.29879684662920314, 0.0, 0.0, 0.0, 0.002777777777777778
'2016-08-10', 6.98, 6.98, 6.91, 6.93, 7300.0, 6.76455, 0.07000000000000028, 0.08000000000000007, 0.3026852050122921, 0.0, 0.0, 0.0, 0.002417621776504294
'2016-08-09', 6.91, 6.94, 6.89, 6.94, 21900.0, 6.774311, 0.020000000000000462, 0.0600000000000005, 0.2999703689070342, 0.0, 0.0, -0.1, 0.002894356005788711
'2016-08-08', 6.89, 6.91, 6.88, 6.89, 36000.0, 6.725505, 0.009999999999999787, 0.0, 0.297429917048631, 0.0, 0.0, -0.5, 0.0029027576197387544
'2016-08-05', 6.88, 6.89, 6.87, 6.88, 20100.0, 6.715744, -0.020000000000000462, 0.08000000000000007, 0.2958107503117491, 0.0, 0.0, -0.8, 0.0028304773561811515
'2016-08-04', 6.9, 6.96, 6.86, 6.86, 15600.0, 6.696221, 0.05000000000000071, 0.11000000000000032, 0.28697735102268956, -1.0, 0.0, -1.0, 0.0
'2016-08-03', 6.85, 6.9, 6.84, 6.89, 56200.0, 6.725505, -0.040000000000000036, 0.11999999999999922, 0.27653028767207394, 0.0, 0.0, -0.8, 0.007299270072992805
