Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-28', 26.59, 26.59, 24.879999, 25.540001, 60900.0, 25.540001, 1.6399989999999995, 1.75, 0.5796133914949362, -1.0, 0.0, -1.0, 0.0
'2016-09-27', 24.950001, 25.66, 24.950001, 25.24, 23100.0, 25.24, 0.370001000000002, 0.5, 0.43182057513668015, 0.0, 0.0, -0.8, 0.0657314202111655
'2016-09-26', 24.58, 25.09, 24.58, 25.08, 44500.0, 25.08, -0.41000000000000014, 0.6499999999999986, 0.4273011881828148, 0.0, 0.0, -0.5, 0.04088689991863307
'2016-09-23', 24.99, 25.030001, 24.84, 25.0, 13400.0, 25.0, 0.14999999999999858, 0.8500009999999989, 0.428086390087359, 0.0, 0.1, -0.1, 0.0213418700813659
'2016-09-22', 24.84, 24.92, 24.57, 24.84, 2400.0, 24.84, 0.38999899999999954, 0.9100000000000001, 0.41638676531994323, 0.0, 0.5, 0.0, 0.01761272141706924
'2016-09-21', 24.450001, 24.76, 24.32, 24.76, 16200.0, 24.76, 0.5200010000000006, 0.5200010000000006, 0.4105259874305753, 0.0, 0.8, 0.0, 0.017505103578523366
'2016-09-20', 23.93, 24.290001, 23.9, 24.27, 13800.0, 24.27, -0.20999899999999982, -1.0899999999999999, 0.4127366823213021, 1.0, 1.0, 0.0, 0.018526257138877286
'2016-09-19', 24.139999, 24.290001, 23.98, 24.18, 642000.0, 24.18, 0.20999899999999982, -0.880001, 0.4120064533478961, 0.0, 0.8, 0.0, 0.014498763767850318
'2016-09-16', 23.93, 23.93, 23.93, 23.93, 0.0, 23.93, 0.0, -1.0899999999999999, 0.43151465642712916, 0.0, 0.5, 0.0, 0.013894692854157962
'2016-09-15', 23.93, 23.93, 23.93, 23.93, 300.0, 23.93, -1.0899999999999999, -1.0899999999999999, 0.4444374075668848, 0.0, 0.1, 0.0, 0.012350838092584854
'2016-09-14', 25.02, 25.02, 25.02, 25.02, 0.0, 25.02, 0.0, 0.0, 0.4567903562908736, 0.0, 0.0, 0.0, 0.006274980015987212
'2016-09-13', 25.02, 25.02, 25.02, 25.02, 0.0, 25.02, 0.0, 0.019999999999999574, 0.4580825011578835, 0.0, 0.0, 0.0, 0.005704527287261102
