Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 24.26, 24.65, 23.76, 23.809999, 15400.0, 23.581535, 0.010000000000001563, 0.33000000000000185, 0.965399068468699, -1.0, 0.0, -1.0, 0.0
'2016-09-28', 24.25, 24.66, 24.030001, 24.32, 13600.0, 24.086641, 0.8999999999999986, 0.6799999999999997, 0.9711881146308536, 0.0, 0.0, -0.8, 0.00041237113402068303
'2016-09-27', 23.35, 24.25, 23.35, 24.219999, 20700.0, 23.9876, -0.6699999999999982, 0.10000000000000142, 0.9791809567525803, 0.0, 0.0, -0.5, 0.01948608137044968
'2016-09-26', 24.02, 24.030001, 23.629999, 23.75, 8900.0, 23.522111, 0.08999999999999986, 0.8000009999999982, 0.9734085634512529, 0.0, 0.0, -0.1, 0.0033305578684429916
'2016-09-23', 23.93, 24.24, 23.91, 24.09, 14100.0, 23.858849, 0.35999999999999943, 0.9400000000000013, 0.9934301884549311, 0.0, 0.0, 0.0, 0.0034475553698286865
'2016-09-22', 23.57, 24.1, 23.5, 23.91, 11500.0, 23.680575, 0.3200000000000003, 0.6400000000000006, 0.9806223471178728, 0.0, 0.0, 0.0, 0.0058549002969877076
'2016-09-21', 23.25, 23.530001, 22.860001, 23.5, 17900.0, 23.27451, 0.030000999999998612, 0.3500000000000014, 0.9589668716328121, 0.0, 0.0, 0.0, 0.007240143369175638
'2016-09-20', 23.219999, 23.58, 23.1, 23.23, 15400.0, 23.0071, 0.22999900000000295, 0.5, 0.942283089369366, 0.0, 0.0, 0.0, 0.006398431430964809
'2016-09-19', 22.99, 23.219999, 22.82, 23.190001, 18100.0, 22.967485, 0.05999999999999872, -0.08000000000000185, 0.9276472966239175, 0.0, 0.1, 0.0, 0.0069051761635493866
'2016-09-16', 22.93, 23.030001, 22.75, 22.99, 33100.0, 22.769403, 0.030000000000001137, 0.08999999999999986, 0.9096044080321072, 0.0, 0.5, 0.0, 0.006444735184377583
'2016-09-15', 22.9, 23.07, 22.709999, 22.92, 5800.0, 22.700075, 0.1800009999999972, -0.08999999999999986, 0.8913159839250776, 0.0, 0.8, 0.0, 0.005938864628820974
'2016-09-14', 22.719999, 22.99, 22.719999, 22.870001, 3500.0, 22.650556, -0.3500009999999989, -0.5899999999999999, 0.8725034665071514, 1.0, 1.0, 0.0, 0.006161976103480063
'2016-09-13', 23.07, 23.07, 22.74, 22.75, 9300.0, 22.531706, 0.23000000000000043, -0.00999999999999801, 0.8610369079457475, 0.0, 0.8, -0.1, 0.004298511775754953
'2016-09-12', 22.84, 23.139999, 22.59, 23.1, 6900.0, 22.878348, -0.14999999999999858, -0.3099999999999987, 0.8332848566968957, 0.0, 0.5, -0.5, 0.004782432978580094
'2016-09-09', 22.99, 23.200001, 22.809999, 22.85, 10300.0, 22.630747, -0.3199990000000028, 0.13999999999999702, 0.8143745171741456, 0.0, 0.1, -0.8, 0.00394581495059965
'2016-09-08', 23.309999, 23.4, 23.059999, 23.219999, 4600.0, 22.997196, 0.22999900000000295, 0.9699990000000014, 0.7890946069179964, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 23.08, 23.43, 23.040001, 23.290001, 13400.0, 23.066526, -0.07000000000000028, 0.5799999999999983, 0.741974664437427, 0.0, 0.1, -0.8, 0.009965294627383145
'2016-09-06', 23.15, 23.15, 22.879999, 23.049999, 6000.0, 22.828827, 0.29999999999999716, 0.7999999999999972, 0.7098002085409952, 0.0, 0.5, -0.5, 0.00345570194384455
'2016-09-02', 22.85, 22.889999, 22.780001, 22.85, 3600.0, 22.630747, 0.5100000000000016, 0.5899999999999999, 0.6739260255979217, 0.0, 0.8, -0.1, 0.00671041575492341
'2016-09-01', 22.34, 22.83, 22.299999, 22.75, 7800.0, 22.531706, -0.16000000000000014, 0.16999999999999815, 0.6508317415263415, 1.0, 1.0, 0.0, 0.010854957475380499
'2016-08-31', 22.5, 22.620001, 22.299999, 22.51, 11600.0, 22.294009, 0.14999999999999858, 0.7399999999999984, 0.6733611868829631, 0.0, 0.8, 0.0, 0.007199991111111122
'2016-08-30', 22.35, 22.690001, 22.35, 22.58, 13000.0, 22.363337, 0.08999999999999986, 0.6499990000000011, 0.6793249124440629, 0.0, 0.5, 0.0, 0.007158829231916478
'2016-08-29', 22.26, 22.35, 22.030001, 22.34, 8700.0, 22.12564, 0.08999999999999986, 1.130001, 0.6980453172016599, 0.0, 0.1, 0.0, 0.006738538056732124
'2016-08-26', 22.17, 22.309999, 22.0, 22.16, 8300.0, 21.947367, 0.41000000000000014, 1.4699990000000014, 0.7089360095244839, 0.0, 0.0, 0.0, 0.006427599233198012
'2016-08-25', 21.76, 22.09, 21.629999, 22.07, 11400.0, 21.858231, 0.059999000000001246, 1.0200000000000031, 0.7376152349900471, 0.0, 0.0, 0.0, 0.007914619076797384
'2016-08-24', 21.700001, 22.030001, 21.6, 21.66, 5900.0, 21.452165, 0.5700019999999988, 1.0, 0.7566827207845434, 0.0, 0.0, 0.0, 0.007419345280214508
'2016-08-23', 21.129999, 21.74, 21.129999, 21.530001, 8600.0, 21.323413, 0.4299980000000012, 0.19999900000000181, 0.7656002796938051, 0.0, 0.0, 0.0, 0.009379168365403999
'2016-08-22', 20.700001, 21.389999, 20.700001, 21.139999, 29200.0, 20.937154, -0.03999899999999812, 0.0200010000000006, 0.7585129924914319, 0.0, 0.0, 0.0, 0.010507237817685778
'2016-08-19', 20.74, 20.92, 20.6, 20.65, 16300.0, 20.451856, 0.03999899999999812, -1.0100000000000016, 0.7285074011829099, 0.0, 0.0, 0.0, 0.009531930123878062
'2016-08-18', 20.700001, 20.799999, 20.690001, 20.75, 7800.0, 20.550897, -0.2299989999999994, 0.33000000000000185, 0.7148514817626854, 0.0, 0.0, -0.1, 0.009006203843730666
'2016-08-17', 20.93, 20.93, 20.709999, 20.719999, 6700.0, 20.521184, 0.25, 0.13000100000000003, 0.6944804582487707, 0.0, 0.1, -0.5, 0.007580821786908749
